Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,School,University 
Cory Woods,OG,Reading,PA,6'5'',255,,Akron,,,,2006,Akron,,,,,
Jaquan Williams,CB,Sarasota,FL,6'1'',185,,Akron,,,,2006,Akron,,,,,
Mike Ward,OG,Washington,DC,6'3'',285,,Akron,,,,2006,Akron,,,,,
Jerrel Stoudemire,DT,Lake Wales,FL,6'5'',295,,Akron,,,,2006,Akron,,,,,
Derron Smith,ILB,Pittsburgh,PA,6'2'',207,64.0,Akron,,,,2006,Akron,,,,,
Blake Smith,DE,Greenbelt,MD,6'3'',220,,Akron,,,,2006,Akron,,,,,
Shane Shead,TE,Plano,TX,6'5'',220,,Akron,,,,2006,Akron,,,,,
Jason Sekinger,OT (LQ),Columbus,OH,6'9'',320,,Akron,,,,2006,Akron,,,,,
Aaris Reed,RB,Waldorf,MD,5'10'',185,74.0,Akron,85,,,2006,Akron,,,,,
Marcus Proctor,DT,Alliance,OH,6'3'',285,,Akron,,,,2006,Akron,,,,,
Tevlin Petite-Frere,DE,North Miami,FL,6'3'',200,,Akron,NR,NR,NR,2006,Akron,,,,,
Deni Odofin,DE,Endicott,NY,6'4'',205,,Akron,NR,NR,NR,2006,Akron,,,,,
Mitchell Magloire,OLB (POST),Fort Lauderdale,FL,6'1'',217,,Akron,,,,2006,Akron,,,,,
Amin Kabir,S,Warrensville Heights,OH,6'1'',185,,Akron,,,,2006,Akron,,,,,
Mark Jackson,OC,Columbus,OH,6'6'',310,,Akron,,,,2006,Akron,,,,,
Igor Iveljic,K,Mentor,OH,6'0'',160,,Akron,,,,2006,Akron,,,,,
Avery Holley,CB,Pompano Beach,FL,6'0'',170,,Akron,,,,2006,Akron,,,,,
D.J. Henderson,WR,Jacksonville,FL,6'5'',220,74.0,Akron,91,,,2006,Akron,,,,,
David Harvey,WR,Penn Hills,PA,5'11'',160,,Akron,NR,NR,NR,2006,Akron,,,,,
Sean Hakes,QB,Fort Worth,TX,6'3'',200,66.0,Akron,NR,NR,,2006,Akron,,,,,
Sheldon Dennis,RB,Lakeland,FL,6'2'',206,,Akron,,,,2006,Akron,,,,,
Delvin Davis,CB,Pembroke Pines,FL,6'1'',165,,Akron,,,,2006,Akron,,,,,
Chris Condeni,OG,Findlay,OH,6'4'',270,,Akron,,,,2006,Akron,,,,,
Wayne Cobham,CB,Pembroke Pines,FL,6'1'',180,,Akron,,,,2006,Akron,,,,,
Dantley Cline,OG,East Point,GA,6'1'',270,,Akron,NR,NR,NR,2006,Akron,,,,,
Curtis Brown,WR,Belle Glade,FL,5'11'',171,,Akron,,,,2006,Akron,,,,,
Ryan Brinson,CB (POST),Canton,OH,5'9'',170,,Akron,,,,2006,Akron,,,,,
Andre Boone,RB,Virginia Beach,VA,6'0'',200,64.0,Akron,64,,,2006,Akron,,,,,
Anthony Barnes,CB,Virginia Beach,VA,6'2'',175,,Akron,,,,2006,Akron,,,,,
Mickey Baker,ILB (JC),Dodge City,KS,6'0'',215,,Akron,,,,2006,Akron,,,,,
Aaron Williams,OLB,Pittsburgh,PA,6'2'',190,67.0,Akron,,,,2007,Akron,,,,,
Bryan Williams,S,Akron,OH,6'0'',195,,Akron,NR,NR,NR,2007,Akron,,,,,
Ryan Simpson,OG,Xenia,,6'3'',250,70.0,Akron,84,,,2007,Akron,,,,,
Paul Simkovich,OG,Latrobe,PA,6'4'',300,76.0,Akron,23,,,2007,Akron,,,,,
Almondo Sewell,ILB,Trenton,NJ,6'2'',235,,Akron,,,,2007,Akron,,,,,
Jerome Royal,WR,Cleveland Heights,OH,6'2'',170,65.0,Akron,NR,NR,209,2007,Akron,,,,,
Dan Ronsman,OG,Lindenhurst,IL,6'3'',250,,Akron,,,,2007,Akron,,,,,
Matt Rodgers,QB,Pittsburgh,PA,6'3'',175,63.0,Akron,63,,,2007,Akron,,,,,
Joe Rash,DE,Pittsburgh,PA,6'4'',249,71.0,Akron,,,,2007,Akron,,,,,
Gary Pride,QB,Cincinnati,OH,5'8'',175,70.0,Akron,134,NR,NR,2007,Akron,,,,,
Da'von Moore,CB,Pittsburgh,PA,5'10'',180,,Akron,NR,,,2007,Akron,,,,,
Dan Marcoux,DE,Ramsey,NJ,6'4'',250,,Akron,NR,,,2007,Akron,,,,,
Matt Little,OLB,Durham,NC,6'3'',200,,Akron,,,,2007,Akron,,,,,
Zac Kasparek,OT,New Brighton,PA,6'5'',300,,Akron,75,,,2007,Akron,,,,,
Vincent Hill,WR,Fort Washington,MD,6'0'',185,75.0,Akron,,,,2007,Akron,,,,,
Miguel Graham,CB,Coffeyville,KS,5'9'',160,,Akron,,,,2007,Akron,,,,,
Sean Fobbs,S,Miamisburg,OH,6'1'',200,,Akron,,,,2007,Akron,,,,,
Casey Estrada,OT,Sacramento,CA,6'5'',285,,Akron,,,,2007,Akron,,,,,
Marquinn Davis,DT,Youngstown,OH,6'6'',265,,Akron,,,,2007,Akron,,,,,
Jalil Carter,WR,Toledo,OH,6'1'',175,,Akron,,,,2007,Akron,,,,,
Brian Brikowski,ILB,Freehold,NJ,6'4'',215,,Akron,122,,,2007,Akron,,,,,
