Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,University ,School
Michael Williams,DE,Reform,AL,6'6'',240.0,79,Alabama,,26,146,20,2008,Alabama,,,,
Courtney Upshaw,DE,Eufaula,AL,6'2'',225.0,83,Alabama,,4,16,4,2008,Alabama,,,,
Damion Square,DE,Houston,TX,6'3'',265.0,79,Alabama,,24, NR, NR,2008,Alabama,,,,
Corey Smith,KBunker Hill,WV,6'1'',208,75.0,Alabama,,,14, None, None,2008,Alabama,,,,
Brad Smelley,TE,Tuscaloosa,AL,6'3'',220.0,77,Alabama,,31,,,2008,Alabama,,,,
Burton Scott,ATH,Prichard,AL,5'11'',194.0,84,Alabama,,1,,,2008,Alabama,,,,
Melvin Ray,WR,Tallahassee,FL,6'2'',185.0,80,Alabama,,24,70,NR,2008,Alabama,,,,
Jermaine Preyear,FB,Mobile,AL,5'11'',205.0,77,Alabama,,5,,,2008,Alabama,,,,
Wesley Neighbors,S,Huntsville,AL,6'2'',195.0,78,Alabama,,23,162,21,2008,Alabama,,,,
Kerry Murphy,DT,Bessemer,AL,6'5'',320.0,81,Alabama,,, None, None,2008,Alabama,,,,
Ivan Matchett,RB,Mobile,AL,5'10'',206.0,79,Alabama,,31,113,13,2008,Alabama,,,,
Tyler Love,OT,Birmingham,AL,6'7'',280.0,83,Alabama,,1,18,5,2008,Alabama,,,,
Brandon Lewis,DE,Pleasant Valley,AL,6'3'',260.0,79,Alabama,,21,,,2008,Alabama,,,,
Robert Lester,S,Foley,AL,6'2'',200.0,77,Alabama,,39,,,2008,Alabama,,,,
Alonzo Lawrence,CB,Lucedale,MS,6'1'',187.0,80,Alabama,,17,98, NR,2008,Alabama,,,,
Chris Jordan,OLB,Columbia,TN,6'2'',201.0,80,Alabama,,20,79, NR,2008,Alabama,,,,
Julio Jones,WR,Foley,AL,6'4'',215.0,95,Alabama,,1,2,1,2008,Alabama,,,,
Barrett Jones,OT,Memphis,TN,6'5'',271.0,78,Alabama,,28,157, NR,2008,Alabama,,,,
Chris Jackson,ATH,McDonough,GA,6'0'',187.0,80,Alabama,,14,63, NR,2008,Alabama,,,,
Star Jackson,QB,Lake Worth,FL,6'3'',182.0,79,Alabama,,22,141, None,2008,Alabama,,,,
Mark Ingram,RB,Flint,MI,5'10'',190.0,81,Alabama,,108th, NR, NR,2008,Alabama,,,,
Destin Hood,WR,Mobile,AL,6'2'',185.0,80,Alabama,,23,,,2008,Alabama,,,,
Don'ta Hightower,DE,Lewisburg,TN,6'3'',248.0,79,Alabama,,8,,,2008,Alabama,,,,
Jerrell Harris,OLB,Gadsden,AL,6'3'',220.0,81,Alabama,,44,211,27,2008,Alabama,,,,
Glenn Harbin,DE,Mobile,AL,6'5'',240.0,77,Alabama,,, None,15,2008,Alabama,,,,
Robby Green,CB,River Ridge,LA,6'0'',175.0,80,Alabama,,39,234,30,2008,Alabama,,,,
Marcell Dareus,DT,Birmingham,AL,6'4'',275.0,77,Alabama,,19,118,14,2008,Alabama,,,,
John Michael Boswell,OT,Northport,AL,6'6'',290.0,79,Alabama,,33,89, None,2008,Alabama,,,,
Devonta Bolton,WR,Norcross,GA,6'3'',220.0,80,Alabama,,86,393,48,2008,Alabama,,,,
