Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,University  , Pos, City, State, Height, Weight, Grade, University,Grade 
Terrell Turner,WR,Garland,TX,6'2'',175,4.0,74.0,Arizona,, None, None,2006,Arizona,,,,,,,,,,,
Michael Turner,CB,Manteca,CA,5'10'',160,4.0,76.0,Arizona,42, NR, NR,2006,Arizona,,,,,,,,,,,
James Tretheway,OT,South San Francisco,CA,6'6'',300,,,Arizona,, None, None,2006,Arizona,,,,,,,,,,,
A.J. Simmons,TE,Oakland,CA,6'4'',250,4.0,76.0,Arizona,30,,,2006,Arizona,,,,,,,,,,,
Devin Ross,CB,Rancho Cucamonga,CA,5'11'',185,4.0,84.0,Arizona,4,,,2006,Arizona,,,,,,,,,,,
Derke Robinson,RB,Lewisville,TX,6'1'',205,4.0,78.0,Arizona,30, NR, NR,2006,Arizona,,,,,,,,,,,
Terrell Reese,RB,Pflugerville,TX,6'4'',195,4.0,78.0,Arizona,40,,,2006,Arizona,,,,,,,,,,,
Brooks Reed,ILB,Tucson,AZ,6'3'',215,4.0,73.0,Arizona,48,,,2006,Arizona,,,,,,,,,,,
D'Aundre Reed,DE,Moreno Valley,CA,6'3'',205,,,Arizona,NR,,,2006,Arizona,,,,,,,,,,,
Nate Ness,S,Gardena,CA,6'2'',180,,,Arizona,54, None, None,2006,Arizona,,,,,,,,,,,
Cameron Nelson,S,Dallas,TX,6'2'',185,4.0,76.0,Arizona,28,,,2006,Arizona,,,,,,,,,,,
Earl Mitchell,TE,Galena Park,TX,6'2'',230,4.0,77.0,Arizona,, None, None,2006,Arizona,,,,,,,,,,,
Lolomana Mikaele,DT,Honolulu,HI,6'2'',255,,,Arizona,13, None,150,2006,Arizona,,,,,,,,,,,
Tyler Lyon,QB,Newhall,CA,6'6'',215,4.0,80.0,Arizona,NR, NR, NR,2006,Arizona,,,,,,,,,,,
Gabe Long,DT,Anaheim,CA,6'3'',285,,,Arizona,, None, None,2006,Arizona,,,,,,,,,,,
Louis Holmes,DE,Fort Lauderdale,FL,6'5'',280,3.0,70.0,Arizona,7,,,2006,Arizona,,,,,,,,,,,
Jovan Hayes,OG,Los Angeles,CA,6'2'',320,4.0,78.0,Arizona,, None, None,2006,Arizona,,,,,,,,,,,
Ricky Elmore,DE,Simi Valley,CA,6'5'',235,4.0,73.0,Arizona,96,,,2006,Arizona,,,,,,,,,,,
Cory Elmore,OG,Simi Valley,CA,6'4'',245,4.0,66.0,Arizona,108,,,2006,Arizona,,,,,,,,,,,
DeLaShaun Dean,WR,Fairfield,CA,6'3'',190,4.0,72.0,Arizona,, None, None,2006,Arizona,,,,,,,,,,,
Glyndon Bolasky,RB,Tucson,AZ,6'0'',190,4.0,73.0,Arizona,, None, None,2006,Arizona,,,,,,,,,,,
Colin Baxter,OG,Rolling Hills,CA,6'4'',280,,,Arizona,NR, NR, NR,2006,Arizona,,,,,,,,,,,
Cody Anderson,DT,Apache Junction,AZ,6'6'',270,4.0,71.0,Arizona,, None, None,2006,Arizona,,,,,,,,,,,
Conan Amituanai,DT,Long Beach,CA,6'4'',280,4.0,69.0,Arizona,,,,2006,Arizona,,,,,,,,,,,
R.J. Young,OLB,DeSoto,TX,5'10'',220,68.0,,Arizona,,,,2008,Arizona,,128,,,,,,,,,
Anthony Wilcox,S,Compton,CA,6'2'',210,,,Arizona,NR,,,2008,Arizona,NR,NR,,,,,,,,,
J'Marcus Webb,OT,Mesquite,TX,6'8'',290,,,Arizona,NR,,,2008,Arizona,,,,,,,,,,,
Mark Watley,S,Encino,CA,6'1'',153,,,Arizona,63.0,,,2008,Arizona,,,,,,,,,,,
Jowyn Ward,DT,Katy,TX,6'3'',255,63.0,,Arizona,NR,,,2008,Arizona,,,,,,,,,,,
Vuna Tuihalamaka,OLB,Torrance,CA,6'1'',220,,,Arizona,25,,,2008,Arizona,,,,,,,,,,,
Matt Scott,QB,Corona,CA,6'2'',185,78.0,,Arizona,,,,2008,Arizona,,,,,,,,,,,
Kyle Quinn,OG,Brentwood,CA,6'3'',279,,,Arizona,158,,,2008,Arizona,,,,,,,,,,,
Greg Nwoko,RB,Pflugerville,TX,6'2'',213,70.0,,Arizona,26,,,2008,Arizona,,,,,,,,,,,
Chris Merrill,DT,Scottsdale,AZ,6'3'',270,78.0,,Arizona,NR,,,2008,Arizona,NR,NR,,,,,,,,,
Sterling Lewis,OLB,Copperas Cove,TX,6'1'',230,,,Arizona,12,,,2008,Arizona,,,,,,,,,,,
Solomon Koehler,DT,Kaneohe,HI,6'2'',315,,,Arizona,NR,,,2008,Arizona,NR,NR,,,,,,,,,
Herman Hall,OG,Houston,TX,6'3'',310,,,Arizona,18,,,2008,Arizona,,,,,,,,,,,
Robert Golden,CB,Fresno,CA,5'10'',182,79.0,,Arizona,,,,2008,Arizona,,,,,,,,,,,
Phillip Garcia,OT,Montebello,CA,6'7'',335,,,Arizona,NR,,,2008,Arizona,NR,NR,,,,,,,,,
Zander Fabbri,ILB,Bakersfield,CA,6'1'',245,,,Arizona,72.0,,,2008,Arizona, None, None,,,,,,,,,
David Douglas,WR,McKinney,TX,6'1'',182,72.0,,Arizona,10,,,2008,Arizona,,,,,,,,,,,
Vaughn Dotsy,OG,Ventura,CA,6'4'',364,,,Arizona,,,,2008,Arizona,,,,,,,,,,,
Mike Diaz,OG,Montebello,CA,6'5'',325,,,Arizona,155,,,2008,Arizona,NR,NR,,,,,,,,,
Juron Criner,WR,North Las Vegas,NV,6'4'',205,73.0,,Arizona,,,,2008,Arizona,,,,,,,,,,,
Nick Booth,RB,Naperville,IL,6'1'',225,,,Arizona,,,,2008,Arizona,,,,,,,,,,,
Trace Biskin,OT,Westlake Village,CA,6'6'',275,,,Arizona,74,,,2008,Arizona,,,,,,,,,,,
Kenny Barnes,DE,Glendale,AZ,6'2'',230,74.0,,Arizona,,,,2008,Arizona,95,,,,,,,,,,
Dominique Austin,OT,La Puente,CA,6'4'',232,72.0,,Arizona,62,,,2008,Arizona,,,,,,,,,,,
Keola Antolin,RB,Las Vegas,NV,5'8'',183,78.0,,Arizona,,,,2008,Arizona,,,,,,,,,,,
Kirifi Taula,DT,Anaheim,CA,6'4'',275,79,Arizona,,25,39,28,2010,Arizona,,,,,,,,,,,
Trent Spurgeon,OT,Owasso,OK,6'7'',260,79,Arizona,,26, NR, NR,2010,Arizona,,,,,,,,,,,
Marquis Flowers,S,Goodyear,AZ,6'2'',195,78,Arizona,,32,51, NR,2010,Arizona,,,,,,,,,,,
Mickey Baucus,OT,Mundelein,IL,6'7'',250,78,Arizona,,28,,,2010,Arizona,,,,,,,,,,,
