Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,School,University  
Dee Williams,WR,Ashdown,AR,6'5'',200,,Arkansas,, None, None,2006,Arkansas,,,,,
Damian Williams,WR,Springdale,AR,6'2'',175,82.0,Arkansas,, 14, None,2006,Arkansas,,,,,
Torian Wilkins,RB,Brookshire,TX,5'11'',185,,Arkansas,NR,,,2006,Arkansas,,,,,
John West,CB (JC),Oak Creek,WI,6'2'',190,,Arkansas,, None, None,2006,Arkansas,,,,,
Chris Wade,DE (JC),Miami,OK,6'6'',230,,Arkansas,,,,2006,Arkansas,,,,,
Marques Wade,WR,Atlanta,GA,6'3'',185,,Arkansas,,,,2006,Arkansas,,,,,
Van Stumon,ILB,North Little Rock,AR,6'2'',238,76.0,Arkansas,28,169, None,2006,Arkansas,,,,,
Malcolm Shepperd,DT,Bainbridge,GA,6'3'',250,,Arkansas,, None, None,2006,Arkansas,,,,,
Donnell Sanders,DE,College Park,GA,6'2'',210,74.0,Arkansas,61,252,54,2006,Arkansas,,,,,
Carlton Salters,WR,Tallahassee,FL,5'11'',185,73.0,Arkansas,103,,,2006,Arkansas,,,,,
Ryan Powers,ILB,Tanner,AL,6'2'',210,,Arkansas,,,,2006,Arkansas,,,,,
Jerrell Norton,WR,Cedar Hill,TX,6'1'',180,66.0,Arkansas,NR, NR, NR,2006,Arkansas,,,,,
Andrew Norman,WR,Springdale,AR,6'1'',170,72.0,Arkansas,107,,,2006,Arkansas,,,,,
Mitch Mustain,QB,Springdale,AR,6'3'',205,91.0,Arkansas,2,3,12,2006,Arkansas,,,,,
Demarcus Love,OG,Dallas,TX,6'4'',260,69.0,Arkansas,69.0, None, None,2006,Arkansas,,,,,
Matt Hewitt,S (JC),Englewood,NJ,6'2'',210,,Arkansas,, None, None,2006,Arkansas,,,,,
Jim Hart,OT,Pocahontas,AR,6'6'',300,74.0,Arkansas,52,267, NR,2006,Arkansas,,,,,
Chip Gregory,S,Allen,TX,6'3'',210,74.0,Arkansas,,,,2006,Arkansas,,,,,
Allen Gardner,WR,Dallas,TX,6'5'',204,,Arkansas,, None, None,2006,Arkansas,,,,,
Ray Dominguez,OT,Bainbridge,GA,6'5'',260,,Arkansas,,,,2006,Arkansas,,,,,
Wendall Davis,ILB,Sweeny,TX,6'1'',205,75.0,Arkansas,35,,,2006,Arkansas,,,,,
Adrian Davis,S,Rosenberg,TX,6'4'',195,,Arkansas,NR,,,2006,Arkansas,,,,,
London Crawford,WR,Mobile,AL,6'2'',200,82.0,Arkansas,12,30,2,2006,Arkansas,,,,,
Ben Cleveland,TE,Springdale,AR,6'4'',230,77.0,Arkansas,21,,,2006,Arkansas,,,,,
Ramon Broadway,CB,Shreveport,LA,5'9'',180,,Arkansas,, None, None,2006,Arkansas,,,,,
David Williams,TE,Little Rock,AR,6'4'',240,Central Arkansas Christian School,,10,,,2007,Arkansas,79.0,,,,
Crosby Tuck,WR,Springdale,AR,6'1'',180,Shiloh Christian School,,,,,2007,Arkansas,68.0,,,,
Alex Tejada,K,Springdale,AR,6'0'',170,Springdale High School,,5,,,2007,Arkansas,78.0,,,,
Rhett Richardson,ATH,Rockwall,TX,6'2'',215,Rockwall High School,,,,,2007,Arkansas,,,,,
Seth Oxner,OC,Monticello,AR,6'5'',300,Monticello High School,,15,,,2007,Arkansas,74.0,,,,
Isaac Madison,CB,Dallas,TX,5'10'',180,Carter High School,,,,,2007,Arkansas,,,,,
Jermaine Love,OLB,Garland,TX,6'0'',220,North Garland High School,,28,,,2007,Arkansas,76.0, NR, NR,,
Walner Leandre,S,Tampa,FL,6'0'',215,,,NR,,,2007,Arkansas,,NR,NR,,
Brandon Lampkin,TE,Tucker,GA,6'5'',250,Tucker High School,,,,,2007,Arkansas,72.0,57,,,
Patrick Jones,DT,Lovejoy,GA,6'2'',295,Lovejoy High School,,NR,,,2007,Arkansas,,,,,
Michael Harris,RB,Tulsa,OK,5'9'',190,Booker T. Washington High School,,,,,2007,Arkansas,,,,,
Brett Harris,S,Irving,TX,6'0'',205,MacArthur High School,,,,,2007,Arkansas,62.0,,,,
Wade Grayson,OG,Harrison,AR,6'4'',260,Harrison High School,,NR,,,2007,Arkansas,,NR,NR,,
Greg Gatson,CB,Germantown,TN,5'11'',160,Germantown High School,,,,,2007,Arkansas,,,,,
Grant Freeman,TE,Paris,AR,6'7'',245,Paris High School,,22,,,2007,Arkansas,77.0,NR,NR,,
Jerry Franklin,WR,Marion,AR,6'2'',215,Marion High School,,NR,,,2007,Arkansas,,,,,
Juwan Franklin,RB,Dunnellon,FL,6'0'',185,Dunnellon Senior High School,,38,,,2007,Arkansas,77.0,,,,
Nathan Dick,QB,Allen,TX,6'3'',185,Allen High School,,161,,,2007,Arkansas,68.0,NR,NR,,
Tim Dial,OLB,Jenks,OK,6'3'',210,Jenks High School,,,,,2007,Arkansas,70.0,,,,
Kareem Crowell,DT,Tallahassee,FL,6'4'',305,,,,,,2007,Arkansas,75.0,,,,
Grant Cook,OC,Jonesboro,AR,6'5'',280,Jonesboro Senior High School,,NR,,,2007,Arkansas,,NR,NR,,
Joe Chaisson,QB,Beaumont,TX,6'2'',180,Monsignor Kelly Catholic High School,,30,,,2007,Arkansas,78.0,NR,NR,,
Adrian Campbell,DT,Richardson,TX,6'5'',241,L. V. Berkner High School,,28,,,2007,Arkansas,77.0,NR,NR,,
Freddy Burton,OLB,Morrilton,AR,6'2'',190,Morrilton High School,,,,,2007,Arkansas,,,,,
Jake Bequette,TE,Little Rock,AR,6'5'',245,Catholic High School For Boys,,,,,2007,Arkansas,,,,,
Brandon Barnett,RB,El Dorado,KS,5'9'',205,,,,,,2007,Arkansas,,,,,
