Name,Pos,City,State,Height,Weight,Grade,University,Year,Team,Stars,Pos_rank,Reg_rank,State_rank, Reg_rank, State_rank,University 
Jasper Williams,ILB,Suwanee,GA,6'1'',210.0,55.0,Auburn University,2006,Auburn,,,,,,,
Brett Skene,WR,Denver,CO,6'1'',190.0,78.0,Auburn University,2006,Auburn,,,,,,,
Stephen Shaffer,TE,Austin,TX,6'3'',235.0,,Auburn University,2006,Auburn,,,,,,,
Phillip Ofili,S,Cypress,TX,6'1'',185.0,64.0,Auburn University,2006,Auburn,,,,,,,
Brent McElfresh,WR,Stephenville,TX,6'1'',180.0,,Auburn University,2006,Auburn,,,,,,,
Ronnie Lillard,ILB,Lehigh Acres,FL,6'3'',200.0,69.0,Auburn University,2006,Auburn,,,,,,,
Steve Jones,CB,Kansas City,MO,,,,Auburn University,2006,Auburn,,,,,,,
Chad Gross,K,Suwanee,GA,,,,Auburn University,2006,Auburn,,,,,,,
Irvin George,RB,Orlando,FL,5'11'',190.0,,Auburn University,2006,Auburn,,,,,,,
P.J. Adeji-Paul,S,Tulsa,OK,6'0'',180.0,64.0,Auburn University,2006,Auburn,,,,,,,
Jeff Abt,QB,Houston,TX,6'2'',190.0,75.0,Auburn University,2006,Auburn,,,,,,,
Chris Zinn,DE,Olive Branch,MS,6'3'',240,Auburn,,2007,Auburn,,,,,,,
Lee Ziemba,OT,Rogers,AR,6'7'',305,Auburn,,2007,Auburn,,4,,,,,
Bailey Woods,TE,Marietta,GA,6'5'',225,Auburn,,2007,Auburn,,33,,,,,
Ryan Williams,WR,Mobile,AL,5'11'',175,Auburn,,2007,Auburn,,,,,,,
Brent Slusher,TE,Pineville,KY,6'3'',225,Auburn,,2007,Auburn,,30,,,,,
Chris Slaughter,WR,POST,Fort Valley,GA,6'3'',,Auburn,2007,Auburn,185.0,,,,,,
Mike Slade,S,Tallahassee,FL,6'2'',185,Auburn,,2007,Auburn,,,,,,,
Chaz Ramsey,OC,Madison,MS,6'3'',270,Auburn,,2007,Auburn,,,,115,,,
Ryan Pugh,OC,Birmingham,AL,6'2'',275,Auburn,,2007,Auburn,,1,,,,,
Michael McNeil,S,Mobile,AL,6'2'',200,Auburn,,2007,Auburn,,1,,,,,
Tim Lamb,DT,Tallahassee,FL,6'1'',315,Auburn,,2007,Auburn,,4,,59,,,
Wilfred Journet,DE,Lafayette,LA,6'3'',240,Auburn,,2007,Auburn,,NR,NR,NR,,,
Carlton Johnson,OLB,Lynn Haven,FL,6'1'',225,Auburn,,2007,Auburn,,17,,,,,
Jermaine Johnson,OT,Fort Lauderdale,FL,6'6'',290,Auburn,,2007,Auburn,,76,NR,NR,,,
Adam Herring,ILB,Springdale,AR,6'2'',220,Auburn,,2007,Auburn,,47,,,,,
Bo Harris,DE,POST,Conyers,GA,6'3'',,Auburn,2007,Auburn,235.0,,,,,,
A.J. Greene,DE,Brentwood,TN,6'5'',250,Auburn,,2007,Auburn,,42,,,,,
Eltoro Freeman,OLB,Alexander City,AL,5'10'',205,Auburn,,2007,Auburn,,,,,,,
Nick Fairley,OT,Mobile,AL,6'4'',260,Auburn,,2007,Auburn,,32,,,,,
Brandon Earl,OG,Stevenson,AL,6'4'',299,Auburn,,2007,Auburn,,,,,,,
John Douglas,FB,Augusta,GA,6'2'',235,Auburn,,2007,Auburn,,11, None, None,,,
Johnnie Lee Dixon,S,Belle Glade,FL,5'11'',175,Auburn,,2007,Auburn,,22,,,,,
Enrique Davis,RB,Lynn Haven,FL,5'11'',212,Auburn,,2007,Auburn,,76,,,,,
Kyle Coulahan,DT,Pensacola,FL,6'4'',300,Auburn,,2007,Auburn,,,76,,,,
