Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,School
Kaylon Woods,DE,Jacksonville,FL,6'3'',240,,Ball State,,NR,NR,NR,2006,Ball State,,,
Justin Woodard,DE,LaGrange,GA,6'2'',215,72.0,Ball State,,79,,,2006,Ball State,,,
Myles Trempe,WR,Saint Paris,OH,6'5'',190,,Ball State,,,,,2006,Ball State,,,
Eulas Taylor,WR,Sandersville,GA,5'10'',175,,Ball State,,,,,2006,Ball State,,,
Kevin Steinhaus,S,Algonquin,IL,6'3'',230,,Ball State,,,,,2006,Ball State,,,
Jon Purdy,OT,Fort Wayne,IN,6'5'',350,,Ball State,,NR,NR,NR,2006,Ball State,,,
Miquele Lewis,RB,Fort Wayne,IN,5'6'',180,,Ball State,,, None, None,2006,Ball State,,,
Emmanuel Lewis,QB,Tulare,CA,6'2'',170,,Ball State,,,,,2006,Ball State,,,
Alex Knipp,CB,Amherst,OH,6'0'',180,,Ball State,,,,,2006,Ball State,,,
Terrell Johnson,S,Cartersville,GA,6'0'',180,75.0,Ball State,,57,193,38,2006,Ball State,,,
Jason Jankowski,DE,Hartland,WI,6'4'',248,,Ball State,,,,,2006,Ball State,,,
Brandon Houston,S,Cartersville,GA,6'1'',195,,Ball State,,,,,2006,Ball State,,,
Lance Helton,OG,Sandersville,GA,6'4'',303,,Ball State,,,,,2006,Ball State,,,
Kris Heard,CB,Saint Louis,MO,5'10'',171,,Ball State,,NR,NR,NR,2006,Ball State,,,
Jakeem Gregory,CB,Fort Wayne,IN,5'9'',180,,Ball State,,NR,NR,NR,2006,Ball State,,,
Joe Everett,RB,Orange Park,FL,6'0'',178,,Ball State,,NR,,,2006,Ball State,,,
Robert Eddins,OLB,Detroit,MI,6'2'',195,,Ball State,,,,,2006,Ball State,,,
Nate Davis,QB,Bellaire,OH,6'3'',200,77.0,Ball State,,29,,,2006,Ball State,,,
Spain Cosby,ILB,Villa Rica,GA,5'11'',218,,Ball State,,NR,NR,NR,2006,Ball State,,,
