Name,Pos,City,State,Height,Weight,Grade,School,Pos_rank,Reg_rank,State_rank,Year,Team, Pos, City, State, Height, Weight, Stars, Grade, University,University, Reg_rank, State_rank,University ,Stars
Garrett Tuggle,OLB (JC),Pleasanton,CA,6'1'',225,,Chabot College,,,,2006,Boise State,,,,,,,,,,,,,
Sione Tavake,OG (JC),Salt Lake City,UT,6'1'',270,,Mt. San Antonio College,,,,2006,Boise State,,,,,,,,,,,,,
Kevin Sapien,OG,Torrance,CA,6'4'',255,,Bakesfield West High School,,,,2006,Boise State,,,,,,,,,,,,,
Jason Robinson,CB,Los Angeles,CA,5'11'',180,,University City High School,,,,2006,Boise State,,,,,,,,,,,,,
Kapono Rawlins-Crivello,DE,Molokai,HI,6'1'',240,76.0,Kamehameha Schools,,,,2006,Boise State,,,,,,,,,,,,,
Nate Potter,OT,Boise,ID,6'6'',245,,Timberline High School,NR,NR,NR,2006,Boise State,,,,,,,,,,,,,
Scott McKnight,WR,Las Flores,CA,5'11'',170,,Tesoro High School,,,,2006,Boise State,,,,,,,,,,,,,
Keith McGowen,CB,Lynwood,CA,5'9'',165,,Lynwood High School,NR,NR,NR,2006,Boise State,,,,,,,,,,,,,
Xavier Lucas,WR,Phoenix,AZ,6'4'',195,,McClintock High School,,,,2006,Boise State,,,,,,,,,,,,,
David Lowery,K,Boise,ID,5'11'',185,,Timberline High School,,,,2006,Boise State,,,,,,,,,,,,,
Will Lawrence,DE,Upper Marlboro,MD,6'2'',260,,C. H. Flowers High School,NR,,,2006,Boise State,,,,,,,,,,,,,
Jeron Johnson,CB,Compton,CA,5'11'',175,,Dominguez High School,NR,,,2006,Boise State,,,,,,,,,,,,,
Jarvis Hodge,RB,Phoenix,AZ,5'9'',193,,Mountain Pointe High School,NR,NR,NR,2006,Boise State,,,,,,,,,,,,,
Tommy Gallarda,TE,Brea,CA,6'6'',221,55.0,Brea Olinda High School,,,,2006,Boise State,,,,,,,,,,,,,
Cedric Febis,CB,Boise,ID,6'3'',188,,Bishop Kelly High School,,,,2006,Boise State,,,,,,,,,,,,,
Kyle Efaw,WR,Boise,ID,6'4'',200,,Capital High School,,,,2006,Boise State,,,,,,,,,,,,,
Michael Coughlin,QB,San Diego,CA,6'4'',190,75.0,Mira Mesa High School,54,,,2006,Boise State,,,,,,,,,,,,,
Ben Chandler,ILB,Loomis,CA,6'4'',220,54.0,Del Oro High School,,,,2006,Boise State,,,,,,,,,,,,,
Derrell Acrey,OLB,East Highland,CA,6'2'',240,,Redlands East Valley High School,,,,2006,Boise State,,,,,,,,,,,,,
Cory Yriarte,,,,,,,,59,NR,NR,2007,Boise State, OG, Westlake Village, CA, None, None, 3, 73, Boise State,,,,,
Titus Young,,,,,,,,NR,,,2007,Boise State, WR, Los Angeles, CA, None, None, None, None, Boise State,,,,,
Billy Winn,,,,,,,,,,,2007,Boise State, DT, Las Vegas, NV, None, None, None, None, Boise State,,,,,
Hunter White,,,,,,,,165,,,2007,Boise State, RB, Huntington Beach, CA, None, None, 69, None, Boise State,,,,,
Zach Waller,,,,,,,,177,,,2007,Boise State, OT, Elk Grove, CA, None, None, 6, 65, Boise State,,,,,
Johnny Tivao,,,,,,,,, None, None,2007,Boise State, DT, Paramount, CA, None, None, None, None, Boise State,,,,,
Brandyn Thompson,,,,,,,,0,0,0,2007,Boise State, CB, Elk Grove, CA, None, None, None, None, Boise State,,,,,
Aaron Tevis,,,,,,,,,,,2007,Boise State, TE, Tucson, AZ, None, None, None, None, Boise State,,,,,
Jarrell Root,,,,,,,,,,,2007,Boise State, DE, Boise, ID, None, None, None, None, Boise State,,,,,
Austin Pettis,,,,,,,,,,,2007,Boise State, WR, Orange, CA, None, None, None, None, Boise State,,,,,
Garrett Pendergast,,,,,,,,39,,,2007,Boise State, OG, Anaheim, CA, None, None, 7, 74, Boise State,,,,,
Dan Paul,,,,,,,,,,,2007,Boise State, ILB, Gresham, OR, None, None, None, None, Boise State,,,,,
John Nisby,,,,,,,,NR,,,2007,Boise State, OG, Stockton, CA, None, None, 7, 70, Boise State,,,,,
Antwan Murray,,,,,,,,NR,,,2007,Boise State, CB, Lakeland, FL, None, None, 7, 71, Boise State,,,,,
Willie Munford,,,,,,,,,,,2007,Boise State, RB, Rancho Cucamonga, CA, None, None, None, None, Boise State,,,,,
Kellen Moore,,,,,,,,,,,2007,Boise State, QB, Prosser, WA, None, None, 6, 68, Boise State,,,,,
Shea McClellin,,,,,,,,,,,2007,Boise State, OLB, Marsing, ID, None, None, None, None, Boise State,,,,,
Doug Martin,,,,,,,,,,,2007,Boise State, RB, Stockton, CA, None, None, 6, 64, Boise State,,,,,
Matt Kaiserman,,,,,,,,NR,NR,NR,2007,Boise State, RB, Nampa, ID, None, None, None, None, Boise State,,,,,
Charles Hayes,,,,,,,,,,,2007,Boise State, DE, Centennial, CO, None, None, None, None, Boise State,,,,,
D. J. Harper,,,,,,,,,,,2007,Boise State, CB, Houston, TX, None, None, None, None, Boise State,,,,,
Brad Elkin,,,,,,,,,,,2007,Boise State, K, Tacoma, WA, None, None, None, None, Boise State,,,,,
Garcia Day,,,,,,,,,,,2007,Boise State, S, Walnut, CA, None, None, None, None, Boise State,,,,,
Thomas Byrd,,,,,,,,6,,,2007,Boise State, OC, Oakland, CA, None, None, 7, 73, Boise State,,,,,
Mitch Burroughs,,,,,,,,,,,2007,Boise State, RB, Meridian, ID, None, None, 7, 70, Boise State,,,,,
