Name,Pos,City,State,Height,Weight,Grade,School,Pos_rank,Reg_rank,State_rank,Year,Team,Stars,University, Reg_rank, State_rank,University    
Warren Wilson,WR,New Hampton,NH,6'1'',175,74,Boston College,,,,2006,Boston College,,,,,
Dan Williams,ILB,Cambridge,MA,6'3'',228,Boston College,,,44,,2007,Boston College,73.0,,,,
Will Thompson,ILB,Jersey City,NJ,6'1'',225,Boston College,,110,,,2007,Boston College,66.0,,,,
Mark Spinney,OG,Nashua,NH,6'3'',260,Boston College,,29,,,2007,Boston College,75.0,,,,
Nick Schepis,OG,Stow,OH,6'4'',265,Boston College,,,NR,NR,2007,Boston College,77.0,,,,
Nathan Richman,OT,Braintree,MA,6'6'',270,Boston College,,,,,2007,Boston College,,,,,
Kenny Plue,OT,Rensselaer,NY,6'7'',320,Boston College,,58,NR,NR,2007,Boston College,76.0,,,,
Brad Newman,TE,Manasquan,NJ,,240,Boston College,,,,,2007,Boston College,,,,,
Dan Mulrooney,S,Waterbury,CT,6'1'',195,Boston College,,102, NR, NR,2007,Boston College,68.0,,,,
Ifeanyi Momah,TE,Elwood,NY,6'6'',220,Boston College,,,,,2007,Boston College,,,,,
Dominic Magazu,WR,Charlotte,NC,6'2'',190,Boston College,,3,,,2007,Boston College,68.0,,,,
Chris Johnson,QB,Paterson,NJ,6'2'',203,Boston College,,,,,2007,Boston College,73.0,,,,
DeLeon Gause,S,Miami,FL,5'11'',190,Boston College,,,,,2007,Boston College,,,,,
John Elliott,OT,East Meadow,NY,6'5'',290,Boston College,,16.0,,,2007,Boston College,79.0,,,,
Corey Eason,DE,Mansfield,MA,6'5'',255,Boston College,,52,,,2007,Boston College,76.0,,,,
Dominique Davis,ATH,Lakeland,FL,6'4'',185,Boston College,,,,,2007,Boston College,,,,,
Anthony Castonzo,OT,Lake Zurich,IL,6'7'',260,Boston College,,,,,2007,Boston College,,,,,
Billy Bennett,K,Del Mar,CA,6'1'',180,Boston College,,8,,,2007,Boston College,77.0,,,,
Lars Anderson,TE,Winter Springs,FL,6'4'',235,Boston College,,26,,,2007,Boston College,76.0,,,,
Justin Tuggle,QB,Duluth,GA,6'3'',205,Boston College,,38,235,NR,2008,Boston College,77.0,,,,
Mike Stone,TE,Holliston,MA,6'6'',230,Boston College,,74.0,,,2008,Boston College,74.0,,,,
Kaleb Ramsey,DE,Uniontown,PA,6'3'',255,Boston College,,32, NR, NR,2008,Boston College,78.0,,,,
Ryan Quigley,K,Little River,SC,6'2'',170,Boston College,,,,,2008,Boston College,,,,,
Chris Pantale,ATH,Wayne,NJ,6'6'',230,Boston College,,30,NR,NR,2008,Boston College,79.0,,,,
Ugo Okpara,CB,Sugar Land,TX,6'1'',175,Boston College,,19,NR,NR,2008,Boston College,79.0,,,,
Okechuckwu Okoroha,S,Greenbelt,MD,6'0'',183,Boston College,,16,,,2008,Boston College,79.0,,,,
Patrick Neumann,OT,Montvale,NJ,6'6'',260,Boston College,,60,NR,NR,2008,Boston College,75.0,,,,
Bryan Murray,DT,Wheaton,MD,6'1'',288,Boston College,,76,52,,2008,Boston College,76.0,,,,
Dominick LeGrande,ATH,Staten Island,NY,6'1'',192,Boston College,,,,,2008,Boston College,,,,,
Clyde Lee,WR,Fort Bend,TX,5'11'',175,Boston College,,104,NR,NR,2008,Boston College,76.0,,,,
Colin Larmond,WR,Morristown,NJ,6'2'',185,Boston College,,,,,2008,Boston College,67.0,,,,
Christian Klein,TE,Montvale,NJ,6'3'',235,Boston College,,NR,NR,NR,2008,Boston College,70.0,,,,
Jerry Kelly,ILB,Fairmont,WV,6'1'',220,Boston College,,,,,2008,Boston College,,,,,
Isaac Johnson,RB,Everett,MA,5'11'',185,Boston College,,118,NR,NR,2008,Boston College,74.0,,,,
Max Holloway,DE,Tampa,FL,6'3'',235,Boston College,,102,,,2008,Boston College,73.0,,,,
Chris Hayden-Martin,CB,Greensburg,PA,6'0'',180,Boston College,,76.0,,,2008,Boston College,76.0,,,,
Montel Harris,RB,Jacksonville,FL,5'8'',188,Boston College,,143,,,2008,Boston College,71.0,,,,
Nick Halloran,OT,Cambridge,MA,6'5'',255,Boston College,,NR,NR,,2008,Boston College,70.0,,,,
Josh Haden,RB,Fort Washington,MD,5'7'',190,Boston College,,35,,,2008,Boston College,79.0,,,,
Mike Goodman,OT,Miami,FL,6'5'',270,Boston College,,58,329,NR,2008,Boston College,76.0,,,,
Donnie Fletcher,CB,Cleveland,OH,6'0'',169,Boston College,,50,,,2008,Boston College,76.0,,,,
Donte Elliot,S,Houston,TX,6'0'',180,Boston College,,54,NR,NR,2008,Boston College,75.0,,,,
Alexander DiSanzo,ATH,Ramsey,NJ,6'2'',214,Boston College,,,,,2008,Boston College,73.0,,,,
Emmett Cleary,OT,Arlington Heights,IL,6'5'',245,Boston College,,,,,2008,Boston College,75.0,,,,
Nick Clancy,OLB,Joliet,IL,6'3'',215,Boston College,,,,,2008,Boston College,76.0,,,,
Codi Boek,QB,Orangevale,CA,6'3'',215,Boston College,,, NR, NR,2008,Boston College,,,,,
Stephen Atkinson,S,Fort Lauderdale,FL,6'1'',181,Boston College,,133,,,2008,Boston College,64.0,,,,
Luke Kuechly,OLB,Cincinnati,OH,6'3'',220,79.0,,19,,,2009,Boston College,,Boston College,,,
Rolandan Finch,RB,Louisville,KY,5'10'',204,78.0,,,,,2009,Boston College,,Boston College,,,
Jim Noel,S,Everett,MA,6'3'',180,78.0,,39,,,2009,Boston College,,Boston College,,,
Andre Lawrence,OLB,Hartford,CT,6'1'',195,77.0,,63,,,2009,Boston College,,Boston College,,,
Johnathan Coleman,WR,Bronx,NY,6'4'',205,76.0,,99,,,2009,Boston College,,Boston College,,,
Michael Marscovetra,QB,Oakland,NJ,6'4'',183,75.0,,59,,,2009,Boston College,,Boston College,,,
Dillon Quinn,DT,Pawling,NY,6'6'',271,75.0,,72,,,2009,Boston College,,Boston College,,,
Sterlin Phifer,RB,Virginia Beach,VA,5'10'',205,73.0,,145,,,2009,Boston College,,Boston College,,,
Mike Naples,TE,Somerville,NJ,6'4'',220,73.0,,99,296,NR,2009,Boston College,,Boston College,,,
John Wetzel,OT,Pittsburgh,PA,6'7'',266,,,,,,2009,Boston College,,Boston College,,,
Kasim Edebali,DE,Meriden,NH,6'2'',235,,,,,,2009,Boston College,,Boston College,,,
Ian White,OT,Conway,NH,6'5'',260,,,NR,,,2009,Boston College,,Boston College,,,
Nate Freese,K,Strongsville,OH,6'0'',170,,,,,,2009,Boston College,,Boston College,,,
Keith Bourne,OG,Fitchburg,MA,6'3'',265,,,,,,2009,Boston College,,Boston College,,,
Jake Sinkovec,OLB,Mundelein,IL,6'4'',210,,,,,,2009,Boston College,,Boston College,,,
Conor O'Neal,DT,Lithia,FL,6'3'',300,,,,,,2009,Boston College,,Boston College,,,
Bryan Davis,DT,Lithia Springs,GA,6'3'',280,,,NR,NR,NR,2009,Boston College,,Boston College,,,
Dave Shinskie,QB,Mount Carmel,PA,6'4'',220,,,,,,2009,Boston College,,Boston College,,,
Chase Rettig,QB,Sierra Madre,CA,6'3'',201,80,Boston College,10,,,2010,Boston College,,,26,20,
Myles Willis, ATH, Atlanta, GA, 5'9'',180, 77, Boston College,,,,2013,Boston College,,,,,
Jack Cottrell, OLB, Eden Prairie, MN, 6'4'',215, 77, Boston College,,,,2013,Boston College,,,,,
Matt Milano, S, Orlando, FL, 6'0'',194, 73, Boston College,,,,2013,Boston College,,,,,
Charles Callinan, WR, Jersey City, NJ, 6'4'',211, 72, Boston College,,,,2013,Boston College,,,,,
James Walsh, QB, Dublin, OH, 6'2'',185, 72, Boston College,39,,,2013,Boston College,,,,,
Truman Gutapfel, DT, Harrison, OH, 6'3'',250, 72, Boston College,96,,,2013,Boston College,,,,,
Tevin Montgomery, OT, Marion, MA, 6'4'',295, 71, Boston College,133,,,2013,Boston College,,,,,
Drew Barksdale, ATH, Solon, OH, 5'11'',175, 71, Boston College,168,198,84,2013,Boston College,,,,,
Kevin Kavalec, DE, Cleveland, OH, 6'3'',240, 70, Boston College,118,213,91,2013,Boston College,,,,,
Mackay Lowrie, QB, West Roxbury, MA, 6'3'',200, 69, Boston College,,,,2013,Boston College,,,,,
Marquis Little, ATH, Manchester, CT, 6'3'',210, 68, Boston College,,,,2013,Boston College,,,,,
Joel Rich, DE, Minerva, OH, 6'5'',230, 68, Boston College,231,,,2013,Boston College,,,,,
Atem Ntantang, CB, Purcellville, VA, 5'11'',170, 68, Boston College,,,,2013,Boston College,,,,,
John Johnson, S, Hyattsville, MD, 6'1'',180, 66, Boston College,109,253,45,2013,Boston College,,,,,
Tyler Rouse, RB, Baldwinsville, NY, 5'7'',187, None, Boston College,NR,NR,NR,2013,Boston College,,,,,
Louie Addazio, TE-Y, Gainesville, FL, 6'3'',225, None, Boston College,,,,2013,Boston College,,,,,
