Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,School,University  
Ed Young,QB,Fort Worth,TX,6'0'',180,,Buffalo,,,,,2007,Buffalo,,,,
Robert Torn,DT,Orlando,FL,6'4'',270,,Buffalo,,,,,2007,Buffalo,,,,
Joshua Thomas,CB,Cedar Hill,TX,5'10'',175,,Buffalo,,,,,2007,Buffalo,,,,
Richard Smith,OG,Pen Argyl,PA,6'3'',300,,Buffalo,,NR,,,2007,Buffalo,,,,
Davonte Shannon,S,Jeannette,PA,6'1'',180,,Buffalo,,,,,2007,Buffalo,,,,
Marcus Rivers,WR,Lackawanna,NY,6'4'',185,,Buffalo,,,,,2007,Buffalo,,,,
Solomon Richberg,DT (LQ),Jamaica,NY,6'4'',300,,Buffalo,,,,,2007,Buffalo,,,,
Matt Ostrowski,OT,Natrona Heights,PA,6'6'',280,,Buffalo,,,,,2007,Buffalo,,,,
Terrell Jackson,QB,Temple,TX,6'1'',180,,Buffalo,,,,,2007,Buffalo,,,,
Zack Ingle,QB,,,6'2'',170,,70,Buffalo,137,,,2007,Buffalo,,,,
Jerry Housey,OLB,,,6'1'',230,,Buffalo,,NR,,,2007,Buffalo,,,,
Alan Hayes,S,Houston,TX,5'11'',190,,Buffalo,,NR,,,2007,Buffalo,,,,
Obi Ezemma,RB,Spring Valley,NY,6'0'',215,,Buffalo,,,,,2007,Buffalo,,,,
Gordon DuBois,DE,Andover,MA,6'2'',230,,Buffalo,,,,,2007,Buffalo,,,,
Josh Copeland,S,Fairborn,OH,6'1'',185,,64,Buffalo,,,,2007,Buffalo,,,,
Domonic Cook,RB,Buffalo,NY,5'11'',170,,Buffalo,,,,,2007,Buffalo,,,,
Aaron Connacher,TE,Jamestown,NY,6'5'',235,,Buffalo,,,,,2007,Buffalo,,,,
Derrick Brown,OT,Harrisburg,PA,6'4'',280,,Buffalo,,,,,2007,Buffalo,,,,
Fred Branch,TE,Germantown,MD,6'1'',185,,Buffalo,,,,,2007,Buffalo,,,,
Adekunle Akingba,OLB (JC),Brooklyn,NY,6'3'',210,,Buffalo,,,,,2007,Buffalo,,,,
Joel Wilson,DT,Garland,TX,6'3'',275,72.0,Buffalo,,,82,NR,2008,Buffalo,,,,
Darius Willis,ATH,Aldine,TX,6'2'',234,,Buffalo,,,,,2008,Buffalo,,,,
Graham Whinery,OG,Arlington,TX,6'3'',260,,Buffalo,,,,,2008,Buffalo,,,,
Dalonte Wallace,OLB,Greenbelt,MD,6'0'',199,72.0,Buffalo,,,,,2008,Buffalo,,,,
Jaleel Verser,DE,Lansing,MI,6'6'',225,,Buffalo,,,,,2008,Buffalo,,,,
Dustin Tait,ILB,Knoxville,TN,6'2'',217,71.0,Buffalo,,63,,,2008,Buffalo,,,,
Mark Richardson,ILB,Miami,FL,6'2'',210,,Buffalo,,,,,2008,Buffalo,,,,
Scott Pettigrew,FB,Franklin,TN,6'2'',203,66.0,Buffalo,,43,616,NR,2008,Buffalo,,,,
Gokhan Ozkan,OG,Staten Island,NY,6'7'',300,,Buffalo,,,,,2008,Buffalo,,,,
Willie Moseley,DE,Sandston,VA,6'4'',225,,Buffalo,,,,,2008,Buffalo,,,,
Steven Means,DE,Buffalo,NY,6'3'',220,,Buffalo,,NR,NR,NR,2008,Buffalo,,,,
Zach Maynard,QB,Greensboro,NC,6'4'',185,,Buffalo,,,,,2008,Buffalo,,,,
Ray Anthony Long,OLB,Houston,TX,6'1'',195,,Buffalo,,,,,2008,Buffalo,,,,
Jerry Davis,QB,Fresno,CA,6'1'',183,,Buffalo,,,,,2008,Buffalo,,,,
Jose Cortes,OT,El Cajon,CA,6'5'',285,,Buffalo,,,,,2008,Buffalo,,,,
Imani Chatman,ILB,Frederick,MD,6'3'',215,,Buffalo,,,,,2008,Buffalo,,,,
Isaac Baugh,WR,Franklin,TN,6'1'',189,,Buffalo,,NR,NR,NR,2008,Buffalo,,,,
James Potts,RB,Delray Beach,FL,5'10'',185,,77,Buffalo,54,,,2010,Buffalo, NR, NR,,
Cordero Dixon,WR,Suwanee,GA,5'11'',164,,76,Buffalo,,,,2010,Buffalo, None, None,,
Alex Zordich,QB,Youngstown,OH,6'3'',217,,74,Buffalo,102,,,2010,Buffalo, NR, NR,,
John Molloy,K,Harrison,NY,6'2'',215,,72,Buffalo,,,,2010,Buffalo,,,,
Okoye Houston,S,Greenville,SC,5'11'',176,,71,Buffalo,170,,,2010,Buffalo, NR, NR,,
Adam Redden,ATH,Athol Springs,NY,6'1'',185,,71,Buffalo,241,,,2010,Buffalo, NR, NR,,
Rudy Johnson,QB,Owings Mills,MD,6'0'',193,,71,Buffalo,,,,2010,Buffalo,,,,
Dante Burton,TE,Lodi,NJ,6'4'',230,,68,Buffalo,,,,2010,Buffalo,,,,
Colby Way,TE,State College,PA,6'3'',230,,NR,Buffalo,,,,2010,Buffalo, NR, NR,,
Devon Hughes,WR,Tyrone,GA,6'0'',179,,NR,Buffalo,,,,2010,Buffalo, None, None,,
William Robinson,OG,Upper Marlboro,MD,6'3'',295,,NR,Buffalo,NR,,,2010,Buffalo, NR, NR,,
Dwellie Striggles,CB,Fort Lauderdale,FL,5'9'',175,,NR,Buffalo,,,,2010,Buffalo, None, None,,
Jasen Carlson,OG,Lakewood,NY,6'3'',295,,NR,Buffalo,,,,2010,Buffalo,,,,
Andre Dixon,DT,Cheektowaga,NY,6'4'',275,,NR,Buffalo,,,,2010,Buffalo,,,,
Delano Fabor,CB,Buffalo,NY,6'0'',190,,NR,Buffalo,,,,2010,Buffalo,,,,
Cortney Lester,WR,Miramar,FL,5'11'',175,,NR,Buffalo,NR,,,2010,Buffalo, NR, NR,,
Kendall Roberson,OLB,Decatur,GA,6'2'',215,,NR,Buffalo,,,,2010,Buffalo,,,,
Whitney Sherry,S,Miami,FL,6'1'',180,,NR,Buffalo,,,,2010,Buffalo, None, None,,
Kristjan Sokoli,DE,Bloomfield,NJ,6'5'',230,,NR,Buffalo,,,,2010,Buffalo, None, None,,
Aaron Walters,WR,Hopkins,SC,6'1'',180,,NR,Buffalo,,,,2010,Buffalo,,,,
