Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,State_rank ,State_rank  
Tyrell Worthington,RB,Winterville,NC,6'0'',185,67.0,East Carolina,, NR, NR,2007,East Carolina,,,,,
Jonathan Williams,RB,Greenville,NC,6'1'',190,,East Carolina,,,,2007,East Carolina,,,,,
Devon Wallace,RB,Graham,NC,6'2'',198,76.0,East Carolina,, None, None,2007,East Carolina,,,,,
Will Towery,TE,Asheville,NC,6'5'',255,,East Carolina,, None, None,2007,East Carolina,,,,,
Matt Thompson,S,Mebane,NC,6'1'',190,,East Carolina,,,,2007,East Carolina,,,,,
Steve Spence,ILB,Norfolk,VA,6'1'',210,,East Carolina,, None, None,2007,East Carolina,,,,,
J.R. Rogers,RB (JC),Bakersfield,CA,5'11'',190,,East Carolina,, None, None,2007,East Carolina,,,,,
Cliff Perryman,ILB,Richmond,VA,6'1'',220,,East Carolina,, None, None,2007,East Carolina,,,,,
Maurice Mercer,TE,Rocky Mount,NC,6'5'',240,,East Carolina,, None, None,2007,East Carolina,,,,,
Daronte McNeil,RB,Elizabeth City,NC,6'2'',217,77.0,East Carolina,57, NR, NR,2007,East Carolina,,,,,
D. J. McFadden,QB,Charlotte,NC,6'2'',210,71.0,East Carolina,,,,2007,East Carolina,,,,,
T.J. Lee,WR (JC),Bakersfield,CA,5'11'',190,,East Carolina,NR,,,2007,East Carolina,,,,,
Linval Joseph,OT,Alachua,FL,6'6'',310,,East Carolina,NR,,,2007,East Carolina,,,,,
Deondre Jones,CB,Vanceboro,NC,6'1'',175,,East Carolina,, None, None,2007,East Carolina,,,,,
Antwan Jones,DE,Pinnacle,NC,6'6'',320,,East Carolina,,,,2007,East Carolina,,,,,
Ben Herlocker,RB,Charlotte,NC,6'0'',205,75.0,East Carolina,,,,2007,East Carolina,,,,,
Austin Haynes,OLB,Jacksonville,FL,6'2'',200,,East Carolina,, None, None,2007,East Carolina,,,,,
Darryl Freeney,WR,Suffolk,VA,6'0'',180,,East Carolina,,,,2007,East Carolina,,,,,
Emmanuel Davis,CB,Manteo,NC,5'11'',190,77.0,East Carolina,32, NR, NR,2007,East Carolina,,,,,
Rodney Cox,QB,Angier,NC,6'6'',220,77.0,East Carolina,36,,,2007,East Carolina,,,,,
Julian Carter,S,New Bern,NC,6'2'',180,,East Carolina,,,,2007,East Carolina,,,,,
Michael Byrd,TE,Thomasville,NC,6'4'',225,,East Carolina,NR, NR, NR,2007,East Carolina,,,,,
Derek Blacknall,CB,Greensboro,NC,6'0'',170,73.0,East Carolina,,,,2007,East Carolina,,,,,
Steven Baker,DT,Rocky Mount,NC,6'7'',250,,East Carolina,, None, None,2007,East Carolina,,,,,
Antonio Allison,OT,Statesville,NC,6'5'',310,,East Carolina,, None, None,2007,East Carolina,,,,,
Nick Adams,WR,Walterboro,SC,6'1'',184,,East Carolina,NR,,,2007,East Carolina,,,,,
Joseph Womack,ATH,Jacksonville,NC,6'2'',185,,East Carolina,, None, None,2008,East Carolina,,,,,
Justin Venable,S,Greensboro,NC,6'2'',181,74.0,East Carolina,74.0, None, None,2008,East Carolina,,,,,
Darius Spencer,ATH,Asheville,NC,5'10'',178,71.0,East Carolina,119,,,2008,East Carolina,,,,,
Leonard Paulk,S,Columbia,SC,5'10'',180,73.0,East Carolina,75,,,2008,East Carolina,,,,,
Rahkeem Morgan,CB,Asheville,NC,6'1'',171,,East Carolina,,,,2008,East Carolina,,,,,
Logan Kudlinski,OT,Orange Park,FL,6'5'',280,,East Carolina,,,,2008,East Carolina,,,,,
Max Joyner,S,Greenville,NC,6'2'',180,,East Carolina,NR, NR, NR,2008,East Carolina,,,,,
Josh Jordan,QB,Saint Amant,LA,6'4'',207,76.0,East Carolina,47,,,2008,East Carolina,,,,,
Adrian Jones,RB,Laurinburg,NC,5'11'',180,80.0,East Carolina,26,,,2008,East Carolina,,,,,
