Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,University  
Dan Youssif,TE,Birmingham,MI,6'2'',245,,Eastern Michigan,, None, None,2007,Eastern Michigan,,,,
Jason Williams,QB,Miamisburg,OH,6'2'',180,71.0,Eastern Michigan,118,,,2007,Eastern Michigan,,,,
Brandon Slater,TE,Lathrup Village,MI,6'3'',210,,Eastern Michigan,, None, None,2007,Eastern Michigan,,,,
Mychael Sawyer,WR,Trotwood,OH,5'9'',165,,Eastern Michigan,,,,2007,Eastern Michigan,,,,
Javon Reese,DT,Fort Wayne,IN,6'2'',190,,Eastern Michigan,,,,2007,Eastern Michigan,,,,
Dwayne Priest,RB,Roanoke,VA,5'8'',185,,Eastern Michigan,,,,2007,Eastern Michigan,,,,
Tyler Palsrock,DE,Vicksburg,MI,6'4'',225,68.0,Eastern Michigan,NR,,,2007,Eastern Michigan,,,,
Brad Ohrman,ILB,Adrian,MI,6'3'',205,,Eastern Michigan,NR,,,2007,Eastern Michigan,,,,
Kyle McMahon,QB,Pontiac,MI,6'3'',185,63.0,Eastern Michigan,63, NR, NR,2007,Eastern Michigan,,,,
Kevin Long,CB,Walled Lake,MI,6'1'',195,,Eastern Michigan,,,,2007,Eastern Michigan,,,,
Shawn Knight,CB,Trotwood,OH,6'0'',170,,Eastern Michigan,, None, None,2007,Eastern Michigan,,,,
Jayson Jones,RB,Jacksonville,FL,5'8'',170,,Eastern Michigan,,,,2007,Eastern Michigan,,,,
Trey Hunter,WR,Pemberville,OH,6'0'',180,,Eastern Michigan,,,,2007,Eastern Michigan,,,,
Arrington Hicks,CB,Orlando,FL,5'10'',170,,Eastern Michigan,NR, NR, NR,2007,Eastern Michigan,,,,
Derek Gotham,OT,South Lyon,MI,6'4'',270,,Eastern Michigan,NR, NR, NR,2007,Eastern Michigan,,,,
Maurice Goodrum,RB,Detroit,MI,5'8'',190,,Eastern Michigan,, None, None,2007,Eastern Michigan,,,,
David Fox,WR,Muskegon Heights,MI,6'0'',158,,Eastern Michigan,NR, NR, NR,2007,Eastern Michigan,,,,
Marcus English,S,Trotwood,OH,6'1'',180,74.0,Eastern Michigan,,,,2007,Eastern Michigan,,,,
Darrell Davis-Budanauro,OG,Grand Rapids,MI,6'5'',360,74.0,Eastern Michigan,37,,,2007,Eastern Michigan,,,,
Marty Cardwell,S,Flint,MI,6'0'',190,,Eastern Michigan,, None, None,2007,Eastern Michigan,,,,
Bridger Buche,OT,Portland,MI,6'3'',260,,Eastern Michigan,,,,2007,Eastern Michigan,,,,
Adam Brockman,DE,Lebanon,IN,6'3'',230,,Eastern Michigan,,,,2007,Eastern Michigan,,,,
Chris Bittner,OLB,Birmingham,MI,6'1'',195,,Eastern Michigan,NR, NR, NR,2007,Eastern Michigan,,,,
Clay Aeric,RB,Toledo,OH,6'2'',217,,Eastern Michigan,,,,2007,Eastern Michigan,,,,
Mike Zupancic,Video | Scouts Report,Trabuco Canyon,CA,6'4'',240,NR,Eastern Michigan,, None, None,2008,Eastern Michigan,,,,
Desdan Hester,ILB,Atlanta,GA,6'1'',221,Eastern Michigan,,60,,,2010,Eastern Michigan,74.0,NR,NR,
Darius Moffett,ILB,Chicago,IL,6'3'',225,Eastern Michigan,,,,,2010,Eastern Michigan,72.0,,,
Garrett Parker,OG,Tinley Park,IL,6'5'',275,Eastern Michigan,,152,,,2010,Eastern Michigan,71.0,,,
Jordan Erbes,OG,Kettering,OH,6'4'',265,Eastern Michigan,,167,,,2010,Eastern Michigan,70.0,,,
Bob McFadden,OT,Flint,MI,6'7'',280,Eastern Michigan,,,,,2010,Eastern Michigan,67.0,,,
Josh Woods,OG,Cocoa,FL,6'2'',225,Eastern Michigan,,,,,2010,Eastern Michigan,67.0,,,
Terrance Gourdine,WR,Miramar,FL,6'1'',174,Eastern Michigan,,,,,2010,Eastern Michigan,,,,
Kevin Wheeler,WR,Woodbridge,VA,6'0'',166,Eastern Michigan,,NR,,,2010,Eastern Michigan,,NR,NR,
Lincoln Hansen,OT,Omaha,NE,6'6'',300,Eastern Michigan,,,,,2010,Eastern Michigan,,,,
Donald Scott,WR,Apopka,FL,6'1'',174,Eastern Michigan,,,,,2010,Eastern Michigan,,,,
Marcus Penn,S,Columbus,OH,6'1'',190,Eastern Michigan,,NR,,,2010,Eastern Michigan,,NR,NR,
Jeremy Curry,DE,Bolingbrook,IL,6'1'',204,Eastern Michigan,,,,,2010,Eastern Michigan,,,,
Julius Shelby,WR,Hillside,IL,6'5'',190,Eastern Michigan,,,,,2010,Eastern Michigan,,,,
Darrian Lewis,ATH,Pomona,CA,6'1'',170,Eastern Michigan,,NR,,,2010,Eastern Michigan,,,,
Tyler Benz,QB,Park Ridge,IL,6'2'',220,Eastern Michigan,,NR,,,2010,Eastern Michigan,,,,
Doniel Gambrell,TE,Cleveland,OH,6'6'',248,Eastern Michigan,,NR,,,2010,Eastern Michigan,,NR,NR,
Malcolm Thomas,S,McColl,SC,6'0'',175,Eastern Michigan,,,,,2010,Eastern Michigan,,,,
Colin Weingrad,ILB,Plano,TX,6'0'',230,Eastern Michigan,,NR,,,2010,Eastern Michigan,,NR,NR,
Kelip Goodwin,S,South Haven,MI,6'1'',190,Eastern Michigan,,,,,2010,Eastern Michigan,,,,
Jeramy Cutler,DT,Lakewood,CA,5'10'',274,Eastern Michigan,,,,,2010,Eastern Michigan,,,,
Jasper Grimes,DT,Palm Beach Gardens,FL,6'2'',310,Eastern Michigan,,,,,2010,Eastern Michigan,,,,
Keondric Reynolds,WR,Woodbridge,VA,5'10'',178,Eastern Michigan,,,,,2010,Eastern Michigan,,,,
Latarrius Thomas,S,New Smyrna Beach,FL,6'1'',206,Eastern Michigan,,NR,,,2010,Eastern Michigan,,,,
Jabar Westerman,DT,Ontario,CA,6'2'',292,Eastern Michigan,,NR,,,2010,Eastern Michigan,,NR,NR,
Willie Williams,CB,Los Angeles,CA,6'0'',195,Eastern Michigan,,NR,,,2010,Eastern Michigan,,NR,NR,
Sean Cotton,S,Melrose Park,IL,6'1'',195,79.0,Eastern Michigan,22,,,2011,Eastern Michigan,2.0,36,,
Demarius Reed,CB,Chicago,IL,5'10'',158,75.0,Eastern Michigan,,,,2011,Eastern Michigan,3.0,,,
Darius Scott,CB,Chicago,IL,5'9'',152,74.0,Eastern Michigan,,,,2011,Eastern Michigan,3.0,,,
Mark Iannotti,QB,Schaumburg,IL,6'2'',201,69.0,Eastern Michigan,138,,,2011,Eastern Michigan,3.0,,,
Kris Strange,CB,Pickerington,OH,5'11'',175,68.0,Eastern Michigan,115,,,2011,Eastern Michigan,3.0,336,139,
Ryan Brumfield,RB,Pottstown,PA,5'9'',156,,Eastern Michigan,,,,2011,Eastern Michigan,2.0,,,
Tyler Allen,RB,Lansing,MI,5'9'',158,,Eastern Michigan,246,,,2011,Eastern Michigan,2.0,,,
Bronson Hill,RB,Grand Rapids,MI,5'10'',175,,Eastern Michigan,246,,,2011,Eastern Michigan,2.0,,,
Brandon Watson,TE,Peoria,IL,6'5'',247,,Eastern Michigan,,,,2011,Eastern Michigan,,,,
Tyreese Russell,TE,Melrose Park,IL,6'4'',220,,Eastern Michigan,109,,,2011,Eastern Michigan,,,,
Dylan Brooks,TE,Stevensville,MI,6'3'',233,,Eastern Michigan,109,,,2011,Eastern Michigan,,,,
Kevin Johnson,WR,McKeesport,PA,5'11'',180,,Eastern Michigan,NR,,,2011,Eastern Michigan,,,,
Sean Kurtz,ILB,Anaheim,CA,6'0'',235,,Eastern Michigan,,,,2011,Eastern Michigan,,,,
