Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,School,Reg_rank,State_rank,Location,HT,WT
Ryan Wischnefski,OG,Melbourne,FL,6'4'',315,,74.0,Florida Atlantic,39,271, NR,2006,Florida Atlantic,,,,,,
Brian Wischnefski,OG,Melbourne,FL,6'2'',300,,,Florida Atlantic,, NR, NR,2006,Florida Atlantic,,,,,,
Edward Wertepny IV,TE,Tampa,FL,6'5'',215,,,Florida Atlantic,,,,2006,Florida Atlantic,,,,,,
Mauricio Riquer,DT,Plantation,FL,6'4'',275,,,Florida Atlantic,,,,2006,Florida Atlantic,,,,,,
Tavious Polo,CB,Fort Lauderdale,FL,5'10'',146,,,Florida Atlantic,,,,2006,Florida Atlantic,,,,,,
David Muniz,FB,Longwood,FL,5'11'',201,,,Florida Atlantic,NR,,,2006,Florida Atlantic,,,,,,
Michael Lockley,OLB,Orlando,FL,6'3'',220,,,Florida Atlantic,, None, None,2006,Florida Atlantic,,,,,,
C.J. Lee,ILB,Saint Petersburg,FL,6'3'',230,,,Florida Atlantic,,,,2006,Florida Atlantic,,,,,,
Rodney Jones,RB,Dunnellon,FL,6'0'',185,,,Florida Atlantic,,,,2006,Florida Atlantic,,,,,,
Craig Jenkins,OLB,Miami,FL,6'1'',200,,,Florida Atlantic,, None, None,2006,Florida Atlantic,,,,,,
Craig Jackson,OLB,Miami,FL,6'3'',200,,,Florida Atlantic,, None, None,2006,Florida Atlantic,,,,,,
Devon Irwin,OT,Sarasota,FL,6'6'',260,,,Florida Atlantic,NR, NR,,2006,Florida Atlantic,,,,,,
Randy Hunter,DT,Miami,FL,6'3'',260,,,Florida Atlantic,, None, None,2006,Florida Atlantic,,,,,,
Rod Huggins,QB,Moore Haven,FL,6'1'',185,,,Florida Atlantic,, NR, NR,2006,Florida Atlantic,,,,,,
Rob Housler,TE,Converse,TX,6'5'',210,,,Florida Atlantic,, None, None,2006,Florida Atlantic,,,,,,
Tavoris Hill,CB,Miami,FL,5'11'',160,,,Florida Atlantic,,,,2006,Florida Atlantic,,,,,,
Dustin Forston,ILB,Miami,FL,6'1'',200,,,Florida Atlantic,,,,2006,Florida Atlantic,,,,,,
Malik Eugene,S,Tampa,FL,6'3'',185,,,Florida Atlantic,NR, NR, NR,2006,Florida Atlantic,,,,,,
