Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,School,University  ,School  
Jarvis Wilson,ILB,Miami,FL,6'2'',195,,Florida International,,,,,2007,Florida International,,,,,
Brian Valdez,CB,Orlando,FL,5'9'',175,,Florida International,,NR,NR,NR,2007,Florida International,,,,,
Marquis Rolle,WR,Orlando,FL,6'3'',180,,Florida International,,, None, None,2007,Florida International,,,,,
Cody Pellicer,DT,Port Orange,FL,6'4'',215,,Florida International,,,,,2007,Florida International,,,,,
Bryan Mann,QB,Belle Glade,FL,6'2'',195,,Florida International,,69.0,,,2007,Florida International,,,,,
Darold Hughes,QB,Marrero,LA,6'2'',170,,Florida International,,,,,2007,Florida International,,,,,
Shaquan Hicks,OG,Sandersville,GA,6'4'',325,,Florida International,,,,,2007,Florida International,,,,,
Ernest Goodley,OT,Plantation,FL,6'3'',260,,Florida International,,,,,2007,Florida International,,,,,
Anthony Gaitor,CB,Miami,FL,5'10'',175,,Florida International,,NR,NR,NR,2007,Florida International,,,,,
Greg Ellingson,WR,Tampa,FL,6'3'',195,,Florida International,,NR,NR,NR,2007,Florida International,,,,,
Chris Cawthon,OG,Loganville,GA,6'4'',320,,Florida International,,,,,2007,Florida International,,,,,
Curtis Bryant,DT,Miami,FL,6'2'',270,,Florida International,,,,,2007,Florida International,,,,,
Ricky Booker,OLB,Orlando,FL,6'2'',237,76.0,Florida International,,30,NR,NR,2007,Florida International,,,,,
Kendall Berry,QB,Haines City,FL,6'0'',185,,Florida International,,,,,2007,Florida International,,,,,
Taylor Beasley,QB,Winter Park,FL,6'2'',200,,Florida International,,124,,,2007,Florida International,,,,,
Colt Anderson,QB,Omaha,NE,6'4'',195,,Florida International,,,,,2007,Florida International,,,,,
Donnell Wilson,DT,Naples,FL,6'0'',265,,,Florida International,,,,2008,Florida International,,,,,
Kambriel Willis,OLB,Miami,FL,6'0'',200,,,Florida International,,,,2008,Florida International,,,,,
Kenneth White,DT,Miami,FL,6'2'',240,,,Florida International,,,,2008,Florida International,,,,,
Emmanuel Sourrin,CB,Miami,FL,5'10'',160,,,Florida International,,,,2008,Florida International,,,,,
Kasey Smith,DT,Daytona Beach,FL,6'4'',250,,,Florida International,,,,2008,Florida International,,,,,
Jercorey Quarterman,S,Miramar,FL,6'2'',185,,,Florida International,, None, None,2008,Florida International,,,,,
Andre Pound,OG,Sebastian River,FL,6'3'',280,,,Florida International,,,,2008,Florida International,,,,,
Darriet Perry,RB,Valdosta,GA,5'9'',187,,76.0,Florida International,,,,2008,Florida International,,,,,
Junior Mertile,WR,North Miami,FL,"6'0""",179,,73.0,Florida International,161,474,NR,2008,Florida International,,,,,
Marcelus Manear,WR,New Berlin,NY,6'1'',190,,,Florida International,,,,2008,Florida International,,,,,
Cedric Mack,DT,Miami,FL,6'4'',335,,,Florida International,,,,2008,Florida International,,,,,
Cory Lattimore,OLB,Torrance,CA,6'2'',220,,,Florida International,NR,NR,NR,2008,Florida International,,,,,
James Jones,DE,Lakeland,FL,6'2'',218,,77.0,Florida International,50,236,NR,2008,Florida International,,,,,
Milhomme Jean-Charles,DE,Palm Bay,FL,6'3'',230,,,Florida International,,,,2008,Florida International,,,,,
Jonathan Jackson,DE,Miami,FL,6'3'',216,,72.0,Florida International,123,,,2008,Florida International,,,,,
T.Y. Hilton,WR,Miami,FL,5'10'',175,,,Florida International,,,,2008,Florida International,,,,,
Joey Harris,TE,Chiefland,FL,6'3'',230,,,Florida International,NR,NR,NR,2008,Florida International,,,,,
A.J. Grant,OLB,Jacksonville,FL,6'0'',190,,76.0,Florida International,54,,,2008,Florida International,,,,,
Chuck Grace,S,Tampa,FL,5'11'',185,,,Florida International,,,,2008,Florida International,,,,,
Winston Fraser,OLB,Miami,FL,6'2'',225,,,Florida International,,,,2008,Florida International,,,,,
Aaron Davis,ILB,Bartow,FL,6'0'',240,,,Florida International,,,,2008,Florida International,,,,,
Troy Dannehower,QB,Daytona Beach,FL,6'1'',213,,,Florida International,NR,,,2008,Florida International,,,,,
Derrick Clark,CB,Apopka,FL,6'1'',175,,77.0,Florida International,44,269,NR,2008,Florida International,,,,,
Chris Charles,S,Coral Springs,FL,5'11'',175,,,Florida International,,,,2008,Florida International,,,,,
Franklin Brown,OLB,Miami,FL,6'2'',170,,68.0,Florida International,126,,,2008,Florida International,,,,,
Stephen Bailey,OT,Boynton Beach,FL,6'6'',265,,,Florida International,NR,,,2008,Florida International,,,,,
ATH,Miami,FL,5'11'',167.0,78,,Florida International,,,,,2009,Florida International,,,,,
S,Miami,FL,5'11'',173.0,77,,Florida International,,,,,2009,Florida International,,,,,
OG,Miami,FL,6'2'',260.0,76,,Florida International,,,,,2009,Florida International,,,,,
OG,Belle Glade,FL,6'1'',249.0,76,,Florida International,,,,,2009,Florida International,,,,,
OLB,Apopka,FL,5'11'',200.0,76,,Florida International,,,,,2009,Florida International,,,,,
OT,Johnstown,PA,6'4'',287.0,75,,Florida International,,,,,2009,Florida International,,,,,
RB,Miami,FL,5'8'',175.0,74,,Florida International,,,,,2009,Florida International,,,,,
K,Naples,FL,6'1'',185.0,74,,Florida International,,,,,2009,Florida International,,,,,
DE,Chicago Heights,IL,6'2'',237.0,74,,Florida International,,,,,2009,Florida International,,,,,
OLB,Miami,FL,6'0'',191.0,73,,Florida International,,,,,2009,Florida International,,,,,
