Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,University ,Location,Grades,School
Justin Williams,WR,Folkston,GA,6'2'',183,80.0,Florida,,22,61,12,2006,Florida,,,,,,
Mon Williams,RB,Mesquite,TX,6'1'',190,82.0,Florida,,83rd,,,2006,Florida,,,,,,
Chevon Walker,RB,Fort Myers,FL,5'11'',185,81.0,Florida,,17,,,2006,Florida,,,,,,
Bryan Thomas,CB,Zephyrhills,FL,6'3'',190,71.0,Florida,,74,,,2006,Florida,,,,,,
Tim Tebow,QB,Saint Augustine,FL,6'3'',225,90.0,Florida,,4,4, None,2006,Florida,,,,,,
Brandon Spikes,ILB,Shelby,NC,6'3'',227,81.0,Florida,,,,,2006,Florida,,,,,,
Terron Sanders,OT,Bradenton,FL,6'3'',307,76.0,Florida,,40,,,2006,Florida,,,,,,
Derrick Robinson,CB,Gainesville,FL,5'11'',170,,Florida,,NR,,,2006,Florida,,,,,,
Jacques Rickerson,CB,Saint Augustine,FL,5'11'',175,80.0,Florida,,13,53, NR,2006,Florida,,,,,,
Trent Pupello,TE,Tampa,FL,6'3'',240,77.0,Florida,,27,148, NR,2006,Florida,,,,,,
Wondy Pierre-Louis,CB,Naples,FL,6'0'',176,,Florida,,,,,2006,Florida,,,,,,
Lawrence Marsh,DE,Augusta,GA,6'5'',260,74.0,Florida,,,,,2006,Florida,,,,,,
A.J. Jones,ILB,Tampa,FL,6'2'',195,78.0,Florida,,15,,,2006,Florida,,,,,,
Carl Johnson,OT,Durham,NC,6'6'',325,88.0,Florida,,3.0, NR, NR,2006,Florida,,,,,,
Brandon James,RB,Saint Augustine,FL,5'6'',167,71.0,Florida,,,,,2006,Florida,,,,,,
Maurice Hurt,OG,Milledgeville,GA,6'4'',320,75.0,Florida,,29,,,2006,Florida,,,,,,
Jamar Hornsby,S,Jacksonville,FL,6'4'',195,83.0,Florida,,6,,,2006,Florida,,,,,,
Corey Hobbs,DT,Oviedo,FL,6'5'',305,80.0,Florida,,11,,,2006,Florida,,,,,,
Percy Harvin,WR,Virginia Beach,VA,6'1'',188,93.0,Florida,,1, None, None,2006,Florida,,,,,,
Marcus Gilbert,OT,Fort Lauderdale,FL,6'6'',275,81.0,Florida,,9,43, None,2006,Florida,,,,,,
Jarred Fayson,QB,Tampa,FL,6'1'',195,78.0,Florida,,18,,,2006,Florida,,,,,,
Dustin Doe,OLB,Jasper,FL,6'1'',210,81.0,Florida,,8,,,2006,Florida,,,,,,
Jermaine Cunningham,DE,Stone Mountain,GA,6'3'',220,87.0,Florida,,3,14,3,2006,Florida,,,,,,
Riley Cooper,S,Clearwater,FL,6'4'',195,80.0,Florida,,16,62, None,2006,Florida,,,,,,
Jim Barrie,OT,Tampa,FL,6'6'',295,87.0,Florida,,4,,,2006,Florida,,,,,,
Brandon Antwine,DT,Garland,TX,6'1'',285,81.0,Florida,,, NR, 116th,2006,Florida,,,,,,
Markihe Anderson,CB,Fort Myers,FL,5'10'',172,80.0,Florida,,16,70, NR,2006,Florida,,,,,,
Major Wright,S,Fort Lauderdale,FL,6'1'',204,80,Florida,,,,,2007,Florida,,90,,,,
Paul Wilson,WR,Lakeland,FL,6'1'',175,70,Florida,,147,,,2007,Florida,,,,,,
James Wilson,OG,Saint Augustine,FL,6'5'',305,82,Florida,,1.0,,,2007,Florida,,,,,,
Bo Williams,RB,Oakland Park,FL,6'1'',200,79,Florida,,11,,,2007,Florida,,,,,,
Steve Wilks,OLB,Lakeland,FL,6'2'',195,70,Florida,,,,,2007,Florida,,,,,,
Bryan Waggener,QB,Chino,CA,6'4'',230,NR,Florida,,,,,2007,Florida,,,,,,
Justin Trattou,DE,Ramsey,NJ,Don Bosco High School,6'4'',250,79,Florida,,,,2007,Florida,,141,,,,
Deonte Thompson,WR,Belle Glade,FL,Glades Central High School,6'0'',186,82,Florida,32,,,2007,Florida,,,,,,
Chris Rainey,RB,Lakeland,FL,5'8'',165,82,Florida,,,,,2007,Florida,,,,,,
Maurkice Pouncey,OG,Lakeland,FL,6'4'',265,79,Florida,,9,,,2007,Florida,NR,NR,,,,
