Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School
Osahon Tongo,ILB,Naperville,IL,6'2'',225,75,Georgia Tech,,33,58, NR,2006,Georgia Tech,,,
Demaryius Thomas,WR,Dublin,GA,6'4'',205,73,Georgia Tech,,100,294,61,2006,Georgia Tech,,,
Dominique Reese,WR,Auburn,AL,5'11'',170,72,Georgia Tech,,115,335,36,2006,Georgia Tech,,,
Lawrence Marius,CB,Key West,FL,5'10'',165,77,Georgia Tech,,27,,,2006,Georgia Tech,,,
Quincy Kelly,RB,Decatur,GA,6'1'',225,NR,Georgia Tech,,NR,,,2006,Georgia Tech,,,
DeRon Jasper,CB,Dunwoody,GA,6'3'',195,NR,Georgia Tech,,, None, None,2006,Georgia Tech,,,
Byron Ingram,QB,Stone Mountain,GA,6'5'',185,72,Georgia Tech,,90,,,2006,Georgia Tech,,,
Robert Hall,DE,Hawkinsville,GA,6'3'',215,77,Georgia Tech,,35,,,2006,Georgia Tech,,,
Sedric Griffin,ILB,Winnsboro,SC,5'10'',220,NR,Georgia Tech,,, None, None,2006,Georgia Tech,,,
Jamaal Evans,RB,Irving,TX,5'8'',200,72,Georgia Tech,,98,,,2006,Georgia Tech,,,
Correy Earls,WR,Macon,GA,6'0'',182,68,Georgia Tech,,154,420,89,2006,Georgia Tech,,,
Trevor Bray,FB,Chesapeake,VA,6'1'',220,68,Georgia Tech,,, NR, NR,2006,Georgia Tech,,,
Shane Bowen,OLB,Pickerington,OH,6'4'',210,NR,Georgia Tech,,, None, None,2006,Georgia Tech,,,
Austin Barrick,TE,Moody,AL,6'3'',240,76,Georgia Tech,,33,,,2006,Georgia Tech,,,
Ben Anderson,DT,Aiken,SC,6'3'',260,77,Georgia Tech,,28,114, NR,2006,Georgia Tech,,,
Clyde Yandell,OT,Ponte Vedra Beach,FL,6'5'',300,74,Georgia Tech,,,,,2007,Georgia Tech,,,
Willie White,S,Kingsland,GA,,6'3'',175,77,Georgia Tech,36,,,2007,Georgia Tech,,,
Logan Walls,DT,Dawsonville,GA,,6'2'',270,77,Georgia Tech,26,,,2007,Georgia Tech, NR, NR,
Steven Threet,QB,Adrian,MI,,6'5'',210,75,Georgia Tech,,,,2007,Georgia Tech,,,
Jerrard Tarrant,S,Carrollton,GA,,6'0'',185,79,Georgia Tech,,,,2007,Georgia Tech,,,
Albert Rocker,DE,Harvest,AL,,6'1'',200,76,Georgia Tech,49,,,2007,Georgia Tech,,,
Michael Peterson,CB,Tampa,FL,,5'11'',190,68,Georgia Tech,,,,2007,Georgia Tech,,,
Jason Peters,DE,Baton Rouge,LA,,6'4'',260,79,Georgia Tech,22,,,2007,Georgia Tech,,,
Joshua Nesbitt,QB,Greensboro,GA,,6'2'',205,77,Georgia Tech,37,,,2007,Georgia Tech,,,
Derrick Morgan,DE,Coatesville,PA,,6'4'',260,79,Georgia Tech,15.0,,,2007,Georgia Tech,,,
Tyler Melton,WR,Houston,TX,,6'1'',170,71,Georgia Tech,,,,2007,Georgia Tech,,,
Roddy Jones,RB,Chamblee,GA,,5'9'',184,73,Georgia Tech,106,,,2007,Georgia Tech,,,
Brad Jefferson,OLB,Wrightsville,GA,,6'1'',205,71,Georgia Tech,73,,,2007,Georgia Tech,,,
Kyle Jackson,ILB,McDonough,GA,,6'0'',225,70,Georgia Tech,,,,2007,Georgia Tech,,,
Joseph Gilbert,OG,Cartersville,GA,,6'4'',280,76,Georgia Tech,NR,,,2007,Georgia Tech,21,NR,
Jonathan Dwyer,RB,Marietta,GA,,6'0'',200,81,Georgia Tech,10,,,2007,Georgia Tech,NR,NR,
D. J. Donley,WR,Folkston,GA,,6'4'',205,78,Georgia Tech,42,,,2007,Georgia Tech,,,
Nick Claytor,OT,Gainesville,GA,,6'6'',312,79,Georgia Tech,14,,,2007,Georgia Tech,,,
Mario Butler,S,Saint Augustine,FL,,6'1'',185,74,Georgia Tech,NR,,,2007,Georgia Tech,NR,NR,
Morgan Burnett,WR,College Park,GA,,6'2'',185,79,Georgia Tech,,,,2007,Georgia Tech,,,
Marcus Wright,RB,San Antonio,TX,5'6'',163,77.0,Georgia Tech,,,,,2008,Georgia Tech,,,
Antonio Wilson,DE,Decatur,GA,6'5'',220,,Georgia Tech,,NR,,,2008,Georgia Tech,NR,NR,
Richard Watson,RB,Tallahassee,FL,6'0'',227,78.0,Georgia Tech,,63,,,2008,Georgia Tech,202,NR,
Tevin Washington,QB,Wetumpka,AL,6'1'',205,,Georgia Tech,,,,,2008,Georgia Tech,,,
Omoregie Uzzi,OG,Chamblee,GA,6'4'',298,78.0,Georgia Tech,,14,,,2008,Georgia Tech,,,
Cooper Taylor,S,Atlanta,GA,6'3'',175,77.0,Georgia Tech,,36,,,2008,Georgia Tech,,,
Steven Sylvester,OLB,McDonough,GA,6'2'',211,77.0,Georgia Tech,,50,,,2008,Georgia Tech,258,,
Philip Smith,OT,Tampa,FL,6'5'',270,,Georgia Tech,,NR,,,2008,Georgia Tech,,,
Quentin Sims,WR,Cincinnati,OH,6'3'',180,,Georgia Tech,,,,,2008,Georgia Tech,,,
Jaybo Shaw,QB,Flowery Branch,GA,6'0'',176,74.0,Georgia Tech,,426,,,2008,Georgia Tech,,,
Kamaron Riley,S,Hawkinsville,GA,6'1'',180,76.0,Georgia Tech,,44,,,2008,Georgia Tech,,,
Rashaad Reid,CB,Saint Augustine,FL,5'10'',169,75.0,Georgia Tech,,59,,,2008,Georgia Tech,354,,
Embry Peeples,RB,Orlando,FL,5'9'',175,76.0,Georgia Tech,,302,,,2008,Georgia Tech,92,,
Malcolm Munroe,ATH,Miami,FL,6'3'',195,80.0,Georgia Tech,,20,,,2008,Georgia Tech,83,NR,
Nick McRae,OC,Dublin,GA,6'4'',289,74.0,Georgia Tech,,17,,,2008,Georgia Tech,,,
Daniel McKayhan,WR,Lithonia,GA,6'0'',180,,Georgia Tech,,,,,2008,Georgia Tech,,,
B.J. Machen,OLB,Hilliard,OH,6'0'',221,76.0,Georgia Tech,,62,,,2008,Georgia Tech, NR, NR,
Jon Lockhart,CB,Blountstown,FL,6'0'',185,77.0,Georgia Tech,,34,,,2008,Georgia Tech,225,NR,
Brandon Leslie,S,Fresno,CA,5'11'',194,76.0,Georgia Tech,,46,,,2008,Georgia Tech,,,
T.J. Barnes,OT,Enterprise,AL,6'5'',320,77.0,Georgia Tech,,51,,,2008,Georgia Tech,,,
Will Jackson,OG,Knoxville,TN,6'4'',280,,80,Georgia Tech,8,73, NR,2009,Georgia Tech,,,
David Sims,ATH,Saint Matthews,SC,5'11'',205,,80,Georgia Tech,20,,,2009,Georgia Tech,,,
J.C. Lanier,DT,Twin City,GA,6'3'',340,,79,Georgia Tech,24,,,2009,Georgia Tech,,,
Izaan Cross,DE,Flowery Branch,GA,6'3'',253,,79,Georgia Tech,28,,,2009,Georgia Tech,,,
Roderick Sweeting,S,Locust Grove,GA,6'0'',170,,79,Georgia Tech,27,139,31,2009,Georgia Tech,,,
Daniel Drummond,FB,Flowery Branch,GA,6'3'',230,,79,Georgia Tech,3,150,34,2009,Georgia Tech,,,
Jordan Luallen,QB,Greenwood,IN,6'3'',196,,79,Georgia Tech,,,,2009,Georgia Tech,,,
Antonio Foster,OT,Valdosta,GA,6'4'',285,,78,Georgia Tech,28,173,38,2009,Georgia Tech,,,
Orwin Smith,RB,Phenix City,AL,6'0'',181,,78,Georgia Tech,52,214, None,2009,Georgia Tech,,,
Jemea Thomas,S,Fitzgerald,GA,5'10'',180,,77,Georgia Tech,47,235,49,2009,Georgia Tech,,,
Brandon Watts,OLB,Sandersville,GA,6'2'',230,,77,Georgia Tech,, None, None,2009,Georgia Tech,,,
Lance Richardson,S,Ware Shoals,SC,6'2'',195,,77,Georgia Tech,50,,,2009,Georgia Tech,,,
Euclid Cummings,DE,Roswell,GA,6'3'',230,,77,Georgia Tech,66,299,57,2009,Georgia Tech,,,
Raymond Beno,OG,Newnan,GA,6'1'',278,,77,Georgia Tech,54,,,2009,Georgia Tech,,,
Stephen Hill,WR,Lithonia,GA,6'4'',185,,76,Georgia Tech,90,,,2009,Georgia Tech,,,
Emanuel Dieke,DE,College Park,GA,6'6'',210,,76,Georgia Tech,76,,,2009,Georgia Tech,,,
Jeremy Moore,WR,Austin,TX,6'3'',166,,76,Georgia Tech,104,191,,2009,Georgia Tech,,,
Jay Finch,OG,Kennesaw,GA,6'4'',265,,76,Georgia Tech,400,,,2009,Georgia Tech,,,
Chris Crenshaw,DE,Louisville,GA,6'2'',210,,74,Georgia Tech,, None, None,2009,Georgia Tech,,,
Julian Burnett,ILB,Macon,GA,5'10'',210,,74,Georgia Tech,49,536,106,2009,Georgia Tech,,,
Carl Miles,S,Weston,FL,5'11'',170,,66,Georgia Tech,,,,2009,Georgia Tech,,,
Ryan Ayers,CB,Douglasville,GA,5'10'',175,,80,Georgia Tech,15, NR, NR,2010,Georgia Tech,,,
Shawn Green,DT,Loganville,GA,6'0'',283,,79,Georgia Tech,24, None, None,2010,Georgia Tech,,,
Denzel McCoy,DT,Duluth,GA,6'4'',270,,79,Georgia Tech,27, None, None,2010,Georgia Tech,,,
Fred Holton,S,Thomasville,GA,5'11'',193,,79,Georgia Tech,23,,,2010,Georgia Tech,,,
Anthony Williams,DE,McDonough,GA,6'4'',226,,78,Georgia Tech,53, None, None,2010,Georgia Tech,,,
Isaiah Johnson,S,Tyrone,GA,6'1'',170,,78,Georgia Tech,39, NR, NR,2010,Georgia Tech,,,
Louis Young,CB,Olney,MD,6'0'',188,,78,Georgia Tech,,,,2010,Georgia Tech,,,
Morgan Bailey,OG,Loganville,GA,6'4'',285,,77,Georgia Tech,,,,2010,Georgia Tech,,,
B.J. Bostic,CB,Louisville,GA,5'10'',161,,77,Georgia Tech,37, None, None,2010,Georgia Tech,,,
Jeremiah Attaochu,OLB,Washington,DC,6'3'',224,,77,Georgia Tech,56,,,2010,Georgia Tech,,,
Charles Perkins,RB,Suwanee,GA,6'0'',190,,77,Georgia Tech,60, None, None,2010,Georgia Tech,,,
Catlin Alford,OG,Adairsville,GA,6'3'',275,,76,Georgia Tech,45, NR, NR,2010,Georgia Tech,,,
Quayshawn Nealy,OLB,Lakeland,FL,6'0'',204,,76,Georgia Tech,,,,2010,Georgia Tech,,,
Jake Skole,ATH,Roswell,GA,6'1'',185,,76,Georgia Tech,76,,,2010,Georgia Tech,,,
Synjyn Days,ATH,Powder Springs,GA,6'1'',199,,74,Georgia Tech,153,,,2010,Georgia Tech,,,
Justin Moore,K,Atlanta,GA,5'10'',160,,72,Georgia Tech,46,,,2010,Georgia Tech,,,
Vad Lee,ATH,Durham,NC,6'2'',195.0,81,,Georgia Tech,,16,14,2011,Georgia Tech,,,
Chris Milton,ATH,Folkston,GA,5'11'',172.0,78,,Georgia Tech,,58,43,2011,Georgia Tech,,,
Nick Menocal,OLB,Miami,FL,6'2'',235.0,78,,Georgia Tech,47,,,2011,Georgia Tech,,,
Errin Joe,OG,Lakeland,FL,6'2'',286.0,78,,Georgia Tech,31,222,NR,2011,Georgia Tech,,,
Jamal Golden,ATH,Wetumpka,AL,6'0'',180.0,78,,Georgia Tech,68,231,NR,2011,Georgia Tech,,,
Anthony Harrell,ILB,Tampa,FL,6'1'',226.0,78,,Georgia Tech,27,,,2011,Georgia Tech,,,
Tremayne McNair,OLB,Jacksonville,NC,6'1'',220.0,78,,Georgia Tech,61,,,2011,Georgia Tech,,,
Bryan Chamberlain,OT,Albany,GA,6'4'',280.0,77,,Georgia Tech,61,300,66,2011,Georgia Tech,,,
Jeff Greene,ATH,Fayetteville,GA,6'5'',192.0,77,,Georgia Tech,96,370,81,2011,Georgia Tech,,,
