Name,Pos,City,State,Height,Weight,Stars,Grade,University ,Pos_rank,Reg_rank,State_rank,Year,Team,University  , Reg_rank, State_rank,University,School
Brandon Wood,DE,Buchanan, GA,6'2'',240,80.0,Georgia,,10,52,9,2006,Georgia,,,,,
Tony Wilson,WR,Daytona Beach, FL,6'1'',180,81.0,Georgia,,17,,,2006,Georgia,,,,,
Naderris Ward,TE,Oakland, CA,6'5'',240,80.0,Georgia,,133,,,2006,Georgia,,,,,
Kiante Tripp,OT,Atlanta, GA,6'5'',244,80.0,Georgia,,13,67,14,2006,Georgia,,,,,
Matthew Stafford,QB,Highland Park, TX,6'3'',210,93.0,Georgia,,1,,,2006,Georgia,,,,,
Kevin Perez,OG,Miami, FL,6'3'',285,72.0,Georgia,,47,,,2006,Georgia,,,,,
Fred Munzenmaier,FB,Norcross, GA,6'2'',225,72.0,Georgia,,17,335,71,2006,Georgia,,,,,
Knowshon Moreno,RB,Middletown, NJ,5'11'',195,81.0,Georgia,,,,,2006,Georgia,,,,,
John Miller,OT,Cartersville, GA,6'6'',270,72.0,Georgia,,62,,,2006,Georgia,,,,,
Prince Miller,CB,Duncan, SC,5'10'',185,81.0,Georgia,,11,,,2006,Georgia,,,,,
Michael Lemon,DE,Macon, GA,6'4'',255,76.0,Georgia,,40,,,2006,Georgia,,,,,
Reshad Jones,S,Atlanta, GA,6'2'',177,88.0,Georgia,,5,11,2,2006,Georgia,,,,,
Akeem Hebron,OLB,Wheaton, MD,6'2'',192,84.0,Georgia,,,,,2006,Georgia,,,,,
Ben Harden,OT,Perry, GA,6'3'',295,77.0,Georgia,,26,,,2006,Georgia,,,,,
Clifton Geathers,OT,Hemingway, SC,6'7'',265,78.0,Georgia,,20,94,NR,2006,Georgia,,,,,
Darryl Gamble,S,Bainbridge, GA,6'2'',217,82.0,Georgia,,,,,2006,Georgia,,,,,
Kris Durham,WR,Calhoun, GA,6'5'',193,75.0,Georgia,,66,200,41,2006,Georgia,,,,,
Demarcus Dobbs,TE,Savannah, GA,6'3'',240,69.0,Georgia,,387,65,78,2006,Georgia,,,,,
Darius Dewberry,OLB,Fort Valley, GA,6'3'',220,,Georgia,,,,,2006,Georgia,,,,,
Akeem Dent,ILB,Atlanta, GA,6'3'',210,80.0,Georgia,,8,65,13,2006,Georgia,,,,,
Chris Davis,TE,Jefferson, GA,6'4'',240,74.0,Georgia,,42,,,2006,Georgia,,,,,
Josh Davis,OT,Tylertown, MS,6'6'',295,,Georgia,,,,,2006,Georgia,,,,,
Ricardo Crawford,DT,Cerro Gordo, NC,6'1'',299,77.0,Georgia,,31,,,2006,Georgia,,,,,
Shaun Chapas,RB,Jacksonville, FL,6'3'',220,74.0,Georgia,,74,,,2006,Georgia,,,,,
Quintin Banks,S,Warner Robins, GA,6'4'',190,82.0,Georgia,,10,,,2006,Georgia,,,,,
Geno Atkins,DT,Fort Lauderdale, FL,6'2'',260,73.0,Georgia,,50,277,NR,2006,Georgia,,,,,
Justin Anderson,OT,Ocilla, GA,6'4'',330,82.0,Georgia,,6,25,5,2006,Georgia,,,,,
Asher Allen,CB,Tucker, GA,5'11'',200,82.0,Georgia,,5,27,6,2006,Georgia,,,,,
Jarius Wynn,DE,Lincolnton,GA,6'4'',270,,,,,,,2007,Georgia,Georgia  , None, None,,
Aron White,TE,Columbia,MO,6'4'',215,,79.0,,,,,2007,Georgia,Georgia  ,,,,
Charles White,OLB,Blythewood,SC,6'0'',215,,79.0,,6,,,2007,Georgia,Georgia  ,,,,
Vince Vance,OT,Hinesville,GA,6'7'',310,,,,NR,,,2007,Georgia,Georgia  ,,,,
Israel Troupe,WR,Tifton,GA,6'1'',215,,83.0,,6,,,2007,Georgia,Georgia  , NR, NR,,
Trinton Sturdivant,OT,Wadesboro,NC,6'5'',280,,80.0,,8,,,2007,Georgia,Georgia  , None,95,,
Tanner Strickland,OG,Nashville,GA,6'4'',315,,77.0,,17,,,2007,Georgia,Georgia  , None, None,,
Chris Little,OT,Jeffersonville,GA,6'5'',340,,79.0,,15,,,2007,Georgia,Georgia  , NR, NR,,
John Knox,S,Statesboro,GA,6'2'',190,,77.0,,35,,,2007,Georgia,Georgia  , NR, NR,,
Caleb King,RB,Norcross,GA,5'10'',200,,82.0,,,,,2007,Georgia,Georgia  ,,,,
Corey Irvin,DT,Milledgeville,GA,6'4'',275,,,,,,,2007,Georgia,Georgia  , None,,,
Justin Houston,DE,Statesboro,GA,6'3'',222,,78.0,,,,,2007,Georgia,Georgia  ,,,,
Walter Hill,WR,Gainesville,GA,6'4'',200,,75.0,,,,,2007,Georgia,Georgia  ,,,,
Scott Haverkamp,OG,Silver Lake,KS,6'5'',300,,,,NR,,,2007,Georgia,Georgia  , NR, NR,,
Ben Harden,OG,Perry,GA,6'3'',290,,77.0,,,,,2007,Georgia,Georgia  , None, None,,
Logan Gray,QB,Columbia,MO,6'2'',190,,82.0,,40th,,,2007,Georgia,Georgia  , NR, NR,,
Bruce Figgins,TE,Columbus,GA,6'4'',240,,76.0,,27,,,2007,Georgia,Georgia  ,,,,
Rennie Curran,ILB,Lilburn,GA,5'10'',200,,79.0,,8,,,2007,Georgia,Georgia  ,,,,
Vance Cuff,CB,Moultrie,GA,5'11'',175,,79.0,,16,,,2007,Georgia,Georgia  ,,,,
Drew Butler,K,Suwanee,GA,6'0'',195,,,,,,,2007,Georgia,Georgia  ,,,,
Clint Boling,DE,Alpharetta,GA,6'5'',270,,71.0,,112,,,2007,Georgia,Georgia  , None, None,,
Neland Ball,DE,Jackson,GA,6'6'',215,,78.0,,34,,,2007,Georgia,Georgia  ,,,,
Justin Anderson,OT,Ocilla,GA,6'4'',330,,82.0,,,,,2007,Georgia,Georgia  ,,,,
Aaron Murray,QB,Tampa,FL,6'1'',198,6,86,,13,,,2009,Georgia,,6,3,Georgia,
Marlon Brown,WR,Memphis,TN,6'5'',205,5,84,,3,,,2009,Georgia,,,,Georgia,
Branden Smith,CB,Atlanta,GA,5'11'',170,4,83,,4,,,2009,Georgia,,19,2,Georgia,
Austin Long,OT,Memphis,TN,6'5'',270,5,83,,,,,2009,Georgia,,,,Georgia,
Chris Burnette,OG,LaGrange,GA,6'2'',300,2,82,,2,,,2009,Georgia,,30,6,Georgia,
Washaun Ealey,RB,Twin City,GA,5'11'',205,8,82,,8,,,2009,Georgia,,37,8,Georgia,
Zach Mettenberger,QB,Watkinsville,GA,6'5'',229,9,81,,9,,,2009,Georgia,,,,Georgia,
Dexter Moody,OLB,Twin City,GA,6'2'',205,10,81,,130,,,2009,Georgia,,,,Georgia,
Abry Jones,DE,Warner Robins,GA,6'3'',260,22,80,,22,,,2009,Georgia,,98,18,Georgia,
Michael Gilliard,OLB,Valdosta,GA,6'2'',200,17,79,,17,,,2009,Georgia,,107,19,Georgia,
Jordan Love,ATH,Glen Allen,VA,6'0'',185,30,79,,30,,,2009,Georgia,,,,Georgia,
Arthur Lynch,TE,Dartmouth,MA,6'5'',240,7,79,,7,,,2009,Georgia,,48, NR,Georgia,
Dallas Lee,OG,Buford,GA,6'4'',290,15,79,,15,,,2009,Georgia,,137,30,Georgia,
Montez Robinson,DE,Avon,IN,6'4'',230,32,79,,32,,,2009,Georgia,, NR, NR,Georgia,
Shawn Williams,S,Blakely,GA,6'1'',190,29,79,,29,,,2009,Georgia,,148,33,Georgia,
Orson Charles,TE,Tampa,FL,6'3'',216,15,79,,15,,,2009,Georgia,,150,59,Georgia,
Chase Vasser,OLB,Gainesville,GA,6'3'',205,30,78,,30,,,2009,Georgia,,163,36,Georgia,
Kwame Geathers,OG,Carvers Bay,SC,6'5'',315,30,78,,30,,,2009,Georgia,,,,Georgia,
Derrick Lott,DT,Kennesaw,GA,6'4'',265,44,77,,44,,,2009,Georgia,,,,Georgia,
Rantavious Wooten,ATH,Belle Glade,FL,5'10'',158,78,77,,304,,,2009,Georgia,, None,117,Georgia,
Brandon Bogotay,K,San Diego,CA,6'3'',204,NR,Georgia,,NR,,,2009,Georgia,,,,,
Isaiah Crowell,RB,Columbus,GA,5'11'',210.0,86.0,Carver High School,,4,,,2011,Georgia,,3,1,,
Ray Drew,DE,Thomasville,GA,6'5'',253.0,85.0,Thomas County Central High School,,2,,,2011,Georgia,,,,,
Jay Rome,TE,Valdosta,GA,6'5'',230.0,84.0,Valdosta High School,,1,,,2011,Georgia,,12,3,,
Malcolm Mitchell,WR,Valdosta,GA,6'0'',185.0,81.0,Valdosta High School,,45th,,,2011,Georgia,,,,,
Damian Swann,ATH,Atlanta,GA,6'0'',175.0,81.0,Grady High School,,,,,2011,Georgia,, None, None,,
Christian LeMay,QB,Mint Hill,NC,6'2'',195.0,81.0,Butler High School,,5,,,2011,Georgia,,,,,
Justin Scott-Wesley,WR,Camilla,GA,6'0'',200.0,80.0,Mitchell-Baker High School,,24,,,2011,Georgia,,85,17,,
