Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Star,School, Reg_rank, State_rank, State_rank 
Markus Zusevics,Video | Scouts Report,Arlington Heights,IL,6'5'',260,78.0,Iowa,,,,,2007,Iowa,,,,,
Julian Vandervelde,Video | Scouts Report,Davenport,IN,6'3'',295,,Iowa,,,,,2007,Iowa,,,,,
Abe Satterfield,Video | Scouts Report,Erie,PA,6'1'',175,67.0,Iowa,,67,,,2007,Iowa,,,,,
Tyler Sash,Video | Scouts Report,Oskaloosa,IA,6'1'',185,69.0,Iowa,,NR,NR,NR,2007,Iowa,,,,,
Colin Sandeman,Video | Scouts Report,Bettendorf,IA,6'0'',175,76.0,Iowa,,,,,2007,Iowa,,,,,
Allen Reisner,Video | Scouts Report,Marion,IA,6'3'',220,,Iowa,,,,,2007,Iowa,,,,,
Jevon Pugh,Video | Scouts Report,Naples,FL,5'10'',210,68.0,Iowa,,,,182,2007,Iowa,,,,,
Tyler Nielsen,Video | Scouts Report,Humboldt,IA,6'3'',210,78.0,Iowa,,,,,2007,Iowa,,,,,
Dezman Moses,Video | Scouts Report,Willingboro,NJ,6'2'',215,,Iowa,,,,,2007,Iowa,,,,,
Diaunte Morrow,Video | Scouts Report,Lakewood,OH,5'11'',175,65.0,Iowa,,126,,,2007,Iowa,,,,,
Marvin McNutt,Video | Scouts Report,Hazelwood,MO,6'2'',175,77.0,Iowa,,38,,,2007,Iowa,,,,,
Cody Hundertmark,Video | Scouts Report,Humboldt,IA,6'4'',265,71.0,Iowa,,,,,2007,Iowa,,,,,
Adam Gettis,Video | Scouts Report,Frankfort,IL,6'2'',225,71.0,Iowa,,,,,2007,Iowa,,,,,
Zach Furlong,Video | Scouts Report,Xenia,OH,6'4'',220,73.0,Iowa,,NR,,,2007,Iowa,,,,,
Cedric Everson,Video | Scouts Report,Detroit,MI,6'0'',180,79.0,Iowa,,27,,,2007,Iowa,,,,,
Bruce Davis,Video | Scouts Report,Cleveland,OH,5'11'',225,65.0,Iowa,,106,NR,NR,2007,Iowa,,,,,
Mike Daniels,Video | Scouts Report,Blackwood,NJ,6'1'',230,,Iowa,,,,,2007,Iowa,,,,,
LeBron Daniel,Video | Scouts Report,Cleveland,OH,6'1'',232,,Iowa,,NR,NR,NR,2007,Iowa,,,,,
Jacody Coleman,Video | Scouts Report,Beaumont,TX,6'2'',230,73.0,Iowa,,62,,,2007,Iowa,,,,,
Bryan Bulaga,Video | Scouts Report,Woodstock,IL,6'5'',250,80.0,Iowa,,NR,,,2007,Iowa,,,,,
