Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School
Ian Wolfe,OT,Fort Collins,CO,6'6'',270,80.0,Kansas,,14, NR, NR,2006,Kansas,,,
Carl Wilson,OG,Redlands,CA,6'5'',275,,Kansas,,, None, None,2006,Kansas,,,
John White,DT,Moore,OK,6'3'',275,72.0,Kansas,,57, NR, NR,2006,Kansas,,,
Anthony Webb,S,Dallas,TX,6'1'',190,77.0,Kansas,,47,,,2006,Kansas,,,
Jason Thompson,DE,Dallas,TX,6'6'',240,,Kansas,,,,,2006,Kansas,,,
Jeremy Terry,S,Belle Glade,FL,6'2'',200,,Kansas,,NR, NR, NR,2006,Kansas,,,
Phillip Strozier,CB,Kansas City,MO,6'0'',190,69.0,Kansas,,69.0, None, None,2006,Kansas,,,
Jake Sharp,RB,Salina,KS,5'10'',190,76.0,Kansas,,, None, None,2006,Kansas,,,
Todd Reesing,QB,Lake Travis,TX,5'10'',180,73.0,Kansas,,NR,,,2006,Kansas,,,
Xavier Rambo,WR,Dallas,TX,6'1'',190,72.0,Kansas,,113, NR, NR,2006,Kansas,,,
Maxwell Onyegbule,OLB,Arlington,TX,6'4'',215,,Kansas,,,,,2006,Kansas,,,
Olaitan Oguntodu,S,Mesquite,TX,6'1'',190,73.0,Kansas,,, None, None,2006,Kansas,,,
Mike McCoy,CB,San Bernardino,CA,5'11'',185,,Kansas,,NR,,,2006,Kansas,,,
John Marshall,OC,Mount Vernon,TX,6'3'',280,72.0,Kansas,,8, None, None,2006,Kansas,,,
Dakota Lewis,OLB,Sulphur,OK,6'0'',195,74.0,Kansas,,38, None, None,2006,Kansas,,,
Tyler Lawrence,QB,Shawnee,KS,6'2'',200,,Kansas,,,,,2006,Kansas,,,
D'Marcus Lang,RB,Scurry,TX,6'2'',205,77.0,Kansas,,, None, None,2006,Kansas,,,
Marc Jones,TE,Norfolk,VA,6'4'',225,,Kansas,,120,,,2006,Kansas,,,
Tertavian Ingram,WR,Tampa,FL,6'0'',175,71.0,Kansas,,, None, None,2006,Kansas,,,
Jamal Greene,DE,Kansas City,KS,6'4'',250,71.0,Kansas,,,,,2006,Kansas,,,
Bradley Dedeaux,TE,Midwest City,OK,6'3'',245,,Kansas,,,,,2006,Kansas,,,
Sal Capra,OLB,Kansas City,MO,6'3'',245,68.0,Kansas,,NR,,,2006,Kansas,,,
Blake Bueltel,CB,Topeka,KS,6'0'',175,,Kansas,,,,,2006,Kansas,,,
Donte Bean,RB,Garland,TX,5'8'',178,73.0,Kansas,,, None, None,2006,Kansas,,,
Rameses Arceo,OG,Norwalk,CA,6'4'',295,,Kansas,,,,,2006,Kansas,,,
Jonathan Wilson,WR,Houston,TX,6'3'',185,0,0,Kansas,,,,2007,Kansas,,,
A.J. Steward,QB,Saint Louis,MO,6'4'',210,0,0,Kansas,NR,,,2007,Kansas,,,
Justin Springer,OLB,Los Fresnos,CA,6'4'',220,0,0,Kansas,,,,2007,Kansas,,,
Jeff Spikes,OT,Painesville,OH,6'6'',315,0,0,Kansas,NR,,,2007,Kansas,,,
Patrick Resby,S,Corsicana,TX,6'2'',195,0,0,Kansas,,,,2007,Kansas,,,
Ryan Murphy,WR,Lawrence,KS,5'10'',170,67,0,Kansas,,,,2007,Kansas,,,
Brian Murphy,RB,Lawrence,KS,5'8'',165,67,0,Kansas,201,,,2007,Kansas,NR,NR,
Aaron Mack,DE,Phoenix,AZ,6'4'',245,0,0,Kansas,,,,2007,Kansas,,,
Rell Lewis,RB,Muskogee,OK,5'10'',180,69,0,Kansas,,,,2007,Kansas,,,
Jake Laptad,DE,Jenks,OK,6'4'',225,69,0,Kansas,133,,,2007,Kansas,,,
Richard Johnson,DE,Jefferson City,MO,6'4'',255,0,0,Kansas,,,,2007,Kansas,,,
Stephen Hoge,K,Oklahoma City,OK,6'4'',220,0,0,Kansas,16,,,2007,Kansas,,,
Jason Hind,OT,San Antonio,TX,6'4'',290,0,0,Kansas,,,,2007,Kansas,,,
Jeremiah Hatch,OC,Dallas,TX,6'3'',300,76,0,Kansas,13,,,2007,Kansas,NR,NR,
Chet Hartley,OG,El Dorado,KS,6'4'',310,0,0,Kansas,NR,,,2007,Kansas,NR,NR,
