Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,School,Grade  , Reg_rank, State_rank
Jon Simpson,DE,Chatham,VA,6'5'',220,,Kent State,, None, None,2006,Kent State,,,,,,,
Dorian Wood,OLB,Austell,GA,6'2'',220,Kent State,,,,,2007,Kent State,,,,,,,
Alan Vanderink,WR,Hiram,OH,5'8'',170,Kent State,,,,,2007,Kent State,,,,,,,
Byron Tyson,OLB,Greenville,NC,5'11'',210,Kent State,,NR,,,2007,Kent State,,,,,,,
Rashad Tukes,WR,Riverdale,GA,6'2'',170,Kent State,,,,,2007,Kent State,,,,,,,
Dwan Thornton,RB,Washington,DC,5'7'',160,Kent State,,NR,,,2007,Kent State,,,,,,,
Xzavier Stewart,DT,Chicago,IL,6'1'',260,Kent State,,,,,2007,Kent State,,,,,,,
Paul Stefanik,OLB,Harrison City,PA,6'1'',220,Kent State,,,,,2007,Kent State,,,,,,,
Jon Simpson,DE,Chatham,VA,6'5'',220,Kent State,,,,,2007,Kent State,,,,,,,
Monte Simmons,DE,Pittsburgh,PA,6'3'',220,Kent State,,,,,2007,Kent State,,,,,,,
Aaron Robinson,WR,Ellenwood,GA,5'10'',175,Kent State,,,,,2007,Kent State,,,,,,,
Ryan Randolph,WR,Lewis Center,OH,6'3'',180,Kent State,,,,,2007,Kent State,,,,,,,
Michael Page,OT,Dayton,OH,6'4'',285,Kent State,,NR,,,2007,Kent State,,,,,,,
Chase Morris,OG,Raleigh,NC,6'2'',260,Kent State,,NR,,,2007,Kent State,,NR,NR,,,,
Giorgio Morgan,QB,East Point,GA,6'4'',190,Kent State,,,,,2007,Kent State,,,,,,,
Rontez Miles,S,Pittsburgh,PA,6'2'',185,Kent State,,NR,,,2007,Kent State,,NR,NR,,,,
Charles Laster,OT,Austell,GA,6'5'',300,Kent State,,NR,,,2007,Kent State,,,,,,,
Ishmaa'ily Kitchen,DT,Youngstown,OH,6'3'',316,Kent State,,,,,2007,Kent State,, None, None,,,,
Sam Kirkland,CB,Chesapeake,VA,6'0'',180,Kent State,,,,,2007,Kent State,,,,,,,
Vondre Griffin,CB,Pittsburgh,PA,5'10'',170,Kent State,,,,,2007,Kent State,,,,,,,
Andre Flowers,S,Newbern,TN,6'0'',175,Kent State,,NR,,,2007,Kent State,,,,,,,
Mike Fay,OG,Allentown,PA,6'4'',270,Kent State,,,,,2007,Kent State,,,,,,,
Chris Favazzo,DE,Blacklick,OH,6'5'',250,Kent State,,NR,,,2007,Kent State,,,,,,,
Darrius Carter,DT,Torrance,CA,6'5'',265,Kent State,,102,,,2007,Kent State,,,,,,,
Markus Burton,S,Columbus,OH,6'1'',180,Kent State,,,,,2007,Kent State,,,,,,,
Howard Bowens,ILB,Claremont,CA,6'0'',215,Kent State,,NR,,,2007,Kent State,,NR,NR,,,,
Chris Anzevino,DT,Warren,OH,6'2'',305,Kent State,,,,,2007,Kent State,,,,,,,
Josiah Andrews,WR,Greenville,NC,5'10'',155,Kent State,,,,,2007,Kent State,,,,,,,
Tommy Pizzurro,OG,Fort Lauderdale,FL,6'3'',310,75.0,Kent State Golden Flashes,, None, None,2010,Kent State,,,,,,,
