Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank ,Year,Team,State_rank,School, Reg_rank, State_rank,State_rank  ,University ,School  
Al Woods,DT,Elton,LA,6'4'',315,89,,,1,6,NR,2006,LSU,,,,,,,
Keiland Williams,RB,Chatham,VA,6'1'',210,70,,,126,,,2006,LSU,,,,,,,
Zhamal Thomas,OG,New Iberia,LA,6'5'',335,76,,,26,177,,2006,LSU,,,,,,,
Jason Teague,SC,Cartage,TX,6'2'',190,NR,,,,,,2006,LSU,,,,,,,
Mark Snyder,OT,New Orleans,LA,6'7'',260,74,,,48,255,,2006,LSU,,,,,,,
Steven Singleton,OG,Buford,GA,6'3'',285,NR,,,NR,NR,,2006,LSU,,,,,,,
Kelvin Sheppard,ILB,Stone Mountain,GA,6'2'',220,77,,,,,,2006,LSU,,,,,,,
Charles Scott,RB,Jonesboro,LA,6'1'',220,81,,,18,45,,2006,LSU,,,,,,,
Perry Riley,OLB,Stone Mountain,GA,6'2'',215,77,,,17,,,2006,LSU,,,,,,,
Derrick Odom,OLB,Jackson,MS,6'3'',215,77,,,,,,2006,LSU,,,,,,,
Jacob O'Hair,OC,JC,Walnut,CA,6'1'',250,NR,,37,108,,2006,LSU,,,,,,,
Richard Murphy,RB,Rayville,LA,6'1'',195,78,,,,,,2006,LSU,,,,,,,
Chris Mitchell,WR,Marrero,LA,6'2'',190,NR,,,NR,NR,,2006,LSU,,,,,,,
Jared Mitchell,WR,New Iberia,LA,6'0'',195,NR,,,19,NR,,2006,LSU,,,,,,,
Danny McCray,S,Spring,TX,6'2'',208,80,,,321,,,2006,LSU,,,,,,,
J.D. Lott,DE,Birmingham,AL,6'3'',215,72,,,,,,2006,LSU,,,,,,,
Lazarius Levingston,DE,Ruston,LA,6'4'',265,74,,,,,,2006,LSU,,,,,,,
Trindon Holliday,WR,LQ,Baton Rouge,LA,5'5'',165,NR,,21,,,2006,LSU,,,,,,,
Troy Giddens,S,Hammond,LA,6'1'',215,80,,,1,,,2006,LSU,,,,,,,
Jai Eugene,CB,Destrehan,LA,5'11'',175,89,,,8,,,2006,LSU,,,,,,,
Ricky Dixon,WR,Reserve,LA,6'2'',205,84,,,2,,,2006,LSU,,,,,,,
Richard Dickson,TE,Ocean Springs,MS,6'3'',242,86,,,6,,,2006,LSU,,,,,,,
Charles Deas,DT,Fort Lauderdale,FL,6'4'',300,82,,,11,,,2006,LSU,,,,,,,
Jacob Cutrera,ILB,Lafayette,LA,6'4'',225,79,,,23,,,2006,LSU,,,,,,,
Shomari Clemons,S,West Monroe,LA,6'2'',205,80,,,,,,2006,LSU,,,,,,,
Anthony Boudreaux,OT,JC,Chalmette,LA,6'8'',360,NR,,25,NR,,2006,LSU,,,,,,,
Matt Allen,OG,Klein,TX,6'4'',270,76,,,,,,2006,LSU,,,,,,,
D'Montreal Wilson,OT,Rayville,LA,6'5'',295,,,LSU,48,,,2007,LSU,,,,,,,
John Williams,SB,Breaux Bridge,LA,5'10'',175,,76,LSU,1.0,,,2007,LSU,,,,,,,
Terrance Toliver,WR,Hempstead,TX,6'4'',190,,86,LSU,17,,,2007,LSU,,,,,,,
Alex Russian,TE,Round Rock,TX,6'4'',220,,78,LSU,27,,,2007,LSU,,,,,,,
Steven Ridley,RB,Natchez,MS,6'0'',220,,78,LSU,46,,,2007,LSU,,,,,,,
Drake Nevis,DT,Marrero,LA,6'1'',280,,74,LSU,40,NR,,2007,LSU,NR,,,,,,
Ernest McCoy,OT,Belle Glade,FL,6'5'',330,,77,LSU,60th,,,2007,LSU,,,,,,,
Jarrett Lee,QB,Brenham,TX,6'3'',195,,81,LSU,15,,,2007,LSU,,,,,,,
Mitch Joseph,TE,New Iberia,LA,6'4'',245,,78,LSU,4,,,2007,LSU,,,,,,,
