Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank
Kiamni Washington,OLB,Gray,LA,6'1'',210,NR,Louisiana Tech,NR, NR, NR,2007,Louisiana Tech,,,
Joshua Victorian,CB,Destrehan,LA,5'10'',170,NR,Louisiana Tech,,,,2007,Louisiana Tech,,,
Stevon Howze,CB,Perkinston,MS,5'11'',185,NR,Louisiana Tech,,,,2007,Louisiana Tech,,,
Dirk Tanner,DT,Little Rock,AR,6'1'',265,Louisiana Tech,,102,481, NR,2011,Louisiana Tech,75.0,,
Joshua Robinson,OG,Lancaster,TX,6'4'',270,Louisiana Tech,,105,,,2011,Louisiana Tech,73.0,,
Tyler Porter,DT,Lafayette,LA,5'11'',313,Louisiana Tech,,145,,,2011,Louisiana Tech,73.0,,
Warren Bates Jr.,OLB,Plaquemine,LA,5'11'',202,Louisiana Tech,,,702,61,2011,Louisiana Tech,72.0,,
Ezekiel Alsander,OT,Baton Rouge,LA,6'5'',287,Louisenna Tech,,170,719,63,2011,Louisiana Tech,72.0,,
Beau Fitte,OLB,Port Sulphur,LA,6'1'',210,Louisiana Tech,,190,834,84,2011,Louisiana Tech,68.0,,
Le'vander Liggins,ATH,Leesville,LA,5'11'',175,Louisiana Tech,,,,,2011,Louisiana Tech,66.0,,
Ty Hook,ILB,Denton,TX,6'0'',217,Louisiana Tech,,NR,,,2011,Louisiana Tech,65.0,,
Nick Isham,QB,Westlake Village,CA,5'11'',190,Louisiana Tech,,,,,2011,Louisiana Tech,,,
Malcolm Pichon,DT,Slidell,LA,6'3'',330,Louisiana Tech,,238,,,2011,Louisiana Tech,,,
Vontarrius Dora,DE,West Point,MS,6'3'',225,Louisiana Tech,,128,,,2011,Louisiana Tech,,,
Brice Abraham,CB,Jennings,LA,5'11'',175,Louisiana Tech,,NR,,,2011,Louisiana Tech,,,
Jon'al White,DT,Ruston,LA,6'0'',300,Louisiana Tech,,, None, None,2011,Louisiana Tech,,,
Brodrick Waters,ATH,Sarasota,FL,5'10'',195,Louisiana Tech,,, None, None,2011,Louisiana Tech,,,
Daniel Hayden,DE,Marrero,LA,6'3'',235,Louisiana Tech,,, None, None,2011,Louisiana Tech,,,
Myles White,WR,Livonia,MI,6'1'',180,Louisiana Tech,,NR,,,2011,Louisiana Tech,,,
Larry Banks,OT,Fayette,MS,6'4'',325,Louisiana Tech,,, None, None,2011,Louisiana Tech,,,
Chip Hester,ILB,North Myrtle Beach,FL,5'11'',230,Louisiana Tech,,, NR, NR,2011,Louisiana Tech,,,
Oscar Johnson,OT,Crystal Springs,MS,6'6'',350,Louisiana Tech,,NR, NR, NR,2011,Louisiana Tech,,,
