Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,School, Reg_rank, State_rank
Josh Vigers,CB,Baton Rouge,LA,6'1'',195.0,,LR,,,,,2007,Louisiana-Lafayette,,,
Jonathan Thomas,RB,Sugar Land,TX,5'11'',215.0,,LR,,,,,2007,Louisiana-Lafayette,,,
Julian Shankle,RB,Grand Prairie,TX,5'8'',175.0,,LR,,,,,2007,Louisiana-Lafayette,,,
Scooter Rogers,,Panama City,FL,,,,LR,,NR,NR,NR,2007,Louisiana-Lafayette,,,
Jermaine Rogers,DE,Mobile,AL,6'4'',250.0,,LR,,,,,2007,Louisiana-Lafayette,,,
Kyle Plouhar,OT,Mandeville,LA,6'6'',295.0,,70,LR,,,,2007,Louisiana-Lafayette,,,
Jaron Odom,OG,Fort Lauderdale,FL,6'5'',340.0,,72,LR,72,63,,2007,Louisiana-Lafayette,,,
Jawanza Mitchell,WR,Mesquite,TX,6'3'',175.0,,LR,,,,,2007,Louisiana-Lafayette,,,
Brad McGuire,QB,Gulf Breeze,FL,6'3'',180.0,,LR,,NR,NR,NR,2007,Louisiana-Lafayette,,,
Chris Masson,QB,Miami,FL,6'1'',185.0,,LR,,NR,,,2007,Louisiana-Lafayette,,,
Lance Kelley,WR,Lafayette,LA,6'2'',185.0,,LR,,,,,2007,Louisiana-Lafayette,,,
Grant Fleming,OLB,Lafayette,LA,6'3'',200.0,,72,LR,,,,2007,Louisiana-Lafayette,,,
Nathan Douglas,TE,Milton,FL,6'3'',230.0,,LR,,,,,2007,Louisiana-Lafayette,,,
Kyle Cox,DE,Mont Belvieu,TX,6'4'',235.0,,LR,,,,,2007,Louisiana-Lafayette,,,
Richard Brooks,ILB,Mesquite,TX,6'0'',200.0,,LR,,,,,2007,Louisiana-Lafayette,,,
Justin Branden,,Poplarville,MS,5'11'',190.0,,LR,,NR,,,2007,Louisiana-Lafayette,,,
Orkeys Auriene,CB,Daytona Beach,FL,5'11'',165.0,,LR,,,,,2007,Louisiana-Lafayette,,,
Fabian Adams,ATH,McIntosh,AL,6'2'',192.0,,LR,,,,,2007,Louisiana-Lafayette,,,
Justin Anderson,OLB,Foley,AL,6'2'',230,,76,Louisiana Ragin' Cajuns,320,68,,2009,Louisiana-Lafayette,,,
Robert Walker,RB,Mamou,LA,5'7'',167,,75,Louisiana Ragin' Cajuns,113,,,2009,Louisiana-Lafayette,,,
Ashton Tyler,OG,Marrero,LA,6'6'',265,,67,Louisiana Ragin' Cajuns,219,,,2009,Louisiana-Lafayette,,,
Jacob Maxwell,TE,Pearl River,LA,,210,,NR,Louisiana Ragin' Cajuns,,,,2009,Louisiana-Lafayette,,,
Scott Austin,WR,Biloxi,MS,6'3'',180,79.0,Louisiana,,63,223,7,2013,Louisiana-Lafayette,,,
James Clark,OLB,Sebastian River,FL,6'2'',205,78.0,Louisiana,,,,,2013,Louisiana-Lafayette,,,
George Williams,ILB,Hialeah,FL,5'11'',220,78.0,Louisiana,,31,,,2013,Louisiana-Lafayette,,,
Troy McCollum,CB,North Miami,FL,6'0'',157,77.0,Louisiana,,,,,2013,Louisiana-Lafayette,,,
Simeon Thomas,S,Miami,FL,6'3'',172,72.0,Louisiana,,,,,2013,Louisiana-Lafayette,,,
Courtney Miggins,DE,Lithonia,GA,6'5'',245,70.0,Louisiana,,115,634,146,2013,Louisiana-Lafayette,,,
T.J. Fleeton,QB,Daphne,AL,6'1'',210,68.0,Louisiana,,693,88,53,2013,Louisiana-Lafayette,,,
Stephen Brauchle,K,Gulfport,MS,6'1'',190,64.0,Louisiana,,3,,,2013,Louisiana-Lafayette,,,
Darius Hoggins,RB,Coconut Creek,FL,5'6'',160,,Louisiana,,NR,NR,NR,2013,Louisiana-Lafayette,,,
Nick Byrne,TE,Springdale,AR,6'3'',215,,Louisiana,,,,,2013,Louisiana-Lafayette,,,
Carlton Perkins,ATH,Walker,LA,5'11'',185,,Louisiana,,,,,2013,Louisiana-Lafayette,,,
