Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars,School, Reg_rank, State_rank,University  
Ryland Wilson,DE,Williamsburg,VA,6'3'',255.0,,Marshall,,,,2006,Marshall,,,,,
Kirby Watson,RB,Daytona Beach,FL,,,,Marshall,,,,2006,Marshall,,,,,
Aaron Ward,QB,Hampton,VA,6'2'',175.0,,Marshall,NR,,,2006,Marshall,,,,,
Charles Walker,WR,Hayward,CA,,,,Marshall,NR,,,2006,Marshall,,,,,
Erick Vint,OG,Ridgeway,VA,6'4'',280.0,,Marshall,NR,,,2006,Marshall,,,,,
Joshua Tillman,FB,Dayton,OH,6'3'',245.0,,Marshall,,,,2006,Marshall,,,,,
Travius Thompson,WR,Fort Lauderdale,FL,6'2'',166.0,,Marshall,NR,NR,NR,2006,Marshall,,,,,
Cody Slate,TE,Chatham,VA,6'4'',225.0,,Marshall,,,,2006,Marshall,,,,,
Chad Schofield,OG,Strongsville,OH,6'4'',310.0,,Marshall,NR,,,2006,Marshall,,,,,
DeNathian Robinson,CB,Hampton,VA,5'11'',180.0,,Marshall,,,,2006,Marshall,,,,,
David Redick,TE,Roanoke,VA,6'4'',220.0,,Marshall,,,,2006,Marshall,,,,,
Kevin Perry,CB,Madison,AL,5'10'',175.0,,Marshall,,,,2006,Marshall,,,,,
Darius Passmore,WR,Visalia,CA,6'1'',175.0,,Marshall,,,,2006,Marshall,,,,,
Kurtis Oveson,S,Torrance,CA,6'2'',200.0,,Marshall,,,,2006,Marshall,,,,,
Bryant Milligan,WR,Hunting Valley,OH,6'0'',190.0,,Marshall,,,,2006,Marshall,,,,,
Trevor Marcum,TE,Wayne,WV,6'3'',230.0,,Marshall,,,,2006,Marshall,,,,,
Josh Long,DE,Fort Myers,FL,6'5'',242.0,,Marshall,,,,2006,Marshall,,,,,
Darius Lewis,RB,Ironton,OH,5'11'',205.0,,Marshall,,,,2006,Marshall,,,,,
Howard King,OLB,Daytona Beach,FL,6'2'',195.0,,Marshall,,,,2006,Marshall,,,,,
Aaron Johnson,S,San Francisco,CA,5'11'',190.0,,Marshall,NR,,,2006,Marshall,,,,,
Mario Harvey,ILB,Chatham,VA,6'0'',220.0,,Marshall,,,,2006,Marshall,,,,,
Ashton Hall,CB,Kingsland,GA,5'11'',185.0,,Marshall,NR,,,2006,Marshall,,,,,
Brandon Campbell,OT,Fort Washington,MD,6'5'',305.0,,Marshall,,,,2006,Marshall,,,,,
Antawn Booker,DT,Auburndale,FL,6'0'',245.0,,Marshall,NR,,,2006,Marshall,,,,,
Mike Bolio,WR,Torrance,CA,6'0'',195.0,,Marshall,,,,2006,Marshall,,,,,
Anthony Binswanger,K,Concord,CA,6'2'',190.0,,Marshall,,,,2006,Marshall,,,,,
Brian Anderson,QB,Louisville,KY,6'4'',185.0,77.0,Marshall,32,143,NR,2006,Marshall,,,,,
John Youboty,DE,Klein,TX,6'4'',246.0,,Marshall,,,,2008,Marshall,,,,,
Jamal Wilson,WR,Chesapeake,VA,,,74.0,Marshall,,,,2008,Marshall,4.0,,,,
Kase Whitehead,K,Maryville,TN,5'10'',180.0,,Marshall,NR,NR,NR,2008,Marshall,,,,,
Martin Ward,RB,Jonesboro,GA,5'10'',182.0,80.0,Marshall,17,,,2008,Marshall,8.0,,,,
Charles Walker,WR,Hayward,CA,5'11'',185.0,,Marshall,NR,NR,NR,2008,Marshall,,,,,
Demetrius Thomas,RB,Theodore,AL,5'10'',178.0,74.0,Marshall,116,,,2008,Marshall,7.0,,,,
Zach Tenuta,ILB,Marietta,GA,6'3'',230.0,,Marshall,NR,NR,NR,2008,Marshall,,,,,
Jordan Taylor,RB,South Bend,IN,6'1'',205.0,,Marshall,,,,2008,Marshall,,,,,
Ahmed Shakoor,CB,Stone Mountain,GA,5'11'',189.0,78.0,Marshall,27,,,2008,Marshall,7.0,,,,
Destin Route,CB,Stone Mountain,GA,5'8'',165.0,,Marshall,,,,2008,Marshall,,,,,
Jimmy Rogers,OT,Cleveland,MS,6'4'',325.0,,Marshall,,,,2008,Marshall,,,,,
