Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,University , Reg_rank, State_rank,School,School  
Lamar Young,OG,Jonesboro,GA,6'4'',285,3.0,73,Maryland,,,,2007,Maryland,,,,,
Lansford Watson,WR,Brooklyn,NY,6'4'',225,7.0,79,Maryland,25,,,2007,Maryland,,,,,
Taylor Watson,FB,Brandywine,MD,6'2'',225,,NR,Maryland,NR,NR,NR,2007,Maryland,,,,,
Joe Vellano,DT,Albany,NY,6'2'',255,6.0,63,Maryland,,,,2007,Maryland,,,,,
Ronnie Tyler,RB,Wagener,SC,5'10'',170,7.0,77,Maryland,,,,2007,Maryland,,,,,
Stephen St. John,OT,Irmo,SC,6'6'',285,7.0,70,Maryland,126,,,2007,Maryland,,,,,
Torrey Smith,WR,Fredericksburg,VA,6'1'',175,7.0,77,Maryland,54,,,2007,Maryland,,,,,
Carl Russell,OT,Washington,DC,6'6'',250,,NR,Maryland,,,,2007,Maryland,,,,,
Jamarr Robinson,QB,Charlotte,NC,6'0'',175,,NR,Maryland,,,,2007,Maryland,,,,,
Ben Pooler,OLB,Morristown,NJ,6'1'',240,7.0,74,Maryland,,,,2007,Maryland,,,,,
Antwine Perez,S,Camden,NJ,6'2'',200,,TR,Maryland,,,,2007,Maryland,,,,,
Quintin McCree,WR,Brandywine,MD,6'2'',180,,NR,Maryland,,,,2007,Maryland,,,,,
Tony Logan,QB,Piscataway,NJ,5'10'',175,7.0,78,Maryland,21,,,2007,Maryland,,,,,
Bearthur Johnson,OT,Hoboken,NJ,6'7'',350,7.0,73,Maryland,,98,,2007,Maryland,,,,,
Trenton Hughes,S,Virginia Beach,VA,5'11'',175,7.0,75,Maryland,,,,2007,Maryland,,,,,
Dominique Herald,S,Pennington,NJ,5'11'',185,8.0,82,Maryland,,,,2007,Maryland,,,,,
Maurice Hampton,OG,Hampton,VA,6'5'',295,7.0,76,Maryland,24,NR,NR,2007,Maryland,,,,,
Jon Faiella,OT,Freehold,NJ,6'4'',285,7.0,73,Maryland,,,,2007,Maryland,,,,,
Derek Drummond,TE,Pomfret,MD,6'4'',210,7.0,70,Maryland,,,,2007,Maryland,,,,,
Ian Davidson,DT,Alexandria,VA,6'2'',270,7.0,73,Maryland,50,,,2007,Maryland,,,,,
Michael Carter,CB,Windsor,ON,5'11'',175,,NR,Maryland,NR,,,2007,Maryland,,,,,
Devonte Campbell,TE,Forestville,MD,6'2'',235,7.0,78,Maryland,12, NR, NR,2007,Maryland,,,,,
Bruce Campbell,OT,Hamden,CT,6'7'',275,,NR,Maryland,,,,2007,Maryland,,,,,
Haroon Brown,RB,Hampton,VA,5'11'',225,6.0,66,Maryland,NR,,,2007,Maryland,,,,,
Tyler Bowen,OT,Helena,GA,6'8'',310,,NR,Maryland,,,,2007,Maryland,,,,,
Travis Baltz,K,Whitehouse,OH,6'2'',190,,NR,Maryland,,,,2007,Maryland,,,,,
Dion Armstrong,DT,Fort Valley,GA,6'1'',310,7.0,74,Maryland,44,,,2007,Maryland,,,,,
Joe Vellano,DT,Albany,NY,6'2'',255,63,Maryland,,111,,,2008,Maryland,,,,,
Kenny Tate,WR,Forestville,MD,6'3'',215,81,Maryland,,NR,,,2008,Maryland,,,,,
Carl Russell,DT,Washington,DC,6'6'',250,NR,Maryland,,,,,2008,Maryland,,,,,
Davin Meggett,RB,Clinton,MD,5'8'',190,NR,Maryland,,NR,NR,NR,2008,Maryland,,,,,
Justin Lewis,OG,Johnsonville,SC,6'4'',315,75,Maryland,,49,364,28,2008,Maryland,,,,,
Zach Kerr,DT,Gaithersburg,MD,6'2'',325,78,Maryland,,31,NR,NR,2008,Maryland,,,,,
Masengo Kabongo,DT,Fairfield,CT,6'3'',279,79,Maryland,,15,,,2008,Maryland,,,,,
Demetrius Hartsfield,ILB,Raleigh,NC,6'2'',208,78,Maryland,,20,,,2008,Maryland,,,,,
Justin Gilbert,OG,Richmond,VA,6'5'',275,73,Maryland,,NR,,,2008,Maryland,,,,,
