Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School,University 
Steven Wesley,DE,Bartow,FL,6'3'',225,77,Miami,,38,148, None,2006,Miami (FL),,,,
Chaz Washington,DT,Destrehan,LA,6'3'',295,80,Miami,,14,71, None,2006,Miami (FL),,,,
Ian Symonette,OT,Houston,TX,6'9'',340,79,Miami,,18, NR, NR,2006,Miami (FL),,,,
Daniel Stegall,QB,Greenwood,AR,6'2'',180,67,Miami,,116,,,2006,Miami (FL),,,,
Sam Shields,WR,Sarasota,FL,6'1'',179,83,Miami,,9,20, NR,2006,Miami (FL),,,,
George Robinson,WR,Miami,FL,6'1'',185,NR,Miami,,,,,2006,Miami (FL),,,,
Kylan Robinson,RB,Tampa Bay,FL,6'1'',217,82,Miami,,11,,,2006,Miami (FL),,,,
LeSean McCoy,RB,Harrisburg,PA,6'0'',208,84,Miami,,8.0,,,2006,Miami (FL),,,,
Colin McCarthy,ILB,Clearwater,FL,6'1'',215,75,Miami,,36,,,2006,Miami (FL),,,,
Chris Lewis,DE,Fresno,CA,6'3'',240,NR,Miami,,NR,,,2006,Miami (FL),,,,
Tervaris Johnson,S,Opa Locka,FL,6'2'',203,77,Miami,,44,153, None,2006,Miami (FL),,,,
Javarris James,RB,Immokalee,FL,6'0'',205,80,Miami,,20,,,2006,Miami (FL),,,,
Josh Holmes,DT,San Diego,CA,6'2'',255,78,Miami,,NR, NR, NR,2006,Miami (FL),,,,
Ryan Hill,CB,Tallahassee,FL,6'0'',178,78,Miami,,23,106,NR,2006,Miami (FL),,,,
Chavez Grant,CB,Miami,FL,5'10'',169,70,Miami,,368,77,NR,2006,Miami (FL),,,,
Richard Gordon,TE,Miami,FL,6'4'',235,NR,Miami,,, None, None,2006,Miami (FL),,,,
Jason Fox,TE,Crowley,TX,6'7'',250,77,Miami,,22, NR, NR,2006,Miami (FL),,,,
Joel Figueroa,OG,North Miami,FL,6'5'',330,NR,Miami,,,,,2006,Miami (FL),,,,
Dedrick Epps,TE,Richmond,VA,6'4'',234,75,Miami,,35, NR, NR,2006,Miami (FL),,,,
Graig Cooper,RB,Memphis,TN,5'11'',188,79,Miami,,27,84, None,2006,Miami (FL),,,,
Matt Bosher,K,Jupiter,FL,6'1'',180,78,Miami,,4,,,2006,Miami (FL),,,,
Doug Wiggins,CB,Miami,FL,5'10'',170,79.0,North Miami High School,,,,,2007,Miami (FL),,119,,
Demarcus VanDyke,CB,Miami,FL,6'1'',165,78.0,Pace High School,,21,,,2007,Miami (FL),,,,
Garrett Van Dyke,ILB,Houston,TX,6'2'',210,,Northmont Senior High School,,,,,2007,Miami (FL),,,,
Chris Perry,DT,Keller,TX,6'3'',320,79.0,Fossil Ridge High School,,124th,,,2007,Miami (FL),,,,
Adewale Ojomo,OLB,Hialeah,FL,6'3'',218,79.0,Hialeah High School,,8,,,2007,Miami (FL),,,,
Joseph Nicolas,RB,Homestead,FL,6'3'',195,62.0,Homestead Senior High School,,269,,,2007,Miami (FL),,,,
Shawnbrey McNeal,RB,Dallas,TX,5'9'',180,78.0,Madison High School,,33,,,2007,Miami (FL),NR,NR,,
Jermaine McKenzie,WR,Bradenton,FL,6'2'',170,78.0,Bradenton Preparatory Academy,,39,,,2007,Miami (FL),,,,
Robert Marve,QB,Tampa Bay,FL,6'2'',185,80.0,Plant Senior High School,,11,,,2007,Miami (FL),,,,
Tyler Horn,OT,Memphis,TN,6'5'',290,71.0,Memphis University School,,NR,,,2007,Miami (FL),,,,
Leonard Hankerson,WR,Fort Lauderdale,FL,6'3'',197,77.0,Saint Thomas Aquinas High School,,61,,,2007,Miami (FL),,,,
Harland Gunn,OG,Omaha,NE,6'3'',300,81.0,Omaha Central High School,,2,,,2007,Miami (FL),,,,
Orlando Franklin,OT,Delray Beach,FL,6'7'',320,79.0,Atlantic Community High School,,,,,2007,Miami (FL),,,,
Kayne Farquharson,WR,Miami,FL,6'2'',185,,,,,,,2007,Miami (FL),,,,
Graig Cooper,RB,Memphis,TN,5'11'',190,79.0,,,,,,2007,Miami (FL),,,,
Lee Chambers,RB,Coffeeville,MS,6'1'',200,81.0,Coffeeville High School,,54th,,,2007,Miami (FL),,,,
Jared Campbell,S,Aurora,CO,6'0'',195,,Overland High School,,,,,2007,Miami (FL),,,,
Damien Berry,S,Belle Glade,FL,6'0'',170,78.0,Glades Central High School,,31,,,2007,Miami (FL),,,,
Allen Bailey,DE,Darien,GA,6'3'',252,84.0,McIntosh County Academy,,3.0,,,2007,Miami (FL),,,,
Daniel Adderley,WR,Simpsonville,SC,6'6'',215,,Southside Christian School,,,,,2007,Miami (FL),,,,
Ray Ray Armstrong,SS,Sanford,FL,6'4'',215,,84.0,Miami,4,12,5,2009,Miami (FL),,,,
Prince Kent,CB,Norcross,GA,6'2'',193,,83.0,Miami,5,27,5,2009,Miami (FL),,,,
Brandon McGee,ATH,Fort Lauderdale,FL,5'11'',186,,82.0,Miami,2,33,12,2009,Miami (FL),,,,
Jamal Reid,ATH,Mayo,FL,6'0'',175,,82.0,Miami,5,39,14,2009,Miami (FL),,,,
Lamar Miller,RB,Miami,FL,5'11'',205,,81.0,Miami,12,54,19,2009,Miami (FL),,,,
Dyron Dye,DE,Sanford,FL,6'4'',215,,81.0,Miami,11,,,2009,Miami (FL),,,,
Olivier Vernon,DE,Miami,FL,6'3'',239,,80.0,Miami,16,,,2009,Miami (FL),,,,
Curtis Porter,DT,Charlotte,NC,6'2'',334,,80.0,Miami,19,39,NR,2009,Miami (FL),,,,
Billy Sanders,DE,Coeur d'Alene,ID,6'4'',230,,79.0,Miami,26, NR, NR,2009,Miami (FL),,,,
Mike James,RB,Davenport,FL,5'11'',211,,79.0,Miami,33,129,51,2009,Miami (FL),,,,
Brandon Washington,OG,Miami,FL,6'5'',330,,79.0,Miami,, None, None,2009,Miami (FL),,,,
A.J. Highsmith,QB,Fort Bend,TX,6'0'',186,,78.0,Miami,24,63,,2009,Miami (FL),,,,
Cory White,TE,Orange Park,FL,6'4'',225,,78.0,Miami,29,217,85,2009,Miami (FL),,,,
Luther Robinson,DT,Fort Pierce,FL,6'2'',275,,77.0,Miami,43,,,2009,Miami (FL),,,,
Jermaine Johnson,OT,Fort Lauderdale,FL,6'6'',330,,76.0,Miami,, None, None,2009,Miami (FL),,,,
Jared Wheeler,OG,Plantation,FL,6'4'',295,,75.0,Miami,113,462,176,2009,Miami (FL),,,,
Malcolm Bunche,OT,Newark,DE,6'6'',315,,75.0,Miami,87,200, NR,2009,Miami (FL),,,,
Shayon Green,DE,Tifton,GA,6'2'',235,,73.0,Miami,140,591,118,2009,Miami (FL),,,,
Stephen Plein,TE,Fort Myers,FL,6'6'',240,,,Miami,,,,2009,Miami (FL),,,,
Seantrel Henderson,OT,Saint Paul,MN,6'7'',295,,86,Miami,1.0,,,2010,Miami (FL),,,,
Storm Johnson,RB,Loganville,GA,5'11'',210,,83,Miami,,,,2010,Miami (FL),,,,
Eduardo Clements,RB,Miami,FL,5'11'',185,,80,Miami,14,,,2010,Miami (FL),NR,NR,,
