Name,Pos,City,State,Height,Weight,Stars,Grade,University ,Pos_rank, Reg_rank, State_rank,Year,Team,University,School,Reg_rank,State_rank,City State
Bryan Wright,Video | Scouts Report,Salem,OH,6'1'',200,2.0,,Michigan ,17,97,41,2006,Michigan,,,,,
Quintin Woods,Video | Scouts Report,Flint,MI,6'6'',220,,Michigan ,,NR, NR, NR,2006,Michigan,,,,,
Marques Slocum,Video | Scouts Report,Philadelphia,PA,6'4'',330,,Michigan ,,,,,2006,Michigan,,,,,
Steve Schilling,Video | Scouts Report,Bellevue,WA,6'5'',290,4.0,,Michigan ,11, NR, NR,2006,Michigan,,,,,
Adam Patterson,Video | Scouts Report,Columbia,SC,6'3'',260,4.0,,Michigan ,7,31, None,2006,Michigan,,,,,
Quinton Patilla,Video | Scouts Report,Flint,MI,6'2'',195,3.0,,Michigan ,18,,,2006,Michigan,,,,,
Jonas Mouton,Video | Scouts Report,Los Angeles,CA,6'2'',210,4.0,,Michigan ,,,,2006,Michigan,,,,,
Cobrani Mixon,Video | Scouts Report,Cincinnati,OH,6'2'',250,3.0,,Michigan ,17,,,2006,Michigan,,,,,
Brandon Minor,Video | Scouts Report,Richmond,VA,6'1'',215,3.0,,Michigan ,34,,,2006,Michigan,,,,,
Greg Mathews,Video | Scouts Report,Orlando,FL,6'4'',190,3.0,,Michigan ,33,100, NR,2006,Michigan,,,,,
Jason Kates,Video | Scouts Report,Harrisburg,PA,6'4'',300,4.0,,Michigan ,36,,,2006,Michigan,,,,,
Brandon Graham,Video | Scouts Report,Detroit,MI,6'2'',235,4.0,,Michigan ,2,,,2006,Michigan,,,,,
John Ferrara,Video | Scouts Report,Staten Island,NY,6'3'',245,2.0,,Michigan ,111,,,2006,Michigan,,,,,
Obi Ezeh,Video | Scouts Report,Grand Rapids,MI,6'2'',221,3.0,,Michigan ,130,,,2006,Michigan,,,,,
Perry Dorrestein,Video | Scouts Report,Plainfield,IL,6'7'',300,3.0,,Michigan ,75,,,2006,Michigan,,,,,
David Cone,Video | Scouts Report,Statesboro,GA,6'6'',205,2.0,,Michigan ,,308,65,2006,Michigan,,,,,
Carlos Brown,Video | Scouts Report,Franklin,GA,6'1'',195,4.0,,Michigan ,10,23,4,2006,Michigan,,,,,
Justin Boren,Video | Scouts Report,Pickerington,OH,6'4'',295,4.0,,Michigan ,2,7,4,2006,Michigan,,,,,
Greg Banks,Video | Scouts Report,Denver,CO,6'5'',260,3.0,,Michigan,,,,2006,Michigan,,,,,
Troy Woolfolk,WR,Sugar Land,TX,5'11'',175,73.0,Michigan,,NR, NR, NR,2007,Michigan,,,,,
Mike Williams,S,Ventura,CA,6'0'',190,80.0,Michigan,,94th,,,2007,Michigan,,,,,
Martell Webb,WR,Pontiac,MI,6'5'',210,77.0,Michigan,,56,,,2007,Michigan,,,,,
Steve Watson,TE,Denver,CO,6'4'',240,74.0,Michigan,,35, NR, NR,2007,Michigan,,,,,
Donovan Warren,CB,Long Beach,CA,5'11'',185,80.0,Michigan,,8,,,2007,Michigan,,,,,
Ryan VanBergen,TE,Whitehall,MI,6'5'',250,78.0,Michigan,,, None, None,2007,Michigan,,,,,
Renaldo Sagesse,DT,Montreal,QC,6'4'',320,,Michigan,,NR, NR, NR,2007,Michigan,,,,,
James Rogers,WR,Madison Heights,MI,6'2'',190,74.0,Michigan,,,97, None,2007,Michigan,,,,,
Austin Panter,OLB,Kensington,KS,6'4'',240,,Michigan,,,,,2007,Michigan,,,,,
David Molk,OC,Lemont,IL,6'2'',270,78.0,Michigan,,6,,,2007,Michigan,,,,,
Ryan Mallett,QB,Texarkana,TX,6'6'',230,85.0,Michigan,,NR, NR, 12th,2007,Michigan,,,,,
Mark Huyge,OT,Grand Rapids,MI,6'6'',275,68.0,Michigan,,151, None, None,2007,Michigan,,,,,
Avery Horn,RB,Hanford,CA,5'10'',185,78.0,Michigan,,33, NR, NR,2007,Michigan,,,,,
Brandon Herron,OLB,Sugar Land,TX,6'2'',200,77.0,Michigan,,23,,,2007,Michigan,,,,,
Junior Hemingway,WR,Conway,SC,6'3'',205,84.0,Michigan,,4,,,2007,Michigan,,,,,
Vince Helmuth,FB,Saline,MI,6'0'',250,78.0,Michigan,,1, NR, NR,2007,Michigan,,,,,
Marell Evans,S,Richmond,VA,6'2'',205,70.0,Michigan,,,,,2007,Michigan,,,,,
Toney Clemons,WR,New Kensington,PA,6'3'',190,78.0,Michigan,,43, None, None,2007,Michigan,,,,,
