Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School
Mike Wey,ILB,Oak Creek,WI,6'3'',230,NR,,Minnesota,, None, None,2006,Minnesota,,,
Adam Weber,QB,Arden Hills,MN,6'2'',205,74,,Minnesota,60,,,2006,Minnesota,,,
Terrence Sherrer,RB,Cincinnati,OH,5'10'',190,72,,Minnesota,109,97,41,2006,Minnesota,,,
Josh Robertson,CB,Scranton,PA,5'11'',175,NR,,Minnesota,, None, None,2006,Minnesota,,,
Sean McWhirter,DE,Long Lake,MN,6'4'',245,75,,Minnesota,55,,,2006,Minnesota,,,
Robert McField,TE,Saint Louis,MO,6'6'',220,NR,,Minnesota,,,,2006,Minnesota,,,
E.J. Jones,SEdwardsville,IL,5'11'',185,NR,,Minnesota,,, None, None,2006,Minnesota,,,
Justin Jenson,OT,Elk River,MN,6'7'',338,NR,,Minnesota,,,,2006,Minnesota,,,
Ben Fischer,WR,Wausau,WI,6'1'',175,65,,Minnesota,170,,,2006,Minnesota,,,
Eric Ellestad,K,Plymouth,MN,6'2'',180,NR,,Minnesota,NR,,,2006,Minnesota,,,
Willie Dyson,DE,Kirkwood,MO,6'3'',220,NR,,Minnesota,, None, None,2006,Minnesota,,,
Lee Campbell,OLB,Naples,FL,6'3'',220,NR,,Minnesota,, None, None,2006,Minnesota,,,
Brylee Callender,RB,Lakeville,MN,6'0'',195,NR,,Minnesota,NR,,,2006,Minnesota,,,
D.J. Burris,OG,Kenton,OH,6'3'',275,NR,,Minnesota,,,,2006,Minnesota,,,
RJ Buckner,RB,Watauga,TX,5'11'',185,NR,,Minnesota,,,,2006,Minnesota,,,
Garrett Brown,DT,Fairfield,CT,6'2'',280,70,,Minnesota,64,,,2006,Minnesota,,,
Andy Brinkhaus,OT,Bloomington,MN,6'4'',270,NR,,Minnesota,,,,2006,Minnesota,,,
Tommy Becker,ILB,Plymouth,MN,6'2'',230,71,,Minnesota,65,,,2006,Minnesota,,,
Dominic Alford,OG,Shaker Heights,OH,6'4'',320,NR,,Minnesota,,,,2006,Minnesota,,,
Ryan Wynn,OT,Plymouth,MN,6'5'',245,,,Minnesota,NR,,,2007,Minnesota,NR,NR,
Damien White,WR,Culver City,CA,6'0'',170,,,Minnesota,NR,,,2007,Minnesota,,,
Logan U'u,ILB,Oakland,CA,5'11'',230,,,Minnesota,,,,2007,Minnesota,,,
Jim Thompson,RB,Hayward,WI,6'1'',170,,,Minnesota,,,,2007,Minnesota,,,
