Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,School  ,School
Sean Weatherspoon,OLB,Jasper,TX,6'1'',195.0,,Missouri,NR,NR,NR,2006,Missouri,,,,,
J.P. Tillman,QB,Cypress,TX,6'4'',225.0,72.0,Missouri,,,,2006,Missouri,,,,,
La' Roderick Thomas,QB,Dallas,TX,6'2'',190.0,,Missouri,,,,2006,Missouri,,,,,
John Stull,DE,Columbia,MO,6'4'',250.0,,Missouri,,,,2006,Missouri,,,,,
Paul Simpson,WR,Hayward,CA,,,,Missouri,,,,2006,Missouri,,,,,
Brant Scott,DT,College Station,TX,6'2'',260.0,,Missouri,41,,,2006,Missouri,,,,,
Kevin Rutland,CB,Houston,TX,6'1'',185.0,76.0,Missouri,35,NR,NR,2006,Missouri,,,,,
Michael Prince,OT,Southlake,TX,6'4'',275.0,77.0,Missouri,,,,2006,Missouri,,,,,
Jared Perry,WR,La Marque,TX,6'1'',180.0,69.0,Missouri,38,,,2006,Missouri,,,,,
Jeremy Maclin,WR,Saint Louis,MO,6'1'',180.0,78.0,Missouri,,,,2006,Missouri,,,,,
Del Howard,S,Garland,TX,5'11'',172.0,77.0,Missouri,,,,2006,Missouri,,,,,
Jesse Hernandez,OG,Ardmore,OK,6'3'',295.0,,Missouri,,,,2006,Missouri,,,,,
Dominic Grooms,QB,Tampa,FL,6'2'',190.0,69.0,Missouri,,,,2006,Missouri,,,,,
Justin Garrett,CB,Baton Rouge,LA,6'2'',195.0,,Missouri,,,,2006,Missouri,,,,,
Julius Denzmore,S,East Saint Louis,IL,6'2'',205.0,,Missouri,NR,,,2006,Missouri,,,,,
Bart Coslet,DE,Saint Charles,MO,6'6'',225.0,,Missouri,,,,2006,Missouri,,,,,
Aaron Cawlfield,S,Columbia,MO,6'0'',205.0,,Missouri,,,,2006,Missouri,,,,,
James Carraway,S,Texas City,TX,6'0'',190.0,,Missouri,,,,2006,Missouri,,,,,
Cornelius Brown,S,Adel,GA,6'0'',200.0,,Missouri,,,,2006,Missouri,,,,,
Justin Brown,S,Wahpeton,ND,6'2'',195.0,,Missouri,NR,NR,NR,2006,Missouri,,,,,
Castine Bridges,S,Pleasant Hill,CA,6'2'',195.0,,Missouri,,,,2006,Missouri,,,,,
Marquis Booker,OLB,Ardmore,OK,6'0'',235.0,,Missouri,18, NR, NR,2006,Missouri,,,,,
Tim Barnes,OG,Hughesville,MO,6'3'',316.0,77.0,Missouri,73,,,2006,Missouri,,,,,
Quran Barge,ILB,Camden,NJ,6'1'',220.0,70.0,Missouri,,,,2006,Missouri,,,,,
Danario Alexander,S,Marlin,TX,6'3'',185.0,,Missouri,,,,2006,Missouri,,,,,
Austin Wuebbels,OT,Troy,IL,6'4'',260,72.0,Missouri,,,,2007,Missouri,,,,,
Rolandis Woodland,WR,Fenton,MO,6'5'',185,72.0,Missouri,,,,2007,Missouri,,,,,
George White,ILB,Flint,MI,6'2'',240,73.0,Missouri,39,,,2007,Missouri,,,,,
Bryan Webb,TE,Tecumseh,OK,6'5'',250,76.0,Missouri,28,,,2007,Missouri,,,,,
Derrick Washington,RB,Peculiar,MO,5'11'',193,74.0,Missouri,,,,2007,Missouri,,,,,
Tremane Vaughns,WR,Pasadena,CA,5'9'',180,,Missouri,NR,NR,NR,2007,Missouri,,,,,
Jason Townson,DT,Saint Louis,MO,6'4'',270,,Missouri,NR,NR,NR,2007,Missouri,,,,,
Terrell Resonno,DE,Jefferson City,MO,6'3'',250,,Missouri,NR,NR,NR,2007,Missouri,,,,,
Jayson Palmgren,OG,North Kansas City,MO,6'4'',285,72.0,Missouri,NR,,,2007,Missouri,,,,,
Donte Neal,S,Arlington,TX,5'11'',190,72.0,Missouri,,,,2007,Missouri,,,,,
Gilbert Moye,QB,Diboll,TX,6'1'',200,74.0,Missouri,NR,NR,NR,2007,Missouri,,,,,
De'Vion Moore,CB,Saint Louis,MO,5'8'',165,,Missouri,,,,2007,Missouri,,,,,
Andy Maples,DT,Lester,AL,6'3'',300,,Missouri,NR,,,2007,Missouri,,,,,
Luke Lambert,OLB,Brookfield,MO,6'3'',215,72.0,Missouri,12,,,2007,Missouri,,,,,
