Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University 
William Yancy,DE,Glendale,AZ,6'5'',220,,,Nebraska,NR,NR,NR,2007,Nebraska,,,
Patrick Witt,QB,Wylie,TX,6'4'',215,,,Nebraska,,,,2007,Nebraska,,,
Latravis Washington,S,Bradenton,FL,6'2'',210,,,Nebraska,32,,,2007,Nebraska,,,
Joseph Townsend,DT,San Jose,CA,6'4'',295,,,Nebraska,,,,2007,Nebraska,,,
Kevin Thomsen,DE,Elkhorn,NE,6'2'',250,,,Nebraska,123,,,2007,Nebraska,,,
Shawn Sullivan,CB,Brenham,TX,5'11'',185,,,Nebraska,35,,,2007,Nebraska,,,
Austin Stafford,DE,Hayward,CA,6'3'',215,,,Nebraska,68.0,,,2007,Nebraska,,,
Aaron Schulte,OT,Norfolk,NE,6'6'',310,,,Nebraska,,,,2007,Nebraska,,,
Niles Paul,WR,Omaha,NE,6'0'',200,,,Nebraska,49, NR, NR,2007,Nebraska,,,
Armando Murillo,S,Tampa,FL,6'0'',195,,,Nebraska,,,,2007,Nebraska,,,
Terrence Moore,DT,New Orleans,LA,6'3'',265,,,Nebraska,,,,2007,Nebraska,,,
Marcus Mendoza,RB,Houston,TX,5'10'',170,,,Nebraska,19,,,2007,Nebraska,,,
Zac Lee,QB,San Francisco,CA,6'2'',200,,,Nebraska,NR,NR,NR,2007,Nebraska,,,
Blake Lawrence,OLB,Overland Park,KS,6'3'',195,,,Nebraska,32,,,2007,Nebraska,,,
Adi Kunalic,K,Fort Worth,TX,6'0'',175,,,Nebraska,63.0,,,2007,Nebraska,,,
Marcel Jones,DT,Phoenix,AZ,6'7'',320,,,Nebraska,NR,NR,NR,2007,Nebraska,,,
Ryan Hill,TE,Arvada,CO,6'3'',225,,,Nebraska,31,NR,NR,2007,Nebraska,,,
Roy Helu,RB,Danville,CA,6'0'',180,,,Nebraska,113,,,2007,Nebraska,,,
Eric Hagg,WR,Glendale,AZ,6'1'',195,,,Nebraska,46,,,2007,Nebraska,,,
Curenski Gilleylen,WR,Leander,TX,5'11'',195,,,Nebraska,,,,2007,Nebraska,,,
Kevin Dixon,DT,Sebring,FL,6'4'',275,,,Nebraska,NR,,,2007,Nebraska,,,
Demetrious Davis,DT,Saint Joseph,MO,6'2'',285,,,Nebraska,54,,,2007,Nebraska,,,
Jared Crick,DE,Cozad,NE,6'5'',250,,,Nebraska,,,,2007,Nebraska,,,
Quentin Castille,FB,La Porte,TX,6'2'',230,,,Nebraska,10,,,2007,Nebraska,,,
Javario Burkes,OT,Phoenix,AZ,6'5'',310,,,Nebraska,13,,,2007,Nebraska,,,
Anthony Blue,CB,Cedar Hill,TX,5'11'',165,,,Nebraska,64,,,2007,Nebraska,,,
Shukree Barfield,DT,Garden City,KS,6'4'',310,,,Nebraska,,,,2007,Nebraska,,,
Larry Asante,S,Alexandria,VA,6'1'',205,,,Nebraska,,,,2007,Nebraska,,,
Prince Amukamara,RB,Glendale,AZ,6'0'',185,,,Nebraska,31,NR,NR,2007,Nebraska,,,
Josh Williams,DE,Denton,TX,6'4'',220,80.0,Nebraska,,13,,,2008,Nebraska, NR, NR,
David Whitmore,CB,Port Arthur,TX,6'2'',190,78.0,Nebraska,,25,,,2008,Nebraska,,,
Alonzo Whaley,ILB,Madisonville,TX,6'0'',213,71.0,Nebraska,,62,,,2008,Nebraska,,,
Lester Ward Jr.,ATH,Brenham,TX,6'2'',185,78.0,Nebraska,,39,,,2008,Nebraska,,,
Quentin Toailoa,DT,Redlands,CA,6'5'',275,77.0,Nebraska,,41,,,2008,Nebraska, NR, NR,
Brandon Thompson,OT,The Woodlands,TX,6'6'',270,78.0,Nebraska,,31,,,2008,Nebraska, NR, NR,
Baker Steinkuhler,OT,Lincoln,NE,6'6'',275,81.0,Nebraska,,,,,2008,Nebraska,,,
Kody Spano,QB,Stephenville,TX,6'2'',202,78.0,Nebraska,,27,,,2008,Nebraska,,,
P.J. Smith,S,River Ridge,LA,6'3'',190,75.0,Nebraska,,55,,,2008,Nebraska,357, None,
Justin Rogers,RB,Vestavia Hills,AL,5'11'',180,75.0,Nebraska,,104,,,2008,Nebraska,,,
Kyler Reed,FB,Overland Park,KS,6'3'',213,78.0,Nebraska,,1,,,2008,Nebraska,,,
Steven Osborne,WR,Garland,TX,6'4'',182,76.0,Nebraska,,,,,2008,Nebraska,,,
Courtney Osborne,ATH,Garland,TX,6'2'',170,,Nebraska,,NR,,,2008,Nebraska, NR, NR,
Collins Okafor,RB,Omaha,NE,6'1'',210,79.0,Nebraska,,32,,,2008,Nebraska,,,
Cameron Meredith,DE,Santa Ana,CA,6'4'',222,75.0,Nebraska,,,,,2008,Nebraska,,,
Tim Marlowe,ATH,Youngstown,OH,5'10'',160,,Nebraska,,,,,2008,Nebraska, None, None,
John Levorson,ATH,Crete,NE,6'4'',185,73.0,Nebraska,,110,,,2008,Nebraska, NR, NR,
Micah Kreikemeier,OLB,West Point,NE,6'4'',215,75.0,Nebraska,,65,,,2008,Nebraska,,,
Tyson Hetzer,TE (JC),Anderson,CA,6'7'',265,,Nebraska,,,,,2008,Nebraska, None, None,
Ricky Henry,OG (JC),Omaha,NE,6'3'',300,,Nebraska,,,,,2008,Nebraska,,,
David Grant,OT,Killeen,TX,6'6'',280,74.0,Nebraska,,NR,,,2008,Nebraska,,,
Sean Fisher,OLB,Omaha,NE,6'4'',205,79.0,Nebraska,,24,,,2008,Nebraska, NR, NR,
Alfonzo Dennard,CB,Rochelle,GA,5'10'',185,77.0,Nebraska,,44,,,2008,Nebraska,269,NR,
Ben Cotton,TE,Ames,IA,6'6'',215,77.0,Nebraska,,30,,,2008,Nebraska, NR, NR,
Khiry Cooper,WR,Shreveport,LA,6'2'',175,,Nebraska,,,,,2008,Nebraska, None, None,
Will Compton,ILB,Bonne Terre,MO,6'2'',214,78.0,Nebraska,,16,,,2008,Nebraska, NR, NR,
Antonio Bell,WR,Daytona Beach,FL,6'2'',177,75.0,Nebraska,,119,,,2008,Nebraska,370, None,
A.J. Morosco,ILB,Daytona Beach,FL,6'1'',225.0,,70.0,Nebraska ,,,,2010,Nebraska,,,
Nick Lind,RB,Highlands Ranch,CO,5'10'',205.0,,62.0,Nebraska ,,,,2010,Nebraska,,,
Jasper Williams,ILB,Suwanee,GA,6'1'',210.0,,55.0,Nebraska ,,,,2010,Nebraska,,,
Brett Skene,WR,Denver,CO,6'1'',190.0,,78.0,Nebraska ,,,,2010,Nebraska,,,
Stephen Shaffer,TE,Austin,TX,6'3'',235.0,,,Nebraska ,,,,2010,Nebraska,,,
Phillip Ofili,S,Cypress,TX,6'1'',185.0,,64.0,Nebraska ,,,,2010,Nebraska,,,
Brent McElfresh,WR,Stephenville,TX,6'1'',180.0,,,Nebraska ,,,,2010,Nebraska,,,
Ronnie Lillard,ILB,Lehigh Acres,FL,6'3'',200.0,,69.0,Nebraska ,,,,2010,Nebraska,,,
Steve Jones,CB,Kansas City,MO,,,,,Nebraska ,,,,2010,Nebraska,,,
Chad Gross,K,Suwanee,GA,,,,,Nebraska ,,,,2010,Nebraska,,,
Irvin George,RB,Orlando,FL,5'11'',190.0,,,Nebraska ,,,,2010,Nebraska,,,
P.J. Adeji-Paul,S,Tulsa,OK,6'0'',180.0,,64.0,Nebraska ,,,,2010,Nebraska,,,
Jeff Abt,QB,Houston,TX,6'2'',190.0,,75.0,Nebraska ,,,,2010,Nebraska,,,
Aaron Green,RB,San Antonio,TX,5'11'',180,5,85,Nebraska,11,,,2011,Nebraska,2,2,
Jamal Turner,ATH,Arlington,TX,6'1'',175,5,81,Nebraska,6,,,2011,Nebraska,,,
Charles Jackson,CB,Klein,TX,5'11'',180,5,81,Nebraska,5,,,2011,Nebraska,16,15,
Bubba Starling,QB,Gardner,KS,6'5'',195,5,81,Nebraska,,,,2011,Nebraska,,,
Ryne Reeves,OC,Crete,NE,6'3'',287,2,79,Nebraska,2,,,2011,Nebraska,37, None,
Kevin Williams,DT,Holland,OH,6'2'',270,20,79,Nebraska,20,,,2011,Nebraska,20,8,
Todd Peat Jr.,DT,Tempe,AZ,6'3'',295,24,79,Nebraska,24,,,2011,Nebraska,34,5,
