Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,School
Greyson Wieczorek,TE,Albuquerque,NM,6'3'',207,,,New Mexico,,,,2006,New Mexico,,,
Amadeus Waters,RB,Kyle,TX,5'10'',215,,77.0,New Mexico,,,,2006,New Mexico,,,
Derek Tallent,OG,North Richland Hills,TX,6'4'',310,,,New Mexico,,,,2006,New Mexico,,,
Matt Streid,OG,Northridge,CA,,320,,,New Mexico,,,,2006,New Mexico,,,
Frankie Solomon,S,Dallas,TX,6'1'',180,,,New Mexico,NR,,,2006,New Mexico,,,
T.J. Radzilowski,ILB,Germantown,MD,6'1'',232,,,New Mexico,,,,2006,New Mexico,,,
Glover Quinn,CB,Summit,MS,5'10'',210,,,New Mexico,,,,2006,New Mexico,,,
Jerrell Miller,CB,Albuquerque,NM,5'10'',170,,,New Mexico,,,,2006,New Mexico,,,
Jermaine McQueen,WR,Raleigh,NC,6'2'',180,,,New Mexico,,,,2006,New Mexico,,,
Brett Madsen,OLB,Mount Pleasant,UT,6'2'',221,,,New Mexico,NR,NR,NR,2006,New Mexico,,,
Mike Love,RB,Rio Rancho,NM,6'1'',200,,,New Mexico,,,,2006,New Mexico,,,
Nicholas Lawson,WR,Albuquerque,NM,6'2'',175,,,New Mexico,,,,2006,New Mexico,,,
Jerome Jenkins,ILB,Houston,TX,6'0'',220,,,New Mexico,,,,2006,New Mexico,,,
Victor James,QB,Denver,CO,6'0'',188,,,New Mexico,,,,2006,New Mexico,,,
Chris Hernandez,WR,Las Cruces,NM,6'3'',185,,,New Mexico,NR,NR,NR,2006,New Mexico,,,
Roy Hackey,WR,Hatch,NM,6'1'',195,,,New Mexico,NR,,,2006,New Mexico,,,
Josh Fussell,TE,Plant City,FL,6'4'',220,,,New Mexico,,,,2006,New Mexico,,,
Vincent Federico,DT,West Covina,CA,6'4'',280,,,New Mexico,,,,2006,New Mexico,,,
Devin Clark,OG,Mesa,AZ,6'4'',320,,,New Mexico,NR,NR,NR,2006,New Mexico,,,
Clayton Cardenas,TE,San Diego,CA,6'3'',250,,,New Mexico,,,,2006,New Mexico,,,
Michael Cannon,OT,Valrico,FL,6'4'',280,,,New Mexico,,,,2006,New Mexico,,,
Terence Brown,CB,Phoenix,AZ,6'0'',190,,,New Mexico,,,,2006,New Mexico,,,
Kendall Briscoe,DE,Dallas,TX,6'2'',265,,,New Mexico,,,,2006,New Mexico,,,
Zayn Bin-Bilal,DT,Taos,NM,6'5'',280,,,New Mexico,,,,2006,New Mexico,,,
Matt Barnard,K,Phoenix,AZ,6'2'',190,,,New Mexico,,,,2006,New Mexico,,,
Terell Anyaibe,DE,DeSoto,TX,6'2'',230,,,New Mexico,,,,2006,New Mexico,,,
Calvin Smith,DT,Hialeah,FL,6'3'',265,79.0,New Mexico,,20,,,2010,New Mexico, None, None,
Darian Godfrey,ATH,Gilmer,TX,6'1'',190,78.0,New Mexico,,46,,,2010,New Mexico, None, None,
Tarean Austin,QB,Tampa,FL,6'3'',205,77.0,New Mexico,,,,,2010,New Mexico,,,
Detchauz Wray,QB,East Saint Louis,IL,5'11'',170,76.0,New Mexico,,,,,2010,New Mexico,,,
Austin Weatherford,OT,Maypearl,TX,6'3'',280,76.0,New Mexico,,,,,2010,New Mexico, None, None,
Toby Ball,ILB,Wylie,TX,6'0'',225,76.0,New Mexico,,31,,,2010,New Mexico,,,
Joshua Ford,WR,Washington,DC,6'3'',190,76.0,New Mexico,,130,,,2010,New Mexico,,,
Zach Daugherty,OL,Las Cruces,NM,6'1'',199,75.0,New Mexico,,90,,,2010,New Mexico,164,NR,
Lamar Bratton,OG,Riverside,CA,6'1'',259,74.0,New Mexico,,86,,,2010,New Mexico,,,
Martize Barr,WR,Washington,DC,5'11'',183,74.0,New Mexico,,160,,,2010,New Mexico,,,
Bradley Miller,WR,Sealy,TX,6'4'',210,73.0,New Mexico,,,,,2010,New Mexico,,,
Ravonne Carter,CB,Hialeah,FL,5'10'',167,68.0,New Mexico,,121,,,2010,New Mexico,,,
Devonta Tabannah,CB,Oxon Hill,MD,5'10'',163,64.0,New Mexico,,64,,,2010,New Mexico,,,
Julian Blair,CB,Waldorf,MD,5'10'',167,,New Mexico,,,,,2010,New Mexico,,,
Earl Johnson,OT,Washington,DC,6'5'',245,,New Mexico,,NR,,,2010,New Mexico,,,
J.J. Hugine,DE,Oklahoma City,OK,6'3'',245,,New Mexico,,,,,2010,New Mexico,,,
James Grace,S,Inglewood,CA,6'1'',195,,New Mexico,,,,,2010,New Mexico,,,
Lamaar Thomas,WR,Fort Washington,MD,5'11'',185,,New Mexico,,,,,2010,New Mexico, None, None,
Omar Castillo,OG,Roswell,NM,6'5'',260,,New Mexico,,,,,2010,New Mexico,,,
Cranston Jones,CB,Mesquite,TX,5'9'',170,78.0,New Mexico,,32,,,2012,New Mexico,127,97,
Gerron Borne,DT,Reserve,LA,6'2'',275,78.0,New Mexico,,51,,,2012,New Mexico,311,25,
Ryan Santos,CB,Klein,TX,5'10'',175,77.0,New Mexico,,35,,,2012,New Mexico,144,113,
Cole Gautsche,QB,Rio Rancho,NM,6'4'',218,76.0,New Mexico,,,,,2012,New Mexico,,,
Richard Winston,DE,Chandler,AZ,6'3'',215,75.0,New Mexico,,152,,,2012,New Mexico,,,
Rashad Jackson,RB,Missouri City,TX,5'10'',175,74.0,New Mexico,,,,,2012,New Mexico, None, None,
