Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,University , Reg_rank, State_rank,School, Pos, City, State, Height, Weight, Grade, University
Woody Wilson,QB,Coffeyville,KS,6'1'',185.0,,,North Texas,,,,2006,North Texas,,,,,,,,,,,
Marquis Sykes,DE,Coppell,TX,,,,,North Texas,,,,2006,North Texas,,,,,,,,,,,
Trent Stanley,OG,Coffeyville,KS,6'2'',290.0,,,North Texas,,,,2006,North Texas,,,,,,,,,,,
Bryant Seidle,TE,Cypress,TX,6'2'',230.0,,,North Texas,,,,2006,North Texas,,,,,,,,,,,
Esteban Santiago,OG,El Paso,TX,6'3'',280.0,,,North Texas,,,,2006,North Texas,,,,,,,,,,,
Draylen Ross,DE,Fort Worth,TX,6'3'',245.0,,,North Texas,NR,,,2006,North Texas,,,,,,,,,,,
Craig Robertson,ILB,Stafford,TX,6'0'',210.0,,,North Texas,,,,2006,North Texas,,,,,,,,,,,
Kendrick Ridge,DT,Garland,TX,6'1'',275.0,,,North Texas,, None, None,2006,North Texas,,,,,,,,,,,
Tim Patton,DT,Tulsa,OK,6'2'',301.0,,,North Texas,,,,2006,North Texas,,,,,,,,,,,
Sam Owusu-Hemeng,DE,Arlington,TX,6'3'',225.0,,,North Texas,,,,2006,North Texas,,,,,,,,,,,
Chris Neal,CB,Kaufman,TX,5'8'',165.0,,,North Texas,,,,2006,North Texas,,,,,,,,,,,
Matt Menard,DE,Spring,TX,6'5'',275.0,,,North Texas,,,,2006,North Texas,,,,,,,,,,,
Roy Loren,S,Coffeyville,KS,6'2'',205.0,,,North Texas,,,,2006,North Texas,,,,,,,,,,,
Kail Krider,DE,Leonard,TX,6'3'',245.0,,,North Texas,,,,2006,North Texas,,,,,,,,,,,
Robert Gordon,CB,Ardmore,OK,6'1'',170.0,,,North Texas,,,,2006,North Texas,,,,,,,,,,,
Nick Foster,OG,Allen,TX,6'3'',340.0,,,North Texas,,,,2006,North Texas,,,,,,,,,,,
Kelvin Drake,DT,Galveston,TX,6'2'',285.0,,,North Texas,,,,2006,North Texas,,,,,,,,,,,
Avery Curry,RB,Galveston,TX,5'10'',225.0,,,North Texas,,,,2006,North Texas,,,,,,,,,,,
Brian Carlson,DE,Kilgore,TX,6'5'',255.0,,,North Texas,NR,NR,NR,2006,North Texas,,,,,,,,,,,
Evan Walker,WR,Colleyville,TX,5'11'',185,NR,North Texas,,,,,2007,North Texas,,,,,,,,,,,
Giovanni Vizza,QB,San Antonio,TX,6'1'',195,63,North Texas,,,,,2007,North Texas,,,,,,,,,,,
Matt Tomlinson,OG,Klein,TX,6'4'',270,NR,North Texas,,,,,2007,North Texas,,,,,,,,,,,
Jordan Scoggins,DE,Euless,TX,Trinity High School,6'1'',274,78,,36,,,2007,North Texas,North Texas,,,,,,,,,,
Kyle Russo,DE,Southlake,TX,Carroll High School,6'2'',225,69,,133,,,2007,North Texas,North Texas,,,,,,,,,,
Sam Roberson,WR,Somerville,TX,Somerville High School,6'4'',210,NR,,NR,NR,NR,2007,North Texas,North Texas,,,,,,,,,,
A. J. Penson,ILB,Lufkin,TX,Lufkin High School,6'1'',215,69,,,,,2007,North Texas,North Texas,,,,,,,,,,
Justin Padron,ILB,Southlake,TX,Carroll High School,6'0'',225,70,,,,,2007,North Texas,North Texas,,,,,,,,,,
Micah Mosley,RB,Nederland,TX,Nederland High School,6'1'',205,NR,,,,,2007,North Texas,North Texas,,,,,,,,,,
Cam Montgomery,RB,Booneville,MS,6'2'',195,NR,North Texas,,NR,,,2007,North Texas,,,,,,,,,,,
B.J. Lewis,WR,Waco,TX,Robinson High School,6'1'',185,NR,,,,,2007,North Texas,North Texas,,,,,,,,,,
Marcus King,WR,Euless,TX,Trinity High School,6'3'',205,NR,,NR,,,2007,North Texas,North Texas,,,,,,,,,,
