Name,Pos,City,State,Height,Weight,Grade,School,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,University,Reg_rank,State_rank
John Tranchitella,S,Addison,IL,6'2'',200,77,Northern Illinois,43,47, NR,2006,Northern Illinois,,,,
Panan Tense,OG,Oak Park,IL,6'4'',320,74,Northern Illinois,35,70, None,2006,Northern Illinois,,,,
Justin Stewart,RB,O'Fallon,IL,6'1'',180,66,Northern Illinois,154,,,2006,Northern Illinois,,,,
Mike Sobol,QB,Herculaneum,MO,5'11'',183,NR,Northern Illinois,NR, NR, NR,2006,Northern Illinois,,,,
Vernon Sims,TE,Rockford,IL,6'5'',227,NR,Northern Illinois,,,,2006,Northern Illinois,,,,
Jason Onyebuagu,OG,Indianapolis,IN,6'2'',305,NR,Northern Illinois,,,,2006,Northern Illinois,,,,
Billy Lowe,QB,Lakeland,FL,6'3'',200,67,Northern Illinois,,,,2006,Northern Illinois,,,,
Marcus Lewis,WR,Gurnee,IL,6'2'',185,NR,Northern Illinois,,,,2006,Northern Illinois,,,,
Mike Lepper,OLB,Oak Lawn,IL,6'1'',215,NR,Northern Illinois,,,,2006,Northern Illinois,,,,
Alex Kube,S,Cary,IL,6'0'',190,74,Northern Illinois,72,75,NR,2006,Northern Illinois,,,,
Mike Krause,OC,Germantown,WI,6'3'',270,NR,Northern Illinois,,,,2006,Northern Illinois,,,,
James Jefferies,CB,Chicago,IL,5'10'',175,69,Northern Illinois,81,,,2006,Northern Illinois,,,,
Edward Jackson,TE,Cahokia,IL,6'4'',230,NR,Northern Illinois,, None, None,2006,Northern Illinois,,,,
Ricky Crider,RB,Evansville,IN,5'9'',185,NR,Northern Illinois,,,,2006,Northern Illinois,,,,
Kris Cooke,DT,Flossmoor,IL,6'1'',305,67,Northern Illinois,148, None, None,2006,Northern Illinois,,,,
Tyler Clasey,WR,Champaign,IL,6'1'',187,NR,Northern Illinois,,,,2006,Northern Illinois,,,,
Brian Beckner,TE,Kankakee,IL,6'4'',220,NR,Northern Illinois,NR,,,2006,Northern Illinois,,,,
Jody Van Laanen,SG,Green Bay,WI,,,,,NR,NR,NR,2008,Northern Illinois,,Northern Illinois,,
Kevin Sabock,OLB,Sycamore,IL,6'2'',203.0,71.0,,105,,,2008,Northern Illinois,,Northern Illinois,,
Brandon Rogers,QB,Tulsa,OK,6'0'',200.0,69.0,,112,,,2008,Northern Illinois,,Northern Illinois,,
Logan Pegram,OG,Silver Lake,KS,6'3'',298.0,74.0,,, None, None,2008,Northern Illinois,,Northern Illinois,,
Chase Mejia,WR,Columbia,MO,5'9'',175.0,,,,,,2008,Northern Illinois,,Northern Illinois,,
Brian Lawson,DE,Park Forest,IL,6'3'',260.0,,,,,,2008,Northern Illinois,,Northern Illinois,,
Dan Edem,TE,Apple Valley,MN,6'2'',220.0,,,,,,2008,Northern Illinois,,Northern Illinois,,
Tommy Davis,ATH,East Saint Louis,IL,5'10'',180.0,,,, None, None,2008,Northern Illinois,,Northern Illinois,,
Kiaree Daniels,CB,Kissimmee,FL,5'10'',195.0,,,,,,2008,Northern Illinois,,Northern Illinois,,
Maurice Coon,DE,Lakeland,FL,6'1'',238.0,,,, None, None,2008,Northern Illinois,,Northern Illinois,,
Adam Coleman,DT,Bettendorf,IA,6'3'',260.0,74.0,,,,,2008,Northern Illinois,,Northern Illinois,,
Meco Brown,RB,Moss Point,CA,5'8'',175.0,,,NR, NR, NR,2008,Northern Illinois,,Northern Illinois,,
Darnell Bolding,TE,Bowie,MD,,,,,NR,,,2008,Northern Illinois,,Northern Illinois,,
Tyrone Clark,SS,Saint Louis,MO,5'10'',205,76,,150,,,2009,Northern Illinois,,Northern Illinois,88,
Jared Volk,OT,Hartland,WI,6'4'',290,74,,95,,,2009,Northern Illinois,,Northern Illinois, NR, NR
Anthony  Wells,DE,North Chicago,IL,6'3'',229,74,,176,,,2009,Northern Illinois,,Northern Illinois,NR,NR
Perez Ashford,ATH,Shaker Heights,OH,5'10'',175,71,,125,,,2009,Northern Illinois,,Northern Illinois,,
Jordan Lynch,QB,Chicago,IL,6'2'',200,71,,147,,,2009,Northern Illinois,,Northern Illinois,,
Zach Anderson,DT,Ladysmith,WI,6'2'',280,68,,199,,,2009,Northern Illinois,,Northern Illinois,,
Antoine Kirkland,RB,Boca Raton,FL,5'11'',195,66,,,,,2009,Northern Illinois,,Northern Illinois,,
Alan Baxter,DT,Buffalo Grove,IL,6'1'',240,66,,,,,2009,Northern Illinois,,Northern Illinois,,
A.J. Hill,QB,DuQuoin,IL,6'2'',200,62,,,,,2009,Northern Illinois,,Northern Illinois,,
Sean Evans,CB,Fort Walton Beach,FL,5'11'',168,Northern Illinois,,NR,,,2009,Northern Illinois,,,NR,NR
Daniel Rodriguez,WR,Miami,FL,5'10'',185,NR,,,,,2009,Northern Illinois,,Northern Illinois,,
Martell Moore,WR,San Antonio,TX,6'0'',175,NR,,,,,2009,Northern Illinois,,Northern Illinois,,
Anthony Johnson,WR,San Antonio,TX,6'3'',180,NR,,,,,2009,Northern Illinois,,Northern Illinois,,
Nabal Jefferson,DT,Chicago,IL,6'1'',270,NR,,,,,2009,Northern Illinois,,Northern Illinois,,
Dominique Ware,CB,Plainfield,IL,5'11'',175,NR,,,,,2009,Northern Illinois,,Northern Illinois,,
Devon Butler,ILB,Miramar,FL,6'0'',210,NR,,,,,2009,Northern Illinois,,Northern Illinois,,
Matt Krempel,OG,Columbus,IN,6'4'',295,NR,,NR,,,2009,Northern Illinois,,Northern Illinois,NR,NR
Stephen O'Neal,DE,Park Forest,IL,6'4'',215,NR,,,,,2009,Northern Illinois,,Northern Illinois,,
Jon Phillips,DT,Dixon,IL,6'3'',260,NR,,NR,,,2009,Northern Illinois,,Northern Illinois,,
Ryan Salerno,K,Orland Park,IL,5'8'',155,NR,,,,,2009,Northern Illinois,,Northern Illinois,,
Kyle Jenkins,DE,Addison,IL,6'4'',255,NR,,NR,,,2009,Northern Illinois,,Northern Illinois,NR,NR
Chris Smith,CB,Largo,FL,6'1'',185,NR,,NR,,,2009,Northern Illinois,,Northern Illinois,,
Joshua Wilbur,K,Phoenix,AZ,5'11'',215,NR,,,,,2009,Northern Illinois,,Northern Illinois,,
Jordan Delegal,OLB,Hollywood,FL,6'1'',200,NR,,,,,2009,Northern Illinois,,Northern Illinois,,
Gregory Barksdale,Video | Scouts Report,SCrete,IL,6'2'',205,,,,,,2010,Northern Illinois,76,Northern Illinois,82,72
Akeem Daniels,Video | Scouts Report,CB,Kissimmee,FL,5'7'',,,,,,2010,Northern Illinois,167,Northern Illinois,,
Da'Ron Brown,Video | Scouts Report,ATH,Chicago,IL,6'1'',,,,,,2010,Northern Illinois,185,Northern Illinois,,
Jimmie Ward,Video | Scouts Report,S,Mobile,AL,5'11'',,,NR,,,2010,Northern Illinois,171,Northern Illinois,NR,NR
Michael Santacaterina,Video | Scouts Report,S,Geneva,IL,5'10'',,,,,,2010,Northern Illinois,199,Northern Illinois,,
Dechane Durante,Video | Scouts Report,OLB,Charlotte,NC,6'3'',,,,,,2010,Northern Illinois,193,Northern Illinois,,
Mike Gegner,Video | Scouts Report,OC,Indianapolis,IN,6'3'',,,NR,,,2010,Northern Illinois,260,Northern Illinois,,
Mike Hellams,Video | Scouts Report,ILB,Bolingbrook,IL,6'0'',,,,,,2010,Northern Illinois,214,Northern Illinois,,
Blake Goodell,Video | Scouts Report,DT,Traverse City,MI,6'3'',,,,,,2010,Northern Illinois,270,Northern Illinois,,
C.J. Compher,Video | Scouts Report,TE,Sycamore,IL,6'1'',,,,,,2010,Northern Illinois,230,Northern Illinois,,
Luke Eakes,Video | Scouts Report,TE,Indianapolis,IN,6'4'',,,,,,2010,Northern Illinois,230,Northern Illinois,,
Zach Giller,Video | Scouts Report,S,Gregory,MI,6'2'',,,,,,2010,Northern Illinois,195,Northern Illinois,,
Marckie Hayes,Video | Scouts Report,CB,Sycamore,IL,5'8'',,,NR,,,2010,Northern Illinois,180,Northern Illinois,NR,NR
Tyler Pitt,Video | Scouts Report,OT,McRae,GA,6'6'',,,5,,,2010,Northern Illinois,275,Northern Illinois,NR,NR
Jamison Wells,Video | Scouts Report,WR,Combined Locks,WI,5'11'',,,,,,2010,Northern Illinois,185,Northern Illinois,,
Jasmin Hopkins,Video | Scouts Report,RB (JC),Mount Holly,NC,5'8'',,,,,,2010,Northern Illinois,180,Northern Illinois,,
Demetrius Stone,Video | Scouts Report,S (JC),Hialeah,FL,5'11'',,,,,,2010,Northern Illinois,190,Northern Illinois,,
