Name,Pos,City,State,Height,Weight,Grade,School,Pos_rank,Reg_rank,State_rank,Year,Team,University,Stars, Reg_rank, State_rank
Nate Williams,ILB,Pittsburgh,PA,6'2'',223,63.0,Northwestern,,,,2006,Northwestern,,,,
Justan Vaughn,CB,Pearland,TX,6'0'',165,,Northwestern,NR,NR,NR,2006,Northwestern,,,,
Marshall Thomas,DT,Miami,FL,6'3'',266,,Northwestern,,,,2006,Northwestern,,,,
Sidney Stewart,WR,Farmington,MI,6'0'',175,66.0,Northwestern,166,,,2006,Northwestern,,,,
Connor Smith,OG,Spring Branch,TX,6'4'',285,,Northwestern,,,,2006,Northwestern,,,,
Stephen Simmons,RB,Saint Louis,MO,5'7'',169,76.0,Northwestern,,,,2006,Northwestern,,,,
Brad Phillips,QB,Murrysville,PA,6'4'',210,75.0,Northwestern,,,,2006,Northwestern,,,,
Brendan Mitchell,TE,Hudson,OH,6'3'',220,,Northwestern,,,,2006,Northwestern,,,,
Sherrick McManis,CB,Peoria,IL,6'0'',175,,Northwestern,NR,NR,NR,2006,Northwestern,,,,
Joseph Mauro,QB,Bedford,TX,6'4'',205,72.0,Northwestern,,,,2006,Northwestern,,,,
Kendal Mason,DT,Delray Beach,FL,6'1'',270,,Northwestern,,,,2006,Northwestern,,,,
Carl Fisher,WR,Bolingbrook,IL,6'0'',200,75.0,Northwestern,,63,NR,2006,Northwestern,,,,
Stefan Demos,K,Scottsdale,AZ,5'10'',190,,Northwestern,,,,2006,Northwestern,,,,
Quenton Davie,OLB,Saint Louis,MO,6'4'',200,77.0,Northwestern,23,,,2006,Northwestern,,,,
Lee Coleman,WR,Gainesville,GA,6'0'',173,,Northwestern,,,,2006,Northwestern,,,,
Corbin Bryant,TE,Chicago,IL,6'4'',240,,Northwestern,,,,2006,Northwestern,,,,
Mike Boyle,OT,Princeton,NJ,6'7'',270,74.0,Northwestern,74,53,,2006,Northwestern,,,,
Patrick Ward,OT,New Lenox,IL,6'6'',295,79.0,,18,NR,NR,2009,Northwestern,Northwestern,,,
Evan Watkins,QB,Carol Stream,IL,6'6'',230,78.0,,26,,,2009,Northwestern,Northwestern,,,
Jeff Budzien,K,Hartland,WI,5'11'',150,77.0,,19, None, None,2009,Northwestern,Northwestern,,,
Davion  Fleming,S,Upland,CA,5'10'',210,77.0,,25,,,2009,Northwestern,Northwestern,,,
Will Studlien,ILB,Sunbury,OH,6'2'',220,77.0,,NR,,,2009,Northwestern,Northwestern,,,
Arby Fields,RB,Rancho Cucamonga,CA,5'8'',187,77.0,,62,NR,NR,2009,Northwestern,Northwestern,,,
Brian Smith,OT,Cuyahoga Falls,OH,6'7'',277,76.0,,113,181,NR,2009,Northwestern,Northwestern,,,
Roderick Goodlow,S,Dallas,TX,6'2'',202,76.0,,,,,2009,Northwestern,Northwestern,,,
Mike Trumpy,RB,Wheaton,IL,6'0'',195,76.0,,,102,,2009,Northwestern,Northwestern,,,
Davon Custis,DE,Columbus,OH,6'5'',210,75.0,,74,260,,2009,Northwestern,Northwestern,,,
Taylor Paxton,OG,Centennial,CO,6'4'',253,74.0,,110,,,2009,Northwestern,Northwestern,,,
Anthony Battle,DE,Chicago,IL,6'3'',230,74.0,,,,,2009,Northwestern,Northwestern,,,
Tyler Scott,OLB,Warren,OH,6'3'',210,74.0,,92,,,2009,Northwestern,Northwestern,,,
John Plasencia,TE,Tampa,FL,6'5'',235,73.0,,,,,2009,Northwestern,Northwestern,,,
Drew Moulton,WR,Midland,MI,5'11'',164,73.0,,,,,2009,Northwestern,Northwestern,,,
Damien Proby,OLB,Las Vegas,NV,6'0'',208,73.0,,,,,2009,Northwestern,Northwestern,,,
Cooper Gerami,,Lafayette,LA,6'0'',185,,,,,,2009,Northwestern,Northwestern,,,
Tim Riley,OLB,Oswego,IL,6'3'',220,,,,,,2009,Northwestern,Northwestern,,,
Christian Jones,WR,Spring,TX,6'3'',200,Northwestern,,19,,,2011,Northwestern,,81,15,14
Jack Konopka,OT,Palatine,IL,6'5'',265,Northwestern,,23,,,2011,Northwestern,,79,32, NR
Shane Mertz,OT,Hazlet,NJ,6'7'',280,Northwestern,,25,,,2011,Northwestern,,79,53,9
Zack Oliver,QB,Baton Rouge,LA,6'3'',220,Northwestern,,28,,,2011,Northwestern,,78,207,17
Drew Smith,OLB,Cincinnati,OH,6'1'',200,Northwestern,,64,,,2011,Northwestern,,78,76,36
Max Chapman,DE,Ponte Vedra Beach,FL,6'3'',230,Northwestern,,54,,,2011,Northwestern,,78,256, NR
Mark Szott,TE,Aurora,IL,6'3'',225,Northwestern,,37,,,2011,Northwestern,,77,,
Treyvon Green,RB,Rowlett,TX,5'9'',195,Northwestern,,53,,,2011,Northwestern,,77,,
Deonte Gibson,DE,Lakewood,OH,6'3'',230,Northwestern,,110,,,2011,Northwestern,,76,127,57
Jarrell Williams,CB,Oak Lawn,IL,5'10'',165,Northwestern,,45,,,2011,Northwestern,,76,130, NR
Pierre Youngblood-Ary,WR,Altamonte Springs,FL,6'2'',185,Northwestern,,113,,,2011,Northwestern,,76,,
Jordan Perkins,RB,Lodi,CA,5'11'',180,Northwestern,,94,,,2011,Northwestern,,75,157,106
Matt Frazier,OT,Kankakee,IL,6'4'',280,Northwestern,,113,,,2011,Northwestern,,75,157, NR
Geoff Mogus,OG,Lakewood,OH,6'4'',275,Northwestern,,69,,,2011,Northwestern,,75,,
C.J. Robbins,DT,La Salle,IL,6'4'',240,Northwestern,,105,,,2011,Northwestern,,75,,
Nick VanHoose,S,Saint Paris,OH,6'0'',175,Northwestern,,113,,,2011,Northwestern,,74,223,96
Cameron Dickerson,WR,Oradell,NJ,6'2'',195,Northwestern,,179,,,2011,Northwestern,,73,,
Ifeadi Odenigbo,DE,Centerville,OH,6'3'',212,82.0,,6,1,1,2012,Northwestern,Northwestern,2.0,,
Ian Park,OG,Upper Saint Clair,PA,6'4'',295,78.0,,38,62,17,2012,Northwestern,Northwestern,2.0,,
Kenton Playko,OT,Lewis Center,OH,6'6'',270,77.0,,80,,,2012,Northwestern,Northwestern,2.0,,
Connor Mahoney,OG,Malvern,PA,6'3'',270,77.0,,107,,,2012,Northwestern,Northwestern,2.0,,
Dean Lowry,DE,Rockford,IL,6'4'',224,76.0,,115,116,22,2012,Northwestern,Northwestern,2.0,,
Greg Kuhar,DT,Lakewood,OH,6'3'',280,76.0,,124,81,57,2012,Northwestern,Northwestern,2.0,,
Jack Schwaba,TE,Upper Saint Clair,PA,6'4'',225,75.0,,60,,,2012,Northwestern,Northwestern,2.0,,
Eric Wilson,WR,Redford,MI,6'1'',200,75.0,,146,147,25,2012,Northwestern,Northwestern,2.0,,
Eric Olson,OT,Cambridge,MA,6'6'',270,75.0,,143,173,5,2012,Northwestern,Northwestern,2.0,,
Malin Jones,RB,Joliet,IL,6'2'',215,74.0,,86,188,33,2012,Northwestern,Northwestern,2.0,,
Dwight White Jr.,S,Cypress,TX,5'10'',169,74.0,,,,,2012,Northwestern,Northwestern,2.0,,
Terrance Brown,S,Los Alamitos,CA,6'0'',195,74.0,,113,237,151,2012,Northwestern,Northwestern,2.0,,
Traveon Henry,RB,Fort Lauderdale,FL,6'1'',200,74.0,,120,,,2012,Northwestern,Northwestern,2.0,,
Joseph Jones,S,Plano,IL,6'1'',185,73.0,,262,,41,2012,Northwestern,Northwestern,2.0,,
Jaylen Prater,OLB,Wellston,OH,6'0'',215,73.0,,128,273,119,2012,Northwestern,Northwestern,2.0,,
Andrew Scanlan,WR,Royersford,PA,6'1'',190,73.0,,210,248,69,2012,Northwestern,Northwestern,2.0,,
Michael McHugh,WR,Kirkwood,MO,6'3'',172,70.0,,238,419,25,2012,Northwestern,Northwestern,2.0,,
Chris Fitzpatrick,LS,Lawrenceburg,KY,6'1'',235,70.0,,6,,,2012,Northwestern,Northwestern,2.0,,
Dan Vitale III,WR,Wheaton,IL,6'2'',215,68.0,,261,366,58,2012,Northwestern,Northwestern,2.0,,
Stephen Buckley,ATH,Forney,TX,6'0'',173,67.0,,204,,,2012,Northwestern,Northwestern,,,
Kyle Prater,WR,Hillside,IL,6'5'',215,,,,,,2012,Northwestern,Northwestern,2.0,,
Matt Alviti,QB-DT,Park Ridge,IL,6'0'',192,83,,2,20,8,2013,Northwestern,Northwestern,,,
Godwin Igwebuike,ATH,Pickerington,OH,6'0'',190,80,,,,,2013,Northwestern,Northwestern,,,
Brad North,OG,Allen,TX,6'2'',280,78,,,,,2013,Northwestern,Northwestern,,,
Anthony Walker Jr.,OLB,Miami,FL,6'1'',207,77,,71,312,116,2013,Northwestern,Northwestern,,,
