Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,University , Reg_rank, State_rank,University  , State_rank 
Ian Williams,DT,Longwood,FL,6'3'',295,79.0,,Notre Dame,12,,120,2007,Notre Dame,,,,,
Brandon Walker,K,Findlay,OH,6'2'',190,,,Notre Dame,,,,2007,Notre Dame,,,,,
Golden Tate,WR,Hendersonville,TN,5'11'',180,85.0,,Notre Dame,,,,2007,Notre Dame,,,,,
Harrison Smith,S,Knoxville,TN,6'2'',205,78.0,,Notre Dame,26,NR,NR,2007,Notre Dame,,,,,
Brian Smith,ILB,Overland Park,KS,6'1'',205,79.0,,Notre Dame,4.0,,,2007,Notre Dame,,,,,
Matt Romine,OT,Tulsa,OK,6'6'',265,80.0,,Notre Dame,7,,,2007,Notre Dame,,,,,
Mike Ragone,TE,Cherry Hill,NJ,6'5'',230,81.0,,Notre Dame,2,NR,55,2007,Notre Dame,,,,,
Stephen Paskorz,RB,Allison Park,PA,6'1'',208,77.0,,Notre Dame,77,54,,2007,Notre Dame,,,,,
Emeka Nwankwo,OT,Hollywood,FL,6'3'',285,79.0,,Notre Dame,19,NR,NR,2007,Notre Dame,,,,,
Andrew Nuss,OT,Ashburn,VA,6'5'',270,78.0,,Notre Dame,21,NR,NR,2007,Notre Dame,,,,,
Kerry Neal,DE,Bunn,NC,6'3'',232,84.0,,Notre Dame,4,NR,NR,2007,Notre Dame,,,,,
Aaron Nagel,S,Lemont,IL,6'1'',210,77.0,,Notre Dame,33,NR,NR,2007,Notre Dame,,,,,
Duval Kamara,WR,Hoboken,NJ,6'4'',205,82.0,,Notre Dame,36th,,,2007,Notre Dame,,,,,
Robert Hughes,RB,Chicago,IL,6'0'',220,79.0,,Notre Dame,,,,2007,Notre Dame,,,,,
Gary Gray,CB,Columbia,SC,5'11'',170,85.0,,Notre Dame,,,,2007,Notre Dame,,,,,
Taylor Dever,OT,Grass Valley,CA,6'6'',290,69.0,,Notre Dame,6,,,2007,Notre Dame,,,,,
Jimmy Clausen,QB,Westlake Village,CA,6'3'',218,86.0,,Notre Dame,1,,,2007,Notre Dame,,,,,
Armando Allen,RB,Hialeah,FL,5'10'',180,79.0,,Notre Dame,25,NR,NR,2007,Notre Dame,,,,,
Manti Te'o,OLB,Honolulu,HI,6'2'',230,93,Notre Dame,,nr,,,2009,Notre Dame,,2,31,,
Tyler Stockton,DT,Princeton,NJ,6'1'',290,83,Notre Dame,,40th,,,2009,Notre Dame,, None, None,,
Shaquelle Evans,WR,Inglewood,CA,6'1'',203,83,Notre Dame,,4,,,2009,Notre Dame,, NR, NR,,
Chris Watt,OG,Glen Ellyn,IL,6'3'',280,82,Notre Dame,,109,,,2009,Notre Dame,, NR, NR,,
Zach Martin,OT,Indianapolis,IN,6'5'',260,81,Notre Dame,,122,,,2009,Notre Dame,, NR, NR,,
Cierre Wood,ATH,Oxnard,CA,6'0'',192,81,Notre Dame,,13,,,2009,Notre Dame,,16, NR,,
E.J. Banks,ATH,Mckees Rocks,PA,6'0'',185,81,Notre Dame,,6,,,2009,Notre Dame,,127,49,,
Ben Turk,K,Fort Lauderdale,FL,6'0'',185,79,Notre Dame,,28,,,2009,Notre Dame,,140,55,,
Zeke Motta,S,Vero Beach,FL,6'2'',207,79,Notre Dame,,13,,,2009,Notre Dame,, NR, NR,,
Tyler Eifert,TE,Fort Wayne,IN,6'6'',220,79,Notre Dame,,48,,,2009,Notre Dame,,65, None,,
Theo Riddick,ATH,Somerville,NJ,5'10'',185,78,Notre Dame,,12,,,2009,Notre Dame,,,,,
Carlo Calabrese,ILB,Verona,NJ,6'2'',225,78,Notre Dame,,,,,2009,Notre Dame,,,,,
Jordan Cowart,ATH,Fort Lauderdale,FL,6'2'',215,77,Notre Dame,,50,,,2009,Notre Dame,,,,,
Alex Bullard,OG,Brentwood,TN,6'3'',280,77,Notre Dame,,76,,,2009,Notre Dame,, NR, NR,,
Dan Fox,ILB,Cleveland,OH,6'3'',215,76,Notre Dame,,53,,,2009,Notre Dame,,,,,
Jake Golic,TE,West Hartford,CT,6'4'',202,76,Notre Dame,,29,,,2009,Notre Dame,,286, None,,
Nick Tausch,K,Dallas,TX,6'1'',180,74,Notre Dame,,199,,,2009,Notre Dame,, NR, NR,,
Robbie Toma,WR,Honolulu,HI,5'9'',160,68,Notre Dame,,,,,2009,Notre Dame,,,,,
Louis Nix,DT,Jacksonville,FL,6'3'',318,1,81,,6,,,2010,Notre Dame,, None,64,Notre Dame  ,
