Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank
Chris Wells,RB,Akron,OH,6'2'',230,86.0,Ohio State,3,1,1,2006,Ohio State,,,
Connor Smith,OT,Cincinnati,OH,6'6'',275,82.0,Ohio State,80.0, None, None,2006,Ohio State,,,
Ray Small,CB,Cleveland,OH,5'11'',170,78.0,Ohio State,21,,,2006,Ohio State,,,
Grant Schwartz,QB,Dana Hills,CA,6'0'',201,75.0,Ohio State,55,,,2006,Ohio State,,,
Robert Rose,DE,Cleveland,OH,6'4'',260,82.0,Ohio State,4,4,2,2006,Ohio State,,,
Aram Olson,FB,Columbia,SC,6'1'',250,81.0,Ohio State,2,,,2006,Ohio State,,,
Tyler Moeller,S,Cincinnati,OH,6'1'',205,78.0,Ohio State,30,,,2006,Ohio State,,,
Andy Miller,TE,Washington,PA,6'6'',250,74.0,Ohio State,45,,,2006,Ohio State,,,
Dexter Larimore,DT,Merrillville,IN,6'3'',265,71.0,Ohio State,63,,,2006,Ohio State,,,
Mark Johnson,ILB,Los Angeles,CA,6'4'',230,80.0,Ohio State,7, NR,146,2006,Ohio State,,,
Ross Homan,ILB,Coldwater,OH,6'1'',237,78.0,Ohio State,15,,,2006,Ohio State,,,
Antonio Henton,QB,Fort Valley,GA,6'2'',215,75.0,Ohio State,48,,,2006,Ohio State,,,
Larry Grant,ILB,Norcross,GA,6'3'',225,,Ohio State,, None, None,2006,Ohio State,,,
Thaddeus Gibson,OLB,Euclid,OH,6'3'',210,80.0,Ohio State,11,17,9,2006,Ohio State,,,
Aaron Gant,S,Orchard Lake,OH,6'0'',200,,Ohio State,NR, NR, NR,2006,Ohio State,,,
Walter Dublin,DE,Sarasota,FL,6'2'',220,77.0,Ohio State,34,146, None,2006,Ohio State,,,
Kurt Coleman,CB,Clayton,OH,6'0'',180,81.0,Ohio State,12,15,8,2006,Ohio State,,,
Chimidi Chekwa,CB,Clermont,FL,6'1'',175,71.0,Ohio State,73,,,2006,Ohio State,,,
Bryant Browning,OG,Cleveland,OH,6'3'',328,78.0,Ohio State,14,,,2006,Ohio State,,,
Jake Ballard,TE,Springboro,OH,6'7'',265,77.0,Ohio State,18,35,19,2006,Ohio State,,,
Taurian Washington,WR,Orchard Lake,MI,6'1'',170,,,53,,,2007,Ohio State,77.0,,
Devon Torrence,RB,Canton,OH,5'11'',190,,,14,,,2007,Ohio State,79.0,NR,NR
Solomon Thomas,DE,West Chester,OH,6'4'',220,,,46,,,2007,Ohio State,77.0,,
James Scott,CB,Daytona Beach,FL,5'11'',180,,,16,,,2007,Ohio State,79.0,,
Dane Sanzenbacher,WR,Toledo,OH,5'11'',175,,,NR,,,2007,Ohio State,68.0,168,NR
Brandon Saine,RB,Piqua,OH,6'1'',195,,,61,,,2007,Ohio State,76.0,,
Brian Rolle,ILB,Immokalee,FL,5'11'',216,,,110,,,2007,Ohio State,66.0,,
Rocco Pentello,QB,Westerville,OH,6'1'',190,,,,,,2007,Ohio State,74.0,,
Nate Oliver,S,Lakewood,OH,6'1'',200,,,NR,,,2007,Ohio State,77.0,,
Jermale Hines,OLB,Cleveland,OH,6'2'',205,,,9,,,2007,Ohio State,79.0,,
Cameron Heyward,DT,Suwanee,GA,6'6'',270,,,18,,,2007,Ohio State,78.0, NR, NR
"Daniel ""Boom"" Herron",RB,Warren,OH,5'11'',178,,,NR,,,2007,Ohio State,74.0,NR,NR
Donnie Evege,CB,Huber Heights,OH,5'11'',180,Ohio State,,4,,,2007,Ohio State,,,37
Eugene Clifford,S,Cincinnati,OH,6'2'',190,,,,,,2007,Ohio State,82.0,,
Evan Blankenship,OC,Monaca,PA,6'3'',312,Ohio State,,,,,2007,Ohio State,,,
Nathan Williams,OLB,Washington Court House,OH,6'4'',245,Ohio State,,25,,,2008,Ohio State,79,,
Keith Wells,DE,Gainesville,GA,Gainesville High School,6'5'',77,Ohio State,60,,,2008,Ohio State,211,,
Lamaar Thomas,ATH,Fort Washington,MD,Friendly Senior High School,5'11'',80,Ohio State,15,,,2008,Ohio State,175,,
Andrew Sweat,ILB,Washington,PA,Trinity High School,6'3'',83,Ohio State,2,,,2008,Ohio State,225,NR,48
Jake Stoneburner,TE,Dublin,OH,Dublin Coffman High School,6'6'',81,Ohio State,5,,,2008,Ohio State,223,NR,NR
J.B. Shugarts,OT,Spring,TX,Klein High School,6'7'',82,Ohio State,3,,,2008,Ohio State,299,NR,56
Etienne Sabino,ILB,Miami,FL,Dr. Krop High School,6'3'',85,Ohio State,1,,,2008,Ohio State,228,9,NR
Shawntel Rowell,OG,Cleveland,OH,Glenville High School,6'3'',75,Ohio State,50,,,2008,Ohio State,325,NR,NR
Terrelle Pryor,QB,Jeannette,PA,Jeannette High School,6'6'',93,Ohio State,4th,,,2008,Ohio State,227,,
DeVier Posey,WR,Cincinnati,OH,La Salle High School,6'2'',80,Ohio State,27,,,2008,Ohio State,190,NR,NR
Willie Mobley,DE,Eden Prairie,MN,Eden Prairie High,6'2'',79,Ohio State,16,,,2008,Ohio State,260,,
Jermil Martin,FB,Cleveland,OH,Glenville High School,6'0'',70,Ohio State,35,,,2008,Ohio State,225,,
Orhian Johnson,S,Gulfport,FL,Boca Ciega High School,6'2'',,Ohio State,,,,2008,Ohio State,178,,
Travis Howard,CB,Miami,FL,Dr. Krop High School,6'0'',81,Ohio State,10,,,2008,Ohio State,172,,
Garrett Goebel,DT,Villa Park,IL,Montini Catholic High School,6'5'',80,Ohio State,7,,,2008,Ohio State,264,,
Zach Domicone,S,Xenia,OH,Beavercreek High School,6'2'',76,Ohio State,49,,,2008,Ohio State,210,,
Nic DiLillo,TE,Madison,OH,Madison High School,6'5'',79,Ohio State,13,,,2008,Ohio State,219,,
Ben Buchanan,K,Westerville,OH,Westerville Central High School,5'10'',77,Ohio State,10,,,2008,Ohio State,191,,
Michael Brewster,OT,Orlando,FL,Edgewater High School,6'6'',83,Ohio State,2,,,2008,Ohio State,290,24,
Mike Adams,OT,Dublin,OH,Dublin Coffman High School,6'7'',82,Ohio State,8,,,2008,Ohio State,308,NR,NR
Jaamal Berry,RB,Miami,FL,5'11'',185,84,Ohio State,3,,,2009,Ohio State,,13,6
Roderick Smith,RB,Fort Wayne,IN,6'2'',220,82,Ohio State,7,,,2010,Ohio State,,,56
James Louis,WR,Delray Beach,FL,5'11'',180,81,Ohio State,12,,,2010,Ohio State,,,
Darryl Baldwin,DE,Solon,OH,6'5'',255,81,Ohio State,,,,2010,Ohio State,,,131
Corey Brown,WR,Springfield,PA,6'0'',171,81,Ohio State,137th,,,2010,Ohio State,,,
Andrew Norwell,OT,Cincinnati,OH,6'7'',275,80,Ohio State,13,,,2010,Ohio State,,,
Tyrone Williams,WR,East Cleveland,OH,6'5'',215,79,Ohio State,34,,,2010,Ohio State,,,
Carlos Hyde,RB,Naples,FL,6'1'',230,79,Ohio State,,,,2010,Ohio State,,,
David Durham,DE,Charlotte,NC,6'2'',225,79,Ohio State,33,,,2010,Ohio State,,,
Jamel Turner,OLB,Youngstown,OH,6'3'',215,79,Ohio State,24,,,2010,Ohio State,,,
Christian Bryant,S,Cleveland,OH,5'10'',175,78,Ohio State,35,,,2010,Ohio State,,,
Bradley Roby,ATH,Suwanee,GA,6'0'',167,78,Ohio State,42,,,2010,Ohio State,,,
J.T. Moore,DE,Youngstown,OH,6'3'',230,78,Ohio State,56,,,2010,Ohio State,,NR,NR
Johnathon Hankins,DT,Detroit,MI,6'3'',315,77,Ohio State,49,,,2010,Ohio State,,,
Scott McVey,ILB,Cleveland,OH,6'0'',215,77,Ohio State,19.0,,,2010,Ohio State,,position,NR
Drew Basil,K,Chillicothe,OH,6'2'',188,76,Ohio State,,,,2010,Ohio State,,,
Chad Hagan,S,Canonsburg,PA,6'1'',210,75,Ohio State,,,,2010,Ohio State,,,
Taylor Graham,QB,Wheaton,IL,6'3'',185,74,Ohio State,,,,2010,Ohio State,,,
Verlon Reed,QB,Columbus,OH,6'2'',185,68,Ohio State,158.0,,,2010,Ohio State,,,
Adam Griffin,ATH,Columbus,OH,5'9'',180,67,Ohio State,277,,,2010,Ohio State,,,
Steve Miller,DE,Canton,OH,6'3'',226,82,Ohio State,30th,,,2011,Ohio State,,1,1
Curtis Grant,ILB,Richmond,VA,6'3'',220,81,Ohio State,3,,,2011,Ohio State,,,
Doran Grant,CB,Akron,OH,5'11'',177,81,Ohio State,3,,,2011,Ohio State,,5,3
Braxton Miller,QB,Huber Heights,OH,6'2'',190,81,Ohio State,4,,,2011,Ohio State,,,
Ryan Shazier,OLB,Plantation,FL,6'2'',205,81,Ohio State,4,,,2011,Ohio State,,47,NR
Evan Spencer,WR,Vernon Hills,IL,6'0'',178,81,Ohio State,18,,,2011,Ohio State,,8,
Michael Bennett,OG,Centerville,OH,6'3'',275,80,Ohio State,,,,2011,Ohio State,,,
Jeremy Cash,S,Plantation,FL,6'1'',185,80,Ohio State,13,,,2011,Ohio State,,,
Jeff Heuerman,TE,Naples,FL,6'5'',225,80,Ohio State,6,,,2011,Ohio State,,,
Nick Vannett,TE,Westerville,OH,6'5'',230,80,Ohio State,7,,,2011,Ohio State,,13,6
Brian Bobek,OC,Palatine,IL,6'2'',275,79,Ohio State,3,,,2011,Ohio State,,23,
Kenny Hayes,DE,Toledo,OH,6'5'',250,79,Ohio State,27,,,2011,Ohio State,,,
Chase Farris,DE,Elyria,OH,6'5'',265,79,Ohio State,28,,,2011,Ohio State,,,
Joel Hale,DT,Greenwood,IN,6'4'',290,79,Ohio State,30,,,2011,Ohio State,,35,
Devin Smith,WR,Massillon,OH,6'1'',175,78,Ohio State,55,,,2011,Ohio State,,,
Chris Carter Jr.,OG,Cleveland,OH,6'4'',330,78,Ohio State,26,,,2011,Ohio State,,59,27
Tommy Brown,OT,Akron,OH,6'5'',332,78,Ohio State,38,,,2011,Ohio State,,,
Ron Tanner II,S,Columbus,OH,6'0'',190,78,Ohio State,33,,,2011,Ohio State,,,
Cardale Jones,QB,Cleveland,OH,6'5'',220,78,Ohio State,33,,,2011,Ohio State,,,
Conner Crowell,OLB,Waldorf,MD,6'1'',220,78,Ohio State,6,,,2011,Ohio State,,,
DerJuan Gambrell,S,Toledo,OH,6'1'',180,77,Ohio State,55,,,2011,Ohio State,,,
Antonio Underwood,OG,Shaker Heights,OH,6'3'',295,75,Ohio State,75,,,2011,Ohio State,,,
Bryce Haynes,ATH,Cumming,GA,6'3'',185,73,Ohio State,195,,,2011,Ohio State,,,
Noah Spence,DE,Harrisburg,PA,6'4'',245,,,4,1,1,2012,Ohio State,86,,
Adolphus Washington,DE,Cincinnati,OH,6'4'',251,,,7,3,2,2012,Ohio State,81,,
Se'Von Pittman,DE,Canton,OH,6'4'',230,,,9,,,2012,Ohio State,80,,
Joey O'Connor,OG,Windsor,CO,6'4'',295,,,16,81,7,2012,Ohio State,80,,
Tommy Schutt,DT,Glen Ellyn,IL,6'3'',305,,,, None, None,2012,Ohio State,80,,
Jamal Marcus,DE,Durham,NC,6'2'',230,,,24,24,1,2012,Ohio State,80,,
Josh Perry,OLB,Galena,OH,6'3'',230,,,41,123,46,2012,Ohio State,80,,
Armani Reeves,ATH,West Roxbury,MA,5'11'',185,,,26,35,16,2012,Ohio State,80,,
Bri'onte Dunn,RB,Canton,OH,6'1'',222,,,34,37,3,2012,Ohio State,80,,
Ricquan Southward,WR,Lakeland,FL,6'2'',185,,,47,,,2012,Ohio State,79,,
Pat Elflein,OG,Pickerington,OH,6'3'',275,,,, None, None,2012,Ohio State,79,,
David Perkins,ATH,South Bend,IN,6'1'',220,,,, None, None,2012,Ohio State,79,,
Camren Williams,OLB,West Roxbury,MA,6'2'',210,,,, None, None,2012,Ohio State,79,,
Warren Ball,RB,Columbus,OH,6'1'',205,,,45,68,33,2012,Ohio State,78,,
Frank Epitropoulos,WR,Upper Arlington,OH,6'3'',195,,,, None, None,2012,Ohio State,78,,
Taylor Decker,OT,Vandalia,OH,6'8'',310,,,81,,,2012,Ohio State,78,,
Jacoby Boren,OG,Pickerington,OH,6'2'',275,,,42,93,46,2012,Ohio State,78,,
Cardale Jones,QB (POST),Cleveland,OH,6'5'',220,,,128,,,2012,Ohio State,78,,
Kyle Dodson,OT,Cleveland Heights,OH,6'5'',315,,,,,,2012,Ohio State,77,,
De'Van Bogard,S,Cleveland,OH,5'11'',180,,,45,176,79,2012,Ohio State,77,,
Blake Thomas,TE,Cleveland,OH,6'4'',240,,,84,188, None,2012,Ohio State,77,,
Najee Murray,CB,Steubenville,OH,5'9'',169,,,,,,2012,Ohio State,76,,
Michael Thomas,WR (POST),Woodland Hills,CA,6'3'',195,,,,,,2012,Ohio State,75,,
Luke Roberts,ILB,Lancaster,OH,6'2'',224,,,,,,2012,Ohio State,75,,
Tyvis Powell,S,Bedford,OH,6'3'',180,,,,,,2012,Ohio State,74,,
Eli Apple,CB,Voorhees,NJ,6'0'',185,90,Ohio State,3,,,2013,Ohio State,,1,1
Gareon Conley,CB,Massillon,OH,6'1'',165,87,Ohio State,7,,,2013,Ohio State,,4,1
Trey Johnson,ILB,Lawrenceville,GA,6'1'',215,87,Ohio State,2,,,2013,Ohio State,,27,6
Jalin Marshall,WR,Middletown,OH,5'11'',196,87,Ohio State,5,,,2013,Ohio State,,5,2
