Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,School
Marcellus Williamson,DT,Warrensville Heights,OH,6'1'',316,,,Ohio,,,,2006,Ohio,,,
Pete Reese,DE,Toledo,OH,6'4'',245,,,Ohio,,,,2006,Ohio,,,
Taylor Price,WR,Hilliard,OH,6'1'',195,,,Ohio,,,,2006,Ohio,,,
Julian Posey,CB,Cincinnati,OH,5'11'',165,,,Ohio,NR,NR,NR,2006,Ohio,,,
Chido Nwokocha,WR,Elk Grove,CA,6'0'',190,,,Ohio,,,,2006,Ohio,,,
Andrew Mooney,TE,Lubbock,TX,6'3'',223,,,Ohio,NR,NR,NR,2006,Ohio,,,
Robert Mercer,WR,Cleveland,OH,6'5'',185,,,Ohio,,,,2006,Ohio,,,
Terrence McCrae,WR,Connellsville,PA,6'3'',190,,69.0,Ohio,141,,,2006,Ohio,,,
Kris Luchsinger,DE,Columbus,OH,6'4'',230,,,Ohio,,,,2006,Ohio,,,
Stephen Jackson,CB,Austin,TX,6'2'',180,,,Ohio,,,,2006,Ohio,,,
Horace Hubbard,DE,Chatham,VA,6'5'',240,,,Ohio,,,,2006,Ohio,,,
Ernest Hodge,DT (POST),Chatham,VA,6'2'',250,,,Ohio,,,,2006,Ohio,,,
Robert Hightower,RB,Youngstown,OH,5'11'',190,,,Ohio,NR,NR,NR,2006,Ohio,,,
Alan Goff,DE (JC),Escondido,CA,6'4'',263,,,Ohio,,,,2006,Ohio,,,
Stafford Gatling,RB,Burlington,NC,5'11'',190,,,Ohio,,,,2006,Ohio,,,
Chris Garrett,WR,Bristow,VA,5'8'',175,,,Ohio,,,,2006,Ohio,,,
Pete D'Aguanno,OG (POST),Pound Ridge,NY,6'2'',291,,,Ohio,,,,2006,Ohio,,,
Kody Carr,DE,Dublin,OH,6'5'',200,,,Ohio,,,,2006,Ohio,,,
Cole Bunner,OT,Elkhorn,NE,6'5'',300,,,Ohio,,,,2006,Ohio,,,
Jacob Black,OT,Washington Court House,OH,6'6'',265,,,Ohio,,,,2006,Ohio,,,
QB,Beaver Falls,PA,6'2'',185,,,Ohio,,,,,2007,Ohio,,,
OT,Murrysville,PA,6'5'',275,72,,Ohio,,,,,2007,Ohio,,,
OT,Bethel Park,PA,6'7'',290,66,,Ohio,,,,,2007,Ohio,,,
QB,Los Angeles,CA,6'1'',187,,,Ohio,,,,,2007,Ohio,,,
DT,Miramar,FL,6'3'',283,,,Ohio,,,,,2007,Ohio,,,
OT,Hubbard,OH,6'7'',310,74,,Ohio,,,,,2007,Ohio,,,
OC,Harrison,OH,6'2'',220,,,Ohio,,,,,2007,Ohio,,,
OG,Morgantown,WV,6'4'',317,,,Ohio,,,,,2007,Ohio,,,
DT,Cincinnati,OH,6'0'',277,,,Ohio,,,,,2007,Ohio,,,
ILB,Kearney,NE,6'2'',225,,,Ohio,,,,,2007,Ohio,,,
CB,Youngstown,OH,5'8'',148,,,Ohio,,,,,2007,Ohio,,,
RB,Youngstown,OH,5'11'',190,,,Ohio,,,,,2007,Ohio,,,
RB,Erie,PA,5'11'',195,65,,Ohio,,,,,2007,Ohio,,,
WR,Auburn,WA,6'1'',190,,,Ohio,,,,,2007,Ohio,,,
DT,Lancaster,OH,6'3'',255,,,Ohio,,,,,2007,Ohio,,,
OT,Cincinnati,OH,6'4'',265,,,Ohio,,,,,2007,Ohio,,,
OLB,Tyler,TX,6'2'',205,,,Ohio,,,,,2007,Ohio,,,
OLB,Nelsonville,OH,6'0'',195,,,Ohio,,,,,2007,Ohio,,,
WR,Liberty Township,OH,6'1'',165,,,Ohio,,,,,2007,Ohio,,,
RB,South Brunswick,NJ,5'11'',187,,,Ohio,,,,,2007,Ohio,,,
TE,Grove City,OH,6'4'',236,68,,Ohio,,,,,2007,Ohio,,,
WR,Lantana,FL,5'10'',172,,,Ohio,,,,,2007,Ohio,,,
K,Gilbert,AZ,5'6'',198,Ohio,,,,,,,2007,Ohio,,,
Matt Weller,K,Twinsburg,OH,5'11'',190,,,Ohio,,,,2008,Ohio,,,
Brandon Weaver,OLB,Washington,PA,6'2'',210,,70.0,Ohio,,,,2008,Ohio,,,
Jordan Thompson,TE,Rockford,OH,6'3'',225,,,Ohio,123, NR, NR,2008,Ohio,,,
Patrick Tafua,S,Huntington Beach,CA,6'1'',195,,,Ohio,,,,2008,Ohio,,,
Tremayne Scott,DE,Ocala,FL,6'4'',245,,,Ohio,,,,2008,Ohio,,,
Melvin Payne,DE,Mobile,AL,6'3'',210,,,Ohio,,,,2008,Ohio,,,
