Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School
Artell Woods,RB,Bryan,TX,6'1'',180,78.0,Oklahoma State,,36, NR, NR,2006,Oklahoma State,,,
Donnell Williams,OLB,Houston,TX,6'2'',207,73.0,Oklahoma State,,41,,,2006,Oklahoma State,,,
Keith Toston,S,Angleton,TX,6'1'',195,77.0,Oklahoma State,,44,,,2006,Oklahoma State,,,
Al'Darius Thompson,WR,Mesquite,TX,5'10'',165,69.0,Oklahoma State,,33, NR, NR,2006,Oklahoma State,,,
Jacob Secrest,OG,Stillwater,OK,6'5'',295,75.0,Oklahoma State,,,,,2006,Oklahoma State,,,
Dantrell Savage,RB,Perkinston,MS,5'11'',195,,Oklahoma State,,27,,,2006,Oklahoma State,,,
Trent Perkins,OG,Alice,TX,6'5'',285,76.0,Oklahoma State,,387,,,2006,Oklahoma State,,,
Quencey Patrick,DT,Columbus,GA,6'2'',270,69.0,Oklahoma State,,NR,,,2006,Oklahoma State,,,
Anthony Parks,WR,El Dorado,KS,6'1'',185,,Oklahoma State,,,,,2006,Oklahoma State,,,
Russell Okung,OT,Fort Bend,TX,6'4'',250,73.0,Oklahoma State,,31,NR,NR,2006,Oklahoma State,,,
Myron McKinney,OT,Oklahoma City,OK,6'4'',285,77.0,Oklahoma State,,, None, None,2006,Oklahoma State,,,
Jonathan Lewis,DE,Carrollton,TX,6'2'',285,,Oklahoma State,,40, NR, NR,2006,Oklahoma State,,,
Orie Lemon,ILB,Houston,TX,6'2'',225,73.0,Oklahoma State,,NR, NR, None,2006,Oklahoma State,,,
Patrick Lavine,S,Houston,TX,6'2'',195,69.0,Oklahoma State,,99, NR, NR,2006,Oklahoma State,,,
Shane Jarka,DE,Fort Bend,TX,6'3'',235,69.0,Oklahoma State,,24,,,2006,Oklahoma State,,,
Adrian Hamilton,ILB,Dallas,TX,6'2'',220,77.0,Oklahoma State,,31, None, None,2006,Oklahoma State,,,
Justin Gent,ILB,Irving,TX,6'2'',218,75.0,Oklahoma State,,,67, None,2006,Oklahoma State,,,
Deron Fontenot,S,Grand Prairie,TX,5'10'',185,75.0,Oklahoma State,,25,,,2006,Oklahoma State,,,
Perrish Cox,CB,Waco,TX,6'1'',185,77.0,Oklahoma State,,,,,2006,Oklahoma State,,,
DeMarcus Conner,WR,Houston,TX,6'1'',185,,Oklahoma State,,,,,2006,Oklahoma State,,,
DeMarcus Conner,WR,Westfield,TX,6'1'',180,76.0,Oklahoma State,,13, NR, NR,2006,Oklahoma State,,,
Chris Collins,OLB,Texarkana,TX,6'1'',230,,Oklahoma State,,22,,,2006,Oklahoma State,,,
Ugo Chinasa,DE,Richardson,TX,6'6'',231,80.0,Oklahoma State,,6,,,2006,Oklahoma State,,,
Alex Cate,QB,Salt Lake City,UT,6'1'',183,78.0,Oklahoma State,,38,,,2006,Oklahoma State,,,
Derek Burton,DE,Muskogee,OK,6'4'',245,82.0,Oklahoma State,,, None, None,2006,Oklahoma State,,,
Preston Brown,RB,Antioch,TN,5'10'',180,78.0,Oklahoma State,,NR,,,2006,Oklahoma State,,,
Scott Broughton,CB,Hanahan,SC,6'1'',210,,Oklahoma State,,,,,2006,Oklahoma State,,,
Michael Booker,OG,Paris,TX,6'3'',300,,Oklahoma State,,,,,2006,Oklahoma State,,,
Terrance Anderson,CB,Aldine,TX,6'1'',173,81.0,Oklahoma State,,,,,2006,Oklahoma State,,,
Wilson Youman,TE,Saint Martinville,LA,6'5'',240,,,Oklahoma State,NR,,,2007,Oklahoma State,NR,NR,
Marc Yerry,OC,Matthews,NC,6'4'',220,,,Oklahoma State,,,,2007,Oklahoma State,,,
James Thomas,CB,La Marque,TX,6'0'',180,,63.0,Oklahoma State,63,,,2007,Oklahoma State,,,
Tonga Tea,DT,Anchorage,AK,6'0'',310,,,Oklahoma State,,,,2007,Oklahoma State,,,
John Rush,OG,Killeen,TX,6'4'',270,,73.0,Oklahoma State,47,,,2007,Oklahoma State,,,
Cornelius Robertson,WR,Houston,TX,6'5'',200,,,Oklahoma State,,,,2007,Oklahoma State,,,
Marcus Richardson,ILB,Seguin,TX,5'10'',210,,,Oklahoma State,,,,2007,Oklahoma State,,,
Jacolby Reed,CB,Houston,TX,5'11'',170,,,Oklahoma State,,,,2007,Oklahoma State,,,
Quinton Prince,DT,Oklahoma City,OK,6'3'',300,,,Oklahoma State,,,,2007,Oklahoma State,,,
Adrian Moore,RB,Pine Bluff,AR,6'0'',200,,,Oklahoma State,,,,2007,Oklahoma State,,,
Brett Moncrief,WR,Little Rock,AR,6'3'',180,,,Oklahoma State,,,,2007,Oklahoma State,,,
Nick Martinez,OG,Floresville,TX,6'4'',290,,,Oklahoma State,,,,2007,Oklahoma State,,,
Richetti Jones,DE,Dallas,TX,6'3'',230,,82.0,Oklahoma State,6,,,2007,Oklahoma State,,,
Ahmad Jones,DT,Silsbee,TX,6'2'',320,,74.0,Oklahoma State,46,,,2007,Oklahoma State,,,
Kendall Hunter,RB,Tyler,TX,5'9'',175,,76.0,Oklahoma State,,,,2007,Oklahoma State,,,
Jared Glover,DE,Bixby,OK,6'5'',225,,76.0,Oklahoma State,56,,,2007,Oklahoma State,,,
Grant Garner,OC,Mesquite,TX,6'3'',250,,72.0,Oklahoma State,20,,,2007,Oklahoma State,,,
Deron Fontenot,S,Grand Prairie,TX,5'10'',200,,75.0,Oklahoma State,,,,2007,Oklahoma State,,,
Damien Davis,WR,Mart,TX,6'5'',185,,69.0,Oklahoma State,158,,,2007,Oklahoma State,NR,NR,
Josh Cooper,WR,Mustang,OK,5'11'',175,,74.0,Oklahoma State,98,,,2007,Oklahoma State,NR,NR,
William Cole,WR,Cedar Hill,TX,5'10'',160,,78.0,Oklahoma State,34,,,2007,Oklahoma State,NR,NR,
Dez Bryant,WR,Lufkin,TX,6'1'',195,,83.0,Oklahoma State,29th,,,2007,Oklahoma State,,,
Jamie Blatnick,DE,Celina,TX,6'3'',245,,71.0,Oklahoma State,105,,,2007,Oklahoma State,NR,NR,
Hubert Anyiam,WR,Garland,TX,6'1'',170,,76.0,Oklahoma State,,,,2007,Oklahoma State,,,
Kenny Alexander,OLB,McKinney,TX,6'1'',215,,74.0,Oklahoma State,39,,,2007,Oklahoma State, None, None,
Justin Williams,DT,Grand Prairie,TX,6'0'',277,,70.0,Oklahoma State,70.0, None, None,2008,Oklahoma State,,,
Johnny Thomas,CB,Texas City,TX,6'0'',175,,,Oklahoma State,105,,,2008,Oklahoma State,,,
Kye Staley,RB,Guthrie,OK,6'0'',210,,81.0,Oklahoma State,117th,,,2008,Oklahoma State,,,
Travis Miller,RB,Marlin,TX,5'11'',185,,,Oklahoma State,NR, NR, NR,2008,Oklahoma State,,,
Herschel Sims,RB,Abilene,TX,5'8'',190,,80.0,Oklahoma State,124,,,2011,Oklahoma State,19,16,
J.W. Walsh,QB,Denton,TX,6'2'',195,,80.0,Oklahoma State,10,,,2011,Oklahoma State,,,
Nico Ornelas,OLB,North Richland Hills,TX,6'3'',200,,79.0,Oklahoma State,16,,,2011,Oklahoma State,,,
Desmond Roland,ATH,Dallas,TX,6'2'',200,,79.0,Oklahoma State,38,,,2011,Oklahoma State,60,51,
Josh Stewart,CB,Denton,TX,5'10'',165,,79.0,Oklahoma State,19,,,2011,Oklahoma State,,,
Miketavious Jones,CB,Houston,TX,5'10'',160,,78.0,Oklahoma State,20,,,2011,Oklahoma State,69,59,
Kris Catlin,ILB,San Antonio,TX,6'1'',215,,78.0,Oklahoma State,,,,2011,Oklahoma State,,,
Lyndell Johnson,S,Plano,TX,6'2'',190,,78.0,Oklahoma State,27,,,2011,Oklahoma State,80,67,
Travis Cross,OT,Plano,TX,6'5'',270,,78.0,Oklahoma State,37,,,2011,Oklahoma State,93,77,
Ashaad Mabry,DT,San Antonio,TX,6'2'',285,,78.0,Oklahoma State,54,,,2011,Oklahoma State,105,84,
Jimmie Bean,DE,Denton,TX,6'5'',215,,78.0,Oklahoma State,57,,,2011,Oklahoma State,113,92,
Demarcus Sherod,ILB,Decatur,GA,6'0'',227,,78.0,Oklahoma State,30,,,2011,Oklahoma State,,,
James Castleman,DE,Amarillo,TX,6'4'',255,,77.0,Oklahoma State,122,,,2011,Oklahoma State,,,
Johnny Haynes,WR,Irving,TX,5'10'',180,,77.0,Oklahoma State,77.0,,,2011,Oklahoma State,,,
David Glidden,WR,Mustang,OK,5'8'',160,,77.0,Oklahoma State,98,,,2011,Oklahoma State,178,NR,
Ryan Simmons,ILB,Cibolo,TX,6'0'',220,,76.0,Oklahoma State,39,,,2011,Oklahoma State,,,
Jonovan Griffin,ATH,McKinney,TX,6'0'',159,,76.0,Oklahoma State,112,,,2011,Oklahoma State,198,153,
Devin Davis,OT,Nacogdoches,TX,6'5'',250,,76.0,Oklahoma State,95,,,2011,Oklahoma State,,,
