Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University  ,School
Corey Wilson,WR,Carrollton,TX,6'0'',170,77.0,Oklahoma,,,,,2007,Oklahoma,,,,
Alex Williams,OT,New Orleans,LA,6'5'',290,74.0,Oklahoma,,NR,,,2007,Oklahoma,,,,
Londell Taylor,WR,Vian,OK,6'1'',195,71.0,Oklahoma,,142,NR,NR,2007,Oklahoma,,,,
Tyler Stradford,WR,New Orleans,LA,6'2'',185,75.0,Oklahoma,,,,,2007,Oklahoma,,,,
Jimmy Stevens,K,Oklahoma City,OK,5'6'',168,,Oklahoma,,,,,2007,Oklahoma,,,,
Donald Stephenson,OT,Kansas City,MO,6'6'',276,76.0,Oklahoma,,48,NR,NR,2007,Oklahoma,,,,
Mike Reed,OLB,Vero Beach,FL,6'4'',245,,Oklahoma,,,,,2007,Oklahoma,,,,
Sam Proctor,RB,Pearland,TX,6'1'',200,75.0,Oklahoma,,,,,2007,Oklahoma,,,,
Jordan Nix,DT,Lawton,OK,6'3'',260,,Oklahoma,,,,,2007,Oklahoma,,,,
Keith Nichol,QB,Lowell,MI,6'2'',180,78.0,Oklahoma,,32,,,2007,Oklahoma,,,,
Phil Loadholt,OT,Fort Carson,CO,6'9'',346,,Oklahoma,,,,,2007,Oklahoma,,,,
Travis Lewis,RB,San Antonio,TX,6'2'',210,75.0,Oklahoma,,,,,2007,Oklahoma,,,,
Desmond Jackson,S,Seguin,TX,5'11'',187,79.0,Oklahoma,,16,,,2007,Oklahoma,,,,
Jason Hannan,OC,Waxahachie,TX,6'3'',270,77.0,Oklahoma,,10,,,2007,Oklahoma,,,,
Jamell Fleming,CB,Arlington,TX,6'1'',170,77.0,Oklahoma,,37,,,2007,Oklahoma,,,,
Kody Cooke,OG,Enid,OK,6'4'',285,72.0,Oklahoma,,,,,2007,Oklahoma,,,,
Jontae Bumpus,DE,Muskogee,OK,6'4'',225,74.0,Oklahoma,,,,,2007,Oklahoma,,,,
Ryan Broyles,WR,Norman,OK,6'0'',165,77.0,Oklahoma,,58,,,2007,Oklahoma,,,,
Austin Box,TE,Enid,OK,6'2'',205,82.0,Oklahoma,,,,,2007,Oklahoma,,,,
David Anderson,DE,Lawton,OK,6'5'',220,,Oklahoma,,,,,2007,Oklahoma,,,,
Frank Alexander,DE,Baton Rouge,LA,6'4'',230,77.0,Oklahoma,,41,,,2007,Oklahoma,,,,
Tress Way,K,Tulsa,OK,6'2'',190,78,Oklahoma ,,6,,,2008,Oklahoma, None, None,,
R.J. Washington,DE,Keller,TX,6'3'',245,87,Oklahoma ,,2,,,2008,Oklahoma,,,,
Casey Walker,DT,Garland,TX,6'2'',303,77,Oklahoma ,,43,,,2008,Oklahoma,,,,
David Sims,S,Gainesville,FL,5'11'',200,NR,Oklahoma ,,,,,2008,Oklahoma,,,,
Jameel Owens,WR,Muskogee,OK,6'3'',205,82,Oklahoma ,,15,,,2008,Oklahoma,,,,
Britt Mitchell,OT,Roscoe,TX,6'7'',300,78,Oklahoma ,,40,,,2008,Oklahoma,,,,
DeJuan Miller,WR,Metuchen,NJ,6'5'',205,80,Oklahoma ,,26,,,2008,Oklahoma,,,,
Stacey McGee,DT,Muskogee,OK,6'4'',275,79,Oklahoma ,,14,,,2008,Oklahoma, NR, NR,,
David King,DE,Houston,TX,6'5'',238,74,Oklahoma ,,,,,2008,Oklahoma,,,,
Landry Jones,QB,Artesia,NM,6'4'',224,81,Oklahoma ,,11,,,2008,Oklahoma, NR, NR,,
Justin Johnson,RB,Gilmer,TX,6'0'',210,81,Oklahoma ,,15,,,2008,Oklahoma,,,,
Josh Jarboe,WR,Decatur,GA,6'2'',200,86,Oklahoma ,,13,,,2008,Oklahoma,7, None,,
Joseph Ibiloye,OLB,Garland,TX,6'3'',200,80,Oklahoma ,,17,,,2008,Oklahoma,,,,
Lamar Harris,WR,Gilmer,TX,6'2'',179,80,Oklahoma ,,30,,,2008,Oklahoma, NR, NR,,
James Hanna,TE,Flower Mound,TX,6'4'',220,80,Oklahoma ,,11,,,2008,Oklahoma,,,,
Ben Habern,OC,Argyle,TX,6'3'',260,79,Oklahoma ,,3,,,2008,Oklahoma, NR, NR,,
Stephen Good,OT,Paris,TX,6'5'',295,82,Oklahoma ,,7,,,2008,Oklahoma, NR, NR,,
Daniel Franklin,ILB,Clarkesville,GA,6'2'',210,81,Oklahoma ,,5,,,2008,Oklahoma,,,,
Jermie Calhoun,RB,Van,TX,6'0'',210,90,Oklahoma ,,1,,,2008,Oklahoma,,,,
J.R. Bryant,OLB,Jesup,GA,6'3'',225,NR,Oklahoma ,,,,,2008,Oklahoma,,,,
Mike Balogun,ILB,Scranton,PA,6'3'',244,NR,Oklahoma,,,,,2008,Oklahoma,,,,
Jamarkus McFarland,DT,Lufkin,TX,6'3'',280,83,Oklahoma,,,,,2009,Oklahoma, None, 54th,,
Gabe Lynn,S,Jenks,OK,6'0'',185,82,Oklahoma,,8,,,2009,Oklahoma,,,,
Ronnell Lewis,OLB,Dewar,OK,6'2'',225,82,Oklahoma,,7,,,2009,Oklahoma,15,2,,
Tom Wort,ILB,New Braunfels,TX,6'1'',210,82,Oklahoma,,3,,,2009,Oklahoma,,,,
Justin Chaisson,DE,Las Vegas,NV,6'5'',252,81,Oklahoma,,8,,,2009,Oklahoma, NR, NR,,
Kevin Brent,S,Dallas,TX,6'0'',200,81,Oklahoma,,13,,,2009,Oklahoma,,,,
Jonathon Miller,RB,Garland,TX,6'0'',185,79,Oklahoma,,29,,,2009,Oklahoma,45, NR,,
Gus Jones,ILB,Wagoner,OK,6'2'',211,79,Oklahoma,,8,,,2009,Oklahoma,47,5,,
Gabe Ikard,TE,Oklahoma City,OK,6'4'',246,78,Oklahoma,,19,,,2009,Oklahoma,66,7,,
Javon Harris,S,Lawton,OK,6'0'',179,78,Oklahoma,,32,,,2009,Oklahoma,68,8,,
Tyler Evans,OG,Strafford,MO,6'6'',299,78,Oklahoma,,25,,,2009,Oklahoma,,,,
Jaydan Bird,ILB,Conway Springs,KS,6'2'',215,78,Oklahoma,,18,,,2009,Oklahoma,,,,
Terry Franklin,DE,Mansfield,TX,6'3'',200,77,Oklahoma,,57,,,2009,Oklahoma,107,NR,,
Josh Aladenoye,OG,Mesquite,TX,6'5'',347,76,Oklahoma,,178,,,2009,Oklahoma,,,,
Marcus Trice,CB,Mesquite,TX,5'8'',167,75,Oklahoma,,52,,,2009,Oklahoma,211,NR,,
Jazmon Reynolds,WR,Aldine,TX,6'3'',182,75,Oklahoma,,113,,,2009,Oklahoma,,,,
Drew Allen,QB,San Antonio,TX,6'5'',195,75,Oklahoma,,58,,,2009,Oklahoma,,,,
Demontre Hurst,CB,Lancaster,TX,5'11'',170,75,Oklahoma,,,,,2009,Oklahoma,256, NR,,
Marshall Musil,FB,La Crosse,KS,6'3'',221,74,Oklahoma,,21,,,2009,Oklahoma,,,,
Jarrett Brown,,Arlington,TX,,240,NR,Oklahoma,,,,,2009,Oklahoma,,,,
Cameron Kenney,WR,Dacula,GA,Garden City Community College,6'2'',195,NR,Oklahoma,,,,2009,Oklahoma, NR, NR,,
Jarvis Jones,OT,Rosenberg,TX,Louisiana State University,6'7'',297,TR,Oklahoma,,,,2009,Oklahoma, None, None,,
Jeff Vinson,DT,Scranton,PA,Lackawanna College,6'6'',350,NR,Oklahoma,,,,2009,Oklahoma, None, None,,
Tavaris Jeffries,OT,Memphis,TN,Coahoma Community College,6'5'',320,NR,Oklahoma,NR,,,2009,Oklahoma, NR, NR,,
Lane Johnson,TE,Groveton,TX,Kilgore College,6'7'',252,NR,Oklahoma,,,,2009,Oklahoma, None, None,,
Brandon Williams,RB,Brookshire,TX,6'0'',190,,82,Oklahoma,5,,,2011,Oklahoma,5,5,,
Trey Metoyer,WR,Whitehouse,TX,6'2'',194,,81,Oklahoma,8,,,2011,Oklahoma,,,,
Danzel Williams,ATH,Arlington,TX,5'8'',185,,81,Oklahoma,64,,,2011,Oklahoma,9,9,,
