Name,Pos,City,State,Height,Weight,Grade,University ,Pos_rank,Reg_rank,State_rank,Year,Team, Pos, City, State, Height, Weight, Stars, Grade, University,Stars,University  ,University,Location,School, Reg_rank, State_rank
Stefen Wisniewski,OC,Pittsburgh,PA,6'4'',270,79,Penn State,131st,,,2007,Penn State,,,,,,,,,,,,,,,
J.B. Walton,OG,Indian Head,MD,6'3'',275,86,Penn State,,,,2007,Penn State,,,,,,,,,,,,,,,
Andrew Szczerba,TE,Wilmington,DE,6'6'',235,NR,Penn State,,,,2007,Penn State,,,,,,,,,,,,,,,
Nick Sukay,WR,Greensburg,PA,6'3'',190,79,Penn State,137th,,,2007,Penn State,,,,,,,,,,,,,,,
Joe Suhey,WR,Wilmette,IL,6'2'',185,NR,Penn State,NR,NR,NR,2007,Penn State,,,,,,,,,,,,,,,
Nathan Stupar,OLB,State College,PA,6'3'',220,79,Penn State,,7,,2007,Penn State,,,,,,,,,,,,,,,
Devon Still,OT,Wilmington,DE,6'6'',250,79,Penn State,,,,2007,Penn State,,,,,,,,,,,,,,,
Chaz Powell,SGlen Rock,PA,6'1'',185,74,Penn State,,74,,,2007,Penn State,,,,,,,,,,,,,,,
Ako Poti,OT,San Francisco,CA,6'5'',300,NR,Penn State,,,,2007,Penn State,,,,,,,,,,,,,,,
Chimaeze Okoli,DT,Virginia Beach,VA,6'5'',275,NR,Penn State,,,,2007,Penn State,,,,,,,,,,,,,,,
Derek Moye,WR,Rochester,PA,6'4'',180,NR,Penn State,,,,2007,Penn State,,,,,,,,,,,,,,,
Nerraw McCormick,OT,Bronx,NY,6'5'',290,NR,Penn State,,,,2007,Penn State,,,,,,,,,,,,,,,
Josh Marks,OG,Catawissa,PA,6'5'',300,79,Penn State,8,,,2007,Penn State,,,,,,,,,,,,,,,
Kevion Latham,OLB,Greensboro,NC,6'1'',183,77,Penn State,25,NR,NR,2007,Penn State,,,,,,,,,,,,,,,
Stephfon Green,CB,Bronx,NY,5'10'',185,NR,Penn State,,,,2007,Penn State,,,,,,,,,,,,,,,
Jon Ditto,TE,Monroeville,PA,6'4'',210,79,Penn State,8,,,2007,Penn State,,,,,,,,,,,,,,,
Andrew Dailey,OLB,Massillon,OH,6'3'',215,79,Penn State,10,,,2007,Penn State,,,,,,,,,,,,,,,
Chris Colasanti,ILB,Bloomfield Hills,MI,6'2'',205,78,Penn State,13,,,2007,Penn State,,,,,,,,,,,,,,,
Ryan Breen,K,Clarkston,MI,6'2'',190,76,Penn State,12,,,2007,Penn State,,,,,,,,,,,,,,,
Quinn Barham,OT,Durham,NC,6'4'',252,74,Penn State,,,,2007,Penn State,,,,,,,,,,,,,,,
Drew Astorino,CB,Edinboro,PA,5'11'',175,NR,Penn State,NR,NR,NR,2007,Penn State,,,,,,,,,,,,,,,
Michael Zordich Jr,,,,,,,,12,NR,NR,2008,Penn State, ILB, Youngstown, OH, 6'1'', 225, 79, None, Penn State,,,,,,,
Michael Yancich,,,,,,,,36.0,,,2008,Penn State, OLB, Washington, PA, None, None, None, None, Penn State,,,,,,,
Mark Wedderburn,,,,,,,,27,NR,NR,2008,Penn State, TE, Springfield, PA, None, None, None, None, Penn State,,,,,,,
Brandon Ware,,,,,,,,NR,NR,NR,2008,Penn State, DT, Harrisburg, PA, None, None, None, None, Penn State,,,,,,,
James Terry,,,,,,,,,,,2008,Penn State, DT, Wilmington, DE, None, None, None, None, Penn State,,,,,,,
Matt Stankiewitch,,,,,,,,5,NR,NR,2008,Penn State, OC, Schuylkill Haven, PA, None, None, None, None, Penn State,,,,,,,
A.J. Price,,,,,,,,47,,,2008,Penn State, WR, Reston, VA, 6'4'', 175, 79, None, Penn State,,,,,,,
Deon'tae Pannell,,,,,,,,3,36,,2008,Penn State, OT, Beverly Hills, MI, 6'5'', 300, None, None, Penn State,,,,,,,
Michael Mauti,,,,,,,,49,,,2008,Penn State, ILB, Mandeville, LA, None, 228, 82, Penn State,,,,,,,,
Pete Massaro,,,,,,,,64, NR, NR,2008,Penn State, DE, Newtown, PA, None, None, None, None, Penn State,,,,,,,
D'Anton Lynn,,,,,,,,,,,2008,Penn State, S, Celina, TX, None, 177, 79, Penn State,,,,,,,,
Mike Farrell,,,,,,,,21,, None,2008,Penn State, OT, Pittsburgh, PA, None, 275, 75, Penn State,,,,,,,,
Jack Crawford,,,,,,,,,,,2008,Penn State, TE, Richland, NJ, 6'6'', 250, 68, Penn State,,,,,,,,
Brandon Beachum,,,,,,,,,,,2008,Penn State, ILB, Youngstown, OH, 5'11'', 216, 78, None, Penn State,,,,,,,
Khairi Fortt,ILB,Stamford,CT,6'3'',226,,,NR,NR,66th,2010,Penn State,,,,,,,,,81,Penn State  ,,,,,
Dakota Royer,DE,Manheim,PA,6'3'',220,,,,,,2010,Penn State,,,,,,,,,81,Penn State  ,,,,,
