Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,None, None, None.1,School,University  
Taylor Wardlow,TE,Grapevine,TX,6'6'',215,,Rice,NR, NR, NR,2006,Rice,,,,,,,,
Scott Solomon,OLB,San Antonio,TX,6'1'',211,,Rice,,,,2006,Rice,,,,,,,,
Corbin Smiter,WR,Southlake,TX,6'3'',205,,Rice,, None, None,2006,Rice,,,,,,,,
Will Shoppa,FB,Fort Worth,TX,6'2'',210,,Rice,,,,2006,Rice,,,,,,,,
Patrick Randolph,CB,Cottondale,AL,6'0'',170,,Rice,,,,2006,Rice,,,,,,,,
Andrew Novak,WR,Ennis,TX,6'2'',190,,Rice,,,,2006,Rice,,,,,,,,
Kasey Nobles,TE,Lake Butler,FL,6'1'',210,74.0,Rice,46,,,2006,Rice,,,,,,,,
Drew Mehringer,WR,Mansfield,TX,6'1'',195,,Rice,,,,2006,Rice,,,,,,,,
Terrance Garmon,S,Tyler,TX,6'1'',207,,Rice,NR, NR, NR,2006,Rice,,,,,,,,
Evan Fentriss,WR,Southlake,TX,6'1'',185,,Rice,NR,,,2006,Rice,,,,,,,,
Toren Dixon,WR,Baton Rouge,LA,6'2'',185,73.0,Rice,98,291,NR,2006,Rice,,,,,,,,
Ryan Burke,OC,McKinney,TX,6'2'',275,78.0,Rice,4,,,2006,Rice,,,,,,,,
Pierre Beasley,QB,Spring,TX,6'4'',208,66.0,Rice,123, None, None,2006,Rice,,,,,,,,
Max Anyiam,CB,Garland,TX,6'0'',190,,Rice,,,,2006,Rice,,,,,,,,
Joseph Agnew,S,Southlake,TX,6'0'',190,75.0,Rice,61, NR, NR,2006,Rice,,,,,,,,
Aaron Williams,ATH,Mesquite,TX,6'3'',210,,Rice,,,,2007,Rice,,,,,,,,
Brandon Tolbert,ILB,Texarkana,AR,6'0'',195,,Rice,,,,2007,Rice,,,,,,,,
Cameron Thompson,DE,Cedar Hill,TX,6'1'',275,,Rice,,,,2007,Rice,,,,,,,,
Brian Stacey,DT,Houston,TX,6'1'',255,,Rice,,,,2007,Rice,,,,,,,,
Tyler Smith,RB,Cedar Park,TX,5'8'',180,,Rice,,,,2007,Rice,,,,,,,,
Tanner Shuck,OLB,Jenks,OK,5'11'',225,,Rice,,,,2007,Rice,65.0,,,,,,,
Davon Primus,OT,Humble,TX,6'3'',315,,Rice,,,,2007,Rice,,,,,,,,
Tyler Parish,OG,Ardmore,OK,6'3'',275,69.0,Rice,,,,2007,Rice,,,,,,,,
Cheta Ozougwa,OLB,Houston,TX,6'3'',215,,Rice,NR,,,2007,Rice,,NR,NR,,,,,
William Norris,QB,Plano,TX,6'1'',210,68.0,Rice,162,,,2007,Rice,,,,,,,,
Kramer Lucio,DE,Richardson,TX,6'5'',223,71.0,Rice,71.0,,,2007,Rice,,,,,,,,
Joseph Leary,CB,Copperas Cove,TX,5'11'',180,,Rice,,,,2007,Rice,,,,,,,,
Casey Labrue,OG,Enid,OK,6'2'',220,66.0,Rice,NR,,,2007,Rice,,NR,,,,,,
Randy Kitchens,QB,Waco,TX,6'2'',185,,Rice,,,,2007,Rice,,,,,,,,
Chris Jones,S,Arlington,TX,6'1'',175,,Rice,,,,2007,Rice,,,,,,,,
Brent Hotard,QB,Round Rock,TX,6'2'',195,,Rice,NR,,,2007,Rice,,NR,NR,,,,,
William Hinton,OT,Ellisville,MS,6'5'',290,,Rice,,,,2007,Rice,,,,,,,,
Justin Hill,ILB,Corinth,TX,6'0'',195,,Rice,,,,2007,Rice,,,,,,,,
Jake Hicks,OG,Montgomery,TX,6'4'',265,,Rice,,,,2007,Rice,,,,,,,,
Michael Fuda,WR,Katy,TX,6'0'',175,,Rice,,,,2007,Rice,,,,,,,,
Kody Emmert,TE,Liberty Hill,TX,6'6'',235,,Rice,NR,,,2007,Rice,,,,,,,,
Taylor Dupree,RB,Mesquite,TX,6'1'',195,,Rice,,,,2007,Rice,,,,,,,,
Jarvis Crawford,RB,Van,TX,6'1'',210,,Rice,,,,2007,Rice,,,,,,,,
James Casey,DE,Azle,TX,6'4'',230,,Rice,,,,2007,Rice,, None, None,,,,,
Keyshawn Carrington,TE,Missouri City,TX,6'3'',240,,Rice,,,,2007,Rice,,,,,,,,
Luke Wilson,TE,Ontario,CAN,6'5'',240,,Rice,,,,2008,Rice,,,,,,,,
Jared Williams,TE,Huntsville,TX,6'3'',250,,Rice,NR,,,2008,Rice,,NR,NR,,,,,
Denzel Wells,WR,Houston,TX,5'10'',170,,Rice,,,,2008,Rice,,,,,,,,
Xavier Webb,ATH,Montgomery,TX,5'11'',200,,Rice,,,,2008,Rice,,,,,,,,
Shane Turner,RB,Houston,TX,5'10'',170,76.0,Rice,,,,2008,Rice,,,,,,,,
Michael Smith,DT,Bay City,TX,6'1'',270,,Rice,NR,,,2008,Rice,,NR,NR,,,,,
Jordan Peppers,DE,Hurst,TX,6'3'',230,,Rice,,,,2008,Rice,,,,,,,,
Michael Patterson,ATH,Rockwall,TX,5'11'',169,66.0,Rice,NR,,,2008,Rice,,NR,NR,,,,,
Stefan Nazar,OG,Toronto,CAN,6'5'',290,,Rice,,,,2008,Rice,,,,,,,,
Kyle Martens,KS,Spearfish,SD,6'6'',180,,Rice,NR,,,2008,Rice,,NR,NR,,,,,
Roddy Maginot,WR,Arlington,TX,5'10'',170,77.0,Rice,,,,2008,Rice,,,,,,,,
Ryan Lewis,QB,Baton Rouge,LA,6'3'',200,73.0,Rice,446,,,2008,Rice,,77,,,,,,
Chris Jammer,CB,Sweeny,TX,6'1'',175,,Rice,,,,2008,Rice,,,,,,,,
Clay Hebert,OG,Klein,TX,6'3'',285,73.0,Rice,,,,2008,Rice,,,,,,,,
John Gioffre,DT,Katy,TX,6'0'',280,,Rice,NR,,,2008,Rice,,NR,NR,,,,,
Derek Clark,WR,Arlington,TX,6'3'',180,,Rice,NR,,,2008,Rice,,NR,NR,,,,,
Jarrett Ben,CB,Garland,TX,5'10'',156,73.0,Rice,,,,2008,Rice,,,,,,,,
Eric Ball,OC,Katy,TX,6'3'',270,75.0,Rice,16,,,2008,Rice,,,,,,,,
Andre Brackens,CB,Dallas,TX,5'9'',185,Rice,,21,,,2009,Rice,79.0,58,NR,,,,,
Chris Boswell,K,Keller,TX,6'3'',180,Rice,,18,,,2009,Rice,77.0,113,NR,,,,,
