Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,School,Reg_rank,State_rank
Marcus Yarbrough,ILB,Chula Vista,CA,6'2'',240.0,68.0,San Diego State,, None, None,2006,San Diego State,,,,
B.J. Williams,DE,Aurora,CO,6'3'',220.0,,San Diego State,,,,2006,San Diego State,,,,
Rico Thomas,CB,Oakland,CA,5'11'',175.0,,San Diego State,NR, NR, NR,2006,San Diego State,,,,
Brandon Sullivan,RB,Poway,CA,5'11'',195.0,67.0,San Diego State,,,,2006,San Diego State,,,,
Brian Stanbra,DE (JC),El Cajon,CA,,,,San Diego State,,,,2006,San Diego State,,,,
Kelsey Sokoloski,QB,Englewood,CO,6'3'',182.0,71.0,San Diego State,,,,2006,San Diego State,,,,
Andrew Preston,ILB,Centennial,CO,6'1'',215.0,,San Diego State,,,,2006,San Diego State,,,,
Raymond Patterson,S,San Diego,CA,6'0'',180.0,,San Diego State,NR, NR, NR,2006,San Diego State,,,,
Peter Manuma,OT (JC),Long Beach,CA,6'5'',285.0,,San Diego State,, None, None,2006,San Diego State,,,,
Jacob Manuel,TE,Oxnard,CA,6'2'',260.0,74.0,San Diego State,74,,,2006,San Diego State,,,,
Ernie Lawson,DE,Vallejo,CA,6'4'',245.0,,San Diego State,,,,2006,San Diego State,,,,
Trask Iosefa,OC (LQ),Honolulu,HI,6'1'',280.0,,San Diego State,, None, None,2006,San Diego State,,,,
Eric Ikonne,DE,Carrollton,TX,6'2'',205.0,,San Diego State,, None, None,2006,San Diego State,,,,
Dan Hathaway,OT (JC),El Cajon,CA,6'7'',295.0,,San Diego State,NR,, NR,2006,San Diego State,,,,
Whitley Fehoko,OG,Honolulu,HI,6'2'',310.0,75.0,San Diego State,30, NR, NR,2006,San Diego State,,,,
Martrell Fantroy,CB,Las Vegas,NV,6'0'',200.0,,San Diego State,, None, None,2006,San Diego State,,,,
Ryan Chohany,DE,San Diego,CA,6'4'',240.0,,San Diego State,, None, None,2006,San Diego State,,,,
Jimmie Carmack,DT,,,6'4'',280.0,,San Diego State,, None, None,2006,San Diego State,,,,
Davon Brown,RB,Torrance,CA,5'9'',180.0,71.0,San Diego State,116,,,2006,San Diego State,,,,
Ronnie Hillman,WR,LQ,La Habra,CA,5'10'',76,San Diego State,, None, None,2010,San Diego State,175.0,,,
Jake Fely,OLB,Oceanside,CA,Oceanside High School,5'9'',76,San Diego State,142,,,2010,San Diego State,195.0,,,
J.J. Whittaker,ATH,Oceanside,CA,Oceanside High School,5'10'',76,San Diego State,, None, None,2010,San Diego State,170.0,,,
Cody Galea,OLB,Elk Grove,CA,Franklin High School,6'3'',75,San Diego State,98,172,118,2010,San Diego State,228.0,,,
King Holder,ATH,Oceanside,CA,Oceanside High School,5'9'',75,San Diego State,134,172,118,2010,San Diego State,148.0,,,
David Lamar,WR,Madison,CA,Madison High School,6'2'',74,San Diego State,,,,2010,San Diego State,175.0,,,
Adam Dingwell,ATH,Rockwall,TX,Rockwall High School,6'4'',73,San Diego State,,,,2010,San Diego State,195.0,,,
Joshua Gavert,OLB,Lakewood,CA,Mayfair High School,6'1'',73,San Diego State,,,,2010,San Diego State,187.0,,,
Zach Dilley,OT,Menifee,CA,Paloma Valley High School,6'4'',73,San Diego State,135,,,2010,San Diego State,280.0,,,
Jordan Thomas,DE,Redlands,CA,Redlands Senior High School,6'2'',73,San Diego State,163,312,197,2010,San Diego State,220.0,,,
Colton Morrison,QB,Oceanside,CA,El Camino High School,6'5'',71,San Diego State,,,,2010,San Diego State,200.0,,,
Adam Muema,RB,Covina,CA,Charter Oak High School,5'11'',69,San Diego State,395, None,239,2010,San Diego State,187.0,,,
Kenneth Galea'i,Oceanside,CA,Oceanside High School,6'1'',280,San Diego State,,NR,,,2010,San Diego State,,,,
Dwayne Garrett,ATH,Scottsdale,AZ,Chaparral High School,6'0'',,San Diego State,, None, None,2010,San Diego State,177.0,,,
Bryce Quigley,TE,Apple Valley,CA,Granite Hills High School,6'5'',,San Diego State,, None, None,2010,San Diego State,225.0,,,
John Ghandour,OL,La Habra,CA,La Habra High School,6'3'',,San Diego State,, None, None,2010,San Diego State,265.0,,,
Emmanuel Beavers,OT,Wilmington,CA,Banning High School,6'5'',,San Diego State,,,,2010,San Diego State,279.0,,,
Jay Waddell,WR,Hesperia,CA,Hesperia High School,6'0'',,San Diego State,NR, NR, NR,2010,San Diego State,171.0,,,
Ezell Ruffin,WR,Long Beach,CA,Woodrow Wilson High School,6'0'',,San Diego State,,,,2010,San Diego State,186.0,,,
