Name,Pos,City,State,Height,Weight,Stars,Grade,University  ,Pos_rank, Reg_rank, State_rank,Year,Team,University,Reg_rank,State_rank,School,University 
Alonzo Winfield,OLB,Winston-Salem,NC,6'0'',200,4,74,South Carolina  ,40, NR, NR,2007,South Carolina,,,,,
Addison Williams,CB,Atlanta,GA,5'9'',165,7,78,South Carolina  ,18,,,2007,South Carolina,,,,,
Jonathan Williams,DT,Augusta,GA,6'4'',285,NR,South Carolina  ,,,,,2007,South Carolina,,,,,
Mat Williams,TE,Fort Myers,FL,6'4'',225,7,75,South Carolina  ,32,,,2007,South Carolina,,,,,
Jamire Williams,CB,Jacksonville,FL,6'0'',180,8,81,South Carolina  ,6, None, None,2007,South Carolina,,,,,
Arkee Smith,S,Jacksonville,FL,6'1'',190,7,75,South Carolina  ,,63, None,2007,South Carolina,,,,,
Wesley Saunders,DT,Durham,NC,6'5'',269,NR,South Carolina  ,,NR,,,2007,South Carolina,,,,,
Travian Robertson,DE,Laurinburg,NC,6'4'',220,7,79,South Carolina  ,127th, NR, NR,2007,South Carolina,,,,,
Quintin Richardson,OT,Columbia,SC,6'5'',275,7,78,South Carolina  ,,,,2007,South Carolina,,,,,
Sam Pope,S,Summit,MS,6'1'',200,NR,South Carolina  ,,, None, None,2007,South Carolina,,,,,
Kyle Nunn,OT,Sumter,SC,6'5'',270,7,77,South Carolina  ,35,,,2007,South Carolina,,,,,
Donte'e Nicholls,DT,Pompano Beach,FL,6'2'',305,7,78,South Carolina  ,, None, None,2007,South Carolina,,,,,
Byron McKnight,DE,Laurinburg,NC,6'4'',220,NR,South Carolina  ,,10, NR, NR,2007,South Carolina,,,,,
Cliff Matthews,DE,Cheraw,SC,6'4'',225,8,80,South Carolina  ,4,,,2007,South Carolina,,,,,
Brian Maddox,RB,Anderson,SC,6'2'',215,8,85,South Carolina  ,31,,,2007,South Carolina,,,,,
Dion LeCorn,WR,Ocala,FL,6'0'',199,7,79,South Carolina  ,12,,,2007,South Carolina,,,,,
