Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University  
Quenton Washington,CB,North Fort Myers,FL,5'10'',165,5.0,,South Florida,,,,2007,South Florida,,,
Jeremiah Warren,DE,Panama City,FL,6'3'',290,5.0,,South Florida,,,,2007,South Florida,,,
Alton Voss,QB,New Port Richey,FL,6'2'',210,,77,South Florida,40, NR, NR,2007,South Florida,,,
Calvin Sutton,ILB,DeLand,FL,5'10'',210,,74,South Florida,,,,2007,South Florida,,,
Donte Spires,ILB,Tampa,FL,6'3'',230,,South Florida,,,,,2007,South Florida,,,
Charlton Sinclair,S,Jacksonville,FL,6'0'',190,,South Florida,,,,,2007,South Florida,,,
Patrick Richardson,WR,Pensacola,FL,6'0'',185,,70,South Florida,147,,,2007,South Florida,,,
Darren Powe,WR,Mayo,FL,6'3'',215,,South Florida,,,,,2007,South Florida,,,
Tyrone McKenzie,ILB,Tampa,FL,6'2'',230,,South Florida,,,,,2007,South Florida,,,
Mike McGowan,TE,Boca Raton,FL,6'5'',255,,South Florida,,NR,,,2007,South Florida,,,
Kavenski McGee,TE,Pahokee,FL,6'3'',245,,South Florida,,,,,2007,South Florida,,,
Lawrence McCoy,OT,Valdosta,GA,6'6'',265,,South Florida,,,,,2007,South Florida,,,
Terrell McClain,DT,Pensacola,FL,6'2'',265,4.0,77,South Florida,29,NR,NR,2007,South Florida,,,
Keith McCaskill,DE,Tallahassee,FL,6'1'',235,4.0,72,South Florida,99,NR,NR,2007,South Florida,,,
Richard Kelly,FB,Bushnell,FL,6'0'',243,,South Florida,,,,,2007,South Florida,,,
Carlton Hill,ATH,Monticello,FL,6'4'',210,,South Florida,,,,,2007,South Florida,,,
Patrick Hampton,DE,Lithonia,GA,6'2'',215,3.0,73,South Florida,,,,2007,South Florida,,,
Sampson Genus,OC,Lake City,FL,6'2'',325,4.0,76,South Florida,12,,,2007,South Florida,,,
Corian Garrison,DT,Starke,FL,6'4'',295,,South Florida,,Not Available,Not Available,Not Available,2007,South Florida,,,
Mike Ford,RB,Sarasota,FL,6'2'',210,4.0,79,South Florida,,,,2007,South Florida,,,
David Fonua,DE,Bradenton,FL,6'2'',255,,South Florida,,,,,2007,South Florida,,,
Thomas Edenfield,OT,Jacksonville,FL,6'6'',295,4.0,76,South Florida,50, NR, NR,2007,South Florida,,,
Claude Davis,DE,Lakeland,FL,6'2'',230,3.0,69,South Florida,126,NR,NR,2007,South Florida,,,
Kyle Dampier,DT,Merritt Island,FL,6'4'',265,,South Florida,,,,,2007,South Florida,,,
Tyson Butler,RB,Fort Myers,FL,5'11'',170,,70,South Florida,150,,,2007,South Florida,,,
Dontavia Bogan,WR,Thomasville,GA,6'1'',185,,South Florida,,,,,2007,South Florida,,,
Joshua Bellamy,RB,Saint Petersburg,FL,6'0'',180,,South Florida,,NR,,,2007,South Florida,,,
Rickey Anderson,RB,Cape Coral,FL,6'0'',195,,South Florida,,,,,2007,South Florida,,,
Ryne Giddins,DE,Seffner,FL,6'4'',230,82.0,South Florida,,5,,,2009,South Florida,35,13,
Victor Marc,RB,Hallandale Beach,FL,6'0'',210,80.0,South Florida,,19,,,2009,South Florida,71,26,
Ricardo Dixon,CB,Hallandale Beach,FL,5'11'',168,80.0,South Florida,,13,,,2009,South Florida,83,30,
Bradley Battles,RB,Marianna,FL,5'9'',180,80.0,South Florida,,22,,,2009,South Florida,,,
Kayvon Webster,ATH,Miami,FL,5'11'',181,79.0,South Florida,,33,,,2009,South Florida,,,
Demi Thompson,DE,Lake Mary,FL,6'1'',245,79.0,South Florida,,31,,,2009,South Florida,,,
Kyrhi Thornton,DT, Panama City,FL,6'3'',300,79.0,South Florida,,,,,2009,South Florida,,,
Jacquez Jenkins,SS,Saint Petersburg,FL,6'2'',177,78.0,South Florida,,33,,,2009,South Florida,,,
DeDe Lattimore,ILB,Athens,GA,6'0'',226,78.0,South Florida,,13,,,2009,South Florida,,,
Lindsey Lamar,ATH,Tampa,FL,5'9'',165,78.0,South Florida,,57,,,2009,South Florida,,,
Adaris Bellamy,RB,Dunedin,FL,5'10'',214,78.0,South Florida,,43,,,2009,South Florida,201,78,
Sam Barrington,OLB,Jacksonville,FL,6'3'',215,77.0,South Florida,,47,,,2009,South Florida,228,89,
Luke Sager,DE,Niceville,FL,6'4'',240,77.0,South Florida,,55,,,2009,South Florida,233,91,
Anthony Hill,DT,Pensacola,FL,6'4'',300,77.0,South Florida,,,,,2009,South Florida,,,
Tyrone Williams,OLB,Thomasville,GA,6'0'',195,77.0,South Florida,,56,,,2009,South Florida,259,52,
Kendall Kelly,OT,Gainesville,FL,6'5'',294,77.0,South Florida,,42,,,2009,South Florida,262,100,
Sterling Griffin,WR,Opa Locka,FL,6'1'',174,77.0,South Florida,,284,,,2009,South Florida,,,
Chase Griffiths,ILB,Tallahassee,FL,6'3'',213,76.0,South Florida,,33,,,2009,South Florida,332,124,
Isaac Virgin,ATH,Fort Pierce,FL,6'4'',230,76.0,South Florida,,91,,,2009,South Florida,,,
John McGhin,OG,Tallahassee,FL,6'3'',291,76.0,South Florida,,362,,,2009,South Florida,,,
Steven Jacques,OG,Hollywood,FL,6'4'',285,75.0,South Florida,,110,,,2009,South Florida,457,174,
Julius Forte,DE,Saint Petersburg,FL,6'2'',226,74.0,South Florida,,116,,,2009,South Florida,501,190,
Kamran Joyer,OG,Wesley Chapel,FL,6'2'',317,74.0,South Florida,,137,,,2009,South Florida,532,201,
Derrick Hopkins,ATH,Miami,FL,5'6'',160,73.0,South Florida,,,,,2009,South Florida, None, None,
Gerard Atkins,TE,Saint Petersburg,FL,6'5'',225,,South Florida,,,,,2009,South Florida, None, None,
Ivan Nicholas,S,Jacksonville,FL,5'10'',180,,South Florida,,,,,2009,South Florida, None, None,
Jamar Bass,OT,Apopka,FL,6'4'',300,,South Florida,,,,,2009,South Florida,,,
Carlos Savala,OT,Fontana,CA,6'7'',310,,South Florida,,,,,2009,South Florida,,,
Jason Pierre-Paul,DE,Deerfield Beach,FL,6'6'',265,,South Florida,,,,,2009,South Florida,,,
Kevin Williams,CB,Saint Petersburg,FL,5'11'',175,,South Florida,,,,,2009,South Florida,,,
Jacquain Williams,OLB,Tampa,FL,6'4'',220,,South Florida,,,,,2009,South Florida,,,
Leslie Stirrups,DT,Tampa,FL,6'3'',275,,South Florida,,,,,2009,South Florida,,,
Andre Davis,WR,Tampa,FL,6'1'',180.0,78,South Florida  ,,61,,,2011,South Florida,187, NR,
Edsel Caprice,OLB,Cape Coral,FL,6'2'',192.0,78,South Florida  ,,39,,,2011,South Florida,,,
Max Lang,OT,Orlando,FL,6'4'',280.0,78,South Florida  ,,41,,,2011,South Florida,,,
Corian Hamilton,S,Orlando,FL,6'1'',205.0,78,South Florida  ,,36,,,2011,South Florida,,,
David Simon,OT,Bay Minette,AL,6'4'',280.0,77,South Florida  ,,73,,,2011,South Florida,,,
Elkino Watson,DT,Miami,FL,6'2'',277.0,77,South Florida  ,,365,,,2011,South Florida,,,
Matt Floyd,QB,Milton,FL,6'1'',185.0,76,South Florida  ,,62,,,2011,South Florida,411, NR,
Willie Davis,RB,Stone Mountain,GA,5'8'',189.0,76,South Florida  ,,87,,,2011,South Florida,436,98,
Kenneth Durden,CB,Valdosta,GA,6'0'',170.0,76,South Florida  ,,51,,,2011,South Florida,,,
Zackery Bullock,DE,Sebring,FL,6'4'',194.0,75,South Florida  ,,148,,,2011,South Florida,494, None,
Tye Turner,TE,Griffin,GA,6'3'',230.0,75,South Florida  ,,6,,,2011,South Florida,498,110,
Ruben Gonzalez,WR,Tampa,FL,6'2'',184.0,75,South Florida  ,,145,,,2011,South Florida,525, NR,
Antoine Pozniak,OLB,Hamburg,NJ,6'2'',213.0,71,South Florida  ,,173,,,2011,South Florida,310,40,
Alex Mut,WR,Punta Gorda,FL,6'2'',185.0,68,South Florida  ,,236,,,2011,South Florida,,,
Thor Jozwiak,OG,Eagle Lake,FL,6'3'',259.0,,South Florida  ,,212,,,2011,South Florida,,,
Chris Garye Jr.,STallahassee,FL,6'2'',200.0,,South Florida  ,,,162,,,2011,South Florida,,,
