Name,Pos,City,State,Height,Weight,Stars,Grade,University ,Pos_rank,Reg_rank,State_rank,Year,Team,University,University  , Reg_rank, State_rank,School,School  
Shareece Wright,CB,Colton,CA,6'1'',185,76.0,USC ,,35,,,2006,Southern California,,,,,,
Gerald Washington,TE,JC,Vallejo,CA,6'6'',255.0,,USC ,,,,2006,Southern California,,,,,,
Joshua Tatum,OLB,San Pablo,CA,6'1'',225,82.0,USC ,,7,95th,95th,2006,Southern California,,,,,,
Derek Simmons,DE,Suisan City,CA,6'4'',275,78.0,USC ,,78,,,2006,Southern California,,,,,,
Alfred Rowe,S,Long Beach,CA,6'1'',195,68.0,USC ,,,,,2006,Southern California,,,,,,
Antwine Perez,S,Camden,NJ,6'2'',200,91.0,USC ,,10th, None, None,2006,Southern California,,,,,,
Trevon Patterson,WR,Long Beach,CA,5'11'',180,79.0,USC ,,27, NR, NR,2006,Southern California,,,,,,
Alex Parsons,DE,Irvine,CA,6'4'',260,75.0,USC ,,54,NR,NR,2006,Southern California,,,,,,
Michael Morgan,OLB,Dallas,TX,6'2'',200,82.0,USC ,,6,,,2006,Southern California,,,,,,
Emmanuel Moody,RB,Coppell,TX,6'1'',195,85.0,USC ,,4,,37,2006,Southern California,,,,,,
Anthony Mccoy,TE,Fresno,CA,6'5'',240,79.0,USC ,,11,,,2006,Southern California,,,,,,
Taylor Mays,S,Seattle,WA,6'4'',225,92.0,USC ,,,,8,2006,Southern California,,,,,,
Butch Lewis,OT,Denver,CO,6'7'',300,81.0,USC ,,8,NR,NR,2006,Southern California,,,,,,
Vincent Joseph,CB,Long Beach,CA,5'10'',185,81.0,USC ,,8,,,2006,Southern California,,,,,,
Stafon Johnson,RB,Bellflower,CA,6'1'',210,90.0,USC ,,2,NR,14,2006,Southern California,,,,,,
Jamere Holland,WR,Pacoima,CA,6'1'',180,82.0,USC ,,91st,,,2006,Southern California,,,,,,
Zack Heberer,OG,San Pedro,CA,6'5'',285,77.0,USC ,,17,,,2006,Southern California,,,,,,
Vidal Hazelton,WR,Chatham,VA,6'2'',195,93.0,USC ,,2,NR,NR,2006,Southern California,,,,,,
Stanley Havili,FB,Salt Lake City,UT,6'1'',220,71.0,USC ,,18,,,2006,Southern California,,,,,,
Garrett Green,QB,Chatsworth,CA,6'2'',200,78.0,USC ,,20,,,2006,Southern California,,,,,,
C.J. Gable,RB,Sylmar,CA,6'1'',190,84.0,USC ,,,,,2006,Southern California,,,,,,
David Buehler,K,Anaheim,CA,6'2'',225,,USC ,,,,,2006,Southern California,,,,,,
Allen Bradford,OLB,San Bernardino,CA,6'0'',230,87.0,USC ,,3,NR,NR,2006,Southern California,,,,,,
David Ausberry,WR,Lemoore,CA,6'5'',215,85.0,USC ,,6,,,2006,Southern California,,,,,,
Kenny Ashley,RB,Venice,CA,5'9'',210,74.0,USC ,,74,,,2006,Southern California,,,,,,
Walker Lee Ashley,DT,Eden Prairie,MN,6'5'',310,,USC,,,,,2006,Southern California,,,,,,
Tyron Smith,OT,Moreno Valley,CA,6'5'',260,81,,,14,NR,NR,2008,Southern California,USC,,,,,
Maurice Simmons,OLB,Compton,CA,6'2'',203,79,,,31,,,2008,Southern California,USC,,,,,
D.J. Shoemate,ATH,Mira Loma,CA,6'0'',219,82,,,5,,,2008,Southern California,USC,,,,,
Nick Perry,DE,Detroit,MI,6'4'',235,81,,,8,,,2008,Southern California,USC,,,,,
Matt Meyer,OT,Stockton,CA,6'7'',290,81,,,113th,,,2008,Southern California,USC,,,,,
Curtis McNeal,RB,Los Angeles,CA,5'6'',175,79,,,29,,,2008,Southern California,USC,,,,,
Drew McAllister,ATH,Alamo,CA,6'2'',195,80,,,23,,,2008,Southern California,USC,,,,,
Uona Kaveinga,ILB,Lawndale,CA,6'1'',226,81,,,6.0,,,2008,Southern California,USC,,,,,
Matt Kalil,OT,Anaheim,CA,6'7'',281,82,,,NR,NR,73,2008,Southern California,USC,,,,,
Malik Jackson,DE,Van Nuys,CA,6'5'',212,78,,,35,,,2008,Southern California,USC,,,,,
Wes Horton,DE,Sherman Oaks,CA,6'6'',230,78,,,39,,,2008,Southern California,USC,,,,,
Shane Horton,S,Chatsworth,CA,6'1'',200,0,,,,,,2008,Southern California,USC,,,,,
Khaled Holmes,OG,Santa Ana,CA,6'4'',301,82,,,1,,,2008,Southern California,USC,,,,,
Jurrell Casey,DT,Long Beach,CA,6'1'',275,80,,,11,,,2008,Southern California,USC,,,,,
Daniel Campbell,OT,Houston,TX,6'5'',320,79,,,17,NR,NR,2008,Southern California,USC,,,,,
Brice Butler,WR,Norcross,GA,6'2'',178,86,,,4,,,2008,Southern California,USC,,,,,
T.J. Bryant,CB,Tallahassee,FL,6'0'',180,83,,,2,,,2008,Southern California,USC,,,,,
Brian Baucham,ATH,Torrance,CA,5'10'',170,79,,,32,,,2008,Southern California,USC,,,,,
Blake Ayles,TE,Orange,CA,6'4'',240,84,,,1,,,2008,Southern California,USC,,,,,
Armond Armstead,DT,Elk Grove,CA,6'5'',287,77,,,40,,,2008,Southern California,USC,,,,,
Matt Barkley,QB,Santa Ana,CA,6'3'',222,3,93,,1,,,2009,Southern California,,USC  , None, None,,
Devon Kennard,DE,Phoenix,AZ,6'3'',257,8,6,,1,,,2009,Southern California,,USC  , None, None,,
Frankie Telfort,OLB,Miami,FL,5'11'',197,8,3,,3,,,2009,Southern California,,USC  ,18,8,,
John Martinez,OG,Salt Lake City,UT,6'2'',264,8,1,,1,,,2009,Southern California,,USC  ,,,,
Kevin Graf,OT,Agoura,CA,6'6'',302,8,4,,4,,,2009,Southern California,,USC  ,,,,
Jarvis Jones,OLB,Columbus,GA,6'3'',220,8,6,,6,,,2009,Southern California,,USC  ,31,7,,
Byron Moore Jr.,ATH,Harbor City,CA,6'1'',188,8,3,,3.0,,,2009,Southern California,,USC  , None, None,,
T.J. McDonald,S,Fresno,CA,6'2'',182,8,10,,91st,,,2009,Southern California,,USC  , NR, NR,,
Patrick Hall,ATH,Ventura,CA,6'1'',185,8,9,,,,,2009,Southern California,,USC  ,,,,
De'von Flournoy,WR,Van Nuys,CA,6'1'',180,8,23,,22,,,2009,Southern California,,USC  ,,,,
Jawanza Starling,S,Tallahassee,FL,6'2'',190,8,22,,27,,,2009,Southern California,,USC  ,,,,
James Boyd,DE,Los Angeles,CA,6'4'',211,7,27,,21,,,2009,Southern California,,USC  , None, None,,
Marquis Simmons,OLB,Compton,CA,6'1'',215,7,21,,40,,,2009,Southern California,,USC  , NR, NR,,
Torin Harris,ATH,Las Vegas,NV,6'0'',175,7,40,,7,,,2009,Southern California,,USC  ,,,,
Simione Vehikite,FB,Kapolei,HI,6'1'',243,7,7,,107,,,2009,Southern California,,USC  ,,,,
Kevin Greene,DE,San Francisco,CA,6'3'',230,7,107,,NR,,,2009,Southern California,,USC  ,,,,
Hebron Fangupo,DT (JC),Santa Ana,CA,6'2'',330,NR,USC  ,,,,,2009,Southern California,,,,,,
Jacob Harfman,K (JC),Chino,CA,5'10'',195,NR,USC,,,,,2009,Southern California,,,,,,
Robert Woods,WR,Gardena,CA,6'1'',180,87,USC,,1,,,2010,Southern California,,,2,2,,
Markeith Ambles,WR,McDonough,GA,,6'2'',185,83,,4,,,2010,Southern California,USC,,,,,
Xavier Grimble,TE,Las Vegas,NV,6'5'',241,83,USC,,1,,,2010,Southern California,,,6,NR,,
D.J. Morgan,ATH,Woodland Hills,CA,5'10'',175,83,USC,,7,,,2010,Southern California,,,,,,
Kyle Prater,WR,Hillside,IL,6'5'',200,82,USC,,45th,,,2010,Southern California,,, NR, NR,,
Jesse Scroggins,QB,Lakewood,CA,6'2'',189,82,USC,,2,,,2010,Southern California,,,,,,
George Uko,DT,Chino,CA,6'4'',299,81,USC,,58th,,,2010,Southern California,,,,,,
Demetrius Wright,CB,Corona,CA,6'1'',185,81,USC,,6,,,2010,Southern California,,,12,10,,
Patrick Hall,ATH,Oxnard,CA,6'1'',185,81,USC,,,,,2010,Southern California,,,,,,
Dillon Baxter,ATH,San Diego,CA,5'11'',190,81,USC,,12,,,2010,Southern California,,,18,15,,
Nickell Robey,CB,Frostproof,FL,5'8'',160,80,USC,,,,,2010,Southern California,,,13,149,,
Christian Thomas,TE,Palmdale,CA,6'3'',234,80,USC,,8,,,2010,Southern California,,,,,,
Randall Telfer,TE,Rancho Cucamonga,CA,6'4'',215,80,USC,,10,,,2010,Southern California,,,29,21,,
Anthony Brown,ATH,Fontana,CA,5'10'',176,80,USC,,22,,,2010,Southern California,,,,,,
Dion Bailey,S,Lakewood,CA,6'0'',191,79,USC,,31,,,2010,Southern California,,,48,34,,
Hayes Pullard,ATH,Los Angeles,CA,6'1'',208,78,USC,,53,,,2010,Southern California,,,64,44,,
Giovanni Di Poalo,OG,Ventura,CA,6'4'',260,77,USC,,38,,,2010,Southern California,,,101,70,,
Dak Smith,DT,Los Angeles,CA,6'7'',354,77,USC,,112,,,2010,Southern California,,,66,80,,
Soma Vainuku,FB,Eureka,CA,6'1'',255,75,USC,,7,,,2010,Southern California,,,,,,
Thearon Collier,WR,Miami,FL,5'9'',180,0,USC,,,,,2010,Southern California,,,,,,
George Farmer,WR,Gardena,CA,6'2'',205,5,85.0,,1,,,2011,Southern California,USC,,2,1,,
Isiah Wiley,CB,West Monroe,LA,Arizona Western College,6'0'',190,,,,,,2011,Southern California,USC,,,,,
David Garness,OT,Anchorage,AK,City College of San Francisco,6'5'',290,,,,,,2011,Southern California,USC,,,,,
Dallas Kelley,ILB,Norco,CA,Chaffey College,6'0'',230,,,NR,,,2011,Southern California,USC,,,,,
Jeremy Galten,OG,Hillside,CA,College of San Mateo,6'4'',295,,,,,,2011,Southern California,USC,,,,,
Jabari Ruffin,OLB,Downey,CA,6'3'',230,,82,,4,,,2012,Southern California,,,8,5,USC,
Nelson Agholor,WR,Tampa,FL,6'1'',180,,82,,6,,,2012,Southern California,,,23,11,USC,
Leonard Williams,DT,Daytona Beach,FL,6'5'',265,,82,,5,,,2012,Southern California,,,,,USC,
Max Tuerk,OT,Rancho Santa Margarita,CA,6'5'',290,,81,,9,,,2012,Southern California,,,11,7,USC,
Jordan Simmons,OG,Encino,CA,6'5'',325,,80,,7,,,2012,Southern California,,,,,USC,
Jalen Cope-Fitzpatrick,TE,Rocklin,CA,6'4'',261,,80,,1,,,2012,Southern California,,,15,11,USC,
Zach Banner,OT,Lakewood,WA,6'8'',305,,80,,,,,2012,Southern California,,, None, None,USC,
Kevon Seymour,ATH,Pasadena,CA,5'11'',170,,80,,15,,,2012,Southern California,,,22,16,USC,
Darreus Rogers,WR,Carson,CA,6'1'',195,,80,,30,,,2012,Southern California,,,32,25,USC,
Scott Starr,OLB,Norco,CA,6'2'',230,,79,,24,,,2012,Southern California,,,39,29,USC,
DeVante Wilson,DE,Corona,CA,6'4'',235,,76,,,,,2012,Southern California,,, None, None,USC,
Jahleel Pinner,FB,Mission Viejo,CA,5'11'',231,,75,,1,,,2012,Southern California,,,189,121,USC,
Chad Wheeler,OT,Santa Monica,CA,6'6'',260,,75,,,,,2012,Southern California,,,200,129,USC,
Devian Shelton,S,Inglewood,CA,6'1'',177,,74,,110,,,2012,Southern California,,,,,USC,
Elijah Steen,Irvine,CA,Arnold O. Beckman High School,6'1'',205,,NR,,,,,2012,Southern California,,,,,USC,
Iman Marshall,CB,Long Beach,CA,6'1'',195,92,,,4,1,1,2015,Southern California,USC,,,,,
Chuma Edoga,OT,Powder Springs,GA,6'4'',283,89,,,3,,,2015,Southern California,USC,,,,,
Ronald Jones II,RB,McKinney,TX,6'0'',185,88,,,1,,,2015,Southern California,USC,,,,,
Rasheem Green,DT,Gardena,CA,6'5'',290,87,,,41,7,5,2015,Southern California,USC,,,,,
John Houston Jr.,ILB,Gardena,CA,6'3'',207,85,,,1,,,2015,Southern California,USC,,,,,
Osa Masina,OLB,Salt Lake City,UT,6'4'',233,84,,,77th,,,2015,Southern California,USC,,,,,
Tyler Petite,TE,Moraga,CA,6'6'',223,83,,,2,17,11,2015,Southern California,USC,,,,,
Porter Gustin,ATH,Salem,UT,6'4'',238,83,,,7,19,2,2015,Southern California,USC,,,,,
Marvell Tell,S,Encino,CA,6'2'',185,83,,,6,20,12,2015,Southern California,USC,,,,,
Sam Darnold,QB-PP,San Clemente,CA,6'4'',209,83,,,8,21,13,2015,Southern California,USC,,,,,
Ricky Town,QB-PP,Ventura,CA,6'4'',205,83,,,10,24,15,2015,Southern California,USC,,,,,
Isaiah Langley,ATH,Pleasanton,CA,6'0'',165,83,,,137,,,2015,Southern California,USC,,,,,
Jacob Daniel,DT,Fresno,CA,6'4'',305,82,,,,,,2015,Southern California,USC,,,,,
De'Quan Hampton,WR,Compton,CA,6'4'',220,82,,,5.0,,,2015,Southern California,USC,,,,,
Isaac Whitney,WR,Moore,OK,6'4'',200,81,,,24,46,31,2015,Southern California,USC,,,,,
Ykili Ross,ATH,Riverside,CA,6'2'',190,80,,,25,47,3,2015,Southern California,USC,,,,,
Noah Jefferson,DT,Las Vegas,NV,6'5'',280,80,,,8,,,2015,Southern California,USC,,,,,
Cameron Smith,ILB,Granite Bay,CA,6'2'',236,80,,,39,,,2015,Southern California,USC,,,,,
Aca'Cedric Ware,RB,Cedar Hill,TX,5'10'',175,79,,,6,,,2015,Southern California,USC,,,,,
Kevin Scott,DT,Los Angeles,CA,6'4'',255,79,,,64,102,66,2015,Southern California,USC,,,,,
Cole Smith,OC,Mission Viejo,CA,6'3'',260,78,,,55,106,70,2015,Southern California,USC,,,,,
Clayton Johnston,OT,Anaheim,CA,6'6'',280,78,,,,,,2015,Southern California,USC,,,,,
Christian Rector,DE,Los Angeles,CA,6'4'',231,78,,,139,162,107,2015,Southern California,USC,,,,,
