Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,University ,School
Youri Yenga,OLB,Euless,TX,6'1'',215,,SMU,NR,NR,NR,2007,Southern Methodist,,,,,
Terrance Wilkerson,QB,DeSoto,TX,5'10'',170,,SMU,NR,,,2007,Southern Methodist,,,,,
Logan Turner,QB,Springtown,TX,6'1'',180,69.0,SMU,147,,,2007,Southern Methodist,,,,,
Kelly Turner,OG,Dallas,TX,6'3'',260,69.0,SMU,69,,,2007,Southern Methodist,,,,,
Bryce Tennison,OG,Austin,TX,6'2'',290,,SMU,,,,2007,Southern Methodist,,,,,
Aldrick Robinson,WR,Waxahachie,TX,5'10'',170,,SMU,,,,2007,Southern Methodist,,,,,
Josh Robinson,DE,Garland,TX,6'3'',235,,SMU,,,,2007,Southern Methodist,,,,,
Derek Lily,OG,Mansfield,TX,6'3'',285,,SMU,,,,2007,Southern Methodist,,,,,
Josh LeRibeus,OG,Richardson,TX,6'4'',315,76.0,SMU,22,,,2007,Southern Methodist,,,,,
Jamell Kennedy,ATH,Gilmer,TX,5'10'',160,,SMU,,,,2007,Southern Methodist,,,,,
Julian Herron,OLB,Arlington,TX,6'0'',210,,SMU,,,,2007,Southern Methodist,,,,,
Bradley Haynes,WR,Arlington,TX,6'2'',195,72.0,SMU,,,,2007,Southern Methodist,,,,,
Ben Goldthorpe,DT,Denton,TX,6'2'',230,68.0,SMU,,,,2007,Southern Methodist,,,,,
Patrick Fleming,TE,Houston,TX,6'4'',205,,SMU,,,,2007,Southern Methodist,,,,,
D. J. Emerson,ATH,Brookshire,TX,5'11'',175,,SMU,,,,2007,Southern Methodist,,,,,
Rock Dennis,CB,Garden City,KS,5'10'',180,,SMU,,,,2007,Southern Methodist,,,,,
Szymon Czerniak,DE,Houston,TX,6'5'',245,,SMU,,,,2007,Southern Methodist,,,,,
J.T. Brooks,OT,Arlington,TX,6'5'',315,,SMU,,,,2007,Southern Methodist,,,,,
Rodney Bradley,WR,Richardson,TX,6'0'',178,,SMU,,,,2007,Southern Methodist,,,,,
Derrius Bell,CB,Arlington,TX,5'10'',165,79.0,SMU,12,,,2007,Southern Methodist,,,,,
Kelvin Beachum,OG,Mexia,TX,6'3'',260,,SMU,,,,2007,Southern Methodist,,,,,
Devon Bailey,WR,Lawton,OK,6'2'',200,74.0,SMU,NR,NR,NR,2007,Southern Methodist,,,,,
Joey Fontana,OT,New Orleans,LA,6'3'',290,80.0,SMU,14,93,NR,2009,Southern Methodist,,,,,
Mike Loftus,K,Anaheim,CA,6'2'',190,79.0,SMU,8, NR, NR,2009,Southern Methodist,,,,,
K.J. Vaifale,S,Corona,CA,5'10'',190,76.0,SMU,,,,2009,Southern Methodist,,,,,
Jordan Favreau,OG,Coppell,TX,6'3'',250,76.0,SMU,74,173,NR,2009,Southern Methodist,,,,,
Christian Miller,OT,Aledo,TX,6'5'',270,75.0,SMU,243,91,,2009,Southern Methodist,,,,,
Chris Atchison,OG,DeSoto,TX,6'1'',256,74.0,SMU,129,271,NR,2009,Southern Methodist,,,,,
James Scott,S,Houston,TX,6'2'',180,74.0,SMU,156,,,2009,Southern Methodist,,,,,
Deonte McDade,ATH,Ennis,TX,5'9'',165,74.0,SMU,145,311,NR,2009,Southern Methodist,,,,,
Chris Frazier,ATH,Dallas,TX,6'1'',195,73.0,SMU,150,320,NR,2009,Southern Methodist,,,,,
Kyle Padron,QB,Southlake,TX,6'4'',210,73.0,SMU,338,,,2009,Southern Methodist,,,,,
Ben Hughes,OC,Sugar Land,TX,6'5'',245,73.0,SMU,30,344,NR,2009,Southern Methodist,,,,,
Darius Johnson,WR,Missouri City,TX,5'10'',160,72.0,SMU,177,,,2009,Southern Methodist,,,,,
Keivon  Gamble,CB,Dallas,TX,5'10'',165,71.0,SMU,,,,2009,Southern Methodist,,,,,
Brandon Henderson,DE,Abilene,TX,6'2'',230,,SMU,,,,2009,Southern Methodist,,,,,
Chayse Joubert,WR,Duncanville,TX,6'1'',180,,SMU,NR,,,2009,Southern Methodist,,,,,
Aron Franklin,WR,Goliad,TX,6'2'',185,,SMU,,,,2009,Southern Methodist,,,,,
Braylon  Williams,DE,New London,TX,6'4'',228,,SMU,,,,2009,Southern Methodist,,,,,
Bryan Collins,OG,Keller,TX,6'3'',255,,SMU,,,,2009,Southern Methodist,,,,,
J.R. McConico,S,Los Angeles,CA,5'10'',175,,SMU,,,,2009,Southern Methodist,,,,,
Taylor Reed,OLB,Beaumont,TX,6'1'',195,,SMU,,,,2009,Southern Methodist,,,,,
Ja'Gared Davis,OLB,Crockett,TX,6'1'',199,,SMU,,,,2009,Southern Methodist,,,,,
Beck Coulter,ILB,Pago Pago American Samoa,SP,6'1'',240,,SMU,NR,,,2009,Southern Methodist,,,,,
Byron Brown,OLB,Minden,LA,5'11'',200,,SMU,,,,2009,Southern Methodist,,,,,
Ryan Clark,S,Beaumont,TX,6'1'',195,,SMU,,,,2009,Southern Methodist,,,,,
Marquis Frazier,DE,Garland,TX,6'4'',280,,SMU,,,220,2009,Southern Methodist,,,,,
Sterling Moore,CB,Oakland,CA,5'10'',190,,SMU,,,,2009,Southern Methodist,,,,,
Shawnbrey McNeal,RB,Dallas,TX,,190,,SMU,,,,2009,Southern Methodist,,,,,
J.J. McDermott,QB,Katy,TX,,220,,SMU,,,,2009,Southern Methodist,,,,,
Steve Kaiser,QB,Saint Louis,MO,6'2'',215,SMU,,17,,,2010,Southern Methodist,79.0, NR, NR,,
Michael O'Guin,DT,Van Vleck,TX,6'1'',320,SMU,,45,,,2010,Southern Methodist,77.0,,,,
Darryl Fields,RB,Madill,OK,6'1'',195,SMU,,,,,2010,Southern Methodist,77.0,,,,
Kevin Pope,RB,Mount Enterprise,TX,5'10'',220,SMU,,,,,2010,Southern Methodist,76.0, None, None,,
Brandon Thornton,OLB,Conroe,TX,6'3'',202,SMU,,133,,,2010,Southern Methodist,76.0, None, None,,
Hayden Greenbauer,WR,San Antonio,TX,6'0'',195,SMU,,38,,,2010,Southern Methodist,75.0,,,,
John Bordano,ILB,New Braunfels,TX,6'1'',209,SMU,,,,,2010,Southern Methodist,75.0, None, None,,
Anthony Beard,OLB,Lumberton,TX,6'1'',210,SMU,,,,,2010,Southern Methodist,75.0,,,,
Ashton Duhe,OG,Destrehan,LA,6'3'',290,SMU,,100,,,2010,Southern Methodist,75.0,,,,
Ben Gottschalk,OT,Sherman Oaks,CA,6'4'',245,SMU,,140,,,2010,Southern Methodist,75.0, NR, NR,,
Kyle Guinyard,WR,Ennis,TX,6'0'',180,SMU,,,,,2010,Southern Methodist,75.0,,,,
Forrest Hagar,DE,San Antonio,TX,6'3'',201,SMU,,106,,,2010,Southern Methodist,73.0,,,,
Louie Swope,CB,Austin,TX,5'11'',167,SMU,,245,,,2010,Southern Methodist,73.0,,,,
Kenneth Acker,ATH,Portland,OR,6'0'',170,SMU,,,,,2010,Southern Methodist,71.0, NR, NR,,
Jeremy Hall,Brenham,TX,,0,SMU,,,NR,,,2010,Southern Methodist,,,,,
Jeremy Johnson,ATH,Tyler,TX,5'11'',158,SMU,,NR,,,2010,Southern Methodist,0.0, NR, NR,,
Der'rikk Thompson,ATH,Troup,TX,5'11'',185,SMU,,NR,,,2010,Southern Methodist,0.0,,,,
Chris Parks,CB,Conroe,TX,6'1'',166,SMU,,,,,2010,Southern Methodist,0.0,,,,
Ricky Collins,WR,Tyler,TX,5'11'',170,SMU,,,,,2010,Southern Methodist,0.0,,,,
Uchenna Nwabuike,DE,Missouri City,TX,6'2'',215,SMU,,,,,2010,Southern Methodist,0.0, None, None,,
Arthur Londy,WR,Spring,TX,6'0'',175,SMU,,NR,,,2010,Southern Methodist,0.0, NR, NR,,
Keenan Holman,WR,Beaumont,TX,6'1'',170,SMU,,,,,2010,Southern Methodist,0.0, None, None,,
Randall Joyner,ATH,Carrollton,TX,5'9'',180,SMU,,,,,2010,Southern Methodist,0.0, None, None,,
Marice Sutton,CB,New Orleans,LA,5'11'',190,SMU,,NR,,,2010,Southern Methodist,0.0, NR, NR,,
Joseph Theard,DT,New Orleans,LA,6'2'',275,SMU,,,,,2010,Southern Methodist,0.0, None, None,,
Justin Sorrell,S,Pflugerville,TX,5'10'',195,SMU,,,,,2010,Southern Methodist,0.0,,,,
Richard Crawford,RB,Mission Viejo,CA,5'11'',180,SMU,,,,,2010,Southern Methodist,0.0,,,,
Everett Dickerson,RB,Atlanta,TX,6'0'',174,SMU,,40,,,2013,Southern Methodist,79,89,72,,
Traylon Shead,RB (JC),Corsicana,TX,6'2'',230,SMU,,5,,,2013,Southern Methodist,79, NR, NR,,
Daniel McCarty,OG,San Antonio,TX,6'4'',280,SMU,,37,,,2013,Southern Methodist,78,98,80,,
Jeremiah Gaines,TE-H,Red Oak,TX,6'3'',235,SMU,,11,,,2013,Southern Methodist,78,,,,
Zelt Minor,DE,Houston,TX,6'3'',260,SMU,,,,,2013,Southern Methodist,76, None, None,,
Freddie Johnson,OT,Temple,TX,6'2'',295,SMU,,100,,,2013,Southern Methodist,74,,,,
Carlos Carroll,OLB,Tucson,AZ,6'2'',205,SMU,,108,,,2013,Southern Methodist,74,,,,
William Barns,OC,Dallas,TX,6'3'',265,SMU,,15,,,2013,Southern Methodist,73,243,190,,
Darrion Richardson,S,Delray Beach,FL,5'11'',190,SMU,,,,,2013,Southern Methodist,73, None, None,,
Ty Law,CB (LQ),Orlando,FL,5'10'',170,SMU,,,,,2013,Southern Methodist,73, None, None,,
Rodrick Moore,ILB,Dallas,TX,6'0'',215,SMU,,60,,,2013,Southern Methodist,72,,,,
Cedric Lancaster,CB,Houston,TX,5'8'',160,SMU,,98,,,2013,Southern Methodist,72,,,,
Jarvis Baxter,WR,Garland,TX,5'10'',165,SMU,,198,,,2013,Southern Methodist,70,301,237,,
Kolney Cassel,QB-PPYakima,WA,6'2'',205,69,,,75,,,2013,Southern Methodist,SMU,,,,
Trey Washington,CB,Gilmer,TX,6'1'',170,SMU,,115,,,2013,Southern Methodist,69,318,248,,
Justin Lawler,DE,Pottsboro,TX,6'4'',230,SMU,,130,,,2013,Southern Methodist,68,324,253,,
J'Marcus Rhodes,S,Orange,TX,6'1'',185,SMU,,120,,,2013,Southern Methodist,67,342,267,,
Brian Taylor,OG,Pittsburg,TX,6'3'',270,SMU,,,,,2013,Southern Methodist,66, None, None,,
Deion Sanders Jr.,CB (POST),Flower Mound,TX,5'8'',170,SMU,,62,,,2013,Southern Methodist,65,335,28,,
Travis Fister,OG,Tucson,AZ,6'3'',270,SMU,,,,,2013,Southern Methodist,62,,,,
JaBryce Taylor,WR,Lufkin,TX,6'1'',185,SMU,,,,,2013,Southern Methodist,NR, None, None,,
Myles Crosby,S,Colleyville,TX,6'3'',200,SMU,,,,,2013,Southern Methodist,NR,,,,
