Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,University 
Sean Wiser,WR,Westlake Village,CA,6'2'',190.0,77,Stanford,40, None, None,2007,Stanford,,,,
Jeremy Stewart,RB,Baton Rouge,LA,6'0'',207.0,NR,Stanford,NR,,,2007,Stanford,,,,
Taylor Skaufel,S,The Woodlands,TX,6'1'',185.0,66,Stanford,NR,,,2007,Stanford,,,,
Matthew Masifilo,DT,Ewa Beach,HI,6'3'',260.0,NR,Stanford,, NR, NR,2007,Stanford,,,,
Owen Marecic,ILB,Portland,OR,6'1'',235.0,68,Stanford,,,,2007,Stanford,,,,
Tyler Mabry,OT,San Diego,CA,6'6'',295.0,73,Stanford,, None, None,2007,Stanford,,,,
Kellen Kiilsgaard,QB,Auburn,WA,6'3'',217.0,74,Stanford,, NR, NR,2007,Stanford,,,,
Tom Keiser,DE,Wexford,PA,6'5'',245.0,NR,Stanford,,,,2007,Stanford,,,,
Brad Hallick,OG,Pottsville,PA,6'5'',293.0,74,Stanford,42, NR, NR,2007,Stanford,,,,
George Halamandaris,OT,Moorpark,CA,6'7'',305.0,69,Stanford,, None, None,2007,Stanford,,,,
David Green,K,Mission Viejo,CA,6'1'',205.0,79,Stanford,1, None, None,2007,Stanford,,,,
Corey Gatewood,WR,Wellesley,MA,5'11'',185.0,75,Stanford,82,,,2007,Stanford,,,,
Jonathan Frink,ILB,Oxford,MS,6'2'',230.0,NR,Stanford,,,,2007,Stanford,,,,
Coby Fleener,TE,Joliet,IL,6'6'',215.0,NR,Stanford,,,,2007,Stanford,,,,
L.D. Crow,QB,Clearwater,FL,6'3'',215.0,76,Stanford,NR,,,2007,Stanford,,,,
Max Bergen,ILB,East Stroudsburg,PA,6'2'',220.0,NR,Stanford,,,,2007,Stanford,,,,
Matt Bentler,OT,Davenport,IA,6'5'',280.0,NR,Stanford,NR, NR, NR,2007,Stanford,,,,
Doug Baldwin,WR,Gulf Breeze,FL,5'11'',170.0,NR,Stanford,102, NR, NR,2007,Stanford,,,,
Chike Amajoyi,RB,San Bernardino,CA,6'1'',223.0,73,Stanford,,,,2007,Stanford,,,,
Daniel Zychlinski,K,Tampa,FL,6'3'',215.0,King High School,,, None, None,2008,Stanford,NR,,,
Matt Zubyk,K,San Diego,CA,6'4'',180.0,Francis Parker High School,,NR,,,2008,Stanford,NR,,,
Marcus Turner,CB,Long Beach,CA,6'0'',175.0,Juan Rodriguez Cabrillo High School,,,,,2008,Stanford,,,,
Michael Thomas,ATH,Houston,TX,5'11'',180.0,Nimitz High School,,NR, NR, NR,2008,Stanford,75,,,
Chase Thomas,DE,Marietta,GA,6'3'',210.0,Walton High School,,18,123, None,2008,Stanford,79,,,
Padric Scott,DT,Tallahassee,FL,6'1'',285.0,Lincoln High School,,398,70, None,2008,Stanford,74,,,
