Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School
Mike Williams,WR,Buffalo,NY,6'4'',195,NR,Syracuse,,, None, None,2006,Syracuse,,,
Derrell Smith,RB,Newark,DE,6'1'',205,NR,Syracuse,,, None, None,2006,Syracuse,,,
Taj Smith,WR,Bakersfield,CA,6'1'',180,NR,Syracuse,,,,,2006,Syracuse,,,
Dan Sheeran,WR,Cross River,NY,6'3'',190,6,Syracuse,,62.0,,,2006,Syracuse,,,
Nico Scott,CB,Greenbelt,MD,5'11'',180,7,Syracuse,,48,,,2006,Syracuse,,,
Adam Rosner,OT,Depew,NY,6'6'',330,NR,Syracuse,,,,,2006,Syracuse,,,
Andrew Robinson,QB,Baltimore,MD,6'3'',220,7,Syracuse,,NR,,,2006,Syracuse,,,
Matt Reid,CB,Upper Marlboro,MD,6'1'',180,7,Syracuse,,56,,,2006,Syracuse,,,
Jermaine Pierce,TE,Norristown,PA,6'4'',240,NR,Syracuse,,,,,2006,Syracuse,,,
Anthony Perkins,OG,New Berlin,NY,6'4'',275,NR,Syracuse,,, None, None,2006,Syracuse,,,
Larry Norton,OT,Bakersfield,CA,6'5'',310,NR,Syracuse,,NR,,,2006,Syracuse,,,
Jonathan Meldrum,OG,Virginia Beach,VA,6'5'',300,NR,Syracuse,,, None, None,2006,Syracuse,,,
Jim McKenzie,OT,Springfield,PA,6'4'',272,6,Syracuse,,, None, None,2006,Syracuse,,,
Andrew Lewis,DT,Centreville,VA,6'3'',260,NR,Syracuse,,,,,2006,Syracuse,,,
Jared Kimmel,ILB,Harpursville,NY,6'5'',225,NR,Syracuse,,,,,2006,Syracuse,,,
Derek Hrinya,S,Warwick,NY,6'0'',200,NR,Syracuse,,,,,2006,Syracuse,,,
Ian Hammond,OG,Mission Viejo,CA,6'4'',300,NR,Syracuse,,NR,,,2006,Syracuse,,,
Deleone Carter,RB,Copley,OH,5'11'',190,6,Syracuse,,130,,,2006,Syracuse,,,
Parker Cantey,OLB,Brooklyn,NY,6'3'',190,7,Syracuse,,30,,,2006,Syracuse,,,
Tucker Baumbach,OT,Harrisburg,PA,6'5'',335,7,Syracuse,,,,,2006,Syracuse,,,
Andrey Baskin,WR,Camden,NJ,6'3'',200,8,Syracuse,,13, NR, NR,2006,Syracuse,,,
Ryan Bartholomew,DT,Hyattsville,MD,6'4'',290,NR,Syracuse,,NR,,,2006,Syracuse,,,
Josh White,OT,Salisbury,MD,6'6'',280,,NR,Syracuse,NR,,,2007,Syracuse,NR,NR,
Bud Tribbey,DT,Richmond,VA,6'1'',281,,78,Syracuse,16,,,2007,Syracuse,,,
Max Suter,S,Greensburg,PA,5'11'',185,,76,Syracuse,55,,,2007,Syracuse,,,
Zary Stewart,DE,Upper Marlboro,MD,6'4'',215,,NR,Syracuse,NR,,,2007,Syracuse,,,
Kevyn Scott,CB,Fort Lauderdale,FL,6'0'',185,,NR,Syracuse,,,,2007,Syracuse,,,
Nick Provo,TE,Greenacres,FL,6'2'',215,,68,Syracuse,NR,,,2007,Syracuse,NR,NR,
Darnell Pratt,DE,Syracuse,NY,6'4'',220,,NR,Syracuse,,,,2007,Syracuse,,,
Jermaine Pierce,OLB,Norristown,PA,6'3'',225,,NR,Syracuse,,,,2007,Syracuse,,,
Jovan Miller,S,Syracuse,NY,6'1'',190,,68,Syracuse,,,,2007,Syracuse,,,
Lamar Middleton,DE,Newark,NJ,6'2'',220,,NR,Syracuse,NR,,,2007,Syracuse,NR,NR,
D'Amon Merkerson,WR,Passaic,NJ,6'1'',170,,75,Syracuse,,,,2007,Syracuse,,,
Mike Mele,ILB,Manasquan,NJ,6'0'',210,,69,Syracuse,70,,,2007,Syracuse,,,
Randy McKinnon,S,Jacksonville,FL,5'10'',180,,70,Syracuse,NR,,,2007,Syracuse,,,
Rob Long,K,Downingtown,PA,6'4'',175,,NR,Syracuse,NR,,,2007,Syracuse,162,NR,
David Legree,QB,Brooklyn,NY,6'2'',175,,68,Syracuse,,,,2007,Syracuse,,,
Jamere Knox,RB,Salisbury,MD,5'11'',170,,76,Syracuse,,,,2007,Syracuse,,,
Ryan Howard,CB,Torrance,CA,5'9'',180,,NR,Syracuse,,,,2007,Syracuse,	None,	None,
Mike Holmes,CB,Jacksonville,FL,5'11'',185,,NR,Syracuse,,,,2007,Syracuse,,,
Doug Hogue,RB,Yonkers,NY,6'3'',210,,75,Syracuse,,,,2007,Syracuse,,,
Oliver Haney,DT,Clark,NJ,6'3'',260,,NR,Syracuse,,,,2007,Syracuse,,,
Ryan Gillum,S,Youngstown,OH,5'11'',205,,72,Syracuse,,,,2007,Syracuse,,,
