Name,Pos,City,State,Height,Weight,Stars,Grade,School,Pos_rank,Reg_rank,State_rank,Year,Team,University, Reg_rank, State_rank,Pos_Rank,Reg_Rank,State_Rank
Jared Williams,RB,Pittsburgh,PA,5'9'',180,66.0,Temple,,,,,2007,Temple,,,,,,
Tommie Williams,CB,Reedley,CA,5'10'',170,,Temple,,,,,2007,Temple,,,,,,
Muhammad Wilkerson,DE,Linden,NJ,6'5'',255,,Temple,,,,,2007,Temple,,,,,,
Tommie Weatherspoon,ILB,Reedley,CA,6'1'',245,,Temple,,,,,2007,Temple,,,,,,
Richie Walls,RB,Exton,PA,6'0'',185,,Temple,,,,,2007,Temple,,,,,,
Chris Tremel,DE,North Caldwell,NJ,6'4'',255,,Temple,,NR,NR,NR,2007,Temple,,,,,,
Chester Stewart,QB,Hyattsville,MD,6'3'',195,,Temple,,,,,2007,Temple,,,,,,
Tyreek Spain,DE,Ambler,PA,6'2'',215,,Temple,,,,,2007,Temple,,,,,,
Jamal Schulters,CB,Fork Union,VA,5'10'',185,64.0,Temple,,,,,2007,Temple,,,,,,
Daryl Robinson,CB,Philadelphia,PA,5'10'',160,74.0,Temple,,53,,,2007,Temple,,,,,,
Moses Parker,CB,Gainesville,FL,,6'1'',200.0,,Temple,,,,2007,Temple,,,,,,
John Palumbo,OT,North Arlington,NJ,6'6'',270,,Temple,,,,,2007,Temple,,,,,,
Amara Kamara,OLB,Newark,NJ,6'1'',205,68.0,Temple,,NR,NR,NR,2007,Temple,,,,,,
Elijah Joseph,OLB,Hartford,CT,6'1'',210,,Temple,,,,,2007,Temple,,,,,,
Elisha Joseph,DE,Hartford,CT,6'2'',225,,Temple,,,,,2007,Temple,,,,,,
Joe Jones,RB,Hollywood,FL,5'11'',195,,Temple,,NR,,,2007,Temple,,,,,,
Jeffrey Howie,DT,Medina,PA,6'3'',305,,Temple,,NR,NR,NR,2007,Temple,,,,,,
Marcellous Grigsby,RB,Sacramento,CA,6'0'',205,,Temple,,,,,2007,Temple,,,,,,
Delano Green,WR,Fork Union,VA,5'9'',170,,Temple,,NR,NR,NR,2007,Temple,,,,,,
Derek Dennis,TE,Pawling,NY,6'6'',280,,Temple,,,,,2007,Temple,,,,,,
Lloyd Codada,OG,West Orange,NJ,6'3'',305,,Temple,,,,,2007,Temple,,,,,,
Michael Campbell,WR,Edison,NJ,6'3'',205,,Temple,,,,,2007,Temple,,,,,,
Morris Blueford,ILB,Virginia Beach,VA,6'3'',210,,Temple,,,,,2007,Temple,,,,,,
Wallace Bates,ILB,Valencia,CA,6'2'',225,,Temple,,,,,2007,Temple,,,,,,
Matthew Balasavage,DE,Lancaster,PA,6'5'',235,68.0,Temple,,150,,,2007,Temple,,,,,,
Kitt Anderson,RB,Langhorne,PA,5'10'',180,,Temple,,NR,NR,NR,2007,Temple,,,,,,
Jamarr Anderson,CB,Fleming Island,FL,5'9'',170,,Temple,,NR,NR,NR,2007,Temple,,,,,,
Corwin Acker,RB,Washington,DC,5'10'',182,,Temple,,,,,2007,Temple,,,,,,
Evangelos Regas,OG,Toms River,NJ,6'4'',336,77.0,Temple,,53,131,NR,2009,Temple,,,,,,
Ryan Murray,OT,Philadelphia,PA,6'6'',325,75.0,Temple,,,,,2009,Temple,,,,,,
Cody Bohler,OG,Somerville,NJ,6'7'',284,75.0,Temple,,108,193,NR,2009,Temple,,,,,,
Byron Parker,ATH,Virginia Beach,VA,5'11'',173,75.0,Temple,,115,199,,2009,Temple,,,,,,
Jeffrey Whittingham,DT,Atlantic City,NJ,6'2'',285,73.0,Temple,,,,,2009,Temple,,,,,,
Andrew Opoku,OLB,North Brunswick,NJ,6'4'',209,73.0,Temple,,135,,,2009,Temple,,,,,,
Deon Miller,WR,Highland Springs,VA,6'6'',200,73.0,Temple,,166,296,NR,2009,Temple,,,,,,
Jerry Watters,WR,Cherry Hill,NJ,5'10'',167,71.0,Temple,,189,,,2009,Temple,,,,,,
Kadeem Custis,OG,Philadelphia,PA,6'5'',280,,Temple,,NR,NR,NR,2009,Temple,,,,,,
Justin Gildea,CB,Hollidaysburg,PA,5'11'',170,,Temple,,,,,2009,Temple,,,,,,
Chris Coyer,QB,Vienna,VA,6'3'',208,,Temple,,NR,NR,NR,2009,Temple,,,,,,
Aaron Hush,DE,Piscataway,NJ,6'4'',211,,Temple,,,,,2009,Temple,,,,,,
Chris Parthemore,DE,Camp Hill,PA,6'4'',230,,Temple,,,,,2009,Temple,,,,,,
Bernard Pierce,RB,Concordville,PA,5'10'',205,,Temple,,,,,2009,Temple,,,,,,
Levi Brown,DT,Bethlehem,PA,6'3'',310,,Temple,,,,,2009,Temple,,,,,,
Gary Onuekwusi,ILB,Baltimore,MD,6'1'',215,,Temple,,,,,2009,Temple,,,,,,
Darryl Pringle,OT,Reading,PA,6'4'',305,,Temple,,,,,2009,Temple,,,,,,
Brandon McManus,K,Lansdale,PA,6'2'',170,,Temple,,,,,2009,Temple,,,,,,
Blaze Caponegro,FB,Wall,NJ,6'1'',205,,Temple,,,,,2009,Temple,,,,,,
Maurice Jones,CB,Belleville,NJ,5'10'',180,,Temple,,,,,2009,Temple,,,,,,
Shahid Paulhill,DT,Philadelphia,PA,6'4'',275,,Temple,,,,,2009,Temple,,,,,,
Alex Jackson,DE,Dunnellon,FL,6'4'',225,,Temple,,,,,2009,Temple,,,,,,
Geoffrey Prather,OLB,Gulph Mills,PA,6'2'',200,,Temple,,,,,2009,Temple,,,,,,
Marcus Green,ILB,Scotch Plains,NJ,6'1'',225,,Temple,,,,,2009,Temple,,,,,,
Elijah Grant,OT,Piscataway,NJ,6'5'',340,,Temple,,,,,2009,Temple,,,,,,
Kamal Johnson,DE,Willingboro,NJ,6'3'',225,,Temple,,NR,,,2009,Temple,,,,,,
Kwame Johnson,CB,Wayne,PA,5'11'',185,,Temple,,NR,,,2009,Temple,,,,,,
Deonte Parker,CB,Lakeland,FL,5'11'',175,,Temple,,,,,2009,Temple,,,,,,
Myron Ross,RB,Ambler,PA,6'1'',205,77.0,,,,,,2010,Temple,Temple, None, None,,,
Desmond Coble,ATH,Richmond,VA,5'11'',175,76.0,,,,,,2010,Temple,Temple,,,,,
Hershey Walton,OT,Reading,PA,6'4'',320,74.0,,,74,,,2010,Temple,Temple,117, None,,,
Nahjee Gibson,RB,Erial,NJ,5'11'',185,73.0,,,,,,2010,Temple,Temple,158, None,,,
