Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,School, Reg_rank, State_rank, Pos, City, State, Height, Weight, Stars, Grade, University
Gerald Williams,ILB,Lauderdale Lakes,FL,6'4'',245,,70,Tennessee,NR,NR,NR,2008,Tennessee,,,,,,,,,,,
Rod Wilks,WR,Smyrna,TN,6'1'',195,82.0,,Tennessee,87th,,,2008,Tennessee,,,,,,,,,,,
Brandon Warren,TE,Alcoa,TN,6'1'',225,,Tennessee,,,,,2008,Tennessee,,,,,,,,,,,
Marlon Walls,OLB,Olive Branch,MS,6'3'',220,77.0,,Tennessee,45,231,NR,2008,Tennessee,,,,,,,,,,,
Prentiss Waggner,CB,Clinton,LA,6'2'',170,76.0,,Tennessee,50,305,,2008,Tennessee,,,,,,,,,,,
Dallas Thomas,DT,Baton Rouge,LA,6'6'',275,,Tennessee,,,,,2008,Tennessee,,,,,,,,,,,
Stephaun Raines,CB,Dalton,GA,6'0'',180,,Tennessee,,NR,,,2008,Tennessee,,,,,,,,,,,
Tauren Poole,RB,Toccoa,GA,5'10'',194,80.0,,Tennessee,21,,,2008,Tennessee,,,,,,,,,,,
Herman Lathers,OLB,Baton Rouge,LA,6'0'',192,71.0,,Tennessee,104,,,2008,Tennessee,,,,,,,,,,,
Casey Kelly,QB,Sarasota,FL,6'2'',191,78.0,,Tennessee,31,,,2008,Tennessee,,,,,,,,,,,
Austin Johnson,ILB,Hickory,NC,6'3'',235,76.0,,Tennessee,41,,,2008,Tennessee,,,,,,,,,,,
Montori Hughes,DT,Murfreesboro,TN,6'5'',255,75.0,,Tennessee,60,349,NR,2008,Tennessee,,,,,,,,,,,
Steven Fowlkes,DE,College Park,GA,6'5'',210,72.0,,Tennessee,124,507,NR,2008,Tennessee,,,,,,,,,,,
Aaron Douglas,TE,Maryville,TN,6'6'',240,79.0,,Tennessee,18,,,2008,Tennessee,,,,,,,,,,,
Willie Bohannon,DE,Prichard,AL,6'3'',230,74.0,,Tennessee,90,414,49,2008,Tennessee,,,,,,,,,,,
Ben Bartholomew,FB,Nashville,TN,6'3'',225,76.0,,Tennessee,6,317,NR,2008,Tennessee,,,,,,,,,,,
Preston Bailey,OG,Antion,TN,6'5'',310,77.0,,Tennessee,27,210,NR,2008,Tennessee,,,,,,,,,,,
Carson Anderson,OG,Florence,AL,6'2'',275,,Tennessee,,,,,2008,Tennessee,,,,,,,,,,,
E.J. Abrams-Ward,OLB,Thomasville,NC,6'5'',215,79.0,,Tennessee,26,NR,NR,2008,Tennessee,,,,,,,,,,,
Bryce Brown,RB,Wichita,KS,6'0'',215,5,88,,2,3,,2009,Tennessee,Tennessee,,,,,,,,,,
Darren Myles Jr.,S,Atlanta,GA,6'1'',175,4,83,,5,22,4,2009,Tennessee,Tennessee,,,,,,,,,,
Janzen Jackson,CB,Lake Charles,LA,6'0'',174,4,82,,9,41,,2009,Tennessee,Tennessee,,,,,,,,,,
Nu'Keese Richardson,WR,Pahokee,FL,5'11'',160,4,81,,13,22,1,2009,Tennessee,Tennessee,,,,,,,,,,
David Oku,RB,Lincoln,NE,5'9'',178,4,81,,12,18,,2009,Tennessee,Tennessee,,,,,,,,,,
Jerod Askew,OLB,Chesapeake,VA,6'0'',214,4,81,,18,,,2009,Tennessee,Tennessee,,,,,,,,,,
Robert Nelson,OLB,Stone Mountain,GA,6'0'',205,3,79,,20,118,24,2009,Tennessee,Tennessee,,,,,,,,,,
Nigel Mitchell-Thornton,OLB,Stone Mountain,GA,6'2'',228,3,79,,18,122,,2009,Tennessee,Tennessee,,,,,,,,,,
Eric Gordon,CB,Nashville,TN,5'10'',180,3,79,,32,129,NR,2009,Tennessee,Tennessee,,,,,,,,,,
Zach Rogers,WR,Nashville,TN,6'2'',170,3,79,,36,140,32,2009,Tennessee,Tennessee,,,,,,,,,,
Toney Williams,RB,Alpharetta,GA,6'1'',229,3,79,,29,,,2009,Tennessee,Tennessee,,,,,,,,,,
Greg King,OLB,Memphis,TN,6'3'',200,3,78,,44,163,63,2009,Tennessee,Tennessee,,,,,,,,,,
James Green,WR,Tallahassee,FL,6'2'',202,3,78,,48,165,,2009,Tennessee,Tennessee,,,,,,,,,,
Marsalis Teague,ATH,Paris,TN,5'10'',170,3,78,,32,,,2009,Tennessee,Tennessee,,,,,,,,,,
JerQuari Schofield,OT,Aiken,SC,6'6'',295,3,78,,,,,2009,Tennessee,Tennessee,,,,,,,,,,
Kevin Revis,OG,Evensville,TN,6'4'',270,3,77,,,,,2009,Tennessee,Tennessee,,,,,,,,,,
Marlon Walls,OLB,Olive Branch,MS,6'3'',225,3,77,,36,,,2009,Tennessee,Tennessee,,,,,,,,,,
Mike Edwards,CB,Cleveland,OH,5'10'',175,3,77,,66,299,,2009,Tennessee,Tennessee,,,,,,,,,,
