Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,School,Reg_rank,State_rank,University 
Jimmy Young,WR,Monroe,LA,6'1'',200.0,,,TCU,, None, None,2006,Texas Christian,,,,
Josh Vernon,OC,Irving,TX,,,,,TCU,,,,2006,Texas Christian,,,,
Torrey Stewart,CB,Kosciusko,MS,5'11'',175.0,,,TCU,, NR, NR,2006,Texas Christian,,,,
Ryan Sefton,OG,Poplarville,MS,6'4'',290.0,,,TCU,, None, None,2006,Texas Christian,,,,
Clint Renfro,WR,Southlake,TX,,165.0,,,TCU,, None, None,2006,Texas Christian,,,,
Henry Niutei,DE,Euless,TX,6'3'',260.0,,,TCU,NR,,,2006,Texas Christian,,,,
Marshall Newhouse,OG,Dallas,TX,6'3'',290.0,,,TCU,,,,2006,Texas Christian,,,,
Clarence Leatch,DE,Tatum,TX,6'5'',210.0,,,TCU,NR,,,2006,Texas Christian,,,,
Jacob Kirkpatrick,OG,Tyler,TX,6'3'',280.0,,,TCU,NR, NR, NR,2006,Texas Christian,,,,
Colin Jones,RB,Bridgeport,TX,6'0'',190.0,71.0,,TCU,120,,,2006,Texas Christian,,,,
Alex Ibiloye,CB,Garland,TX,5'10'',170.0,78.0,,TCU,22, None, None,2006,Texas Christian,,,,
Jerry Hughes,RB,Fort Bend,TX,6'2'',220.0,,,TCU,NR,,,2006,Texas Christian,,,,
Cory Grant,DT,Houston,TX,6'3'',285.0,,,TCU,,,,2006,Texas Christian,,,,
Evan Frosch,TE,Midland,TX,6'4'',230.0,,,TCU,,,,2006,Texas Christian,,,,
Zack Eskridge,QB,Rockwall,TX,6'3'',200.0,,,TCU,NR,,,2006,Texas Christian,,,,
Wayne Daniels,DE,Kilgore,TX,6'1'',240.0,,74.0,TCU,57,,,2006,Texas Christian,,,,
Andy Dalton,QB,Katy,TX,6'2'',180.0,,73.0,TCU,,,,2006,Texas Christian,,,,
Marcus Cannon,OT,Odessa,TX,6'4'',265.0,,,TCU,, None, None,2006,Texas Christian,,,,
Braylon Broughton,DE,Dallas,TX,6'6'',240.0,,77.0,TCU,36, NR, NR,2006,Texas Christian,,,,
Edward Wesley,RB,Irving,TX,5'9'',187,,,,,,,2008,Texas Christian,TCU,,,
Sam Shutt,ATH,Savannah,TN,6'0'',178,,,,148,,,2008,Texas Christian,TCU,,,
Chris Scott,S,Baton Rouge,LA,6'1'',190,,,,22,,,2008,Texas Christian,TCU,,,
Zach Roth,OT,Garden City,KS,6'5'',290,,,,,,,2008,Texas Christian,TCU,,,
Edward Patterson,CB,Bastrop,LA,6'1'',175,,,,,,,2008,Texas Christian,TCU,,,
Marques Parker,WR,Omaha,NE,6'1'',180,,,,,,,2008,Texas Christian,TCU,,,
Justin Moreaux,WR,Lake Charles,LA,6'2'',195,,,,,,,2008,Texas Christian,TCU,,,
Trevius Jones,OT,Tyler,TX,6'5'',290,,,,,,,2008,Texas Christian,TCU,,,
Antoine Hicks,ATH,Arlington,TX,6'2'',193,,,,,,,2008,Texas Christian,TCU,,,
Yogi Gallegos,QB,Irving,TX,6'1'',171,,,,76.0,,,2008,Texas Christian,TCU,,,
Corey Fuller,WR,La Vernia,TX,6'5'',210,,,,,,,2008,Texas Christian,TCU,,,
James Fry,OC,Spring Branch,TX,6'4'',251,,,,30,,,2008,Texas Christian,TCU,,,
Blaize Foltz,OG,Rose Hill,KS,6'4'',295,,,,,,,2008,Texas Christian,TCU,,,
Ross Evans,K,Burnet,TX,5'9'',165,,,,NR,,,2008,Texas Christian,TCU,,,
Walker Dille,TE,Sugar Land,TX,6'4'',230,,,,,,,2008,Texas Christian,TCU,,,
Jeremy Coleman,DE,Missouri City,TX,6'2'',245,,,,,,,2008,Texas Christian,TCU,,,
Greg Burks,OLB,Houston,TX,6'1'',205,,,,,,,2008,Texas Christian,TCU,,,
Josh Boyce,WR,Copperas Cove,TX,5'11'',190.0,,80.0,TCU,28,32, NR,2009,Texas Christian,,,,
Justin Isadore,OLB,Beaumont,TX,,,,78.0,TCU,38,,,2009,Texas Christian,,,,
Tanner Brock,OLB,Copperas Cove,TX,6'4'',210.0,,78.0,TCU,43,81, NR,2009,Texas Christian,,,,
Jurell Thompson,ATH,Wichita Falls,TX,5'11'',191.0,,78.0,TCU,60,,,2009,Texas Christian,,,,
Casey Pachall,QB,Brownwood,TX,6'4'',189.0,,77.0,TCU,32,128, NR,2009,Texas Christian,,,,
John Wooldridge,OG,Bellaire,TX,6'5'',280.0,,77.0,TCU,47,133,NR,2009,Texas Christian,,,,
Ty Horn,OT,Waco,TX,6'5'',270.0,,77.0,TCU,44,136, NR,2009,Texas Christian,,,,
Waymon James,RB,Sherman,TX,5'9'',190.0,,76.0,TCU,87,162, NR,2009,Texas Christian,,,,
James Dunbar,DT,Maud,TX,6'5'',270.0,,76.0,TCU,59,,,2009,Texas Christian,,,,
Bryant House,DE,Maud,TX,6'4'',260.0,,75.0,TCU,88,208, NR,2009,Texas Christian,,,,
Eric Tausch,OG,Dallas,TX,6'2'',275.0,,75.0,TCU,103,220, None,2009,Texas Christian,,,,
Kenny Cain,RB,River Ridge,LA,6'1'',210.0,,75.0,TCU,109,,,2009,Texas Christian,,,,
Stansly Maponga,DE,Carrollton,TX,6'2'',230.0,,74.0,TCU,111,263, NR,2009,Texas Christian,,,,
Matthew Tucker,ATH,Tyler,TX,6'1'',205.0,,74.0,TCU,, None, None,2009,Texas Christian,,,,
Ray Burns,DT,Maud,TX,6'1'',285.0,,74.0,TCU,74,282, NR,2009,Texas Christian,,,,
Trent Thomas,,Brenham,TX,5'11'',190.0,,,TCU,NR,,,2009,Texas Christian,,,,
Michael Venson,CB,Katy,TX,5'10'',170.0,,,TCU,, None, None,2009,Texas Christian,,,,
D.J. Yendrey,DE,Edna,TX,6'3'',240.0,,,TCU,NR, NR, NR,2009,Texas Christian,,,,
Dwight Smith,RB,Carthage,TX,6'0'',195.0,,,TCU,,,,2009,Texas Christian,,,,
Skye Dawson,WR,Mesquite,TX,5'11'',175.0,,,TCU,, None, None,2009,Texas Christian,,,,
Aundre Dean,RB,Katy,TX,6'0'',215.0,,,UCLA,,,,2009,Texas Christian,,,,
LaDarius Brown,WR,Waxahachie,TX,6'2'',190,1,81,TCU,, None, None,2011,Texas Christian,,,,
Deryck Gildon,OLB,Arlington,TX,6'2'',210,1,80,TCU,8,27,24,2011,Texas Christian,,,,
Brandon Carter,WR,Euless,TX,5'11'',160,1,79,TCU,31,38,32,2011,Texas Christian,,,,
Jamelle Naff,OT,Del City,OK,6'4'',310,1,79,TCU,26,,,2011,Texas Christian,,,,
Dominic Merka,QB,Crosby,TX,6'3'',190,1,79,TCU,18,,,2011,Texas Christian,,,,
Jon Lewis,DT,Spring,TX,6'2'',260,1,78,TCU,44,,,2011,Texas Christian,,,,
Cameron White,WR,DeSoto,TX,6'1'',180,1,78,TCU,62,78,66,2011,Texas Christian,,,,
David Bush,ATH,Tyler,TX,5'10'',165,1,78,TCU,63,,,2011,Texas Christian,,,,
Carter Wall,OT,Richmond,TX,6'5'',265,1,78,TCU,50,110,89,2011,Texas Christian,,,,
Laderice Sanders,OLB,Arlington,TX,6'0'',220,1,78,TCU,117,,,2011,Texas Christian,,,,
Kolby Griffin,CB,Houston,TX,5'11'',180,1,77,TCU,37,,,2011,Texas Christian,,,,
Bobby Thompson,OT,Midland,TX,6'6'',285,1,77,TCU,62,135,110,2011,Texas Christian,,,,
Davion Pierson,DT,Oklahoma City,OK,6'1'',300,1,77,TCU,72,158,NR,2011,Texas Christian,,,,
Chazten Gonzales,QB,Del City,OK,6'2'',185,1,76,TCU,60,188, None,2011,Texas Christian,,,,
James Bailey,SE,Everman,TX,6'2'',200,1,76,TCU,60,191,146,2011,Texas Christian,,,,
Quincy Aldridge,S,Whitehouse,TX,6'2'',195,1,76,TCU,66,207,161,2011,Texas Christian,,,,
Chuck Hunter,DT,West Monroe,LA,6'0'',290,1,75,TCU,94,464,39,2011,Texas Christian,,,,
Jamie Byrd,S,Dade City,FL,6'0'',190,1,75,TCU,75,,,2011,Texas Christian,,,,
Chris Hackett,S,Tyler,TX,6'1'',175,1,75,TCU,92,259,199,2011,Texas Christian,,,,
Travoskey Garrett,S,Lufkin,TX,6'2'',190,1,75,TCU,97,265,204,2011,Texas Christian,,,,
David Porter,WR,DeSoto,TX,6'0'',175,1,74,TCU,153,280,216,2011,Texas Christian,,,,
Brady Foltz,OG,Rose Hill,KS,6'3'',280,1,74,TCU,, None, None,2011,Texas Christian,,,,
Austin Terry,DE,Lago,TX,6'2'',220,1,74,TCU,168,304,229,2011,Texas Christian,,,,
Trevone Boykin,QB,Mesquite,TX,6'1'',199,1,72,TCU,118,391,296,2011,Texas Christian,,,,
Jason Verrett,CB,Fairfield,CA,5'10'',180,0,TCU,,,,,2011,Texas Christian,,,,
Devonte Fields,DE,Arlington,TX,6'3'',225,81.0,Texas Christian University,,11,14,9,2012,Texas Christian,,,,
Joey Hunt,DT,El Campo,TX,6'2'',284,80.0,Texas Christian University,,18,38,26,2012,Texas Christian,,,,
Jordan Moore,S,Lithonia,GA,6'2'',205,80.0,Texas Christian University,,15,103,19,2012,Texas Christian,,,,
Griffin Gilbert,TE,Austin,TX,6'5'',210,80.0,Texas Christian University,,8,49,37,2012,Texas Christian,,,,
