Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank, State_rank  ,School,University 
Brandon Williams,TE,Fort Worth,TX,6'3'',245.0,,Texas Tech,,,,2006,Texas Tech,,,,,,
Marlon Williams,ILB,Pflugerville,TX,6'0'',210.0,73.0,Texas Tech,49,NR,NR,2006,Texas Tech,,,,,,
Dan'Tay Ward,DT,Waco,TX,6'2'',291.0,75.0,Texas Tech,NR,NR,NR,2006,Texas Tech,,,,,,
Jamar Wall,S,Plainview,TX,5'11'',180.0,72.0,Texas Tech,,,,2006,Texas Tech,,,,,,
Jarell Routt,CB,Texas City,TX,6'0'',190.0,,Texas Tech,,,,2006,Texas Tech,,,,,,
Trevor Reilly,OLB,Valley Center,CA,6'5'',200.0,,Texas Tech,,,,2006,Texas Tech,,,,,,
Adrian Reese,TE,Longview,TX,6'7'',210.0,69.0,Texas Tech,45,,,2006,Texas Tech,,,,,,
Taylor Potts,QB,Abilene,TX,6'4'',215.0,75.0,Texas Tech,,,,2006,Texas Tech,,,,,,
Ofa Moheatu,OG,Euless,TX,,,,Texas Tech,,,,2006,Texas Tech,,,,,,
Colby Whitlock,DT,Noble,OK,6'3'',290,Texas Tech,,49,,,2007,Texas Tech,73.0,,,,,
Tramain Swindall,WR,Oklahoma City,OK,6'2'',165,Texas Tech,,124, NR, NR,2007,Texas Tech,72.0,,,,,
Tyrone Sonier,DE,Missouri City,TX,6'2'',225,Texas Tech,,69,,,2007,Texas Tech,69.0,,,,,
Brandon Sharpe,DE,Lyons,GA,6'4'',240,Texas Tech,,,,,2007,Texas Tech,,,,,,
De'Shon Sanders,S,Hobbs,NM,6'2'',210,Texas Tech,,114,,,2007,Texas Tech,,,,,,
Mickey Okafor,OT,Houston,TX,6'6'',290,Texas Tech,,145,,,2007,Texas Tech,71.0,,,,,
David Neill,DE,Flower Mound,TX,6'5'',245,Texas Tech,,NR,NR,,2007,Texas Tech,68.0,,,,,
Stefan Loucks,QB,Little Rock,AR,6'3'',181,Texas Tech,,NR,,,2007,Texas Tech,75.0,,,,,
Detron Lewis,WR,College Station,TX,6'0'',185,Texas Tech,,,,,2007,Texas Tech,,,,,,
Lyle Leong,WR,Abilene,TX,6'2'',170,Texas Tech,,NR,NR,NR,2007,Texas Tech,71.0,,,,,
Jonathan Lacour,K,Kingwood,TX,6'2'',190,Texas Tech,,,,,2007,Texas Tech,,,,,,
Justin Keown,OT,Anderson,SC,6'4'',280,Texas Tech,,24,,,2007,Texas Tech,,,,,,
Adam James,TE,Celina,TX,6'3'',200,Texas Tech,,,,,2007,Texas Tech,77.0,,,,,
Daniel Howard,DE,El Dorado,KS,6'3'',240,Texas Tech,,72,,,2007,Texas Tech,,,,,,
Jonathan Hollins,DE,Baton Rouge,LA,6'3'',255,Texas Tech,,54,,,2007,Texas Tech,72.0,,,,,
Rashad Hawk,WR,Copperas Cove,TX,6'3'',180,Texas Tech,,14,NR,NR,2007,Texas Tech,77.0,,,,,
Jerrod Gooch,OG,Vidor,TX,6'4'',285,Texas Tech,,,219,,2007,Texas Tech,77.0,,,,,
Jacoby Franks,WR,Orange,TX,6'0'',175,Texas Tech,,NR,NR,NR,2007,Texas Tech,63.0,,,,,
Jared Flannel,RB,West Columbia,TX,6'1'',175,Texas Tech,,,,,2007,Texas Tech,71.0,,,,,
Sam Fehoko,DE,Honolulu,HI,6'2'',220,Texas Tech,,124,NR,NR,2007,Texas Tech,72.0,,,,,
Blake Emert,OT,Sachse,TX,6'5'',275,Texas Tech,,90,,,2007,Texas Tech,70.0,,,,,
Lonnie Edwards,OT,Brownsboro,TX,6'5'',310,Texas Tech,,,,,2007,Texas Tech,73.0,,,,,
Dominique Delphece,OT,Fort Worth,TX,6'7'',340,Texas Tech,,NR,,,2007,Texas Tech,,,,,,
Aaron Crawford,RB,Memphis,TN,5'11'',200,Texas Tech,,,,,2007,Texas Tech,75.0,,,,,
Taylor Charbonnet,CB,The Woodlands,TX,5'9'',165,Texas Tech,,,,,2007,Texas Tech,68.0,,,,,
Omar Castillo,OT,Roswell,NM,6'6'',310,Texas Tech,,49,,,2007,Texas Tech,,,,,,
