Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,University ,School
Malcolm Brown,RB,Cibolo,TX,6'0'',215,4,86,Texas,7th,1,1,2011,Texas,,,,
Quandre Diggs,CB,Angleton,TX,5'10'',190,4,83,Texas,1,,,2011,Texas,,,,
Desmond Jackson,DT,Houston,TX,6'1'',273,4,82,Texas,4,,,2011,Texas,,,,
Steve Edmond,ILB,Daingerfield,TX,6'2'',225,4,81,Texas,4,8,8,2011,Texas,,,,
Josh Turner,ATH,Oklahoma City,OK,5'11'',180,4,81,Texas,12,,,2011,Texas,,,,
Sedrick Flowers,OG,Houston,TX,6'3'',275,4,81,Texas,6,11,10,2011,Texas,,,,
Leroy Scott,CB,Pasadena,TX,5'10'',185,4,80,Texas,6,,,2011,Texas,,,,
Garrett Greenlea,OT,Klein,TX,6'6'',285,4,80,Texas,11,22,19,2011,Texas,,,,
Sheroid Evans,CB,Missouri City,TX,6'0'',180,4,80,Texas,13,29,26,2011,Texas,,,,
David Ash,QB,Belton,TX,6'3'',190,4,80,Texas,11,31,27,2011,Texas,,,,
Cedric Reed,DE,Cleveland,TX,6'5'',235,4,80,Texas,20,32,28,2011,Texas,,,,
M.J. McFarland,TE,El Paso,TX,6'5'',235,4,79,Texas,14,,,2011,Texas,,,,
Quincy Russell,DT,San Antonio,TX,6'2'',285,4,79,Texas,22,39,33,2011,Texas,,,,
Jaxon Shipley,WR,Brownwood,TX,6'0'',170,4,79,Texas,36,,,2011,Texas,,,,
Kendall Thompson,OLB,Carthage,TX,6'2'',235,4,79,Texas,23,51,43,2011,Texas,,,,
Chet Moss,ILB,Cedar Park,TX,6'1'',225,4,79,Texas,16,66,56,2011,Texas,,,,
Mykkele Thompson,ATH,San Antonio,TX,6'1'',175,3,78,Texas,60,85,70,2011,Texas,,,,
Miles Onyegbule,WR,Arlington,TX,6'3'',200,3,78,Texas,66,91,75,2011,Texas,,,,
Joe Bergeron,FB,Mesquite,TX,6'0'',237,3,78,Texas,1,,,2011,Texas,,,,
Josh Cochran,OT,Hallsville,TX,6'6'',270,3,77,Texas,74,,,2011,Texas,,,,
Taylor Doyle,OT,Austin,TX,6'5'',265,3,77,Texas,155,78,122,2011,Texas,,,,
Marcus Hutchins,OG,DeSoto,TX,6'3'',255,4,76,Texas,48,182,139,2011,Texas,,,,
Johnathan Gray,RB,Aledo,TX,5'10'',205,5,86,Texas,1,,,2012,Texas,2,2,,
Malcom Brown,DT,Brenham,TX,6'2'',285,5,84,Texas,2,,,2012,Texas,4,3,,
Peter Jinkens,OLB,Dallas,TX,6'1'',210,5,81,Texas,5,,,2012,Texas,,,,
Kennedy Estelle,OT,Pearland,TX,6'7'',310,5,81,Texas,7,,,2012,Texas,,,,
Torshiro Davis,DE,Shreveport,LA,6'3'',220,5,81,Texas,12,,,2012,Texas,,,,
Curtis Riser,OG,DeSoto,TX,6'4'',290,5,81,Texas,6,,,2012,Texas,,,,
