Name,Pos,City,State,Height,Weight,Stars,Grade,University ,Pos_rank,Reg_rank,State_rank,Year,Team,University, Reg_rank, State_rank,School,State_rank  
Jim Bob Williams,OG,Jacksonville,FL,6'4'',280,,,Troy ,,,,2006,Troy,,,,,
Xavier Walker,RB,Bridgewater,NJ,5'11'',185,,,Troy ,,,,2006,Troy,,,,,
Gerald Tate,WR,Dodge City,KS,6'0'',200,,,Troy ,,,,2006,Troy,,,,,
Austin Silvoy,WR,Saint Augustine,FL,6'4'',200,,,Troy ,NR,NR,NR,2006,Troy,,,,,
Sam Sellers,RB,Troy,AL,5'11'',185,,,Troy ,,,,2006,Troy,,,,,
Untavious Scott,DE,Pahokee,FL,6'3'',210,,,Troy ,,,,2006,Troy,,,,,
Jonathan Reese,ILB,Americus,GA,6'2'',215,,,Troy ,NR,NR,NR,2006,Troy,,,,,
Marcus Pittman,DT,Garden City,KS,6'4'',290,,,Troy ,,,,2006,Troy,,,,,
John Mark Patrick,OLB,Pace,FL,6'3'',215,,,Troy ,,,,2006,Troy,,,,,
Doug Mimms,QB,Montgomery,AL,6'0'',215,,,Troy ,,,,2006,Troy,,,,,
Bryant McKissic,S,Phenix City,AL,6'2'',203,,,Troy ,NR,,,2006,Troy,,,,,
Cedric McKinley,DE,Bratt,FL,6'6'',240,,,Troy ,,,,2006,Troy,,,,,
Patrick McGlon,K,Buford,GA,5'10'',170,,,Troy ,,,,2006,Troy,,,,,
Jamare Mathis,DE,Gadsden,AL,6'4'',210,,,Troy ,,,,2006,Troy,,,,,
Elbert Mack,CB,Wichita,KS,5'10'',175,,,Troy ,NR,NR,NR,2006,Troy,,,,,
Boris Lee,ILB,Homerville,GA,6'2'',210,,,Troy ,,,,2006,Troy,,,,,
Tanner Jones,QB,Crawfordville,FL,6'2'',200,,,Troy ,163,482, NR,2006,Troy,,,,,
Jeremy Jenkins,DE,Gainesville,FL,6'4'',245,,,Troy ,,,,2006,Troy,,,,,
Derrius Jackson,S,Hayward,CA,6'1'',180,,,Troy ,70.0,,,2006,Troy,,,,,
Omar Haugabook,QB,Dodge City,KS,6'2'',225,,,Troy ,,,,2006,Troy,,,,,
Mike Fair,OG,Cartersville,GA,6'4'',275,,,Troy ,,,,2006,Troy,,,,,
Nikko Doyle,DE,Batesville,MS,6'3'',240,,,Troy ,NR,,,2006,Troy,,,,,
Patrick Cherry,WR,Live Oak,FL,5'11'',185,,,Troy ,,,,2006,Troy,,,,,
Jonathan Chandler,QB,Opelika,AL,6'2'',190,,,Troy ,39,182,22,2006,Troy,,,,,
Justin Bray,CB,Hogansville,GA,6'0'',175,,,Troy ,,,,2006,Troy,,,,,
Kevin Bray,S,Reedley,CA,5'11'',195,,,Troy ,,,,2006,Troy,,,,,
Chris Bradwell,DE,Booneville,MS,6'5'',280,,,Troy ,,,,2006,Troy,,,,,
Chris Bowens,S,Columbus,GA,6'0'',185,,,Troy ,NR,NR,NR,2006,Troy,,,,,
Jeff Banks,OLB,Fort Myers,FL,6'3'',215,,,Troy,,,,2006,Troy,,,,,
Bryan Willis,CB,Columbus,GA,6'0'',170,,NR,,,,,2008,Troy,Troy Trojans,,,,
Terrence Williams,OLB,Prattville,AL,6'0'',190,,NR,,,,,2008,Troy,Troy Trojans,,,,
Cory Wilkes,QB,Jasper,AL,6'0'',200,,NR,,NR,NR,NR,2008,Troy,Troy Trojans,,,,
Kyle Wilborn,OG,Newnan,GA,6'5'',280,,NR,,,,,2008,Troy,Troy Trojans,,,,
Johnny Thompson,OLB,Valley,AL,6'1'',205,,72,,96,500,60,2008,Troy,Troy Trojans,,,,
Jacoby Thomas,OLB,Mobile,AL,6'0'',215,,78,,41,,,2008,Troy,Troy Trojans,,,,
Daniel Sheffield,S,Garden City,KS,6'2'',200,,NR,,NR,,,2008,Troy,Troy Trojans,,,,
James Searcy,DE,Newnan,GA,6'2'',256,,74,,382,,,2008,Troy,Troy Trojans,,,,
Corey Robinson,QB,Paducah,KY,6'3'',195,,NR,,,,,2008,Troy,Troy Trojans,,,,
DeMarcus Robertson,S,Sunrise,FL,5'11'',190,,NR,,,,,2008,Troy,Troy Trojans,,,,
Michael Ricks,S,Leighton,AL,6'3'',190,,NR,,,,,2008,Troy,Troy Trojans,,,,
Charles Reeves Jr.,ATH,Stone Mountain,GA,5'11'',175,,NR,,NR,NR,NR,2008,Troy,Troy Trojans,,,,
KeJuan Phillips,CB,Waycross,GA,5'10'',180,,NR,,,,,2008,Troy,Troy Trojans,,,,
Chris Perry,RB,Winter Park,FL,5'9'',170,,NR,,,,,2008,Troy,Troy Trojans,,,,
Felton Payton,WR,Fort Walton Beach,FL,6'2'',185,,NR,,,,,2008,Troy,Troy Trojans,,,,
Dan Parker,QB,Miami,FL,6'0'',200,,NR,,,,,2008,Troy,Troy Trojans,,,,
Chigozie Nwankwo,DE,Hollywood,FL,6'3'',250,,NR,,,,,2008,Troy,Troy Trojans,,,,
Darius Morgan,WR,Citra,FL,6'4'',191,,79,,46,,,2008,Troy,Troy Trojans,,,,
Tony Mitchell,RB,Hollywood,FL,5'8'',180,,NR,,,,,2008,Troy,Troy Trojans,,,,
Kedric Manning,CB,Kilgore,TX,5'11'',180,,NR,,,,,2008,Troy,Troy Trojans,,,,
Marcus Lott,S,Union,SC,6'1'',180,,NR,,,,,2008,Troy,Troy Trojans,,,,
Tim Lamb,DT,Tallahassee,FL,6'1'',315,,81,,,,,2008,Troy,Troy Trojans,,,,
Josh Jarboe,WR,Decatur,GA,6'2'',200,,TR,,,,,2008,Troy,Troy Trojans,,,,
Stoney Jackson,DE,Luverne,AL,6'4'',220,,NR,,,,,2008,Troy,Troy Trojans,,,,
Maurice Greer,RB,Denver,CO,5'11'',210,,NR,,,,,2008,Troy,Troy Trojans,,,,
Tebiarus Gill,WR,Ellisville,MS,6'3'',200,,NR,,NR,NR,NR,2008,Troy,Troy Trojans,,,,
Calvin Francois,DT,Hollywood,FL,6'0'',270,,NR,,,,,2008,Troy,Troy Trojans,,,,
Gavin Ellis,WR,Cullman,AL,6'6'',215,,NR,,NR,,,2008,Troy,Troy Trojans,,,,
Teavis Durgin,OT,Daphne,AL,6'6'',328,,79,,22,,,2008,Troy,Troy Trojans,,,,
DeAndre Dorn,DT,Orlando,FL,6'4'',295,,NR,,,,,2008,Troy,Troy Trojans,,,,
Kanorris Davis,OLB,Perry,GA,6'0'',210,,NR,,,,,2008,Troy,Troy Trojans,,,,
Tony Davis,DE,Perry,GA,6'2'',250,,NR,,NR,NR,NR,2008,Troy,Troy Trojans,,,,
Jacob Creech,OT,Boaz,AL,6'4'',283,,63,,,,,2008,Troy,Troy Trojans,,,,
Jorrick Calvin,CB,Decatur,MS,5'11'',185,,NR,,,,,2008,Troy,Troy Trojans,,,,
Talris Brown,ATH,Milton,FL,6'2'',200,,NR,,,,,2008,Troy,Troy Trojans,,,,
Brandon Boudreaux,DE,Auburn,AL,6'1'',230,,NR,,,,,2008,Troy,Troy Trojans,,,,
Jimmie Arnold,OG,Belle Glade,FL,6'2'',290,,NR,,,,,2008,Troy,Troy Trojans,,,,
Chris Anderson,RB,Hollywood,FL,5'9'',186,,NR,,,,,2008,Troy,Troy Trojans,,,,
Mario Addison,DE,Tarrant,AL,6'4'',240,,NR,,,,,2008,Troy,Troy Trojans,,,,
B.J. Chitty,ATH,Dothan,AL,6'3'',175.0,78.0,Troy Trojans,,NR,NR,NR,2010,Troy,,,,,
Joe Lofton,SF,Fort Walton Beach,FL,6'2'',170.0,76.0,Troy Trojans,,,,,2010,Troy,,,,,
Corey Shelton,ATH,Prattville,AL,5'6'',150.0,76.0,Troy Trojans,,,,,2010,Troy,,,,,
Bradley Wallace,S,Palm Beach Gardens,FL,6'2'',195.0,76.0,Troy Trojans,,,,,2010,Troy,,,,,
Jonathan Robertson,DE,Cullman,AL,6'4'',252.0,75.0,Troy Trojans,,112, None, None,2010,Troy,,,,,
Khary Franklin,ATH,Valdosta,GA,5'7'',165.0,74.0,Troy Trojans,,NR,NR,NR,2010,Troy,,,,,
Dionte Ponder,CB,Ocala,FL,5'11'',164.0,74.0,Troy Trojans,,,79,,2010,Troy,,,,,
Sam Haskins,WR,Fort Lee,VA,6'4'',200.0,74.0,Troy Trojans,,,,,2010,Troy,,,,,
Luke Barnes,QB,Fort Walton Beach,FL,6'2'',190.0,71.0,Troy Trojans,,138,,,2010,Troy,,,,,
Camren Hudson,ATH,Tallahassee,FL,5'10'',178.0,70.0,Troy Trojans,,,,,2010,Troy,,,,,
Tommy Stephens,DE,Marianna,FL,6'4'',240.0,70.0,Troy Trojans,,188,NR,NR,2010,Troy,,,,,
Dalton Bennett,OT,Marianna,FL,6'4'',260.0,66.0,Troy Trojans,,176,NR,NR,2010,Troy,,,,,
Brach Bessant,ILB,Lake City,FL,6'1'',230.0,,Troy Trojans,,,,,2010,Troy,,,,,
Christian Pickett,CB,Crestview,FL,5'11'',179.0,,Troy Trojans,,,,,2010,Troy,,,,,
Fidel Montgomery,CB,Marianna,FL,5'11'',167.0,,Troy Trojans,,,,,2010,Troy,,,,,
Nathan Benford,ATH,Atlanta,GA,5'8'',142.0,,Troy Trojans,,,,,2010,Troy,,,,,
Terrence Jones,OG,Huntsville,AL,6'4'',300.0,,Troy Trojans,,,,,2010,Troy,,,,,
Charles Hayes,CB,Thomasville,GA,5'9'',174.0,,Troy Trojans,,,,,2010,Troy,,,,,
Dantavious Jeffery,DE,Douglasville,GA,6'2'',210.0,,Troy Trojans,,,,,2010,Troy,,,,,
Jamal Johnson,WR,Birmingham,AL,6'0'',180.0,,Troy Trojans,,,,,2010,Troy,,,,,
Mike Smith,RB,Tallassee,AL,5'9'',180.0,,Troy Trojans,,,,,2010,Troy,,,,,
John Clark,DE,Oxford,AL,6'4'',220.0,,Troy Trojans,,,,,2010,Troy,,,,,
Jeron Boykin,OT,Thomaston,AL,6'7'',330.0,,Troy Trojans,,,,,2010,Troy,,,,,
Chris Hawkins,OG,Florence,AL,6'3'',304.0,,Troy Trojans,,NR,,,2010,Troy,,,,,
Adrian Mack,DE,Waycross,GA,6'4'',220.0,,Troy Trojans,,,,,2010,Troy,,,,,
Mark Beard,OT,Adamsville,AL,6'5'',265.0,,Troy Trojans,,NR,,,2010,Troy,,,,,
Ethan Davis,RB,Panama City,FL,,,,Troy Trojans,,NR,NR,NR,2010,Troy,,,,,
Greg Jenkins,QB,Wesley Chapel,FL,6'2'',195.0,,Troy Trojans,,NR,,,2010,Troy,,,,,
Brett Moncrief,WR,North Little Rock,AR,6'4'',200.0,,Troy Trojans,,,,,2010,Troy,,,,,
Jimmie Anderson,CB,Kilgore,TX,5'9'',170.0,,Troy Trojans,,,,,2010,Troy,,,,,
Jarred Fleming,OT,Louisville,MS,6'6'',280.0,,Troy Trojans,,,,,2010,Troy,,,,,
Demarkus Underwood,OT,Leighton,AL,6'6'',315.0,,Troy Trojans,,,,,2010,Troy,,,,,
LaDarrius Madden,S,Booneville,MS,5'11'',200.0,,Troy Trojans,,,,,2010,Troy,,,,,
Chris Anderson,RB,Lauderdale Lakes,FL,5'10'',195.0,,Troy Trojans,,,,,2010,Troy,,,,,
Stoney Jackson,DE,Luverne,AL,6'4'',220.0,,Troy Trojans,,,,,2010,Troy,,,,,
Terrance Evans,QB,Bristol,FL,6'3'',176.0,,Troy Trojans,,,,,2010,Troy,,,,,
WR,Lake Butler,FL,6'0'',170.0,78.0,,Troy,,,,,2011,Troy,,,,,
S,Fort Walton Beach,FL,6'2'',170.0,76.0,,Troy,,,,,2011,Troy,,,,,
DE,De Funiak Springs,FL,6'3'',215.0,76.0,,Troy,,,,,2011,Troy,,,,,
DE,Foley,AL,6'2'',225.0,74.0,,Troy,,,,,2011,Troy,,,,,
QB,Gardendale,AL,6'5'',200.0,73.0,,Troy,,,,,2011,Troy,,,,,
QB,Fort Walton Beach,FL,6'2'',190.0,71.0,,Troy,,,,,2011,Troy,,,,,
CB,Thomasville,AL,5'9'',150.0,71.0,,Troy,,,,,2011,Troy,,,,,
OG,Dothan,AL,6'3'',304.0,67.0,,Troy,,,,,2011,Troy,,,,,
