Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University , Pos, City, State, Height, Weight, Grade, University
Troy Wilson,DE,Fork Union,VA,6'2'',235.0,,,Tulane,,,,2006,Tulane,,,,,,,,,,
Alex Wacha,CB,Sugar Land,TX,,,,,Tulane,NR,NR,NR,2006,Tulane,,,,,,,,,,
Ross Thevenot,K,Lake Charles,LA,,,,,Tulane,,,,2006,Tulane,,,,,,,,,,
Cody Sparks,DE,Bridge City,TX,6'4'',222.0,,,Tulane,NR,,,2006,Tulane,,,,,,,,,,
Casey Robottom,WR,Laplace,LA,6'0'',170.0,,,Tulane,,,,2006,Tulane,,,,,,,,,,
Oscar Ponce de Leon,DT,River Ridge,LA,6'3'',295.0,,,Tulane,,,,2006,Tulane,,,,,,,,,,
Kevin Moore,QB,Flower Mound,TX,6'5'',201.0,2.0,,Tulane,,92,NR,2006,Tulane,,,,,,,,,,
Josh Mitzel,ILB,Keller,TX,6'1'',230.0,,,Tulane,NR,,,2006,Tulane,,,,,,,,,,
Alan Mitchell,WR,Ellenwood,GA,6'3'',175.0,,,Tulane,,,,2006,Tulane,,,,,,,,,,
Jeremy McKinney,ILB,Houston,TX,6'1'',215.0,,,Tulane,,,,2006,Tulane,,,,,,,,,,
Kevin Leary,OG,West Chester,PA,6'3'',280.0,,,Tulane,,,,2006,Tulane,,,,,,,,,,
Nick Landry,OT,Beaumont,TX,6'5'',265.0,,,Tulane,,,,2006,Tulane,,,,,,,,,,
Adam Kwentua,OLB,Baton Rouge,LA,6'3'',235.0,,,Tulane,,,,2006,Tulane,,,,,,,,,,
Logan Kelly,ILB,Houston,TX,6'2'',220.0,,,Tulane,,,,2006,Tulane,,,,,,,,,,
Logan Kelley,DE,Houston,TX,6'3'',230.0,,,Tulane,,NR,NR,2006,Tulane,,,,,,,,,,
Markus James,OLB,Fork Union,VA,6'3'',215.0,,,Tulane,,,,2006,Tulane,,,,,,,,,,
Kevin Ivey,WR,Metairie,LA,5'11'',170.0,,,Tulane,NR,,,2006,Tulane,,,,,,,,,,
Demetrius Hill,QB,Ellenwood,GA,6'1'',180.0,,,Tulane,,,,2006,Tulane,,,,,,,,,,
Peter Hendrickson,OT,Tampa,FL,6'7'',265.0,,,Tulane,,,,2006,Tulane,,,,,,,,,,
Archie Gainous,RB,Houston,TX,6'2'',195.0,,,Tulane,,,,2006,Tulane,,,,,,,,,,
Chinonso Echebelem,S,Duncanville,TX,6'1'',183.0,,,Tulane,,,,2006,Tulane,,,,,,,,,,
Shannon Davis,CB,Atlanta,GA,6'1'',170.0,,,Tulane,,,,2006,Tulane,,,,,,,,,,
Travis Burks,WR,McDonough,GA,6'0'',188.0,,,Tulane,NR,,,2006,Tulane,,,,,,,,,,
Tony Bryant,DE,Atlanta,GA,6'3'',235.0,,,Tulane,,,,2006,Tulane,,,,,,,,,,
Cody Brooks,DE,Beaumont,TX,6'4'',225.0,,,Tulane,,,,2006,Tulane,,,,,,,,,,
Andre Anderson,RB,Stone Mountain,GA,6'0'',195.0,3.0,,Tulane,,,,2006,Tulane,,,,,,,,,,
Brock Sanders,TE,Duluth,GA,6'3'',220,79.0,Tulane,,10,,,2009,Tulane,129,28,,,,,,,,
Lawrence Abrams,OT,Madison,AL,6'6'',322,79.0,Tulane,,23,,,2009,Tulane,143, NR,,,,,,,,
Stephen Barnett,RB,Jacksonville,FL,5'11'',187,77.0,Tulane,,68,,,2009,Tulane,268,103,,,,,,,,
Austen Jacks,DE,Winter Park,FL,6'4'',225,75.0,Tulane,,435,,,2009,Tulane,,,,,,,,,,
Devin Williams,DE,Katy,TX,6'3'',203,73.0,Tulane,,135,,,2009,Tulane,319, NR,,,,,,,,
D.J. Banks,ATH,West Monroe,LA,5'9'',170,73.0,Tulane,,152,,,2009,Tulane,582, None,,,,,,,,
Shane Delery,DT,New Orleans,LA,6'4'',252,73.0,Tulane,,99,,,2009,Tulane,605,,,,,,,,,
Cody Ledford,OLB,Tallahassee,FL,5'10'',196,73.0,Tulane,,,,,2009,Tulane,,,,,,,,,,
Rio Mares,OG,Albuquerque,NM,6'6'',350,71.0,Tulane,,,,,2009,Tulane, None, None,,,,,,,,
Mike Henry,DT,River Ridge,LA,6'5'',265,71.0,Tulane,,118,,,2009,Tulane,,,,,,,,,,
Payten Jason,RB,New Orleans,LA,6'0'',190,71.0,Tulane,,,,,2009,Tulane,178,668,,,,,,,,
Wilson Van Hooser,WR,Montgomery,AL,5'11'',176,66.0,Tulane,,NR,,,2009,Tulane,751, None,,,,,,,,
Kendrell Washington,CB,Brenham,TX,5'9'',165,,Tulane,,,,,2009,Tulane,,,,,,,,,,
Zach Morgan,OG,Lake Charles,LA,6'2'',283,,Tulane,,,,,2009,Tulane, None, None,,,,,,,,
Ryan Grant,WR,Beaumont,TX,6'2'',185,,Tulane,,,,,2009,Tulane,,,,,,,,,,
Jordan Garrett,S,Beaumont,TX,6'0'',195,,Tulane,,,,,2009,Tulane, None, None,,,,,,,,
Devin Figaro,WR,Lafayette,LA,6'3'',180,,Tulane,,,,,2009,Tulane,,,,,,,,,,
Shakiel Smith,CB,New Orleans,LA,5'11'',180,,Tulane,,,,,2009,Tulane, None, None,,,,,,,,
Hunter Howden,OT,Lumberton,TX,6'5'',280,,Tulane,,NR,,,2009,Tulane, NR, NR,,,,,,,,
Ryan Travis,CB,Plaquemine,LA,5'11'',170,,Tulane,,NR,,,2009,Tulane, NR, NR,,,,,,,,
Jordan Sullen,WR,New Orleans,LA,6'1'',190,,Tulane,,,,,2009,Tulane, None, None,,,,,,,,
Derrick Strozier,CB,Orlando,FL,5'8'',170,,Tulane,,,,,2009,Tulane,,,,,,,,,,
Ryan Rome,K,Desrehan,LA,5'9'',170,,Tulane,,NR,,,2009,Tulane,,,,,,,,,,
Kendrick Washington,CB,Brenham,TX,5'9'',165,,Tulane,,NR,,,2009,Tulane,,,,,,,,,,
Kevin Burris,TE,Bogart,GA,6'2'',220,,Tulane,,,,,2009,Tulane,,,,,,,,,,
Dezman Moses,DE,Sicklerville,NJ,6'2'',250,,Tulane,,,,,2009,Tulane,,,,,,,,,,
Wendell Beckwith Jr.,DE,Clinton,LA,6'3'',210,3,77,Tulane,,,,2010,Tulane,,,,,,,,,,
Darion Monroe,ATH,Reserve,LA,5'10'',165,,80.0,,19,86,5,2012,Tulane,,,Tulane,,,,,,,
Devon Breaux,ATH,Donaldsonville,LA,5'11'',175,,78.0,,,,,2012,Tulane,,,Tulane,,,,,,,
Walker Van Hooser,WR,Montgomery,AL,6'1'',170,,76.0,,122,,,2012,Tulane,,,Tulane,,,,,,,
Jordan Batiste,SL,Lutcher,LA,5'8'',170,,75.0,,45,,,2012,Tulane,,,Tulane,,,,,,,
Lazedrick Thompson,RB,Laplace,LA,6'0'',205,,74.0,,,,,2012,Tulane,,,Tulane,,,,,,,
Todd Jacquet,OT,New Orleans,LA,6'4'',260,,74.0,,,,,2012,Tulane,,,Tulane,,,,,,,
Calvin Thomas,DT,Chandler,AZ,6'3'',258,,73.0,,143,268,34,2012,Tulane,,,Tulane,,,,,,,
Nathan Shienle,OT,Tampa Bay,FL,6'4'',290,,73.0,,,,,2012,Tulane,,,Tulane,,,,,,,
Christian Eatherley,OT,Kansas City,MO,6'6'',265,,72.0,,,,,2012,Tulane,,,Tulane,,,,,,,
Royce LaFrance,OLB,Harvey,LA,6'1'',210,,72.0,,143,,,2012,Tulane,,,Tulane,,,,,,,
Lorenzo Doss,WR,New Orleans,LA,6'0'',190,,70.0,,234,939,76,2012,Tulane,,,Tulane,,,,,,,
Bobby Bradley,OG,Medford,NJ,6'3'',270,,69.0,,,,,2012,Tulane,,,Tulane,,,,,,,
Joshua Rounds,RB,New Orleans,LA,5'10'',178,,,,,,,2012,Tulane,,,Tulane,,,,,,,
Devin Powell,QB,New Orleans,LA,6'3'',180,,,,,,,2012,Tulane,,,Tulane,,,,,,,
Colton Hanson,OT,New Braunfels,TX,6'6'',285,,,,,,,2012,Tulane,,,Tulane,,,,,,,
Alex Paul,OT,New Orleans,LA,6'5'',310,,,,,,,2012,Tulane,,,Tulane,,,,,,,
Kedrick Banks,WR,New Orleans,LA,5'10'',180,,,,,,,2012,Tulane,,,Tulane,,,,,,,
Christopher Taylor,OG,Zachary,LA,6'2'',315,3,83,Tulane,8,,,2013,Tulane,88,8,,,,,,,,
Kenneth Santa Marina,OT,New Orleans,LA,6'6'',320,4,77,Tulane,52,,,2013,Tulane,,,,,,,,,,
