Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,School,University , Pos, City, State, Height, Weight, Stars, Grade, University
A.J. Whitmore,CB,Nashville,AR,5'10'',175,NR,Tulsa,, NR, NR,2007,Tulsa,,,,,,,,,,,,,
Clint Whitley,OT (JC),Poplarville,MS,6'4'',290,NR,Tulsa,NR,,,2007,Tulsa,,,,,,,,,,,,,
Jonny Wacker,OLB,Columbia,MO,6'1'',230,NR,Tulsa,,,,2007,Tulsa,,,,,,,,,,,,,
Jacoby Veals,DT,Dallas,TX,6'2'',270,NR,Tulsa,,,,2007,Tulsa,,,,,,,,,,,,,
Tory Tyner,S,Cedar Hill,TX,6'2'',180,NR,Tulsa,NR,,,2007,Tulsa,,,,,,,,,,,,,
Wayne Thompson,DT,Cedar Hill,TX,6'0'',285,NR,Tulsa,NR, NR, NR,2007,Tulsa,,,,,,,,,,,,,
Reid Singleton,CB,Fort Worth,TX,5'9'',170,NR,Tulsa,NR,,,2007,Tulsa,,,,,,,,,,,,,
Kenny Sims,ILB,Arlington,TX,6'0'',205,68,Tulsa,NR,,,2007,Tulsa,,,,,,,,,,,,,
Shawn Santos,OG (JC),Keller,TX,6'4'',285,NR,Tulsa,,,,2007,Tulsa,,,,,,,,,,,,,
Rashad Robinson,OLB,McKinney,TX,6'1'',215,NR,Tulsa,NR, NR, NR,2007,Tulsa,,,,,,,,,,,,,
Aaron Ringle,OG,Sand Springs,OK,6'3'',237,70,Tulsa,NR, NR, NR,2007,Tulsa,,,,,,,,,,,,,
Odrick Ray,DE,Athens,TX,6'4'',220,NR,Tulsa,, None, None,2007,Tulsa,,,,,,,,,,,,,
Darrell Pasco,CB (JC),Milledgeville,GA,5'10'',160,NR,Tulsa,,,,2007,Tulsa,,,,,,,,,,,,,
Charles Opeseyitan,RB,Allen,TX,5'11'',185,71,Tulsa,143, None, None,2007,Tulsa,,,,,,,,,,,,,
Mike Johnson,QB,Durham,NC,6'2'',180,70,Tulsa,,137, None,2007,Tulsa,,,,,,,,,,,,,
Trae Johnson,WR,Grand Prairie,TX,5'11'',170,NR,Tulsa,,,,2007,Tulsa,,,,,,,,,,,,,
Jason Jackson,WR,Fort Worth,TX,6'0'',180,NR,Tulsa,,,,2007,Tulsa,,,,,,,,,,,,,
Tyler Holmes,DT,Ottawa,ON,6'4'',290,NR,Tulsa,, None, None,2007,Tulsa,,,,,,,,,,,,,
Wilson Holloway,OT,Oklahoma City,OK,6'7'',250,NR,Tulsa,NR,,,2007,Tulsa,,,,,,,,,,,,,
Nolan Hankins,OT,Springdale,AR,6'5'',345,NR,Tulsa,,,,2007,Tulsa,,,,,,,,,,,,,
Chris Ford,WR,Fort Worth,TX,6'2'',180,NR,Tulsa,, None, None,2007,Tulsa,,,,,,,,,,,,,
Ramarcus Dickerson,DT,Little Rock,AR,6'2'',254,NR,Tulsa,, None, None,2007,Tulsa,,,,,,,,,,,,,
Genesis Cole,WR,Little Rock,AR,6'0'',175,NR,Tulsa,, None, None,2007,Tulsa,,,,,,,,,,,,,
Charles Clay,RB,Little Rock,AR,6'3'',222,NR,Tulsa,, None, None,2007,Tulsa,,,,,,,,,,,,,
C. J. Chaten,CB,Dardanelle,AR,5'10'',175,72,Tulsa,NR,,,2007,Tulsa,,,,,,,,,,,,,
Tyree Bullock,CB,Raleigh,NC,5'11'',168,70,Tulsa,, None, None,2007,Tulsa,,,,,,,,,,,,,
Curnelius Arnick,ILB,Dallas,TX,6'2'',220,NR,Tulsa,NR, NR, NR,2007,Tulsa,,,,,,,,,,,,,
