Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,School,Reg_rank,State_rank,Star,Unnamed: 8
Kevin Whitehurst,OC,Duluth,GA,6'2'',250,,,UAB,, None, None,2006,U of Alabama Birmingham,,,,,
Jared White,WR,Mobile,AL,6'1'',170,74.0,,UAB,74,,,2006,U of Alabama Birmingham,,,,,
Joseph Waller,OT,Huntsville,AL,6'4'',267,,,UAB,, None, None,2006,U of Alabama Birmingham,,,,,
Joseph Walker,OG,Huntsville,AL,6'4'',275,,,UAB,NR, NR, NR,2006,U of Alabama Birmingham,,,,,
Bryant Turner,ILB,Daphne,AL,6'2'',230,,,UAB,,,,2006,U of Alabama Birmingham,,,,,
Anthony Speight,QB,Bessemer,AL,6'3'',200,,,UAB,, None, None,2006,U of Alabama Birmingham,,,,,
Courtney Smith,WR,Prattville,AL,6'4'',190,71.0,,UAB,118,343,37,2006,U of Alabama Birmingham,,,,,
Rashaud Slaughter,CB,Adamsville,AL,5'9'',180,,,UAB,, None, None,2006,U of Alabama Birmingham,,,,,
Jermaine Rodgers,DE,Mobile,AL,6'4'',235,,,UAB,, None, None,2006,U of Alabama Birmingham,,,,,
Cory Powers,TE,Auburndale,FL,6'4'',240,68.0,,UAB,420,70, NR,2006,U of Alabama Birmingham,,,,,
Michael McRae,CB,Sarasota,FL,6'1'',170,,,UAB,,,,2006,U of Alabama Birmingham,,,,,
Stanley Lykes,OLB,Booneville,MS,6'2'',205,,,UAB,, None, None,2006,U of Alabama Birmingham,,,,,
Jamal Lewis,DT,Huntsville,AL,6'2'',280,,,UAB,NR, NR, NR,2006,U of Alabama Birmingham,,,,,
Mike Jones,WR,Nashville,TN,6'2'',175,,,UAB,NR, NR, NR,2006,U of Alabama Birmingham,,,,,
Caleb Haynes,DE,Guntersville,AL,6'5'',250,,,UAB,,,,2006,U of Alabama Birmingham,,,,,
Seth Harkness,QB,Fayette,AL,6'4'',190,,,UAB,NR,,,2006,U of Alabama Birmingham,,,,,
Frantrett Forrest,WR,Mobile,AL,6'1'',183,,,UAB,,,,2006,U of Alabama Birmingham,,,,,
Chris Evans,RB,Alexandria,AL,6'1'',185,71.0,,UAB,121,,,2006,U of Alabama Birmingham,,,,,
J.D. Douglas,S,Prattville,AL,6'2'',200,76.0,,UAB,51,,,2006,U of Alabama Birmingham,,,,,
Anthony Davis,QB,Montgomery,AL,6'0'',185,,,UAB,NR, NR, NR,2006,U of Alabama Birmingham,,,,,
Logan Creel,OT,Loganville,GA,6'5'',285,,,UAB,NR, NR, NR,2006,U of Alabama Birmingham,,,,,
Justin Cofer,TE,Alabaster,AL,6'6'',240,,,UAB,,,,2006,U of Alabama Birmingham,,,,,
Jeffery Anderson,TE,Selma,AL,6'3'',220,,,UAB,,,,2006,U of Alabama Birmingham,,,,,
John Hix,OC,Auburn,AL,6'1'',270,,75.0,UAB,16, None, None,2010,U of Alabama Birmingham,,,,,
Brian O'Leary,OC,Venice,FL,6'2'',272,,74.0,UAB,146,,,2010,U of Alabama Birmingham,,,,,
D.J. Vinson,RB,Clay,AL,5'10'',180,,74.0,UAB,,,,2010,U of Alabama Birmingham,,,,,
Nolen Smith,WR,Oneonta,AL,6'3'',187,,74.0,UAB,, None, None,2010,U of Alabama Birmingham,,,,,
Jamie Onufrak,TE,Sarasota,FL,6'5'',230,,70.0,UAB,,,,2010,U of Alabama Birmingham,,,,,
Deric Scott,DT,Atlanta,GA,6'1'',262,,,UAB,NR, NR, NR,2010,U of Alabama Birmingham,,,,,
Kedron Aker,OLB,Calhoun,GA,6'0'',195,,,UAB,NR,,,2010,U of Alabama Birmingham,,,,,
Jackie Williams,ATH,Semmes,AL,5'11'',175,,,UAB,,,,2010,U of Alabama Birmingham,,,,,
Jamarious Crusoe,WR,Midfield,AL,6'0'',178,,,UAB,, None, None,2010,U of Alabama Birmingham,,,,,
D'Antwone King,OG,Calera,AL,6'3'',308,,,UAB,,,,2010,U of Alabama Birmingham,,,,,
Greg Franklin,RB,Marietta,GA,6'0'',180,,,UAB,, None, None,2010,U of Alabama Birmingham,,,,,
Connor Boyett,DE,Danielsville,GA,6'5'',235,,,UAB,,,,2010,U of Alabama Birmingham,,,,,
Christopher Walton,OLB,Atlanta,GA,6'2'',207,,,UAB,,,,2010,U of Alabama Birmingham,,,,,
Desmond Warren,S,Columbia,AL,6'2'',205,,,UAB,,,,2010,U of Alabama Birmingham,,,,,
Andrew Mahan,DE (LQ),Plantersville,AL,6'4'',225,,,UAB,NR,,,2010,U of Alabama Birmingham,,,,,
Jamarcus Nelson,ATH,Midfield,AL,5'11'',160,,,UAB,, None, None,2010,U of Alabama Birmingham,,,,,
Chad Winbush,RB (JC),DeSoto,TX,6'1'',200,,,UAB,NR,,,2010,U of Alabama Birmingham,,,,,
Darnell Williams,WR (JC),Winter Park,FL,6'2'',200,,,UAB,,  NR,  NR,2010,U of Alabama Birmingham,,,,,
Jamie Bender,S (JC),Raleigh,MS,5'11'',195,,,UAB,, None, None,2010,U of Alabama Birmingham,,,,,
Billy Autrey,OC (JC),Columbus,MS,6'1'',295,,,UAB,,,,2010,U of Alabama Birmingham,,,,,
Darion Smith,OC (JC),Brookhaven,MS,6'3'',280,,,UAB,,,,2010,U of Alabama Birmingham,,,,,
Quartney Cox,OG (JC),Ellisville,MS,6'3'',270,,,UAB,, None, None,2010,U of Alabama Birmingham,,,,,
Emmanuel Taylor,QB (JC),Blakely,GA,5'10'',175,,,UAB,,,,2010,U of Alabama Birmingham,,,,,
D.A. Autry,ILB (JC),Mize,MS,6'1'',220,,,UAB,,,,2010,U of Alabama Birmingham,,,,,
Pat Shed,RB (JC),Starkville,MS,5'9'',175,,,UAB,,,,2010,U of Alabama Birmingham,,,,,
T.J. Ballou,CB (JC),Russell,MS,6'0'',200,,,UAB,,,,2010,U of Alabama Birmingham,,,,,
Maurice Hayes,DT (JC),Lindale,GA,6'4'',315,,,UAB,,,,2010,U of Alabama Birmingham,,,,,
Chris Lofton,CB (JC),Raleigh,NC,5'11'',175,,,UAB,,,,2010,U of Alabama Birmingham,,,,,
Jeremiah Briscoe,QB, Houston, TX,6'3'',215,,82,,,,,2013,U of Alabama Birmingham,UAB,,,,
De'Vante Scott,WR,Ferriday, LA,5'10'',195,,78,,359,,,2013,U of Alabama Birmingham,UAB,,,,
Vincent Hunter,OG,Memphis, TN,6'5'',325,,76,,144,,,2013,U of Alabama Birmingham,UAB,691,52,,
Ed Autry,RB,Spanish Fort, AL,5'10'',170,,68,,,,,2013,U of Alabama Birmingham,UAB,,,,
Jale Coleman,OLB,Daphne, AL,6'2'',215,, None,,,,,2013,U of Alabama Birmingham,UAB,,,,
Jordan Howard,RB,Gardendale, AL,6'0'',203,, None,,,,,2013,U of Alabama Birmingham,UAB,,,,
Rodney Morris,WR,Alpharetta, GA,6'3'',215,, None,,,,,2013,U of Alabama Birmingham,UAB,,,,
Ervin Alston,OLB,Orange Park, FL,6'0'',192,, None,,,,,2013,U of Alabama Birmingham,UAB,,,,
