Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,School,University  ,University 
Lawrence Young,OLB,Pensacola,FL,6'0'',195,75.0,,,33,NR,NR,2007,U of Central Florida,,,,,
Darnell Williams,WR,Winter Park,FL,6'2'',180,, None, UCF,,,,2007,U of Central Florida,,,,,
Khymest Williams,WR,Lutcher,LA,5'10'',165,, None, UCF,,,,2007,U of Central Florida,,,,,
Joe Weatherford,QB,Land O'Lakes,FL,6'4'',190,, None, UCF,NR,,,2007,U of Central Florida,,,,,
Reggie Weams,S,Baton Rouge,LA,6'0'',185,, None, UCF,,,,2007,U of Central Florida,,,,,
Nate Tice,QB,Edina,MN,6'4'',200,, None, UCF,NR,,,2007,U of Central Florida,,,,,
Ereck Plancher,RB,Naples,FL,5'10'',170,, None, UCF,NR,NR,NR,2007,U of Central Florida,,,,,
Nick Pieschel,OT,Fort Lauderdale,FL,6'6'',295,, None, UCF,,,,2007,U of Central Florida,,,,,
Jason Pierre-Paul,DE,Deerfield Beach,FL,6'5'',235,, None, UCF,,,,2007,U of Central Florida,,,,,
Billy Offutt,OT,Winter Park,FL,6'6'',305,,63, UCF,,,,2007,U of Central Florida,,,,,
Adam Nissley,TE,Cumming,GA,6'6'',229,, None, UCF,,,,2007,U of Central Florida,,,,,
Darius Nall,DE,Douglas,GA,6'3'',225,, None, UCF,,,,2007,U of Central Florida,,,,,
Josh Linam,ILB,Tavares,FL,6'3'',230,,71, UCF,NR,NR,NR,2007,U of Central Florida,,,,,
Chad Keys,WR,Covington,LA,6'1'',175,, None, UCF,,,,2007,U of Central Florida,,,,,
Troy Kelly,ILB,Arcadia,FL,6'1'',220,,70, UCF,71,,,2007,U of Central Florida,,,,,
Sidney Haynes,WR,Suwanee,GA,6'3'',200,74.0, None, UCF,74,99,,2007,U of Central Florida,,,,,
Patrick Hanse,DT,Miami,FL,6'3'',260,,72, UCF,,,,2007,U of Central Florida,,,,,
Derrick Hallman,S,Fort Pierce,FL,6'0'',190,, None, UCF,NR,,,2007,U of Central Florida,,,,,
A'Jami Guyton,QB,Homestead,FL,6'1'',190,75.0, None, UCF,,,,2007,U of Central Florida,,,,,
Michael Greco,QB,Poplarville,MS,6'3'',220,, None, UCF,55,,,2007,U of Central Florida,,,,,
Jake Goray,TE,Fort Walton Beach,FL,6'4'',235,,73, UCF,,,,2007,U of Central Florida,,,,,
Muhammad De'Reese,RB,Titusville,FL,6'0'',210,, None, UCF,,,,2007,U of Central Florida,,,,,
Blake Clingan,K,Coral Springs,FL,6'3'',215,, None, UCF,24,,,2007,U of Central Florida,,,,,
Jackie Carter,TE,Miami,FL,6'2'',220,, None, UCF,,,,2007,U of Central Florida,,,,,
Alphonso Bryant,WR,Homestead,FL,6'0'',187,79.0, None, UCF,,,,2007,U of Central Florida,,,,,
Justin Boddie,S,Atlanta,GA,6'2'',190,, None, UCF,,,,2007,U of Central Florida,,,,,
Darin Baldwin,S,Homestead,FL,6'0'',178,77.0, None, UCF,,,,2007,U of Central Florida,,,,,
Chad Alexander,WR,Lake Wales,FL,6'3'',170,, None, UCF,,,,2007,U of Central Florida,,,,,
Kamar Aiken,WR,Hollywood,FL,6'3'',195,79.0, None, UCF,,,,2007,U of Central Florida,,,,,
Marquee Williams,WR,Ocala,FL,6'1'',185.0,,,,,,,2008,U of Central Florida,,,,,
David Williams,OLB,Fort Lauderdale,FL,6'1'',198.0,,,,43,220,NR,2008,U of Central Florida,,,,,
Loren Robinson,OLB,Longwood,FL,6'3'',195.0,,,,,,,2008,U of Central Florida,,,,,
Steven Robinson,OG,Tallahassee,FL,6'3'',305.0,,,,25,192,,2008,U of Central Florida,,,,,
Robert Pritchard,DE,Suwanee,GA,6'2'',212.0,,,,,,,2008,U of Central Florida,,,,,
John Oliver,OT,LaGrange,GA,6'6'',270.0,,,,,,,2008,U of Central Florida,,,,,
Latavius Murray,RB,Nedrow,NY,6'3'',215.0,,,,,,,2008,U of Central Florida,,,,,
Jarien Moreland,OG,Belle Glade,FL,6'4'',319.0,,,,,,,2008,U of Central Florida,,,,,
Chris Martin,DT,Fort Walton Beach,FL,6'4'',291.0,,,,55,319,NR,2008,U of Central Florida,,,,,
Kyle Madden,TE,Kennesaw,GA,6'3'',228.0,,,,79,525,NR,2008,U of Central Florida,,,,,
Josh Linam,ILB (LQ),Tavares,FL,6'3'',230.0,,,,,,,2008,U of Central Florida,,,,,
Vance King,ATH,Stockbridge,GA,6'0'',183.0,,,,,,,2008,U of Central Florida,,,,,
Chad Keys,WR (LQ),Covington,LA,6'1'',175.0,,,,,,,2008,U of Central Florida,,,,,
Brendan Kelly,FB,Shoreham,NY,6'3'',228.0,,,,6,NR,NR,2008,U of Central Florida,,,,,
Chad Hounshell,OT,Mentor,OH,6'5'',302.0,,,,63,,,2008,U of Central Florida,,,,,
Brynn Harvey,RB,Largo,FL,5'10'',204.0,,,,112,382,NR,2008,U of Central Florida,,,,,
Thao Goins,DT,Fort Bend,TX,6'4'',280.0,,,,,,,2008,U of Central Florida,,,,,
Jarvis Geathers,DE (JC),Andrews,SC,6'2'',225.0,,,,NR,,,2008,U of Central Florida,,,,,
