Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank, Pos, City, State, Height, Weight, Stars, Grade, University
Christian Yount,Video | Scouts Report,OL,Las Flores,CA,6'1'',250,NR,UCLA,, None, None,2006,UCLA,,,,,,,,,,
Nick Ekbatani,Video | Scouts Report,OT (JC),Wilmington,CA,6'5'',285,NR,UCLA,NR,,,2006,UCLA,,,,,,,,,,
E.J. Woods SCulver City,CA,6'0'',192,81,UCLA,,,,,,,2008,UCLA,,,,,,,,,,
Sean Westgate SOak Park,CA,5'11'',185,74,UCLA,,,,,,,2008,UCLA,,,,,,,,,,
Nelson Rosario WROceanside,CA,6'5'',190,77,UCLA,,,,,,,2008,UCLA,,,,,,,,,,
Kevin Prince QBEncino,CA,6'2'',185,73,UCLA,,,,,,,2008,UCLA,,,,,,,,,,
Antwon Moutra WRCulver City,CA,6'3'',183,78,UCLA,,,,,,,2008,UCLA,,,,,,,,,,
Rahim Moore SLos Angeles,CA,6'0'',185,79,UCLA,,,,,,,2008,UCLA,,,,,,,,,,
Jeff Locke KGlendale,AZ,6'1'',185,80,UCLA,,,,,,,2008,UCLA,,,,,,,,,,
Patrick Larimore ILBNewhall,CA,6'2'',228,76,UCLA,,,,,,,2008,UCLA,,,,,,,,,,
Milton Knox RBVan Nuys,CA,5'8'',192,78,UCLA,,,,,,,2008,UCLA,,,,,,,,,,
Datone Jones DELos Angeles,CA,6'4'',240,79,UCLA,,,,,,,2008,UCLA,,,,,,,,,,
Jerry Johnson WRVenice,CA,6'2'',187,77,UCLA,,,,,,,2008,UCLA,,,,,,,,,,
Damien Holmes DEColton,CA,6'3'',250,78,UCLA,,,,,,,2008,UCLA,,,,,,,,,,
Aaron Hester CBCompton,CA,6'0'',180,79,UCLA,,,,,,,2008,UCLA,,,,,,,,,,
Cory Harkey TEChino Hills,CA,6'4'',240,80,UCLA,,,,,,,2008,UCLA,,,,,,,,,,
Johnathan Franklin RBLos Angeles,CA,5'10'',181,76,UCLA,,,,,,,2008,UCLA,,,,,,,,,,
Anthony Dye CBCorona,CA,5'10'',179,81,UCLA,,,,,,,2008,UCLA,,,,,,,,,,
Aundre Dean RBKaty,TX,6'1'',210,83,UCLA,,,,,,,2008,UCLA,,,,,,,,,,
Nick Crissman QBHuntington Beach,CA,6'3'',193,81,UCLA,,,,,,,2008,UCLA,,,,,,,,,,
Kevin Craft QB (JC)Valley Center,CA,6'5'',210,NR,UCLA,,,,,,,2008,UCLA,,,,,,,,,,
Derrick Coleman FBFullerton,CA,6'0'',218,77,UCLA,,,,,,,2008,UCLA,,,,,,,,,,
Donovan Carter ILBLake Balboa,CA,6'2'',226,76,UCLA,,,,,,,2008,UCLA,,,,,,,,,,
Connor Bradford OTPalmdale,CA,6'4'',275,NR,UCLA,,,,,,,2008,UCLA,,,,,,,,,,
Jeff Baca OGMission Viejo,CA,6'3'',280,73,UCLA,,,,,,,2008,UCLA,,,,,,,,,,
Xavier Su'a-Filo,OT,Pleasant Grove,UT,6'4'',285,,83,UCLA,, None, None,2009,UCLA,,,,,,,,,,
Morrell Presley,TE,Carson,CA,6'4'',215,,83,UCLA,5,,,2009,UCLA,,,,,,,,,,
Randall Carroll,WR,Los Angeles,CA,5'11'',175,,83,UCLA,7, None, None,2009,UCLA,,,,,,,,,,
Richard Brehaut,QB,Rancho Cucamonga,CA,6'2'',206,,81,UCLA,24,36,NR,2009,UCLA,,,,,,,,,,
Damien Thigpen,ATH,Manassas,VA,5'8'',170,,80,UCLA,14,,,2009,UCLA,,,,,,,,,,
Stan Hasiak,OG,Kapolei,HI,6'6'',340,,79,UCLA,39, NR, NR,2009,UCLA,,,,,,,,,,
Dalton Hilliard,RB,Honolulu,HI,5'11'',182,,78,UCLA,25, None, None,2009,UCLA,,,,,,,,,,
Nik Abele,OT,Irvine,CA,6'6'',248,,78,UCLA,47,,,2009,UCLA,,,,,,,,,,
Alex Mascarenas,ATH,Mission Viejo,CA,5'10'',175,,78,UCLA,32, None, None,2009,UCLA,,,,,,,,,,
Taniela Maka,OLB,Long Beach,CA,6'1'',217,,78,UCLA,36,,,2009,UCLA,,,,,,,,,,
Isaiah Bowens,OLB,La Puente,CA,6'3'',220,,78,UCLA,25, NR, NR,2009,UCLA,,,,,,,,,,
Marlon Pollard,CB,San Bernardino,CA,6'1'',160,,78,UCLA,32, None, None,2009,UCLA,,,,,,,,,,
Greg Capella,OG,Visalia,CA,6'4'',326,,77,UCLA,56,,,2009,UCLA,,,,,,,,,,
Keenan Graham,DE,Las Vegas,NV,6'3'',215,,77,UCLA,50,,,2009,UCLA,,,,,,,,,,
Stanjarivus McKay,S,Long Beach,CA,6'0'',180,,77,UCLA,56,,,2009,UCLA,,,,,,,,,,
Ricky Marvray,WR,Corona,CA,5'11'',184,,77,UCLA,33,,,2009,UCLA,,,,,,,,,,
Brandon Sermons,CB,Pomona,CA,6'0'',176,,77,UCLA,22,,,2009,UCLA,,,,,,,,,,
Todd Golper,ILB,Arcadia,CA,6'1'',220,,77,UCLA,8, NR, NR,2009,UCLA,,,,,,,,,,
Jayson Allmond,FB,Bloomington,CA,6'1'',262,,77,UCLA,,,,2009,UCLA,,,,,,,,,,
Iuta Tepa,DE,Long Beach,CA,6'3'',240,,76,UCLA,46, None, None,2009,UCLA,,,,,,,,,,
