Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,University , Reg_rank, State_rank,School,Grade  
Thomas Wren,OT,Yorba Linda,CA,6'5'',250,,UNLV,,NR,NR,NR,2006,UNLV,,,,,
Rico Thomas,CB,Oakland,CA,,5'11'',190.0,,UNLV,NR,,,2006,UNLV,,,,,
Malosi Te'o,RB,Kahuku,HI,5'11'',200,,UNLV,,,,,2006,UNLV,,,,,
Malo Taumua,DT (LQ),Honolulu,HI,6'2'',280,,UNLV,,,,,2006,UNLV,,,,,
Aaron Straiten,WR (JC),Antioch,CA,,6'3'',205.0,,UNLV,,,,2006,UNLV,,,,,
Rocki Sandusky,WR,Ferndale,WA,6'1'',165,,UNLV,,,,,2006,UNLV,,,,,
Quinton Pointer,WR,Cape Coral,FL,5'10'',180,,UNLV,,,,,2006,UNLV,,,,,
Tolu Pili,OG,Orem,TX,6'0'',315,,UNLV,,,,,2006,UNLV,,,,,
Ron Paulo,ILB,Las Vegas,NV,6'1'',220,,UNLV,,NR,,,2006,UNLV,,,,,
Bradley Niles,ILB (JC),Gilroy,CA,6'0'',240,,UNLV,,NR,NR,NR,2006,UNLV,,,,,
Daniel Mareko,ILB,,,6'2'',210,,UNLV,,,,,2006,UNLV,,,,,
Evan Marchal,OT,Petaluma,CA,6'7'',290,,UNLV,,,,,2006,UNLV,,,,,
Philip Julien,DE,Immokalee,FL,6'3'',215,,UNLV,,,,,2006,UNLV,,,,,
Michael Johnson,CB,Garland,TX,5'10'',195,,UNLV,,,,,2006,UNLV,,,,,
DaVell Jackson,WR,Las Vegas,NV,6'0'',175,,UNLV,,NR,NR,NR,2006,UNLV,,,,,
Aaitui Isaako,DE,,,6'2'',240,,UNLV,,,,,2006,UNLV,,,,,
Antoine Howard,DE,Oakland,CA,6'4'',255,,UNLV,,NR,NR,NR,2006,UNLV,,,,,
Bryan Honore,DE (JC),Scottsdale,AZ,6'4'',250,,UNLV,,,,,2006,UNLV,,,,,
Tim High,DT,Harbor City,CA,6'4'',310,,UNLV,,,,,2006,UNLV,,,,,
