Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,University  ,Reg_rank,State_rank,School,School  
Zeke Wiley,OT,Orem,UT,6'4'',315,,,Utah,NR, None, None,2006,Utah,,,,,
Walter Watts,OG,Los Banos,CA,6'4'',300,,72.0,Utah,48, NR, NR,2006,Utah,,,,,
Mombroso Washington,CB,Bloomington,CA,6'1'',190,,,Utah,, None, None,2006,Utah,,,,,
Peter Tuitupou,OG,Orem,UT,6'4'',240,,,Utah,,,,2006,Utah,,,,,
Bubba Tuinei,TE,Salt Lake City,UT,6'5'',230,,,Utah,NR, NR, NR,2006,Utah,,,,,
Aaron Tonga,DT,Walnut,CA,6'3'',280,,,Utah,NR, NR, NR,2006,Utah,,,,,
Kenton Thomas,RB,Phoenix,AZ,6'1'',195,3.0,,Utah,, NR, NR,2006,Utah,,,,,
Zane Taylor,DT,Moab,UT,6'2'',270,,,Utah,, None, None,2006,Utah,,,,,
Zane Taylor,DT,Moab,UT,6'3'',285,,,Utah,,,,2006,Utah,,,,,
Stevenson Sylvester,OLB,Las Vegas,NV,6'3'',205,,,Utah,57,,,2006,Utah,,,,,
Ryan Stanford,RB,Chino,CA,6'1'',175,,77.0,Utah,,,,2006,Utah,,,,,
Tony Smith,WR,Pleasanton,CA,6'0'',175,,,Utah,,,,2006,Utah,,,,,
Tony Smith,WR,Pleasanton,CA,6'0'',176,,,Utah,,,,2006,Utah,,,,,
Matt Sims,FB,Santa Maria,CA,6'1'',260,,,Utah,,,,2006,Utah,,,,,
Corey Seiuli,OG,Provo,UT,6'3'',275,,,Utah,68,,,2006,Utah,,,,,
Caleb Schlauderaff,OG,Shelton,WA,6'4'',275,,,Utah,NR, NR, NR,2006,Utah,,,,,
Mookie Murphy,CB,Salt Lake City,UT,5'10'',175,3.0,,Utah,42,,,2006,Utah,,,,,
George Molifua,RB,Oceanside,CA,5'11'',235,,,Utah,NR,,,2006,Utah,,,,,
Pauli Latu,DT,West Valley City,UT,6'2'',265,,75.0,Utah,NR,,,2006,Utah,,,,,
Justin Jones,CB,Marshall,TX,6'0'',180,,,Utah,, None, None,2006,Utah,,,,,
Dustin Hensel,OT,Huntington Beach,CA,6'7'',310,,,Utah,30, NR, NR,2006,Utah,,,,,
Sean Fitzgerald,WR,Mission Viejo,CA,6'2'',190,,,Utah,,,,2006,Utah,,,,,
Joseph Faifili,DT,Kahuku,HI,6'1'',287,3.0,77.0,Utah,NR,,,2006,Utah,,,,,
Joe Dale,S,Irving,TX,6'2'',190,,,Utah,NR, NR, NR,2006,Utah,,,,,
Chet Blasucci,ILB,La Canada,CA,6'2'',240,,,Utah,,,,2006,Utah,,,,,
Nick Binks,DE,Bountiful,UT,6'6'',215,,,Utah,,,,2006,Utah,,,,,
Neil A'asa,DT,Big Rapids,MI,6'2'',295,,,Utah,,,,2006,Utah,,,,,
Kapua Sai,OG,Honolulu,HI,6'5'',322,79.0,Utah,,13,,,2009,Utah,,,,,
Siosaia Tuipulotu,DT,Euless,TX,6'2'',285,77.0,Utah,,41,,,2009,Utah,,,,,
Percy Taumoelau,OT,Salt Lake City,UT,6'5'',305,77.0,Utah,,52, NR, NR,2009,Utah,,,,,
Jordan Wynn,QB,Oceanside,CA,6'2'',175,76.0,Utah,,,41, None,2009,Utah,,,,,
Chris Washington,S,Layton,UT,6'2'',195,76.0,Utah,,NR, NR, NR,2009,Utah,,,,,
