Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University ,School
Brian Williams,CB,Las Vegas,NV,6'2'',180.0,,,Washington State,NR,NR,NR,2006,Washington State,,,,
Greg Walker,WR,Los Angeles,CA,,,,,Washington State,,,,2006,Washington State,,,,
B.T. Walker,CB,Hackensack,NJ,5'10'',175.0,,,Washington State,,,,2006,Washington State,,,,
Toby Turpin,DE,Los Alamitos,CA,6'4'',250.0,,75.0,Washington State,53,,,2006,Washington State,,,,
Brandon Thomas,S,Inglewood,CA,6'3'',215.0,,,Washington State,,,,2006,Washington State,,,,
Keith Rosenberg,RB,Bellevue,WA,6'1'',190.0,,77.0,Washington State,55,NR,NR,2006,Washington State,,,,
Marcus Richmond,RB,Mesa,AZ,6'2'',200.0,,,Washington State,,,,2006,Washington State,,,,
Finas Rabb,WR,Orange,CA,6'6'',200.0,,,Washington State,NR,NR,NR,2006,Washington State,,,,
Jason Price,TE,Sanger,TX,6'4'',255.0,,,Washington State,,,,2006,Washington State,,,,
Trevor Mooney,TE,Mission Viejo,CA,6'6'',240.0,,,Washington State,,,,2006,Washington State,,,,
Grady Maxwell,OG,University Place,WA,6'3'',315.0,,72.0,Washington State,54,,,2006,Washington State,,,,
Andy Mattingly,S,Spokane,WA,6'4'',215.0,,,Washington State,NR,,,2006,Washington State,,,,
Kerry Maddox,WR,Tyler,TX,5'11'',180.0,,,Washington State,NR,NR,NR,2006,Washington State,,,,
Kevin Kooyman,TE,Maple Valley,WA,6'6'',220.0,,,Washington State,NR,NR,NR,2006,Washington State,,,,
Skylar Jessen,RB,Spokane,WA,5'11'',200.0,,72.0,Washington State,NR,NR,NR,2006,Washington State,,,,
Chris Ivory,RB,Longview,TX,5'11'',190.0,,69.0,Washington State,130,,,2006,Washington State,,,,
Derrell Hutsona,RB,La Mesa,CA,5'10'',185.0,,,Washington State,NR,,,2006,Washington State,,,,
Anthony Houston,WR,San Diego,CA,6'4'',200.0,,78.0,Washington State,40,,,2006,Washington State,,,,
Micah Hannam,OT,Gig Harbor,WA,6'5'',265.0,,,Washington State,NR,NR,NR,2006,Washington State,,,,
Charles Dillon,WR,Oxnard,CA,6'1'',195.0,,,Washington State,NR,NR,NR,2006,Washington State,,,,
J.T. Deiderichs,RB,Seattle,WA,6'2'',235.0,,,Washington State,NR,,,2006,Washington State,,,,
Ansley Clevil,DT,Los Angeles,CA,6'3'',240.0,,67.0,Washington State,,,,2006,Washington State,,,,
Chris Bush,OT,Puyallup,WA,6'5'',280.0,,70.0,Washington State,,,,2006,Washington State,,,,
Preston Brooks,DE,Los Angeles,CA,6'3'',230.0,,,Washington State,,,,2006,Washington State,,,,
Isaiah Barsh,DE,Puyallup,WA,6'3'',230.0,,,Washington State,,,,2006,Washington State,,,,
Cornorris Atkins,S,Reseda,CA,6'3'',205.0,,,Washington State,NR,,,2006,Washington State,,,,
Andrew Roxas,OG,La Canada,CA,6'3'',300,73,Washington State,,60,,,2007,Washington State, None, None,,
Marshall Pirtz,OLB,Boise,ID,6'0'',210,0,Washington State,,,,,2007,Washington State,,,,
Tyson Pencer,DE,Delta, B.C.,CAN,6'5'',240,0,Washington State,,,,2007,Washington State, None, None,,
Romeo Pellum,CB,Santa Fe Springs,CA,5'9'',160,0,Washington State,,NR,,,2007,Washington State,,,,
Chima Nwachukwu,S,Allen,TX,5'10'',190,0,Washington State,,NR,,,2007,Washington State,,,,
Terry Mixon,S,Compton,CA,6'2'',210,0,Washington State,,,,,2007,Washington State,,,,
Logwone Mitz,RB,Redmond,WA,6'1'',210,76,Washington State,,NR,,,2007,Washington State, NR, None,,
Marshall Lobbesteal,QB,Oak Harbor,WA,6'1'',170,0,Washington State,,NR,,,2007,Washington State, NR, NR,,
J.T. Levenseller,QB,Pullman,WA,6'1'',185,0,Washington State,,,,,2007,Washington State, None, None,,
Vaughn Lesuma,OT,JC,San Jacinto,CA,6'5'',340,0,Washington State,,,,2007,Washington State, None, None,,
Tyson Kirksey,OLB,JC,Garden City, KS,5'11'',235,0,Washington State,,,,2007,Washington State, None, None,,
Tyrone Justin,CB,Culver City,CA,5'10'',160,75,Washington State,,45,,,2007,Washington State,,,,
Alfonso Jackson,CB,JC,Hearne,TX,5'10'',188,0,Washington State,,,,2007,Washington State,,,,
Hallston Higgins,ILB,Houston,TX,5'10'',200,0,Washington State,,NR,,,2007,Washington State,,,,
B.J. Guerra,DT,Moses Lake,WA,6'4'',280,66,Washington State,,,,,2007,Washington State,,,,
Devin Giles,CB,JC,Tampa,FL,5'11'',175,0,Washington State,NR,,,2007,Washington State,,,,
Devin Frischknecht,TE,JC,Ephraim,UT,6'3'',240,0,Washington State,,,,2007,Washington State, None, None,,
Kevin Freitag,OG,Burien,WA,6'3'',285,68,Washington State,,NR,,,2007,Washington State,,,,
Deon Ford,WR,Rancho Cucamonga,CA,6'2'',200,70,Washington State,,147,,,2007,Washington State, None, None,,
