Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School
Jason Wells,S,La Verne,CA,6'2'',200,,,Washington,, None, None,2006,Washington,,,
Ryan Tolar,OT,Pasco,WA,6'6'',330,,72.0,Washington,63,,,2006,Washington,,,
Matt Sedillo,OG,Escondido,CA,6'3'',300,,,Washington,,,,2006,Washington,,,
Marcel Reece,WR,Hesperia,CA,6'3'',235,,,Washington,,,,2006,Washington,,,
Leilyon Myers,S,Compton,CA,6'0'',195,,77.0,Washington,41,,,2006,Washington,,,
Jordan Murchison,CB,Oakland,CA,6'0'',185,,,Washington,, None, None,2006,Washington,,,
Matt Mosley,RB,Chandler,AZ,5'11'',185,,,Washington,,,,2006,Washington,,,
Danny Morovick,OC,Mission Viejo,CA,6'3'',230,,,Washington,NR,,,2006,Washington,,,
Jake Merrill,S,Gig Harbor,WA,6'2'',200,,74.0,Washington,,,,2006,Washington,,,
De'Shon Matthews,DE,Elk Grove,CA,6'4'',255,,78.0,Washington,,,,2006,Washington,,,
Aaron Mason,OT,Santa Monica,CA,6'6'',280,,,Washington,5,,,2006,Washington,,,
Jake Locker,QB,Ferndale,WA,6'3'',210,,83.0,Washington,,,,2006,Washington,,,
Derek Kosub,DT,Reno,NV,6'4'',270,,,Washington,,,,2006,Washington,,,
Brandon Jefferson,OT,Los Angeles,CA,6'5'',310,,,Washington,NR,,,2006,Washington,,,
Matt Houston,ILB,Goleta,CA,6'1'',205,,,Washington,55,,,2006,Washington,,,
Paul Homer,ILB,Omaha,NE,6'2'',215,,72.0,Washington,28,,,2006,Washington,,,
Cody Habben,OT,Sammamish,WA,6'5'',270,,77.0,Washington,23,,,2006,Washington,,,
D'Andre Goodwin,WR,Lancaster,CA,6'0'',155,,,Washington,,,,2006,Washington,,,
Cameron Elisara,DT,Spokane,WA,6'3'',275,,78.0,Washington,, None, None,2006,Washington,,,
Donald Butler,ILB,Sacramento,CA,6'1'',210,,,Washington,,,,2006,Washington,,,
Anthony Atkins,DE,Long Beach,CA,6'3'',255,,,Washington,,,,2006,Washington,,,
Brandon Yakaboski,RB,Snoqualmie,WA,6'0'',195,,,Washington,,,,2007,Washington, None, None,
Nick Wood,DT,Poway,CA,6'2'',270,,77.0,Washington,32,,,2007,Washington,NR,NR,
Nate Williams,RB,Burien,WA,6'0'',190,,68.0,Washington,68,,,2007,Washington,,,
Austin Sylvester,ILB,Princeton,NJ,6'3'',245,,,Washington,,,,2007,Washington,,,
Scott Shugert,OT,Oregon City,OR,6'5'',310,,,Washington,,,,2007,Washington,,,
Curtis Shaw,RB,Stockton,CA,6'1'',190,,76.0,Washington,NR,,,2007,Washington,NR,,
Quinton Richardson,OLB,Seattle,WA,6'1'',190,,59.0,Washington,59,,,2007,Washington,,125,
Marquis Persley,S,Redlands,CA,6'0'',190,,,Washington,,,,2007,Washington,,,
Vonzell McDowell,CB,Seattle,WA,5'9'',170,,73.0,Washington,NR,,,2007,Washington,NR,NR,
Alvin Logan,WR,Aurora,CO,6'1'',195,,73.0,Washington,,,,2007,Washington,,,
Brandon Johnson,RB,Compton,CA,5'9'',185,,76.0,Washington,,,,2007,Washington,,,
Chris Izbicki,TE,Kirkland,WA,6'4'',245,,79.0,Washington,11,,,2007,Washington, NR, NR,
Emeka Iweka,DE,Seattle,WA,6'4'',280,,78.0,Washington,32,,,2007,Washington,,,
Willie Griffin,RB,Oakland,CA,5'8'',190,,73.0,Washington,109,,,2007,Washington,,,
Ronnie Fouch,QB,Redlands,CA,6'2'',180,,74.0,Washington,,,,2007,Washington,,,
Mason Foster,ILB,Seaside,CA,6'3'',205,,67.0,Washington,,,,2007,Washington,,,
Erik Folk,K,Sherman Oaks,CA,5'10'',190,,,Washington,,,,2007,Washington,,,
Skyler Fancher,OT,Huntington Beach,CA,6'6'',295,,,Washington,,,,2007,Washington,,,
Tyrone Duncan,DT,Westlake Village,CA,6'2'',300,,,Washington,NR,,,2007,Washington,,,
Cort Dennison,ILB,Salt Lake City,UT,6'2'',215,,70.0,Washington,NR,,,2007,Washington,,,
Byron Davenport,CB,Long Beach,CA,5'11'',195,,,Washington,NR,,,2007,Washington,,,
Anthony Boyles,WR,Gardena,CA,6'3'',185,,74.0,Washington,,,,2007,Washington,95,,
Jared Ballman,K,El Cajon,CA,6'0'',195,,,Washington,,,,2007,Washington,,,
Mark Armelin,OT,Mission Hills,CA,6'4'',305,,,Washington,,,,2007,Washington,,,
Kalani Aldrich,DE,Keaau,HI,6'6'',242,,,Washington,,,,2007,Washington,,,
Victor Aiyewa,SS,Sugar Land,TX,6'2'',205,,,Washington,,,,2007,Washington,,,
Devin Aguilar,WR,Denver,CO,6'2'',175,,73.0,Washington,,,,2007,Washington,,,
Greg Walker,OLB,Playa Del Rey,CA,6'0'',200,,,,NR,,,2008,Washington,NR,NR,Washington
Everette Thompson,DE,Burien,WA,6'5'',240,,77.0,,53,,,2008,Washington,,,Washington
Terence Thomas,OT,Caldwell,ID,6'8'',295,,75.0,,NR,,,2008,Washington,,,Washington
Vince Taylor,WR,Bellevue,WA,6'3'',185,,,,NR,,,2008,Washington,NR,NR,Washington
Alameda Ta'amu,OG,Seattle,WA,6'2'',353,,76.0,,,,,2008,Washington,,,Washington
Drew Schaefer,OT,Sammamish,WA,6'5'',273,,74.0,,24,,,2008,Washington,188,,Washington
Bradly Roussel,ILB,Baton Rouge,LA,5'11'',216,,78.0,,66,,,2008,Washington,,,Washington
Chris Polk,WR,Redlands,CA,6'0'',195,,78.0,,,,,2008,Washington,,,Washington
Jordan Polk,WR,Portland,OR,5'8'',150,,77.0,,,,,2008,Washington,,,Washington
Craig Noble,OG,Woodland Hills,CA,6'3'',260,,,,2,,,2008,Washington,,,Washington
Kavario Middleton,TE,Lakewood,WA,6'6'',250,,82.0,,,,,2008,Washington,,,Washington
Kurt Mangum,ILB,Chandler,AZ,6'0'',231,,,,,,,2008,Washington,,,Washington
Adam Long,CB,Playa Del Rey,CA,5'11'',165,,,,33,,,2008,Washington,,,Washington
Luther Leonard,QB,Burien,WA,6'2'',190,,77.0,,32,,,2008,Washington,NR,NR,Washington
Senio Kelemete,DT,Seattle,WA,6'4'',262,,77.0,,126,,,2008,Washington,,,Washington
Jermaine Kearse,WR,Lakewood,WA,6'0'',168,,74.0,,,,,2008,Washington,,,Washington
Mykenna Ikehara,OG,Honolulu,HI,6'3'',270,,,,72,,,2008,Washington,,,Washington
Tony Gobern,ATH,Fair Oaks,CA,5'11'',178,,72.0,,48,,,2008,Washington,,,Washington
Justin Glenn,CB,Mukilteo,WA,5'10'',185,,76.0,,99.0,,,2008,Washington,,,Washington
David Freeman,RB,Inglewood,CA,5'7'',179,,75.0,,6.0,,,2008,Washington,,,Washington
Johri Fogerson,OLB,Seattle,WA,6'1'',186,,66.0,,11,,,2008,Washington,NR,NR,Washington
