Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,School,Reg_rank,State_rank
Robert Williams,CB,Cincinnati,OH,5'11'',165,3.0,72,West Virginia,38,92,38,2006,West Virginia,,,
James Thomas,S,Pompano Beach,FL,6'1'',205,,NR,West Virginia,NR, NR, NR,2006,West Virginia,,,
Eric Rodemoyer,OG,Hermitage,PA,6'3'',305,,3,West Virginia,64, None, None,2006,West Virginia,,,
Chris Neild,TE,Stroudsburg,PA,6'3'',285,,4,West Virginia,17,,,2006,West Virginia,,,
Jake Miller,OT,Zoarville,OH,6'7'',337,,NR,West Virginia,NR,,,2006,West Virginia,,,
John Maddox,S,Philadelphia,PA,6'4'',175,,4,West Virginia,26, NR, NR,2006,West Virginia,,,
Wesley Lyons,WR,Newhall,PA,6'6'',200,,4,West Virginia,46,,,2006,West Virginia,,,
Anthony Leonard,OLB,McKeesport,PA,6'1'',223,,4,West Virginia,26,,,2006,West Virginia,,,
Eric Jobe,OG,La Plata,MD,6'3'',270,,3,West Virginia,,,,2006,West Virginia,,,
Derek Hayes,DT,Tallahassee,FL,6'3'',286,,NR,West Virginia,, None, None,2006,West Virginia,,,
Dwight Fluker-Berry,CB,Miami,FL,6'2'',180,,NR,West Virginia,,,,2006,West Virginia,,,
Greg Davis,CB,Saint George,VA,6'2'',200,,3,West Virginia,,79, None,2006,West Virginia,,,
Eddie Davis,RB,New Tampa,FL,5'11'',170,,NR,West Virginia,NR,,,2006,West Virginia,,,
Marcus Broxie,DE,Tampa,FL,6'3'',225,,NR,West Virginia,NR, NR, NR,2006,West Virginia,,,
Jetavious Best,RB,West Palm Beach,FL,5'10'',190,,NR,West Virginia,, None, None,2006,West Virginia,,,
Franchot Allen,S,Deltona,FL,6'2'',200,,NR,West Virginia,,,,2006,West Virginia,,,
Tony Wood,CB,Blakeslee,PA,6'0'',180,,,,,,,2007,West Virginia,West Virginia,,
Eugene Smith,QB,Miramar,FL,6'3'',171,81.0,West Virginia,,97,45,15,2009,West Virginia,,,
Logan Heastie,WR,Chesapeake,VA,6'2'',192,80.0,West Virginia,,19,,,2009,West Virginia,,,
Deon Long,WR,Washington,DC,6'1'',175,78.0,West Virginia,,38,,,2009,West Virginia,,,
Stedman Bailey,WR,Miramar,FL,5'11'',186,78.0,West Virginia,,48,178,69,2009,West Virginia,,,
Tavon Austin,RB,Baltimore,MD,5'9'',156,78.0,West Virginia,,41,75,NR,2009,West Virginia,,,
Cole Bowers,OT,Ona,WV,6'5'',280,78.0,West Virginia,,33,,,2009,West Virginia,,,
Daquan Hargrett,RB,Miami,FL,5'9'',180,78.0,West Virginia,,56,222,87,2009,West Virginia,,,
Brodrick Jenkins,ATH,Fort Myers,FL,5'9'',175,78.0,West Virginia,,65,224,88,2009,West Virginia,,,
Patrick Miller,CB,Hoover,AL,5'10'',170,77.0,West Virginia,,29,,,2009,West Virginia,,,
Pat Eger,OT,Jefferson Hills,PA,6'6'',260,77.0,West Virginia,,43,118, NR,2009,West Virginia,,,
Terence Garvin,S,Baltimore,MD,6'2'',200,77.0,West Virginia,,65,,,2009,West Virginia,,,
Jonathan Scott,S,Daytona Beach,FL,6'3'',190,77.0,West Virginia,,, None, None,2009,West Virginia,,,
Branko Busick,ILB,Steubenville,OH,6'2'',226,77.0,West Virginia,,28,,,2009,West Virginia,,,
Dominik Davenport,DT,Hampton,VA,6'1'',239,76.0,West Virginia,,53,144, NR,2009,West Virginia,,,
Darwin Cook,S,East Cleveland,OH,6'0'',180,76.0,West Virginia,,,,,2009,West Virginia,,,
Chris Snook,OLB,Medina,OH,6'3'',222,76.0,West Virginia,,,,,2009,West Virginia,,,
Nick Kindler,OT,Camp Hill,PA,6'6'',275,76.0,West Virginia,,67,167, None,2009,West Virginia,,,
Shawne Alston,RB,Hampton,VA,5'11'',220,75.0,West Virginia,,110,,,2009,West Virginia,,,
Jordan Weingart,OC,Gainesville,FL,6'2'',290,75.0,West Virginia,,17,444,169,2009,West Virginia,,,
Ryan Spiker,OG,Dresden,OH,6'3'',265,74.0,West Virginia,,141,,,2009,West Virginia,,,
Chris Palmer,DT,Philadelphia,PA,6'4'',290,73.0,West Virginia,,,,,2009,West Virginia,,,
Taige Redman,OLB,Keyser,WV,6'1'',201,,West Virginia,,,,,2009,West Virginia,,,
Curtis Feigt,DT,Mercersburg,PA,6'6'',270,,West Virginia,,,,,2009,West Virginia,,,
Tevita Finau,DE,Oahu,HI,6'5'',275,,West Virginia,,, None, None,2009,West Virginia,,,
Terrance Moore,WR,Key West,FL,6'3'',185,,West Virginia,,, None, None,2009,West Virginia,,,
Ivan McCartney,WR,Miramar,FL,6'1'',162,81,West Virginia,,109,,,2010,West Virginia,,NR,NR
