Name,Pos,City,State,Height,Weight,Stars,Grade,University  ,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University,School
Brandon Whitty,DT,Saint Augustine,FL,6'3'',245,,Western Kentucky  ,,,,,2008,Western Kentucky,,,,
Seth White,OT,Nashville,TN,,6'5'',265.0,,Western Kentucky  ,,,,2008,Western Kentucky,,,,
Marcus Vasquez,QB,Chula Vista,CA,,6'1'',175.0,,Western Kentucky  ,NR,,,2008,Western Kentucky,,,,
Luke Stansfield,OG,Brentwood,TN,,6'4'',275.0,,Western Kentucky  ,108,,,2008,Western Kentucky,,,,
Adam Smith,OG,Murfreesboro,TN,,6'5'',265.0,69,Western Kentucky  ,118,568,NR,2008,Western Kentucky,,,,
Quanterus Smith,DE,Loganville,GA,,6'5'',220.0,,Western Kentucky  ,,,,2008,Western Kentucky,,,,
Anthony Sheppard,ATH,Pahokee,FL,,6'2'',172.0,,Western Kentucky  ,,,,2008,Western Kentucky,,,,
Corey Sheilds,S,Conyers,GA,,6'2'',185.0,,Western Kentucky  ,,,,2008,Western Kentucky,,,,
Kenny Martin,DT,Ocoee,FL,,6'2'',270.0,,Western Kentucky  ,,,,2008,Western Kentucky,,,,
Rammell Lewis,DT,Loganville,GA,,6'3'',255.0,,Western Kentucky  ,, None, None,2008,Western Kentucky,,,,
Sergio Joyner,OLB,Seffner,FL,,6'0'',189.0,74,Western Kentucky  ,385,,,2008,Western Kentucky,,,,
Kawaun Jakes,WR,Saint Augustine,FL,,6'2'',185.0,77,Western Kentucky  ,71,222,NR,2008,Western Kentucky,,,,
Dex Haynes,QB,Folkston,GA,,6'4'',190.0,,Western Kentucky  ,NR,,,2008,Western Kentucky,,,,
Tyran Golden,OLB,Lithonia,GA,,6'2'',205.0,,Western Kentucky  ,,,,2008,Western Kentucky,,,,
Jared Clendenin,DE,Stone Mountain,GA,,6'3'',230.0,,Western Kentucky  ,,,,2008,Western Kentucky,,,,
Jamarcus Allen,DT,Orlando,FL,,5'11'',250.0,78,Western Kentucky,21,,,2008,Western Kentucky,,,,
Mitchell Henry,TE,Elizabethtown,KY,6'4'',232,77,Western Kentucky,,44,,,2011,Western Kentucky,313, None,,
T.J. Smith,DE,Hazel Green,AL,6'3'',209,77,Western Kentucky,,77,,,2011,Western Kentucky,,,,
Jamichael Payne,DT,Auburn,AL,6'1'',325,77,Western Kentucky,,353,,,2011,Western Kentucky,,,,
Quartterrio Morgan,ATH,Jonesboro,GA,5'10'',172,76,Western Kentucky,,103,,,2011,Western Kentucky,,,,
Boe Brand,WR,Bradenton,FL,6'1'',160,76,Western Kentucky,,109,,,2011,Western Kentucky,400, None,,
Marquis Sumler,RB,Pensacola,FL,5'9'',180,76,Western Kentucky,,,,,2011,Western Kentucky, None, None,,
Daerius Washington,OLB,Fort Lauderdale,FL,5'11'',187,75,Western Kentucky,,116,,,2011,Western Kentucky,,,,
James Mauro,QB,Hurst,TX,6'7'',215,75,Western Kentucky,,67,,,2011,Western Kentucky,265,204,,
Dwayne Montgomery,OT,Fort Lauderdale,FL,6'5'',255,74,Western Kentucky,,141,,,2011,Western Kentucky,572, NR,,
Cameron Brown,WR,Frisco,TX,6'2'',190,74,Western Kentucky,,,,,2011,Western Kentucky, None, None,,
Dyron Speight,QB,Bradenton,FL,6'0'',180,70,Western Kentucky,,134,,,2011,Western Kentucky,797, NR,,
Gavin Rocker,DE,Tyrone,GA,6'2'',218,69,Western Kentucky,,218,,,2011,Western Kentucky,,,,
Tyler Higbee,WR,Tarpon Springs,FL,6'5'',188,NR,Western Kentucky,,,,,2011,Western Kentucky,,,,
Tim Gorski,TE,Chicago,IL,6'6'',242,NR,Western Kentucky,,109,,,2011,Western Kentucky, None, None,,
Eric Robinson-Berry,S,Indianapolis,IN,6'0'',180,NR,Western Kentucky,,162,,,2011,Western Kentucky, NR, NR,,
Lawrence Campbell,DE,Groveland,FL,6'3'',215,NR,Western Kentucky,,238,,,2011,Western Kentucky, None, None,,
John Evans,RB,Sarasota,FL,5'10'',165,NR,Western Kentucky,,246,,,2011,Western Kentucky,,,,
Devin Scott,TE,Indianapolis,IN,6'3'',231,NR,Western Kentucky,,,,,2011,Western Kentucky,,,,
Terran Williams,OLB,Bradenton,FL,6'1'',210,NR,Western Kentucky,,,,,2011,Western Kentucky, None, None,,
Champ Lewis,S,Fort Myers,FL,6'1'',175,NR,Western Kentucky,,NR,,,2011,Western Kentucky,,,,
Dimitri Johnson,DE,Dolton,IL,6'3'',215,NR,Western Kentucky,,238,,,2011,Western Kentucky, None, None,,
Curtis Williams,OT,Hialeah,FL,Champagnat Catholic High School6'4'',310,NR,Western Kentucky,,,,,2011,Western Kentucky,,,,
Delryn Wilson,OG,Tampa,FL,Thomas Jefferson High School6'2'',300,NR,Western Kentucky,,212,,,2011,Western Kentucky,,,,
Bryan Shorter,DT,Phenix City,AL,Central High School6'2'',275,NR,Western Kentucky,,180,,,2011,Western Kentucky,,,,
Darrell Williams,OT,Dublin,GA,West Laurens High School6'5'',260,NR,Western Kentucky,,216,,,2011,Western Kentucky,,,,
